传感器名称（字符型）,传感器类型（字符型）,标识符合（字符型）,传感器地址（字符型）,鲁棒性（字符型）,数据类型（字符型）,接口协议（字符型）,平台协议（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
电流传感器,物理传感器,CS-018,/dev/current,高,数字,SPI,CoAP,工业自动化,https://www.industry4-0.com/,,
磁力传感器,物理传感器,MG-019,/dev/magnetic_field,中,数字,I2C,HTTP,自动驾驶系统,https://www.autonomousvehicles.com/,,
光谱传感器,化学传感器,SS-010,/dev/spectral,高,数字,I2C,MQTT,环境监测,https://www.tuya.com,,
气象传感器,物理传感器,WS-011,/dev/weather,中,数字,UART,HTTP,气象站,https://www.weather.com,,
导航传感器,物理传感器,NS-012,/dev/navigation,高,数字,SPI,CoAP,自动驾驶,https://www.autonomous.com,,
红外传感器,物理传感器,IR-013,/dev/infrared,中,数字,I2C,MQTT,智能家居,https://www.smarthome.com,,
振动传感器,物理传感器,VS-014,/dev/vibration,高,模拟,UART,HTTP,工业监控,https://www.iotnews.com,,
NFC传感器,无线传感器,NFC-015,/dev/nfc,中,数字,SPI,CoAP,移动设备,https://www.nfcforum.org,,
水质传感器,化学传感器,WS-016,/dev/waterquality,高,模拟,I2C,MQTT,水资源监测,https://www.waterquality.com,,
电流传感器,物理传感器,CS-017,/dev/current,中,数字,UART,HTTP,智能电网,https://www.smartgrid.com,,
图像传感器,视觉传感器,IS-018,/dev/image,高,数字,I2C,MQTT,监控系统,https://www.imaging.com,,
距阵传感器,物理传感器,AS-019,/dev/array,高,模拟,SPI,CoAP,地震监测,https://www.seismology.org,,
位置传感器,物理传感器,PS-010,/dev/location,高,数字,GPS,LoRa,车辆监控,https://www.geolocation.com,,
光照传感器,物理传感器,LS-011,/dev/light_sensor,中,数字,I2C,HTTP,农业监测,https://www.agriculture.org,,
震动传感器,物理传感器,VS-012,/dev/vibration,高,模拟,UART,MQTT,基础设施监控,https://www.infrastructure.com,,
水质传感器,化学传感器,WS-013,/dev/water_quality,高,数字,SPI,CoAP,水资源管理,https://www.waterquality.org,,
磁场传感器（改良版）,物理传感器,MS-014,/dev/magnetic_field,中,模拟,UART,Zigbee,城市导航,https://www.navigationtech.com,,
CO2传感器,化学传感器,CS-015,/dev/co2,高,数字,I2C,HTTP,室内空气质量监测,https://www.airquality.com,,
超声波传感器,物理传感器,US-016,/dev/ultrasonic,中,数字,PWM,LoRa,自动化系统,https://www.automationtech.com,,
烟雾传感器,化学传感器,SS-017,/dev/smoke,高,数字,UART,MQTT,安全监测,https://www.safety.com,,
红外传感器,物理传感器,IR-018,/dev/infrared,高,数字,I2C,HTTP,智能家居,https://www.smart-home.com,,
生命体征传感器,生物传感器,BS-019,/dev/vital_signs,高,模拟,SPI,CoAP,医疗监测,https://www.healthtech.com,,
紫外线传感器,物理传感器,UV-010,/dev/uv,高,数字,I2C,MQTT,环境监测,https://www.environmentalsensors.com,,
土壤湿度传感器,物理传感器,SM-011,/dev/soilmoisture,中,数字,SPI,CoAP,农业监测,http://www.agriculturetech.com,,
二氧化碳传感器,化学传感器,CO2-012,/dev/co2,高,数字,UART,HTTP,室内空气质量监测,https://www.indoorairquality.com,,
火焰传感器,化学传感器,FS-013,/dev/flame,中,模拟,I2C,MQTT,安全监测,http://www.safetytech.org,,
风速传感器,物理传感器,WS-014,/dev/windspeed,高,数字,SPI,CoAP,气象监测,https://www.weatherstats.com,,
水流传感器,物理传感器,FS-015,/dev/waterflow,中,模拟,UART,HTTP,城市水务管理,https://www.watermanagement.org,,
人脸识别传感器,生物传感器,FR-016,/dev/facerecognition,高,数字,I2C,MQTT,安全监控,https://www.facialrecognitiontech.com,,
位移传感器,物理传感器,DS-017,/dev/displacement,中,数字,SPI,CoAP,机械测量,http://www.measuringinstruments.com,,
电流传感器,物理传感器,CS-018,/dev/current,高,模拟,UART,HTTP,能源管理,https://www.energycontrol.com,,
电磁波传感器,物理传感器,EM-019,/dev/emwaves,中,数字,I2C,MQTT,环保监测,https://www.emwave-monitoring.com,,
噪音传感器,物理传感器,NS-010,/dev/noise,高,数字,I2C,MQTT,城市监控,https://www.citymonitor.com/,,
心率传感器,生物传感器,HR-011,/dev/heartRate,中,数字,BLE,HTTP,健康监测,https://www.healthtech.com/,,
土壤湿度传感器,物理传感器,SM-012,/dev/soilMoisture,高,模拟,SPI,CoAP,农业监控,https://www.agri-tech.com/,,
CO2传感器,化学传感器,CO-013,/dev/co2,中,数字,UART,HTTP,环境监测,https://www.environment.monitortech.com/,,
光谱传感器,物理传感器,SS-014,/dev/spectrum,高,数字,I2C,MQTT,农业研究,https://www.agri-spectra.com/,,
GPS传感器,定位传感器,GPS-015,/dev/gps,高,数字,NMEA,TCP,无人机监控,https://www.dronetech.com/,,
水质传感器,化学传感器,QS-016,/dev/waterQuality,中,模拟,UART,HTTP,水资源监测,https://www.hydrology.com/,,
辐射传感器,物理传感器,RS-017,/dev/radiation,高,数字,SPI,CoAP,核能安全监测,https://www.nuclearsafety.com/,,
触摸传感器,物理传感器,TS-018,/dev/touch,中,数字,I2C,MQTT,智能家居,https://www.smarthome.com/,,
电流传感器,物理传感器,CS-019,/dev/current,高,数字,SPI,CoAP,能源管理,https://www.energymanagement.com/,,
光纤温度传感器,物理传感器,OT-010,/dev/fiber_temp,高,数字,I2C,MQTT,远程监测,https://www.industrial-sensors.com,,
智能水位传感器,物理传感器,WL-011,/dev/water_level,中,数字,UART,HTTP,水文监测,https://www.waterinfo.com,,
红外线传感器,物理传感器,IR-012,/dev/ir_sensor,高,数字,SPI,CoAP,安保系统,http://www.securitytech.com,,
烟雾传感器,化学传感器,SM-013,/dev/smoke,中,模拟,I2C,MQTT,消防系统,https://www.fireinfo.com,,
电流传感器,物理传感器,CS-014,/dev/current,高,模拟,UART,HTTP,电网监测,https://www.energy-sensors.com,,
土壤湿度传感器,环境传感器,SM-015,/dev/soil_moisture,中,数字,I2C,MQTT,农业监测,https://www.agro-sensors.com,,
具有温度补偿的压力传感器,物理传感器,TC-016,/dev/comp_pressure,高,模拟,SPI,CoAP,气象监测,https://www.weather-sensors.com,,
多气体传感器,化学传感器,MG-017,/dev/multi_gas,中,数字,UART,HTTP,工业安全,https://www.gas-sensors.com,,
智能温湿度传感器,物理传感器,TH-018,/dev/temp_humidity,高,数字,I2C,MQTT,智能家居,https://www.smart-home.com,,
氧气传感器,化学传感器,O2-019,/dev/oxygen,高,模拟,SPI,CoAP,医疗应用,https://www.medical-sensors.com,,
噪声级传感器,物理传感器,NS-010,/dev/noise,中,数字,I2C,MQTT,城市监测,https://www.smartcities.gov,,
气象传感器,物理传感器,WS-011,/dev/weather,高,数字,SPI,CoAP,气象研究,https://www.weather.com,,
水质传感器,化学传感器,QS-012,/dev/waterquality,高,模拟,UART,HTTP,环境监测,https://www.eco.gov,,
雷达传感器,物理传感器,RD-013,/dev/radar,中,数字,I2C,MQTT,交通监控,https://www.trafficinfo.com,,
海洋传感器,物理传感器,OS-014,/dev/ocean,高,数字,SPI,CoAP,海洋监测,https://www.oceanworld.org,,
模块化传感器,物理传感器,MS-015,/dev/modular,中,数字,UART,HTTP,工业生产,https://www.industrynews.com,,
温室气体传感器,化学传感器,GH-016,/dev/ghg,高,模拟,I2C,MQTT,环境监测,https://www.climatechange.gov,,
水流传感器,物理传感器,FS-017,/dev/flow,中,数字,SPI,CoAP,农业监测,https://www.agriculturetech.com,,
人体红外传感器,物理传感器,IR-018,/dev/infrared,高,数字,UART,HTTP,安全监控,https://www.securitytech.com,,
光谱传感器,物理传感器,SP-019,/dev/spectrum,中,模拟,I2C,MQTT,研发机构,https://www.techresearch.gov,,
烟雾传感器,化学传感器,FS-010,/dev/smoke,高,数字,I2C,MQTT,消防安全,https://www.tuya.com/cn/safety-solutions.html,,
光照传感器,物理传感器,LS-011,/dev/light-sensor,中,数字,SPI,CoAP,农业监测,https://www.agriculture.com/sensors,,
二氧化碳传感器,化学传感器,CO2-012,/dev/co2,高,数字,UART,HTTP,室内空气质量监测,https://www.airquality.co.uk/,,
水位传感器,物理传感器,WL-013,/dev/water-level,中,模拟,I2C,MQTT,水资源管理,https://www.watermanagement.com,,
紫外线传感器,物理传感器,UV-014,/dev/uv,高,数字,SPI,CoAP,健康监测,https://www.healthline.com/health/uv-radiation,,
噪声传感器,物理传感器,NS-015,/dev/noise,中,数字,UART,HTTP,城市管理,https://www.citynoise.com/,,
心率传感器,生物传感器,HR-016,/dev/heart-rate,高,模拟,SPI,CoAP,健身追踪设备,https://www.fitness.com/heart-rate-monitor/,,
温室气体传感器,化学传感器,GHG-017,/dev/ghg,中,数字,I2C,MQTT,气候研究,https://www.climatechange.gov.au/,,
运动传感器,物理传感器,MS-018,/dev/motion,高,数字,UART,HTTP,安防系统,https://www.security.com/,,
土壤湿度传感器,物理传感器,SM-019,/dev/soil-moisture,中,模拟,SPI,CoAP,农业监测,https://www.aeration.com/soil-moisture/,,
土壤湿度传感器,物理传感器,SM-010,/dev/soil_moisture,高,数字,I2C,MQTT,农业监测,https://www.agriculture.com,,
光敏传感器,物理传感器,LS-011,/dev/photoresistor,中,模拟,UART,HTTP,智能家居,https://www.smart-home.com,,
运动传感器,物理传感器,MS-012,/dev/motion,高,数字,SPI,CoAP,安防系统,https://www.defense-system.com,,
震动传感器,物理传感器,VS-013,/dev/vibration,中,数字,I2C,MQTT,建筑监测,https://www.buildingtech.com,,
流量传感器,物理传感器,FS-014,/dev/flow,高,数字,UART,HTTP,水资源管理,https://www.water.gov,,
风速传感器,物理传感器,WS-015,/dev/wind_speed,中,模拟,SPI,CoAP,气象监测,https://www.weather.com,,
光谱传感器,化学传感器,SS-016,/dev/spectrum,高,数字,I2C,MQTT,环境监测,https://www.environmental-monitoring.com,,
氧气传感器,化学传感器,OS-017,/dev/oxygen,高,模拟,UART,HTTP,医疗设备,https://www.medicaldevices.com,,
蓝牙温度传感器,物理传感器,BT-018,/dev/bluetooth_temp,中,数字,Bluetooth,MQTT,智能家居,https://www.bluetooth.com,,
酒精传感器,化学传感器,AS-019,/dev/alcohol,中,模拟,UART,HTTP,汽车安全,https://www.traffic-safety.com,,
温湿度传感器,物理传感器,T-HS-010,/dev/temp_humidity,高,数字,I2C,MQTT,智能农业,https://www.agriculture.com/smart-farming,,
光照强度传感器,物理传感器,LS-011,/dev/light_intensity,中,数字,SPI,CoAP,室内植物监测,https://www.plantcare.com/sensor-tech,,
超声波传感器,物理传感器,US-012,/dev/ultrasonic,高,模拟,UART,HTTP,自动驾驶,http://www.autonomousvehicle.com/technology/sensors,,
二氧化碳传感器,化学传感器,CO2-013,/dev/co2,中,数字,I2C,MQTT,室内空气质量监测,https://www.environmentalmonitoring.com/air-quality,,
惯性测量单元,物理传感器,IMU-014,/dev/imu,高,数字,SPI,CoAP,机器人导航,https://www.robotics.com/navigation-sensors,,
生物识别传感器,生物传感器,BR-015,/dev/bio_recog,高,模拟,I2C,MQTT,安全监控,https://www.securitytech.com/biometrics,,
土壤湿度传感器,物理传感器,SM-016,/dev/soil_moisture,中,数字,UART,HTTP,农业灌溉,https://www.smartirrigation.com/soil-sensors,,
位置传感器,物理传感器,PS-017,/dev/location,高,数字,SPI,CoAP,智能交通,https://www.smarttraffic.com/sensors,,
热流传感器,物理传感器,HF-018,/dev/heatflux,高,数字,I2C,HTTP,能源监测,https://www.energytech.com/heat-sensors,,
土壤湿度传感器,物理传感器,SM-010,/dev/soilmoisture,高,数字,I2C,MQTT,农业监测,https://www.agriculture.com/,,
光谱传感器,物理传感器,SS-011,/dev/spectrum,中,数字,SPI,CoAP,环境监测,https://www.environmentalscience.org/,,
红外传感器,物理传感器,IR-012,/dev/infrared,高,模拟,UART,HTTP,安全监控,https://www.safetymonitoring.com/,,
水质传感器,化学传感器,WS-013,/dev/waterquality,中,数字,I2C,MQTT,水处理,https://www.waterworld.com/,,
挥发性有机物传感器,化学传感器,VOCs-014,/dev/vocs,高,模拟,SPI,CoAP,室内空气质量监测,https://www.indoorairquality.org/,,
光学传感器,物理传感器,OS-015,/dev/optic,中,数字,UART,HTTP,工业制造,https://www.industrialautomation.com/,,
心率监测传感器,生物传感器,HR-016,/dev/heartrate,高,数字,I2C,MQTT,医疗设备,https://www.medicaldevices.com/,,
网络湿度传感器,物理传感器,WHS-017,/dev/nethumidity,高,数字,SPI,CoAP,智慧城市,https://www.smartcities.gov/,,
无线温度传感器,物理传感器,WTS-018,/dev/wirelesstemp,中,数字,BLE,MQTT,家庭自动化,https://www.homeautomation.com/,,
水流传感器,物理传感器,FS-019,/dev/flow,高,数字,I2C,HTTP,液体运输,https://www.fluidtransport.com/,,
气温传感器,物理传感器,AT-010,/dev/ambient_temp,高,数字,I2C,MQTT,农业监测,https://www.agriculture.com/technology,,
PM2.5传感器,化学传感器,PM-011,/dev/pm25,中,数字,UART,HTTP,城市环境监测,https://www.urbanmonitoring.com/,,
光照强度传感器,物理传感器,LI-012,/dev/light_intensity,高,数字,SPI,CoAP,农业监测,https://www.agriculture.com/technology,,
土壤湿度传感器,物理传感器,SM-013,/dev/soil_moisture,高,数字,I2C,MQTT,智能农业,https://www.smartagriculture.com/,,
甲烷传感器,化学传感器,CH-014,/dev/methane,中,模拟,UART,HTTP,环境监测,https://www.environmentalmonitoring.com/,,
水位传感器,物理传感器,WL-015,/dev/water_level,高,数字,I2C,MQTT,水资源管理,https://www.watermanagement.org/,,
氧气传感器,化学传感器,O2-016,/dev/oxygen,中,模拟,SPI,CoAP,工业安全,https://www.industrysafety.com/,,
辐射传感器,物理传感器,RAD-017,/dev/radiation,高,数字,UART,HTTP,核设施监测,https://www.nuclearmonitoring.com/,,
心率传感器,生物传感器,HR-018,/dev/heart_rate,高,数字,I2C,MQTT,健康监测,https://www.healthmonitoring.com/,,
人体运动传感器,物理传感器,MOT-019,/dev/motion,高,数字,SPI,CoAP,智能安全,https://www.smartsafety.com/,,
土壤湿度传感器,物理传感器,SH-010,/dev/soil,高,数字,I2C,MQTT,农业监测,https://www.smartagriculture.com,,
振动传感器,物理传感器,VS-011,/dev/vibration,中,数字,UART,CoAP,建筑安全监测,https://www.buildsafety.com,,
水位传感器,物理传感器,WL-012,/dev/waterlevel,高,模拟,SPI,HTTP,水务管理,http://www.watermanagement.com,,
流量传感器,物理传感器,FL-013,/dev/flow,高,数字,I2C,MQTT,工业自动化,https://www.industryautomation.com,,
气象传感器,物理传感器,WX-014,/dev/weather,中,数字,UART,CoAP,公共气象服务,http://www.weather.gov,,
辐射传感器,物理传感器,RA-015,/dev/radiation,高,模拟,I2C,HTTP,环境监测,https://www.environmentmonitoring.com,,
尿液分析传感器,生物传感器,UA-016,/dev/urinalysis,中,数字,SPI,CoAP,医疗监测,https://www.medicalmonitoring.com,,
触觉传感器,物理传感器,TS-017,/dev/tactile,高,数字,UART,HTTP,机器人技术,http://www.robotics.com,,
频谱传感器,物理传感器,SP-018,/dev/spectrum,中,数字,I2C,MQTT,音频监测,https://www.audiomonitoring.com,,
便携式温度传感器,物理传感器,PT-019,/dev/portabletemp,高,数字,SPI,CoAP,应急救助,http://www.emergencyresponse.com,,
红外温度传感器,物理传感器,IRT-010,/dev/infrared_temp,高,数字,I2C,MQTT,智能制造,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,,
土壤湿度传感器,物理传感器,SM-011,/dev/soil_moisture,中,模拟,SPI,CoAP,农业监测,https://www.iot101.com,,
振动传感器,物理传感器,VS-012,/dev/vibration,中,数字,UART,HTTP,设备监控,https://www.news.cn/tech/,,
光谱传感器,化学传感器,SS-013,/dev/spectrum,高,模拟,I2C,MQTT,水质监测,https://www.tuya.com/cn/industry-details/Kan40tan9xc2d,,
电流传感器,物理传感器,CS-014,/dev/current,高,数字,SPI,CoAP,可再生能源,https://www.iot101.com/news,,
气压传感器,物理传感器,BP-015,/dev/pressure_sensor,中,数字,UART,HTTP,飞行器监测,http://www.news.cn/tech/,,
紫外线传感器,物理传感器,UVS-016,/dev/uv,中,模拟,I2C,MQTT,环境监测,https://www.tuya.com,,
心率传感器,生物传感器,HR-017,/dev/heart_rate,高,数字,SPI,CoAP,健康监测,https://www.iot101.com,,
速度传感器,物理传感器,SSP-018,/dev/speed,中,数字,UART,HTTP,物流监控,http://www.news.cn/tech/,,
水位传感器,物理传感器,WS-019,/dev/water_level,高,数字,I2C,MQTT,水资源管理,https://www.iot101.com/news,,
土壤湿度传感器,物理传感器,SM-010,/dev/soil_moisture,高,数字,I2C,MQTT,农业监测,https://www.agriculture.com/,,
气温传感器,物理传感器,AT-011,/dev/air_temp,中,数字,SPI,CoAP,气象监测,https://www.weather.gov/,,
光照强度传感器,物理传感器,LS-012,/dev/light_intensity,高,数字,UART,HTTP,绿色建筑,https://www.greenbuildingadvisor.com/,,
心率传感器,生物传感器,HR-013,/dev/heart_rate,高,数字,I2C,MQTT,健康监测,https://www.healthline.com/,,
水质传感器,化学传感器,QS-014,/dev/water_quality,中,模拟,SPI,CoAP,污水处理,https://www.epa.gov/,,
温湿度传感器,物理传感器,TH-015,/dev/temp_humidity,高,数字,I2C,MQTT,智能家居,https://www.tuya.com/,,
CO2传感器,化学传感器,CO2-016,/dev/co2,中,模拟,UART,HTTP,环境监测,https://www.epa.gov/air-research/,,
超声波传感器,物理传感器,US-017,/dev/ultrasonic,高,数字,I2C,MQTT,航空航天,https://www.nasa.gov/,,
电压传感器,物理传感器,VS-018,/dev/voltage,中,数字,SPI,CoAP,电力监控,https://www.energy.gov/,,
水流量传感器,物理传感器,WF-019,/dev/water_flow,高,数字,UART,HTTP,水资源管理,https://www.watersmart.com/,,
红外温度传感器,物理传感器,IR-010,/dev/ir_temp,高,数字,I2C,HTTP,医疗设备,https://www.medicaldevices.com,,
土壤湿度传感器,物理传感器,SM-011,/dev/soil_moisture,中,模拟,SPI,MQTT,农业监测,https://www.agrowatch.com,,
水质传感器,化学传感器,QS-012,/dev/water_quality,高,数字,UART,CoAP,环境监测,https://www.environment.gov,,
震动传感器,物理传感器,VS-013,/dev/vibration,高,数字,I2C,HTTP,建筑监测,https://www.buildingmonitor.com,,
光强传感器,物理传感器,LS-014,/dev/light_intensity,中,模拟,SPI,MQTT,农业监测,https://www.agriculturetech.com,,
氧气传感器,化学传感器,O2-015,/dev/oxygen,高,数字,UART,HTTP,呼吸监测,https://www.healthtech.com,,
电流传感器,物理传感器,CS-016,/dev/current,中,模拟,I2C,MQTT,能源监控,https://www.energytech.com,,
振动分析传感器,物理传感器,VIBR-017,/dev/vibration_analysis,高,数字,SPI,HTTP,制造业监测,https://www.manufacturinginsights.com,,
农作物健康传感器,生物传感器,CH-018,/dev/crop_health,高,数字,I2C,CoAP,农业监测,https://www.smartagriculture.com,,
旋转编码器,物理传感器,RE-019,/dev/rotary_encoder,中,数字,UART,MQTT,工业自动化,https://www.industryautomation.com,,
水质传感器,化学传感器,WS-010,/dev/water,中,数字,I2C,MQTT,水处理厂,https://www.watertech.com,,
电流传感器,物理传感器,CS-011,/dev/current,高,数字,SPI,HTTP,新能源发电,https://www.renewableenergyworld.com,,
运动传感器,物理传感器,MS-012,/dev/motion,中,数字,UART,CoAP,智能健身设备,https://www.fitness.com,,
空气质量传感器,化学传感器,AQ-013,/dev/airquality,高,模拟,I2C,MQTT,城市环境监测,https://www.airquality.com,,
光谱传感器,物理传感器,SS-014,/dev/spectrum,中,数字,SPI,HTTP,农业监测,https://www.agriculture.com,,
震动传感器,物理传感器,VS-015,/dev/vibration,高,数字,UART,CoAP,工业设备监测,https://www.industrialmonitoring.com,,
湿度温度传感器,物理传感器,HTS-016,/dev/htsensor,中,数字,I2C,MQTT,气候监测网络,https://www.climatenetwork.com,,
定位传感器,物理传感器,GPS-017,/dev/location,高,数字,UART,HTTP,无人驾驶技术,https://www.selfdrivingtech.com,,
光强传感器,物理传感器,LS-018,/dev/illum,中,模似,SPI,CoAP,城市照明控制,https://www.smartcitylighting.com,,
医用血糖传感器,生物传感器,BGS-019,/dev/bloodglucose,高,数字,I2C,MQTT,医疗设备监测,https://www.healthtech.com,,
土壤湿度传感器,物理传感器,SM-010,/dev/soilmoisture,中,数字,I2C,MQTT,农业监测,https://www.agriculture.com,,
心率传感器,生物传感器,HR-011,/dev/heart,高,数字,SPI,CoAP,健康监测,https://www.healthtech.com,,
烟雾传感器,化学传感器,FS-012,/dev/smoke,高,模拟,UART,HTTP,安全系统,https://www.safety.com,,
水流传感器,物理传感器,WS-013,/dev/waterflow,中,数字,I2C,MQTT,水资源监测,https://www.waterwatch.com,,
辐射传感器,物理传感器,RS-014,/dev/radiation,高,数字,SPI,CoAP,环境监测,https://www.environmentalmonitor.com,,
运动传感器,物理传感器,MS-015,/dev/motion,中,数字,I2C,MQTT,安全家居,https://www.smartsecurity.com,,
超声波传感器,物理传感器,US-016,/dev/ultrasonic,高,数字,UART,HTTP,机器人技术,https://www.robotics.com,,
生物气体传感器,化学传感器,BG-017,/dev/biogas,高,模拟,SPI,CoAP,可再生能源监测,https://www.renewables.com,,
距离传感器,物理传感器,DS-018,/dev/distance,中,数字,I2C,MQTT,自动化控制,https://www.automation.com,,
温室气体传感器,化学传感器,GH-019,/dev/greenhousegas,高,数字,UART,HTTP,气候变化监测,https://www.climate.com,,
超声波传感器,物理传感器,US-010,/dev/ultrasonic,中,数字,I2C,MQTT,智能农业,https://www.agtech.com,,
光照传感器,物理传感器,LS-011,/dev/illumination,高,数字,UART,HTTP,城市照明,https://www.lightingnews.com,,
水位传感器,物理传感器,WS-012,/dev/waterlevel,中,模拟,SPI,CoAP,水资源管理,https://www.watermanagement.com,,
电流传感器,物理传感器,CS-013,/dev/current,高,数字,I2C,MQTT,能源监测,https://www.energytechnologies.com,,
土壤湿度传感器,物理传感器,SM-014,/dev/soilmoisture,中,数字,UART,HTTP,农业监测,https://www.agriculturetech.com,,
风速传感器,物理传感器,WS-015,/dev/wind,高,数字,SPI,CoAP,气象监测,https://www.weathertech.com,,
位置传感器,物理传感器,PS-016,/dev/location,中,数字,I2C,MQTT,智能交通,https://www.transportationtech.com,,
流量传感器,物理传感器,FS-017,/dev/flow,高,数字,UART,HTTP,水管道监控,https://www.pipecontrol.com,,
辐射传感器,物理传感器,RS-018,/dev/radiation,高,模拟,SPI,CoAP,环境监测,https://www.environmentalmonitoring.com,,
智能门锁传感器,物理传感器,DL-019,/dev/doorlock,高,数字,I2C,MQTT,智能家居,https://www.smartlock.com,,
紫外线传感器,物理传感器,UV-010,/dev/uv,中,数字,I2C,MQTT,环境监测,https://www.environment.com/,,
土壤湿度传感器,物理传感器,SM-011,/dev/soil,高,数字,SPI,HTTP,农业监测,https://www.agtech.com/,,
振动传感器,物理传感器,VS-012,/dev/vibration,高,模拟,UART,CoAP,工业监控,https://www.industrialmonitoring.com/,,
CO2传感器,化学传感器,CO2-013,/dev/co2,中,数字,I2C,MQTT,室内环境监测,https://www.buildings.com/,,
水质传感器,化学传感器,WQ-014,/dev/water_quality,高,模拟,SPI,CoAP,水资源管理,https://www.waterresource.com/,,
心率传感器,生物传感器,HR-015,/dev/heart_rate,高,数字,UART,HTTP,医疗监测,https://www.healthtech.com/,,
环境光传感器,物理传感器,EL-016,/dev/env_light,中,数字,I2C,MQTT,智能家居,https://www.smarthome.com/,,
电流传感器,物理传感器,CS-017,/dev/current,高,模拟,SPI,CoAP,能源监控,https://www.energycontrol.com/,,
氧气传感器,化学传感器,O2-018,/dev/oxygen,中,数字,UART,HTTP,环境监测,https://www.environmental.com/,,
加速度计传感器,物理传感器,AC-019,/dev/accelerometer,高,数字,I2C,MQTT,移动设备,https://www.mobilesolutions.com/,,
流量传感器,物理传感器,FS-010,/dev/flow,高,数字,I2C,MQTT,城市用水监控,https://www.smartwater.com,,
酒精传感器,化学传感器,AS-011,/dev/alcohol,中,模拟,UART,HTTP,交通安全监控,https://www.traffic.gov,,
心率传感器,生物传感器,HR-012,/dev/heart_rate,高,数字,SPI,CoAP,可穿戴设备,https://www.wearabletech.com,,
光照传感器,物理传感器,LS-013,/dev/light_sensor,中,数字,I2C,MQTT,农业监测,https://www.agriculturetech.com,,
振动传感器,物理传感器,VS-014,/dev/vibration,高,数字,UART,HTTP,工业设备监控,https://www.industrynews.com,,
水质传感器,化学传感器,QS-015,/dev/water_quality,中,数字,SPI,CoAP,水源监控,https://www.environmentalmonitor.com,,
辐射传感器,物理传感器,RS-016,/dev/radiation,高,模拟,I2C,MQTT,核能监测,https://www.nuclearnews.com,,
气压传感器,物理传感器,PS-017,/dev/pressure_sensor,中,数字,UART,HTTP,气象监测,https://www.weathertech.com,,
氧气传感器,化学传感器,OS-018,/dev/oxygen,高,模拟,SPI,CoAP,医疗监测,https://www.medicaldevices.com,,
气候传感器,物理传感器,CS-010,/dev/climate,高,数字,I2C,MQTT,气候研究,https://www.climate.com,,
风速传感器,物理传感器,WS-011,/dev/wind,中,数字,SPI,CoAP,气象监测,https://www.weather.com,,
距离传感器,物理传感器,DS-012,/dev/distance,高,数字,UART,HTTP,智能交通,https://www.smarttraffic.com,,
气压传感器,物理传感器,PS-013,/dev/barometric,中,模拟,I2C,MQTT,航空气象,https://www.aerospace.com,,
水质传感器,化学传感器,QS-014,/dev/water_quality,高,数字,SPI,CoAP,环境监测,https://www.waterquality.com,,
土壤湿度传感器,物理传感器,SM-015,/dev/soil_moisture,中,模拟,UART,HTTP,农业监测,https://www.agriculture.com,,
生理监测传感器,生物传感器,BM-016,/dev/physiol,高,模拟,SPI,CoAP,医疗健康,https://www.healthcare.com,,
盐度传感器,化学传感器,SS-017,/dev/salinity,高,数字,I2C,MQTT,水质研究,https://www.saltwater.com,,
便携式气体传感器,化学传感器,PGS-018,/dev/portable_gas,中,数字,UART,HTTP,个人安全,https://www.safety.com,,
网络摄像头传感器,物理传感器,NC-019,/dev/network_camera,高,数字,I2C,MQTT,视频监控,https://www.videosecurity.com,,
土壤湿度传感器,物理传感器,SM-010,/dev/soilmoisture,高,数字,I2C,MQTT,农业监测,https://www.agriculture.com,,
光谱传感器,光学传感器,SS-011,/dev/spectrometer,中,数字,UART,HTTP,农业研究,https://www.sciencedirect.com,,
水质传感器,化学传感器,QS-012,/dev/waterquality,高,模拟,SPI,CoAP,环境监测,https://www.environmentalmonitoring.com,,
震动传感器,物理传感器,VS-013,/dev/vibration,中,数字,I2C,MQTT,工业监控,https://www.industrynews.com,,
超声波传感器,物理传感器,US-014,/dev/ultrasonic,高,数字,UART,HTTP,自动驾驶,https://www.automotiveengineering.com,,
脑电传感器,生物传感器,ES-015,/dev/eeg,高,模拟,SPI,CoAP,医疗监测,https://www.medicaldevices.com,,
运动传感器,物理传感器,MS-016,/dev/movement,中,数字,I2C,MQTT,智能家居,https://www.smart-home.com,,
泄漏检测传感器,化学传感器,LD-017,/dev/leak,高,数字,UART,HTTP,安全监测,https://www.safetytech.com,,
红外传感器,物理传感器,IR-018,/dev/infrared,中,数字,SPI,CoAP,智能家居,https://www.homeautomation.com,,
气象监测传感器,物理传感器,WM-019,/dev/weather,高,模拟,I2C,MQTT,气象台,https://www.weather.com,,
紫外线传感器,物理传感器,UV-010,/dev/uv,高,数字,I2C,MQTT,环境监测,https://www.tuya.com/,,
烟雾传感器,化学传感器,SS-011,/dev/smoke,中,数字,SPI,HTTP,火灾预警系统,https://www.iotworld.com/,,
光谱传感器,物理传感器,SP-012,/dev/spectrum,高,数字,UART,CoAP,农业监测,https://www.agriculturetech.com/,,
土壤湿度传感器,物理传感器,SM-013,/dev/soilmoisture,中,数字,I2C,MQTT,农田管理,https://www.agriinnovation.com/,,
心率传感器,生物传感器,HR-014,/dev/heartrate,高,数字,SPI,HTTP,健康监测,https://www.healthtech.com/,,
电流传感器,物理传感器,CS-015,/dev/current,中,模拟,UART,MQTT,能源管理,https://www.energytech.com/,,
