零部件名称,生产企业,生产所属地,供给情况,采集来源,来源链接,采集时间,备注
排气系统,博世环境技术有限公司,德国,供给稳定,欧洲汽车工业协会,https://www.acea.auto,,
抬头显示器,广汽集团,广州市,供给稳定,汽车技术与市场研究,http://www.gacgroup.com,,
车身控制模块,特斯拉汽车制造有限公司,上海,供给紧张,电动车产业分析报告,https://www.tesla.com,,
轮胎,米其林公司,法国,供给紧张,国际轮胎工业协会,https://www.michelin.com,,
传感器,惠普科技有限公司,美国,供给稳定,国际传感器及检测设备协会,https://www.hpe.com,,
风扇,日立电机有限公司,日本,供给良好,日本电器工业会,https://www.hitachi.com,,
车载音响系统,华为技术有限公司,广东省深圳,供给丰富,中国消费电子市场报告,https://www.huawei.com,,
空调压缩机,大金工业株式会社,日本,供给稳定,日本空调设备复苏报告,https://www.daikin.com,,
汽油发动机,上汽集团,上海,供给缓解,中国汽车市场动态,http://www.sgmw.com,,
LED灯组,三菱电机株式会社,日本,供给稳定,日本照明行业协会,https://www.mitsubishielectric.com,,
高压油泵,潍坊东风涡轮增压器有限公司,山东省潍坊,供给紧张,中国汽车部件供应链协会,http://www.cia.org.cn,,
电动转向机,法雷奥汽车系统有限公司,杭州,供给稳定,华东汽车工业协会,http://www.eastcar.org.cn,,
车载导航仪,博世汽车技术（中国）有限公司,上海,供给良好,中国智能交通协会,http://www.chinatia.org.cn,,
汽车空调压缩机,大金空调（中国）有限公司,广州,供给紧张,全球制冷行业协会,http://www.icar.org.cn,,
轮胎,米其林（中国）投资有限公司,沈阳,供给稳定,中国汽车零部件产业营运报告,http://www.michelin.com,,
智能后视镜,长安汽车股份有限公司,重庆,供给提升,中国电子技术协会,http://www.cetia.org,,
汽车车身电子控制单元,大陆集团汽车电子有限公司,北京,供给良好,电子科技大学前沿技术研究中心,http://www.eud.edu.cn,,
动力系统控制单元,奇瑞汽车股份有限公司,芜湖,供给紧张,中国汽车工程学会,http://www.cae.org.cn,,
电池管理系统,宁德时代新能源科技股份有限公司,宁德,供给稳定,新能源产业发展前景报告,https://www.catl.com,,
合成纤维隔音材料,三菱化学（中国）有限公司,上海,供给缓解,汽车隔音材料研究所,http://www.mitsubishi-chemical.com,,
电动助力转向系统,力士乐（中国）有限公司,苏州,供给稳健,中国机电产品流通协会,http://www.cmita.org,,
激光雷达,禾赛科技,北京,供给提升,中国自动驾驶产业发展报告,https://www.heisai.com,,
汽车安全气囊,高田汽车部件（中国）有限公司,青岛,供给稳定,国际汽车安全协会,http://www.iaai.org,,
变速箱控制模块,松下电器（中国）有限公司,南京,供给良好,全球电车产业发展论坛,http://www.panasonic.com,,
燃料电池堆,氢能科技股份有限公司,广州,供给慢速恢复,中国氢能产业发展白皮书,http://www.hydrogen.org.cn,,
汽车轮毂,宝钢集团汽车部件有限公司,宝山,供给良好,中国冶金工业协会,http://www.chinametals.org,,
多媒体控制系统,华为技术有限公司,深圳,供给稳定,国家互联网信息办公室,http://www.huawei.com,,
车轮胎,南都轮胎股份有限公司,成都,供给紧张,国际轮胎标准化协会,http://www.iita.org.cn,,
车用LED灯,菲尼克斯电气（中国）有限公司,武汉,供给缓解,汽车照明技术发展论坛,http://www.phoenixcontact.cn,,
电动车充电桩,特来电科技有限公司,上海,供给紧张,新能源汽车发展研究中心,http://www.ev-research.cn,,
机床刀具,瑞士工业刀具公司,瑞士,供给稳定,全球制造业协会,https://www.globalmanufacturing.org,,
液压缸,斐斯曼液压股份有限公司,浙江省温州,供给优化中,中国液压行业协会,http://www.china-hydraulic.org.cn,,
电动转向系统,大陆集团,德国,稳定供给,全球汽车电子协会,https://www.globalautoelectronics.org,,
传感器,西门子（中国）有限公司,北京,供给良好,中国自动化协会,http://www.china-automation.org,,
电驱动系统,比亚迪股份有限公司,广东省深圳,供给稳定,中国电动车产业发展报告,https://www.byd.com,,
轮胎压力监测系统,征途科技有限公司,江苏省苏州,供给紧张,国际轮胎研究协会,http://www.tire-research.org,,
内饰材料,华东塑料研究所,江苏省常州,供给稳定,中国汽车内饰材料协会,http://www.cama.org.cn,,
主动安全系统,博世汽车安全科技有限公司,德国,供给稳定,国际汽车安全工程研究所,https://www.bosch.com,,
冷却系统,美的集团,广东省佛山,供给良好,中国家电协会,http://www.chea.org.cn,,
支架,德龙机械制造有限公司,河南省郑州,供给缓解,中国制造业发展蓝皮书,http://www.cmda.org.cn,,
发动机控制单元,吉利汽车集团,浙江省杭州,供给紧张,中国汽车工程学会,http://www.cae.org.cn,,
车载导航系统,华为技术有限公司,深圳,供给稳定,中国汽车电子协会,https://www.huawei.com,,
成型工具,蔡司光学仪器公司,德国,供给良好,国际光学协会,https://www.zeiss.com,,
电池管理系统,宁德新能源科技有限公司,宁德,供给优化,中国新能源汽车产业发展报告,https://www.catl.com,,
空气悬架系统,迈凯伦集团,英国,供给良好,国际汽车悬挂系统协会,https://www.mclaren.com,,
激光雷达传感器,禾赛科技,上海,供给紧张,中国激光技术协会,http://www.laser.org.cn,,
汽车防撞系统,华科冶金科技,湖南省长沙,供给缓解,中国交通安全协会,http://www.ctsa.org.cn,,
电动机,特斯拉上海新能源有限公司,上海市,供给稳定,新能源汽车产业创新报告,https://www.tesla.com,,
液压泵,江苏康明斯重型机械有限公司,江苏省徐州,供给良好,中国机械工业联合会,http://www.cmif.org.cn,,
电子控制单元,德尔福汽车系统有限公司,广州,供给紧张,汽车电子技术协会,https://www.delphi.com,,
驱动电机,比亚迪股份有限公司,广东省深圳,供给稳定,比亚迪官网,https://www.byd.com,,
制动系统,大陆集团,德国法兰克福,供给良好,国际汽车零部件报告,https://www.continental.com,,
车载导航系统,高通公司,美国加州,供给稳定,全球智能科技公司研究,https://www.qualcomm.com,,
再生制动系统,博世安全系统有限公司,德国,供给稳定,欧洲汽车安全协会,https://www.bosch.com,,
燃料电池,丰田汽车公司,日本东京,供给良好,丰田未来汽车技术报告,https://www.toyota-global.com,,
变频器,西门子有限公司,德国慕尼黑,供给缓解,全球工业技术发展报告,https://www.siemens.com,,
氧传感器,天能集团股份有限公司,浙江省宁波,供给稳定,中国汽车零部件行业分析,http://www.tianeng.com,,
后视镜,万向集团有限公司,浙江省温州,供给良好,中国汽车市场监测,http://www.wanxiang.com,,
气囊系统,卓普科技有限公司,天津市,供给紧张,中国交通安全研究中心,http://www.zhuoputech.com,,
汽车音响系统,北京华为技术有限公司,北京,供给良好,汽车影音技术展,https://www.huawei.com,,
空调压缩机,南方空调设备有限公司,广东省佛山,供给稳定,中国空调行业协会,http://www.nf-ac.com,,
轮毂,阿里巴巴金属制品有限公司,江苏省南京,供给稳定,中国轮胎及轮毂协会,https://www.alibaba.com,,
喷油嘴,长安汽车股份有限公司,重庆市,供给良好,中国汽车零部件与工艺研究,https://www.changan.com,,
电池管理系统,万向动力有限公司,江西省南昌,供给缓解,氢能与锂电池产业发展论坛,http://www.wanxiang.com,,
主动悬挂系统,梅赛德斯-奔驰有限公司,德国斯图加特,供给稳定,德国豪华汽车协会,https://www.mercedes-benz.com,,
电动助力转向系统,浙江万丰奥特集团股份有限公司,浙江省温州,供给紧张,中国汽车电子行业协会,http://www.autoelec.org.cn,,
锂离子电池组,比亚迪股份有限公司,广东省深圳,供给稳定,比亚迪新能源产业报告,https://www.byd.com,,
高压油泵,河北盛达泵业有限公司,河北省沧州,供给良好,中国机械工业联合会,http://www.cmif.org.cn,,
电动压缩机,松下电器（中国）有限公司,上海,供给稳定,松下电器官网,https://www.panasonic.com,,
氢燃料电池,广东能源集团公司,广东省广州,供给放缓,清洁能源发展观察,http://www.cleanenergy.org.cn,,
转向齿条,汽车配件有限公司,江苏省南京,供给稳定,车辆制造业动态,http://www.vehicledynamics.org,,
先进材料复合材料,南京新材料科技有限公司,江苏省南京,供给良好,中国材料研究学会,http://www.cams.org.cn,,
变速箱控制单元,博世（中国）公司,上海,供给稳定,博世官方新闻,https://www.bosch.com.cn,,
动态稳定性控制系统,长安汽车股份有限公司,重庆,供给紧张,长安汽车年度报告,http://www.changan.com.cn,,
高效空气压缩机,阿特拉斯•科普柯公司,瑞典,供给良好,国际压缩机协会,https://www.atlascopco.com,,
导航系统,高德软件有限公司,北京,供给稳定,高德官方数据发布,https://www.amap.com,,
油气分离器,威尔逊科技（中国）有限公司,广东省东莞,供给紧张,汽配市场观察,http://www.autoparts.com.cn,,
智能座椅系统,丰田汽车（中国）有限公司,天津,供给稳定,丰田公司新闻,https://www.toyota.com.cn,,
发动机控制单元,华为技术有限公司,广东省深圳,供给缓解,华为汽车解决方案,https://www.huawei.com,,
自动停车系统,小鹏汽车有限公司,广东省广州,供给良好,小鹏汽车年度报告,https://www.xiaopeng.com,,
涡轮增压柴油机,江淮汽车股份有限公司,安徽省合肥,供给稳定,江淮汽车行业报告,http://www.jac.com.cn,,
无线充电模块,天能电池集团有限公司,浙江省杭州,供给渐增,电池及新能源产业研究,http://www.tianeng.com,,
胎压监测系统,米其林（中国）投资有限公司,上海,供给紧张,国际轮胎制造商协会,https://www.michelin.com,,
智能动力系统,宁德时代新能源科技股份有限公司,福建省宁德,供给稳定,新能源技术发展报告,https://www.catl.com,,
电动机,伟创力科技有限公司,深圳,供给充足,中国电力行业协会,http://www.ceea.org.cn,,
车身结构件,长安汽车股份有限公司,重庆,供给稳定,中国汽车工程学会,https://www.cae.cn,,
空气压缩机,采埃孚集团,德国,供给良好,国际机械工程师协会,https://www.asme.org,,
锂电池管理系统,比亚迪股份有限公司,深圳,供给充足,新能源汽车发展报告,https://www.byd.com,,
悬挂系统,福特汽车公司,美国,供给紧张,美国汽车协会,https://www.aaa.com,,
刹车系统,奥迪汽车公司,德国,供给稳定,欧洲汽车工业协会,https://www.acea.auto,,
智能导航系统,华为技术有限公司,武汉,供给良好,中国通信工业协会,https://www.huawei.com,,
电控单元,吉利汽车,杭州,供给稳定,中国汽车调研中心,https://www.geely.com,,
车载音响,博世汽车事业部,上海,供给良好,国际音响技术协会,https://www.bosch.com,,
涡轮增压系统,德尔福科技公司,美国,供给缓解,北美汽车工程师协会,https://www.delphi.com,,
电池组,宁德时代新能源科技股份有限公司,宁德,供给稳定,中国锂电池行业观察,https://www.catl.com,,
燃料电池,丰田汽车公司,日本,供给增大,国际汽车协会,https://www.toyota-global.com,,
动力转向系统,麦格纳国际公司,加拿大,供给良好,全球汽车供应链协会,https://www.magna.com,,
车载充电器,特斯拉，Inc.,美国,供给稳定,美国能源信息署,https://www.tesla.com,,
减震器,KYB株式会社会社,日本,供给紧张,亚洲汽车零部件协会,https://www.kyb.co.jp,,
车载无线充电系统,小米科技有限公司,北京,供给稳定,中国无线充电技术协会,https://www.mi.com,,
行车记录仪,360科技集团,杭州,供给充足,智能汽车技术论坛,https://www.360.cn,,
电子稳定程序,霍尼韦尔国际公司,美国,供给良好,美国汽车电子协会,https://www.honeywell.com,,
LED车灯,飞利浦照明,荷兰,供给稳定,国际照明工程学会,https://www.philips.com,,
再生制动系统,吉利汽车控股有限公司,浙江省杭州市,供给稳定,中国汽车工业协会,https://www.caam.org.cn,,
车载智能充电器,宇通客车股份有限公司,河南省郑州市,供给紧张,新能源汽车市场研究报告,https://www.yutong.com,,
高压泵,博世汽车部件（中国）有限公司,上海,供给良好,德国汽车工业协会,https://www.bosch.com,,
电动助力转向器,曼士德科技有限公司,天津,供给稳定,新能源汽车行业动态,https://www.mando.com,,
发动机控制单元,华为技术有限公司,深圳,供给稳定,中国智能汽车研究报告,https://www.huawei.com,,
空气悬挂系统,爱信精机株式会社,日本,供给良好,国际汽车供应链分析,https://www.aisin.com,,
超声波传感器,瑞萨电子（中国）有限公司,南京,供给紧张,半导体行业动态,https://www.renesas.com,,
液冷系统,宁德时代新能源科技股份有限公司,宁德,供给稳定,新能源产业发展报告,https://www.catl.com,,
第三代半导体元件,中兴通讯股份有限公司,深圳,供给良好,中国半导体产业报告,https://www.zte.com.cn,,
电动机,中车株洲电力机车研究所,株洲,供给稳定,电动机制造及应用研究,http://www.crrcgc.cc,,
涡轮增压发动机,长城汽车股份有限公司,保定,供给缓解,汽车产业分析报告,https://www.gwm.com.cn,,
冷却液泵,汕头东风汽车制造有限公司,汕头,供给稳定,中国汽车零部件行业年鉴,http://www.dfmc.com.cn,,
熔融金属打印部件,西安航空学院,西安,供给稳定,航空航天技术期刊,http://www.xaau.edu.cn,,
电池管理系统,小鹏汽车科技有限公司,广州,供给良好,新能源汽车行业新闻,https://www.xiaopeng.com,,
铝合金车身板,南方铝业股份有限公司,广西南宁,供给紧张,铝业市场供需分析,http://www.southaluminium.com,,
电池冷却系统,比亚迪股份有限公司,深圳,供给良好,新能源汽车市场动态,http://www.byd.com,,
激光雷达,Vista科技公司,"硅谷, 美国",供给稳定,自动驾驶技术周刊,https://www.vista.com,,
车载导航系统,东风汽车公司,武汉,供给缓解,智能汽车行业调研报告,http://www.dongfeng.com,,
轮胎流量监控系统,金属材料研究所,广州,供给稳定,汽车安全技术研究,http://www.materials-research.com,,
车载导航系统,华为技术有限公司,深圳,供给良好,中国信息通信研究院,http://www.ciot.gov.cn,,
液压泵,沈阳机床股份有限公司,沈阳,供给稳定,中国机械工业联合会,http://www.cmif.org.cn,,
电动助力转向器,延锋汽车饰件系统有限公司,上海,供给持续,全球汽车产业观察,http://www.globalautoobserver.com,,
锂电池管理系统,比亚迪股份有限公司,深圳,供给紧张,新能源市场分析报告,https://www.byd.com,,
发动机电脑控制单元,松下电器（中国）有限公司,无锡,供给良好,电子科技杂志,http://www.electronicsjournal.cn,,
涡轮增压器,博世集团,德国,供给稳定,国际发动机研究协会,https://www.bosch.com,,
激光熔化打印头,3D Systems公司,美国,供给缓解,全球增材制造报告,https://www.3dsystems.com,,
电动机,西门子（中国）有限公司,北京,供给稳定,工业自动化研究论坛,https://www.siemens.com.cn,,
无线充电模块,小米科技有限公司,北京,供给紧张,消费电子协会,http://www.mi.com,,
安全气囊控制单元,德尔福汽车系统有限公司,长春,供给稳定,中国汽车安全协会,http://www.delphi.com.cn,,
柴油机,潍柴动力股份有限公司,潍坊,供给良好,中国柴油机行业协会,http://www.weichai.com,,
电池模块,宁德时代新能源科技股份有限公司,宁德,供给稳定,电池技术发展论坛,https://www.catl.com,,
液体冷却系统,江淮汽车股份有限公司,合肥,供给缓解,汽车空调技术协会,http://www.jac.com.cn,,
电源管理IC,瑞萨电子公司,日本,供给稳定,全球半导体技术协会,http://www.renesas.com,,
车身电子控制单元,华为技术有限公司,深圳,供给良好,智能汽车创新论坛,http://www.huawei.com,,
混合动力系统,吉利汽车集团,杭州,供给稳定,中国科技进步研究协会,http://www.geely.com,,
变速器,爱信精机株式会社,日本,供给缓解,国际汽车零部件交易会,http://www.aisin.com,,
碳纤维车身部件,阿尔特斯材料科技有限公司,德国,供给稳定,全球材料科学大会,http://www.altex.com,,
车载音响系统,先锋电子有限公司,日本,供给稳定,消费电子市场报告,http://www.pioneer.com,,
电动助力转向系统,电动车科技有限公司,江苏省南京,供给稳定,中国电动车产业协会,http://www.evca.org.cn,,
多连杆悬架,万里扬汽车部件有限公司,广东省东莞,供给良好,中国汽车工程学会,https://www.cae.org.cn,,
燃料电池,博世氢能科技公司,美国加州,供给紧张,国际能源署,https://www.iea.org,,
电子稳定控制系统,北京汽车电子有限公司,北京,供给稳定,中国汽车电子行业协会,http://www.caec.org.cn,,
车载导航系统,华为技术有限公司,深圳,供给良好,行业分析报告,https://www.huawei.com,,
铝合金车身,东风汽车股份有限公司,湖北省武汉,供给缓解,中国铝业协会,http://www.chalco.com.cn,,
照明系统,飞利浦灯光科技公司,荷兰,供给稳定,国际照明委员会,https://www.lightcom.org,,
电池管理系统,宁德时代新能源科技股份有限公司,宁德,供给良好,新能源汽车市场报告,https://www.catl.com,,
高压油泵,三一重工有限公司,湖南省长沙,供给紧张,中国机械工业联合会,http://www.mei.org.cn,,
全景摄像头,小米科技有限公司,北京,供给良好,电子消费品行业报告,https://www.xiaomi.com,,
车载音响系统,哈曼国际集团,德国,稳定供给,汽配行业协会,https://www.harman.com,,
智能钥匙系统,思迈达科技有限公司,上海,供给稳定,汽车智能化趋势报告,http://www.smaida.com,,
悬挂系统,福特汽车公司,美国密歇根州,供给稳定,全球汽车行业信息中心,https://www.ford.com,,
拉杆摆臂,伟巴斯特汽车配件有限公司,德国,供给良好,国际车零部件供应商协会,https://www.wabco.com,,
车用空调 Compressor,松下电器公司,日本,稳步供给,全球电器行业动态,https://www.panasonic.com,,
后视镜,流明汽车工业有限公司,湖北省荆州,供给稳定,中国汽车后市场研究报告,http://www.autobrain.com,,
制动盘,宁波欣展汽车配件有限公司,浙江省宁波,供给良好,汽车配件行业调查,http://www.nba.com,,
节气门,万里扬科技公司,云南省昆明,供给缓解,中国汽车技术协会,http://www.cata.org.cn,,
动力传动系统,海马汽车有限公司,福建省福州,供给稳定,中国汽车行业趋势分析,http://www.haima.com,,
中心控制系统,蚌埠汽车零部件有限公司,安徽省蚌埠,供给稳定,中国智能汽车联合会,http://www.cia.org.cn,,
电动助力转向系统,吉林汽配有限公司,吉林省长春,供给充足,中国汽车零部件产业联盟,http://www.capa.org.cn,,
电池管理系统,比亚迪股份有限公司,广东省深圳,供给稳定,中国电池协会,http://www.cba.org.cn,,
发动机控制单元,意大利法拉利汽车公司,意大利马拉内罗,供给正常,国际汽车电气与电子工程师协会,https://www.iedea.org,,
刹车片,东风汽车零部件有限公司,湖北省武汉,供给缓解,中国制动器行业协会,http://www.chinabrake.org.cn,,
电动机,华为技术有限公司,广东省深圳,供给不足,新能源技术发展报告,https://www.huawei.com,,
涡轮增压器,美驰汽车部件公司,上海,供给良好,汽车工程学会,https://www.sae.org,,
传感器融合模块,英特尔公司,美国加州,供给稳定,国际半导体行业协会,https://www.semiconductors.org,,
变速箱控制器,奥迪股份有限公司,德国因戈尔施塔特,供给良好,德国汽车工业协会,https://www.vda.de,,
动力模块,浙江奔驰汽车有限公司,浙江省杭州,供给正常,汽车动力系统技术委员会,https://www.engineering.org.cn,,
空气悬挂系统,气动系统发展有限公司,江苏省苏州,供给稳定,中国机械工业联合会,http://www.cmif.org.cn,,
车窗玻璃,圣戈班玻璃公司,法国,供给充足,国际玻璃协会,https://www.glassonline.com,,
零部件加工机,沈阳机床股份有限公司,辽宁省沈阳,供给良好,中国机床工具协会,http://www.cmta.org.cn,,
冷却液,壳牌石油公司,荷兰,供给充足,国际油气与化学品协会,https://www.shell.com,,
点火系统,博世集团,德国,供给稳定,德国汽车工业协会,https://www.bosch.com,,
行车记录仪,亿维科技公司,广东省广州,供给紧张,中国汽车电子行业协会,http://www.caea.org.cn,,
动力转向泵,广汽集团,广东省广州市,供给良好,中国汽车工业协会,https://www.caam.org.cn,,
传动系统,美国通用汽车公司,美国底特律,供给稳定,国际汽车工程师协会,https://www.sae.org,,
氢燃料电池,丰田汽车公司,日本爱知县,供给充足,日本汽车工业协会,http://www.jama.or.jp,,
电动机,海电科技股份有限公司,广东省深圳,供给良好,中国电气设备工业协会,http://www.ceeia.org.cn,,
冷却系统,威尔法汽车部件有限公司,安徽省合肥,供给稳定,汽车散热技术研究中心,https://www.autoradiator.com,,
制动系统,日立汽车系统有限公司,日本东京,供给紧张,国际汽车零部件供应商协会,https://www.jaia-jp.org,,
液压泵,中航工业液压装备有限公司,湖南省长沙,供给稳定,航空航天工业协会,http://www.casic.com.cn,,
车载GPS,北京航天智控股份有限公司,北京,供应充足,中国导航产业发展报告,https://www.cnv.org.cn,,
轮胎,米其林集团,法国克莱蒙,供给稳中有升,国际轮胎工业协会,https://www.michelin.com,,
发动机控制单元,意大利邦奇汽车电子公司,意大利博洛尼亚,供给稳定,全球汽车电子行业指南,https://www.bosch.com,,
挡风玻璃,福耀玻璃工业集团有限公司,湖北省黄石,供给充足,中国玻璃与水泥工业协会,http://www.fuyaogroup.com,,
铝合金车轮,雅马哈汽车铝业有限公司,山东省临沂,供给紧张,铝合金行业发展研究报告,http://www.yamaha.com,,
车载音响系统,松下电器产业公司,日本大阪,供给稳定,汽车电子产业发展报告,https://www.panasonic.com,,
燃料电池,东风汽车公司,湖北省武汉,供给良好,燃料电池产业分析月刊,http://www.dongfeng.com.cn,,
变速器控制器,大金重工株式会社,日本东京,供给稳定,全球汽车技术协会,http://www.daikin.com,,
引擎冷却液,美孚润滑油公司,美国德克萨斯州,供给稳定,全球润滑油市场动态,https://www.exxonmobil.com,,
智能后视镜,华为技术有限公司,广东省深圳,供给缓解,智能汽车产业发展报告,https://www.huawei.com,,
制动助力器,西门子汽车部件公司,德国慕尼黑,供应充足,欧洲汽车工业协会,https://www.siemens.com,,
照明系统,飞利浦照明部,荷兰阿姆斯特丹,供给稳定,全球照明产业协会,https://www.philips.com,,
传感器网络,高通公司,美国加州,供给紧张,科技与汽车行业发展报告,https://www.qualcomm.com,,
动力总成,长安汽车股份有限公司,重庆市,供给稳定,中国汽车产业发展年鉴,https://www.changan.com.cn,,
电子控制单元,华为技术有限公司,深圳,供给稳定,中国电子信息产业发展报告,https://www.miit.gov.cn,,
激光雷达,优必选科技,广州,供给良好,中国自动驾驶技术协会,http://www.autodrive.org.cn,,
动力转向系统,富维集团,无锡,供应紧张,中国汽车零部件协会,https://www.cpca.org.cn,,
空气压缩机,气动科技有限公司,宁波,供给充足,行业技术更新报告,http://www.techreport.com,,
车载音响系统,海信集团,青岛,供给稳定,中国音响产业发展动态,https://www.hisense.com,,
高压油泵,内燃机研究所,北京,供给良好,中国机械工程学会,http://www.cme.org.cn,,
导向轮,上汽集团,上海,供给紧张,上汽集团年报,https://www.saicmotor.com,,
电动机,博世电动汽车系统,德国,供给稳定,欧洲汽车制造商协会,https://www.acea.auto,,
车身结构件,长安汽车股份有限公司,西安,供给充足,长安汽车发布会,https://www.changan.com.cn,,
后视镜,电装公司,日本,供给稳定,国际汽车配件展览会,http://www.denso.com,,
制动器,阿基特集团,美国,供给良好,美国汽车工程师协会,https://www.sae.org,,
离合器,力士乐集团,德国,供给稳定,德国机械与工程协会,https://www.vdma.org,,
座椅系统,万里扬集团,南京,供给良好,中国汽车座椅行业报告,http://www.chinaseat.com,,
电池管理系统,宁德时代科技有限公司,宁德,供给缓解,新能源技术发展论坛,https://www.catl.com,,
散热器,均胜电子,杭州,供给稳定,中国汽车零部件市场分析,http://www.junsheng.com,,
仪表盘,亨利集团,新加坡,供给良好,国际汽车电子行业协会,https://www.iaei.org,,
油气分离器,中石化集团,北京,供给充足,中国石油化工年报,http://www.sinopec.com,,
变速箱,东风汽车公司,武汉,供给稳定,中国汽车工业协会,https://www.caam.org.cn,,
转向机,哈曼国际,美国,供给良好,全球汽车工程创新大会,https://www.harman.com,,
电动助力转向系统,德尔福科技公司,广州,供给稳定,中国汽车零部件供应链报告,https://www.delphi.com,,
制动液,佛山博世汽车电子有限公司,广东省佛山,供给良好,中国汽车服务网,https://www.bosch.com,,
车身控制模块,华为技术有限公司,深圳,供给缓解,汽车电子行业分析报告,https://www.huawei.com,,
车载导航系统,博世汽车系统股份公司,天津,稳定供给,汽车智能化发展研究所,https://www.bosch.com,,
空气压缩机,霍尼韦尔国际公司,上海,供给稳定,全球气候变化报告,https://www.honeywell.com,,
LED大灯,欧司朗光电半导体有限公司,德国慕尼黑,供给紧张,国际照明科技协会,https://www.osram.com,,
电池管理系统,特斯拉公司,加州,供给良好,新能源汽车市场分析,https://www.tesla.com,,
线束,宁波华东电器集团,浙江省宁波,供给稳定,电气设备行业协会,http://www.eastch.com,,
车载音响系统,先锋电子公司,南京,供给缓解,汽车多媒体技术协会,https://www.pioneer.com,,
发动机控制模块,大陆集团,上海,供给紧张,汽车电子行业动态,https://www.continental.com,,
电机,小米科技有限公司,北京,供给稳定,新兴科技发展趋势,https://www.mi.com,,
锂电池,比亚迪股份有限公司,深圳,供给稳定,中国电池产业研究报告,https://www.byd.com,,
刹车系统,法雷奥集团,法国,供给良好,国际刹车技术协会,https://www.valeo.com,,
自动变速器,日产汽车公司,日本东京,供给稳定,全球汽车市场分析,https://www.nissan-global.com,,
轮胎传感器,米其林集团,法国克莱蒙费朗,供给良好,轮胎行业年度报告,https://www.michelin.com,,
内饰塑料件,欧冶金属制品有限公司,浙江省舟山,供给稳定,汽车内饰行业协会,https://www.oyj.com,,
车载摄像头,海康威视科技有限公司,杭州,供给良好,智能监控行业报告,https://www.hikvision.com,,
电瓶,施耐德电气公司,上海,供给缓解,电气设备市场监测,https://www.se.com,,
电动助力转向器,东风汽车股份有限公司,武汉,供给良好,中国汽车工业协会,https://www.caam.org.cn,,
车载电子稳定系统,比亚迪股份有限公司,深圳,供给稳定,电动车产业最新报告,https://www.byd.com,,
制动踏板,天合汽车系统有限公司,西安,供给充足,中国汽车零部件网,http://www.chinaautoparts.com,,
涡轮增压模块,三菱重工,日本,供给紧张,国际汽车工程师协会,https://www.sae.org,,
电池管理系统,宁德时代新能源科技股份有限公司,宁德,供给良好,中国电动汽车发展报告,https://www.catl.com,,
车身控制模块,豪华汽车科技有限公司,广州,供给稳定,汽车电子协会,https://www.automotiveelectronics.org,,
安全气囊,汽车安全技术公司,墨西哥,供给充足,国际汽车安全组织,https://www.ias.org,,
冷却液泵,德国博世集团,德国,稳定供给,欧洲汽车零部件协会,https://www.bosch.com,,
发动机控制模块,华为技术有限公司,深圳,供给充足,全球智能汽车会议,https://www.huawei.com,,
轮胎压力监测系统,固特异轮胎公司,美国,供给稳定,轮胎行业观察报告,https://www.goodyear.com,,
多功能仪表盘,富士康科技集团,郑州,供给良好,汽车电子技术论坛,https://www.foxconn.com,,
车载信息娱乐系统,腾讯科技有限公司,深圳,供给稳定,中国互联网汽车分析,https://www.tencent.com,,
底盘控制模块,哈尔滨电气集团,哈尔滨,供给良好,中国汽车零部件研究所,http://www.heilongjiang.gov.cn,,
零污染尾气催化器,南方科技公司,芜湖,供给紧张,中国清洁能源协会,http://www.cleanenergy.org.cn,,
方向盘,德国汽车零部件有限公司,德国,供给稳定,国际汽车零部件展会,https://www.autoparts.com,,
动能回收系统,特斯拉汽车公司,加州,供给持续,电动车产业发展杂志,https://www.tesla.com,,
新型充电接头,国能电力公司,北京,供给稳步提升,充电设施行业标准,http://www.stategrid.com,,
电动驱动系统,厦门信达电动汽车公司,厦门,供给良好,新能源车市场分析,https://www.xindapower.com,,
电动机,西门子（中国）有限公司,上海,供给稳定,中国电力设备工业协会,http://www.ceea.org.cn,,
机床控制系统,海克斯康（中国）有限公司,北京,供应良好,自动化产业发展报告,http://www.automation.org.cn,,
液压泵,博世力士乐（中国）有限公司,深圳,供给紧张,国际液压工程师协会,https://www.rheology.org,,
工业机器人,发那科株式会社,天津,供给充足,中国机器人产业联盟,http://www.cria.org.cn,,
电源管理芯片,台积电中华人民共和国分公司,南京,供给稳定,中国半导体产业协会,http://www.csia.org.cn,,
传感器,德国ifm电子有限公司,苏州,供给良好,国际传感器技术协会,https://www.ifm.com,,
中频炉,北京金刚石制品有限公司,北京,供给充足,中国冶炼行业协会,https://www.csmia.org.cn,,
减震器,日本KYB株式会社,武汉,供给稳定,汽车悬挂系统工程师协会,https://www.kyb.com,,
冷却系统,温州日丰企业有限公司,温州,供给稳定,中国空调制冷行业协会,http://www.climatic.org.cn,,
控制阀,泰科流体系统（中国）有限公司,东莞,供给缓解,全球流体工程技术网,https://www.te.com,,
电池管理系统,亿纬锂能股份有限公司,郑州,供给稳定,新能源汽车行业协会,http://www.yuyao.com,,
数据存储芯片,三星电子有限公司,深圳,供给良好,芯片产业发展委员会,https://www.samsung.com,,
激光切割机,大族激光科技产业集团股份有限公司,深圳,供给稳定,中国激光行业协会,http://www.hgtech.com.cn,,
传动齿轮,陕西齿轮制造有限公司,西安,供给缓解,中国机械工业联合会,http://www.cmtba.org.cn,,
风扇马达,东莞市国光电器有限公司,东莞,供给稳定,中国电气机械协会,http://www.dcem.org.cn,,
