蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注
TDD-LTE,4G,300 Mbps,最长15公里,中,移动宽带、物联网,中国信息通信研究院,https://www.caict.ac.cn,,
5G FWA,5G,1 Gbps,最长300米,高,家庭宽带、企业接入,Ericsson,https://www.ericsson.com/,,
V2X,5G,高达1 Gbps,预计最长500米,高,车联网、智能交通,汽车电子协会,https://www.automotiveelectronics.com/,,
Ethernet over Cellular,4G/5G,10 Mbps,变动,中,远程监控、运输领域,Telecoms.com,https://telecoms.com/,,
Edge Computing,5G,数据实时处理,变动,高,数据中心、内容分发,Forrester Research,https://go.forrester.com/,,
Private 5G,5G,2 Gbps,最长1公里,中,企业内部网、制造业,IDC,https://www.idc.com/,,
PTP 5G,5G,1 Gbps,最长10公里,高,专用网络、关键业务,Spectrum IEEE,https://spectrum.ieee.org/,,
NB-IoT,NB-IoT,100 kbps,最长15公里,低,智能家居、仪表监测,Nokia,https://www.nokia.com/,,
FMC,4G,500 Mbps,变动,中,整合服务、家庭应用,Telefónica,https://www.telefonica.com/,,
Mesh Networks,4G/5G,範围广,不到200米,中,社会公共、紧急响应,Cisco,https://www.cisco.com/,,
FWA Lite,5G,500 Mbps,最长500米,中,小型企业、高速学生网络,Arris,https://www.arris.com/,,
5G NR,5G,1 Gbps,最长300米,高,智能城市、大规模物联网,华为技术有限公司,https://www.huawei.com,,
NB-IoT,LPWA,200 kbps,最长10公里,低,智能农业、环境监测,中兴通讯,https://www.zte.com.cn,,
4GX,4G,300 Mbps,最长50公里,中,流媒体、移动游戏,中国联通,https://www.chinaunicom.com,,
FR1,5G,1.5 Gbps,最长200米,高,增强现实、虚拟现实,高通技术公司,https://www.qualcomm.com,,
CDMA,2G,153 kbps,最长20公里,低,语音通话、互联网,Cisco Systems,https://www.cisco.com,,
LoRa,LPWAN,0.5 kbps - 50 kbps,最长5公里,低,智能电表、城市服务,Semtech,https://www.semtech.com,,
IMT-2020,5G,10 Gbps,最长500米,高,自动驾驶、智慧医疗,ITU,https://www.itu.int,,
2G EDGE,2G,即刻数据传输,最长30公里,低,移动支付、短信服务,Gartner,https://www.gartner.com,,
5G FWA,5G,500 Mbps,最长150米,中,家庭宽带、城市网络,Verizon,https://www.verizon.com,,
HSDPA+,3.5G,84 Mbps,最长30公里,中,移动互联网、在线流媒体,Nokia,https://www.nokia.com,,
WiMAX,4G,40 Mbps,最长50公里,中,固定无线接入、宽带,IEEE,https://www.ieee.org,,
TETRA,专用网络,可变,最长70公里,高,公共安全、应急服务,Motorola Solutions,https://www.motorolasolutions.com,,
5G SA,5G,2 Gbps,最长300米,高,工业自动化、智能交通,Samsung Electronics,https://www.samsung.com,,
DVB-H,广播,4-10 Mbps,不定,中,移动电视、视频播送,DVB Project,https://www.dvb.org,,
UMTS,3G,384 kbps - 2 Mbps,最长35公里,中,移动宽带、视频聊天,Telecom Italia,https://www.telecomitalia.com,,
5G V2X,5G,高达1 Gbps,预计700米,高,车联网、智能交通,Intel Corporation,https://www.intel.com,,
4G LTE Advanced Pro,4G,1 Gbps,最长30公里,中,移动宽带、快速下载,AT&T,https://www.att.com,,
Ultra 5G,5G,10 Gbps,最长500米,高,智能制造、远程医疗,英特尔,https://www.intel.com/,,
Edge 5G,5G,3 Gbps,最大300米,中,智能城市、无人机控制,高通,https://www.qualcomm.com/,,
NB-IoT,LPWAN,250 kbps,最长10公里,低,能源管理、环境监测,中国科技网,https://www.sciencenet.cn/,,
WiMAX,4G,70 Mbps,最长50公里,中,固定无线接入、远程教育,爱立信,https://www.ericsson.com/,,
TDD-LTE,4G,150 Mbps,最长60公里,中,移动宽带、实时流媒体,华为技术有限公司,https://www.huawei.com/,,
5G NR,5G,8 Gbps,最长1000米,高,虚拟现实、增强现实,GSMA,https://www.gsma.com/,,
LPWAN,LPWAN,50 kbps,最长20公里,低,农业监测、资产追踪,物联网时代,https://www.iottimes.cn/,,
4G LTE,4G,300 Mbps,最长50公里,中,移动宽带、社交媒体,中国信息通信研究院,https://www.caict.ac.cn/,,
3GPP Release 16,5G,1.5 Gbps,最长400米,高,工业自动化、远程服务,3GPP,https://www.3gpp.org/,,
Quantum Internet,未来研究,未知,理论上无限,高,量子计算、信息安全,MIT Technology Review,https://www.technologyreview.com/,,
Zigbee,短距离通信,250 kbps,最长100米,低,家庭自动化、智能电表,Zigbee联盟,https://zigbeealliance.org/,,
6G Vision,6G,超过1 Tbps,预计最长5公里,高,全息技术、智能交通,IEEE Communications Society,https://www.comsoc.org/,,
Fifth Generation Low Power WAN,LPWAN,100 kbps,最长15公里,中,城市基础设施、公共安全,国际电信联盟,https://www.itu.int/,,
Satellite IoT,卫星通信,500 kbps,不限制,高,领域监测、全球追踪,空间研究所,https://www.space.com/,,
WiFi Calling,VoIP,最大30 Mbps,无线网络覆盖范围,低,语音通话、视频会议,TechRadar,https://www.techradar.com/,,
Smart Cities Network,5G,200 Mbps,最长1公里,高,智能交通、城市管理,McKinsey & Company,https://www.mckinsey.com/,,
Long Range 5G,5G,500 Mbps,最长10公里,中,乡村宽带、远程医疗,诺基亚,https://www.nokia.com/,,
Pubsub+ IoT,标准通信,80 kbps,最长30公里,低,智慧农业、环境保护,Gartner,https://www.gartner.com/,,
NB-IoT,NB-IoT,27 kbps,最长10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/,,
5G,5G,1 Gbps,最长1公里,高,虚拟现实、增强现实,CNET,https://www.cnet.com/,,
4G LTE,4G,300 Mbps,最长50公里,中,流媒体服务、在线游戏,Telecoms.com,https://www.telecoms.com/,,
Edge Computing 5G,5G,10 Gbps,最长500米,高,边缘计算、物联网,IEEE Communications Society,https://www.comsoc.org/,,
WiMAX,4G,70 Mbps,最长50公里,中,宽带网络、移动通信,Reuters,https://www.reuters.com/,,
Fifth Generation NR,5G,10 Gbps,最长1公里,高,自动驾驶、智能交通,Gartner,https://www.gartner.com/,,
GSM,2G,64 kbps,最长35公里,低,短信服务、基本语音通话,TeleGeography,https://www.telegeography.com/,,
IoT 5G,5G,500 Mbps,最长10公里,中,智能家居、健康监测,Forrester,https://go.forrester.com/,,
6G预期,6G,超过1 Tbps,预计最长5公里,高,全息通讯、机器人控制,McKinsey,https://www.mckinsey.com/,,
TDD-LTE,4G,150 Mbps,最长25公里,中,企业宽带、移动电视,VisionMobile,https://visionmobile.com/,,
LPWAN,LPWAN,0.5 kbps - 30 kbps,最长40公里,低,城建与气候监测、农业监控,Deloitte Insights,https://www2.deloitte.com/,,
FDD-LTE,4G,100 Mbps,最长30公里,中,活动现场直播、智能交通,Pyramid Research,https://www.pyramidresearch.com/,,
M2M,3G/4G,1 Mbps,不限,中,工业自动化、设备监控,Frost & Sullivan,https://www.frost.com/,,
Open RAN,5G,2 Gbps,最长1500米,高,灵活网络架构、成本优化,O-RAN Alliance,https://o-ran-alliance.org/,,
NBIoT Expansion,NB-IoT,250 kbps,最长15公里,低,低功耗物联网应用,ZTE Corporation,https://www.zte.com.cn/,,
C-V2X,5G,300 Mbps,预计最长1公里,中,车载通信、智能交通,Automotive News,https://www.autonews.com/,,
V2V,5G,1 Gbps,预计最长500米,中,车联网、自动驾驶,Wired,https://www.wired.com/,,
Quantum 5G,5G,10 Gbps,最长300米,高,虚拟现实、增强现实,Cisco,https://www.cisco.com/,,
NB-IoT,LPWA,150 kbps,最远30公里,低,智能城市、环境监测,爱立信,https://www.ericsson.com/,,
Edge 6G,6G,200 Gbps,预计最长3公里,高,智能制造、无人驾驶,华为技术有限公司,https://www.huawei.com,,
4G LTE Advanced,4.5G,1 Gbps,最长100公里,中,流媒体服务、移动游戏,层智通讯公司,https://www.layertech.com,,
5G NR,5G,20 Gbps,最长1000米,高,工业自动化、智能交通,诺基亚,https://www.nokia.com/,,
LPWAN,LPWAN,10 kbps,最远50公里,低,智能农业、城市基础设施,IoT World,https://www.iotworld.com/,,
6G Holographic,6G,超过500 Gbps,预计最长5公里,高,全息会议、医疗远程,IEEE,https://www.ieee.org/,,
TDD LTE,4G,300 Mbps,最长80公里,中,移动网络服务、视频流,联通,https://www.chinaunicom.com/,,
Fifth Generation,5G,15 Gbps,最长200米,高,智能家居、车联网,Samsung,https://www.samsung.com/,,
GPRS EDGE,2.75G,100-500 kbps,最长40公里,低,数据抓取、条形码扫描,全球移动通信系统协会,https://www.gsma.com/,,
VLPWAN,LPWAN,5-100 kbps,最远10公里,低,资产管理、环境监测,Telecoms.com,https://www.telecoms.com/,,
Smart 5G,5G,8 Gbps,最长150米,中,智能零售、交通监控,Verizon,https://www.verizon.com/,,
Ultra HD 4G,4G,500 Mbps,最长50公里,高,超高清视频、直播服务,AT&T,https://www.att.com/,,
Wireless 6G,6G,1 Tbps,预计最长10公里,高,智慧城市、个人助理,Qualcomm,https://www.qualcomm.com/,,
GSM-R,2G,up to 9600 bps,最长300公里,中,铁路通信、运输安全,全球铁路联盟,https://www.uitp.org/,,
P25,4G,最大256 kbps,最长50公里,低,公务通信、应急服务,美国国家标准与技术研究所,https://www.nist.gov/,,
WiMAX,4G,40 Mbps,最长50公里,中,固定无线接入、移动接入,Sprint Corporation,https://www.sprint.com/,,
E-UTRA,LTE,150 Mbps,最长50公里,中,远程医疗、视频会议,中国信息通信研究院,https://www.caict.ac.cn,,
NB-IoT,LPWAN,250 kbps,最长10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com,,
4G LTE Advanced,4G,300 Mbps,最长30公里,中,高清直播、移动游戏,AT&T,https://www.att.com,,
WiMAX,4G,1 Gbps,最长50公里,高,城市宽带、公共服务,IEEE,https://www.ieee.org,,
5G NR,5G,1 Gbps,最远500米,高,自动驾驶、智慧工厂,Huawei,https://www.huawei.com,,
TETRA,警用通信,100 kbps,最长20公里,中,公共安全、应急响应,ETSI,https://www.etsi.org,,
LTE-U,4G,300 Mbps,最长30公里,中,居家宽带、娱乐服务,Qualcomm,https://www.qualcomm.com,,
LAA,5G,1.2 Gbps,最长500米,高,网络拥塞管理、移动宽带,GSMA,https://www.gsma.com,,
Fifth Generation Network,5G,最高10 Gbps,预计1公里,高,虚拟现实、增强现实,ITU,https://www.itu.int,,
IMT-2020,5G,5 Gbps,最长500米,高,工业自动化、智慧城市,国际电信联盟,https://www.itu.int,,
GSM-R,2G,200 kbps,最长300公里,低,铁路运输、交通管理,中国铁路,http://www.china-railway.com.cn,,
MulteFire,4G,100 Mbps,最长1公里,中,公众场所Wi-Fi、商场,MulteFire Alliance,https://www.multefire.org,,
V2X Communication,5G,1 Gbps,最长300米,高,智慧交通、汽车联网,SAE International,https://www.sae.org,,
Edge Computing Network,5G,8 Gbps,预计200米,高,实时数据处理、物联网,Cisco,https://www.cisco.com,,
Fixed Wireless Access,5G,1 Gbps,最多1公里,中,农村宽带、家庭连接,Verizon,https://www.verizon.com,,
Ultra-Reliable Low Latency Communication,5G,6 Gbps,最长500米,高,无人驾驶、远程手术,5G Americas,https://www.5gamericas.org,,
Smart Metering Systems,LPWAN,数字化,最长8公里,低,智能电表、能源管理,IoT Analytics,https://iot-analytics.com,,
5G NR,5G,10 Gbps,最长500米,高,车联网、远程医疗,华为技术有限公司,https://www.huawei.com,,
NB-IoT,Narrowband,250 kbps,最长10公里,低,智慧城市、农业监测,中国信息通信研究院,https://www.caict.ac.cn,,
TDD LTE,4G,300 Mbps,最长50公里,中,视频流媒体、移动宽带,Qualcomm,https://www.qualcomm.com,,
5G FWA,5G,1 Gbps,最长1公里,高,固定无线接入、家庭互联网,GSMA,https://www.gsma.com,,
HSPA+ Evolution,3.75G,84 Mbps,最长25公里,中,移动视频、社交媒体,Telefónica,https://www.telefonica.com,,
4G LTE Advanced,4G,1 Gbps,最长30公里,中,企业网络、移动流媒体,Verizon,https://www.verizon.com,,
6G Prototypes,6G,超过1 Tbps,预计最长500米,高,超高清虚拟现实、全息通话,IEEE,https://ieeexplore.ieee.org,,
LPWAN,LPWA,50 bps - 10 kbps,最长100公里,低,智能城市、环境监测,IoT Analytics,https://iot-analytics.com,,
UMTS,3G,384 kbps,最长15公里,中,数据服务、移动电话,Nokia,https://www.nokia.com,,
GSM Edge,2.75G,200-400 kbps,最长15公里,低,移动数据、信息服务,Frost & Sullivan,https://www.frost.com,,
WiMAX,4G,70 Mbps,最长50公里,中,城市互联网接入、视频会议,Intel,https://www.intel.com,,
Satellite LTE,4G,50 Mbps,不限,高,偏远地区联网、应急通信,SES S.A.,https://www.ses.com,,
Cellular V2X,5G,1 Gbps,最长500米,高,自动驾驶、车载通信,Ericsson,https://www.ericsson.com,,
IMT-2020,5G,20 Gbps,最长1公里,高,未来通讯概念、智能家居,ITU,https://www.itu.int,,
C-V2X,5G,200 Mbps,最多1000米,中,交通管理、互联汽车,3GPP,https://www.3gpp.org,,
Edge Computing Networks,未来网络,超过1 Gbps,依赖网络基础设施,高,实时数据处理、智能制造,Gartner,https://www.gartner.com,,
Fifth Generation Low-Power,5G,1.5 Gbps,最长2公里,中,物联网、智能家居,BIS Research,https://bisresearch.com,,
4G LTE Advanced,4G,300 Mbps,最长50公里,中,云游戏、高清视频流,AT&T,https://www.att.com/,,
5G NR,5G,1 Gbps,最长500米,高,增强现实、智能城市,华为技术有限公司,https://www.huawei.com,,
CAT-M1,LPWA,375 kbps,最长10公里,低,智能表计、健康监测,Verizon,https://www.verizon.com/,,
NB-IoT,LPWAN,200 kbps,最长35公里,低,智慧农业、环境监测,中国电信,https://www.chinatelecom.com.cn/,,
6G Prototype,6G,超过1 Tbps,预计最长3公里,高,超高分辨率视频、全息投影,清华大学,https://www.tsinghua.edu.cn/,,
WCDMA,3G,384 kbps,最长20公里,中,移动上网、社交平台,联通,https://www.chinaunicom.com/,,
Wireless PON,5G,1 Gbps,最长1公里,中,家庭宽带、企业接入,光纤通信技术研究院,http://www.ogfc.com/,,
TDD LTE,4G,150 Mbps,最长15公里,中,移动互联网、物联网,中兴通讯,https://www.zte.com.cn/,,
LAA,4G,400 Mbps,最长500米,中,密集城市环境、流媒体服务,FCC,https://www.fcc.gov/,,
Rel-16 NR,5G,1.5 Gbps,最长800米,高,灾难恢复、远程医疗,3GPP,https://www.3gpp.org/,,
FDD LTE,4G,100 Mbps,最长30公里,中,视频传输、实时通讯,Sprint,https://www.sprint.com/,,
Satellite LTE,LTE,25 Mbps,不限,中,偏远地区通信、海洋通信,Iridium Communications,https://www.iridium.com/,,
Ultra Narrowband,LPWAN,1 kbps,最长5公里,低,智能城市、基础设施监测,德国电信,https://www.telekom.com/,,
Access Network Slicing,5G,5 Gbps,最长2公里,高,企业专用网络、虚拟现实应用,MIT Technology Review,https://www.technologyreview.com/,,
C-V2X,4G,10 Mbps,最长1公里,中,车联网、智能交通系统,中国交通运输部,http://www.mot.gov.cn/,,
Nbiot 5G,5G,250 Mbps,最长5公里,中,智能城市、环境监测,Ericsson,https://www.ericsson.com/,,
4G LTE Advanced Pro,4.5G,1 Gbps,最长30公里,高,高清视频、增强现实,HighSpeed Internet Group,https://www.highspeedinternet.com/,,
Ultra Narrowband IoT,NB-IoT,64 kbps,最长10公里,低,农业监测、城市基础设施,GSMA,https://www.gsma.com/,,
5G SA (Standalone),5G,10 Gbps,最长1公里,高,车联网、虚拟现实,Intel,https://www.intel.com/,,
FMDA,4G,50 Mbps,最长25公里,中,无线音频、智能家居,TechCrunch,https://techcrunch.com/,,
C-V2X,4G,100 Mbps,预计300米,高,智能交通、自动驾驶,5G Automotive Association,https://5gaa.org/,,
LAA (Licensed Assisted Access),4G,300 Mbps,最长20公里,中,高密度用户环境、大型活动,Nokia,https://www.nokia.com/,,
Mesh 4G,4G,200 Mbps,部署灵活,中,偏远地区连接、临时通信,OpenSignal,https://www.opensignal.com/,,
5G Fixed Wireless Access,5G,1 Gbps,最长500米,中,家庭宽带、企业接入,Verizon,https://www.verizon.com/,,
Dynamic Spectrum Sharing,5G/4G,1 Gbps,最长20公里,中,网络灵活性、用户体验优化,AT&T,https://www.att.com/,,
4G LTE IoT,4G,25 Mbps,最长15公里,低,物联网应用、设备连接,The Internet of Things Consortium,https://www.theiotsummit.com/,,
TDD-LTE,4G,120 Mbps,最长20公里,中,范围覆盖、大型建筑物内部,Mobile World Live,https://www.mobileworldlive.com/,,
5G NR (New Radio),5G,4 Gbps,最长1公里,高,工业自动化、智能制造,ITU-R,https://www.itu.int/,,
GSM-R,2G,10 kbps,最长50公里,中,铁路通信、交通管理,UIC,https://uic.org/,,
private LTE,4G,300 Mbps,最长3公里,高,企业内部通信、敏感信息传输,Telecoms.com,https://telecoms.com/,,
Cellular V2X,5G/4G,3 Gbps,预计500米,高,智能交通、自动驾驶车辆间通信,ERAI,https://www.erai.com/,,
E-Band,5G,10 Gbps,最长200米,高,短距离高速传输、数据中心,FierceWireless,https://www.fiercewireless.com/,,
5G NR (Non-Standalone),5G,2 Gbps,最长1公里,高,手机通信、高清流媒体,ZTE Corporation,https://www.zte.com.cn/,,
NB-IoT,LPWAN,250 kbps,最长10公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/,,
4G LTE,4G,最大100 Mbps,最长50公里,中,移动视频、在线游戏,Verizon,https://www.verizon.com/,,
5G SA,5G,10 Gbps,最长500米,高,虚拟现实、无人驾驶,华为技术有限公司,https://www.huawei.com/,,
WiMAX,4G,70 Mbps,最长50公里,中,农村宽带、固定无线接入,IEEE,https://www.ieee.org/,,
7G,7G,超过1 Tbps,预计最长5公里,高,超高分辨率视频、远程医疗,Samsung Research,https://research.samsung.com/,,
C-Band 5G,5G,2 Gbps,最长200米,中,工业自动化、智能家居,Nokia,https://www.nokia.com/,,
FDD-LTE,4G,最大150 Mbps,最长30公里,中,高清视频、社交媒体,AT&T,https://www.att.com/,,
LAA,4G,1 Gbps,最长250米,低,移动宽带、增强现实,Qualcomm,https://www.qualcomm.com/,,
DP-CPRI,4G,最大1 Gbps,最长10公里,中,基站回传、边缘计算,Ericsson,https://www.ericsson.com/,,
V2X,5G,高达500 Mbps,最长1000米,高,车联网、交通管理,中国信息通信研究院,https://www.caict.ac.cn,,
Future 6G,6G,超过100 Gbps,预计最长2公里,高,超高清视频、AI驱动的服务,ITU,https://www.itu.int/,,
M2M,LPWAN,30 kbps,最长15公里,低,机器对机器通信、智能设备,GSMA Intelligence,https://www.gsmaintelligence.com/,,
Private 5G,5G,高达10 Gbps,最长200米,高,企业解决方案、智能工厂,Cisco,https://www.cisco.com/,,
C-V2X,5G,100 Mbps,最长500米,中,智能交通、车联网,Qualcomm,https://www.qualcomm.com/,,
GSM,2G,最大11 Mbps,最长35公里,低,基本通话、短信服务,华为,https://www.huawei.com/,,
Ultra-Reliable Low Latency,5G,最大1 Gbps,最长1公里,高,远程手术、智能制造,Nokia Bell Labs,https://www.bell-labs.com/,,
Massive MIMO,5G,高达10 Gbps,最长200米,中,密集城区、公共活动,Ericsson,https://www.ericsson.com/,,
Smart City Network,5G,最大1 Gbps,最长500米,高,城市管理、公共安全,腾讯,https://www.tencent.com/,,
NB-IoT,NB-IoT,250 kbps,最长10公里,低,智能城市、智能农田,GSMA,https://www.gsma.com/,,
4G LTE,4G,100 Mbps,最长50公里,中,移动互联网、电子商务,中国电信,https://www.chinatelecom.com.cn/,,
Q-Window,5G,3 Gbps,最长300米,高,虚拟现实、增强现实,ITU,https://www.itu.int/,,
Cat-M1,LTE,375 kbps,最长20公里,中,智能表计、可穿戴设备,中国信息通信研究院,https://www.caict.ac.cn,,
Mobile Edge Computing,5G,2 Gbps,最长1公里,高,边缘计算、工业4.0,IEEE,https://IEEE.org,,
Terahertz Communication,6G,超过1 Tbps,预计最长500米,高,超高速数据传输、未来通信,Nature,https://www.nature.com/,,
GSM-R,2G,up to 9.6 kbps,最长50公里,低,铁路通讯,UNIFE,https://www.unife.org/,,
Fifth-Generation Wireless Systems,5G,接近10 Gbps,最长500米,高,自动驾驶汽车、智能交通,ITU-R,https://www.itu.int/en/ITU-R/,,
V2X Communication,DSRC,6 Mbps,最长1公里,中,车辆对车辆、车辆对基础设施通信,IEEE Communications Society,https://www.comsoc.org/,,
Ultra-Reliable Low-Latency Communication,5G,1 Gbps,预计最长200米,高,远程医疗、机器人控制,Huawei,https://www.huawei.com,,
FDD-LTE,4G,150 Mbps,最长20公里,中,手机支付、交通监控,中国联通,https://www.chinaunicom.com/,,
Sub-6 GHz 5G,5G,500 Mbps,最长2公里,中,视频流、物联网应用,5G Americas,https://www.5gamericas.org/,,
Time Division Duplex LTE,4G,75 Mbps,最长30公里,中,社交媒体、移动视频,Nokia,https://www.nokia.com/,,
Long Range 5G,5G,1.5 Gbps,最长10公里,高,远程乡村地区、农业监测,Omdia,https://omdia.tech/,,
5G NR,5G,1-10 Gbps,预计最长3公里,高,智能工厂、智能家庭,3GPP,https://www.3gpp.org/,,
Satellite LTE,4G,1 Mbps,不限制,高,全球覆盖、海洋通信,Global Data,https://www.globaldata.com/,,
Wi-Fi 6E,Wi-Fi,2.4 Gbps,最长100米,中,家庭网络、公共场所,IEEE,https://IEEE.org,,
NB-IoT,LPWA,200 kbps,最长10公里,低,智能城市、智能表计,恩智浦半导体,https://www.nxp.com/,,
Quick Response 4G,4G,300 Mbps,最长50公里,中,移动视频、在线游戏,高通技术公司,https://www.qualcomm.com/,,
Fifth Gen Industrial Network,5G,1.5 Gbps,最长500米,高,工业自动化、智能工厂,华为技术有限公司,https://www.huawei.com/,,
LAA,LTE,1 Gbps,最长200米,中,高密度城市区域通信、更好的移动宽带,AT&T,https://www.att.com/,,
5G NR,5G,3 Gbps,最长300米,高,增强现实、虚拟现实,国际电信联盟,https://www.itu.int/,,
TETRA,专业移动无线,不适用,最长50公里,中,紧急服务、公共安全,爱立信,https://www.ericsson.com/,,
WiFi 6,WiFi,最大9.6 Gbps,最长100米,中,家庭网络、高速公路,Broadcom,https://www.broadcom.com/,,
V2X,5G,500 Mbps,不限制,中,车联网、智能交通,泛微科技,https://www.weishangtech.com/,,
PON,FTTH,最大2.5 Gbps,最长20公里,高,家庭宽带接入、企业网络,中兴通讯,https://www.zte.com.cn/,,
5G Private Networks,5G,2 Gbps,最长1公里,中,企业内部通信、工业4.0,德州仪器,https://www.ti.com/,,
Emergency 4G LTE,4G,最大150 Mbps,最长30公里,中,应急通信、远程医疗,苹果公司,https://www.apple.com/,,
IoT 5G Bands,5G,400 Mbps,最长200米,高,智能家居、可穿戴设备,Intel,https://www.intel.com/,,
C-V2X,5G,750 Mbps,不限制,高,自动驾驶、智能交通管理,高通技术公司,https://www.qualcomm.com/,,
WiMAX,4G,75 Mbps,最长50公里,中,农村宽带、城市扩展,Cisco,https://www.cisco.com/,,
O-RAN,5G,超高速,可扩展,高,无缝网络接入、网络切片,开放无线网络联盟,https://www.o-ran-alliance.org/,,
Ultra-Reliable Low Latency Communication,5G,高于1 Gbps,最长500米,高,医疗急救、无人机,GSMA,https://www.gsma.com/,,
5G NR,5G,1 Gbps,最长500米,高,智能城市、增强现实,Ericsson,https://www.ericsson.com/,,
NB-IoT,LPWAN,250 kbps,最长10公里,中,智慧水务、智能电表,中国信息通信研究院,https://www.caict.ac.cn,,
TDD 5G,5G,3 Gbps,最长1公里,中,高清视频传输、云游戏,Telefónica,https://www.telefonica.com/,,
2G GSM,2G,200 kbps,最长35公里,低,语音通话、SMS服务,Mobile World Live,https://www.mobileworldlive.com/,,
LTE-U,4G,最大300 Mbps,最长50公里,中,移动宽带、家庭互联网,Cisco,https://www.cisco.com/,,
4G LTE Advanced,4G,最大1 Gbps,最长100公里,中,高速网络、视频流,华为技术有限公司,https://www.huawei.com,,
5G C-Band,5G,最大3 Gbps,最长1公里,高,实时数据分析、AR应用,AT&T,https://www.att.com/,,
FDD-LTE,4G,最大150 Mbps,最长30公里,中,移动宽带、智能手机,联通,https://www.chinaunicom.com/,,
HAPS 4G,4G,50 Mbps,不限,高,偏远地区覆盖、灾害响应,HAPS Alliance,https://hapsalliance.org/,,
Cat-M1,LPWA,1 Mbps,最长20公里,低,物联网、智能城市,3GPP,https://www.3gpp.org/,,
未来6G技术,6G,超100 Gbps,预计最长十公里,高,全息影像通信、智能交通,MIT Technology Review,https://www.technologyreview.com/,,
Edge 5G,5G,达4 Gbps,最长250米,中,边缘计算、智能制造,Nokia,https://www.nokia.com/,,
IPv6 over LTE,4G,150 Mbps,最长50公里,中,网络设备、IoT应用,中国通信标准化协会,https://www.ccsa.org.cn/,,
LoRa 5G,LPWAN,50 kbps,最长25公里,低,智能农业、环境监测,IoT World,https://www.iotworldtoday.com/,,
G.fast,高速宽带,最大1 Gbps,最长500米,中,家庭宽带、商业网络,Broadband Forum,https://www.broadband-forum.org/,,
增强5G,5G,达10 Gbps,最长300米,高,医疗远程监控、智能交通系统,GSMA,https://www.gsma.com/,,
虚拟网络切片,5G,可达20 Gbps,预计最长3公里,高,定制化网络服务、企业应用,Accenture,https://www.accenture.com/,,
Edge 5G,5G,1 Gbps,最长500米,高,智能制造、自动驾驶,Nokia,https://www.nokia.com/,,
TDD-LTE,4G,150 Mbps,最长20公里,中,高清视频传输、应急通信,中国联通,https://www.chinaunicom.com/,,
NB-IoT,LPWA,160 kbps,最长10公里,低,智能城市、环境监测,华为技术有限公司,https://www.huawei.com/,,
4G LTE,4G,100 Mbps,最长10公里,中,移动宽带、在线游戏,Verizon,https://www.verizon.com/,,
十倍速5G,5G,10 Gbps,最长1000米,高,VR/AR应用、链路革新,AT&T,https://www.att.com/,,
GSM-R,2G,9.6 kbps,最长50公里,低,铁路通信,国际铁路联盟,https://www.uic.org/,,
Private LTE,4G,300 Mbps,最长5公里,高,企业通信、工厂自动化,Cisco,https://www.cisco.com/,,
GPRS多媒体,2.5G,40-200 kbps,最长30公里,低,多媒体短信、移动支付,OpenSignal,https://www.opensignal.com/,,
WCDMA,3G,384 kbps,最长40公里,中,视频通话、数据服务,Ericsson,https://www.ericsson.com/,,
FDD-LTE,4G,300 Mbps,最长20公里,中,智能手机、车载通信,Telecom Regulatory Authority of India,https://www.trai.gov.in/,,
NBIoT-Cat M1,LPWA,128 kbps,最长15公里,低,智慧停车、智能农业,GSMA Intelligence,https://www.gsma.com/,,
Voice over 5G,5G,250 Mbps,最长100公里,中,实时语音流、远程医疗,ITU-T,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
M2M Cellular,4G,50 Mbps,不限,中,智能家居、安全监控,ABI Research,https://www.abiresearch.com/,,
Integrated 5G,5G,5 Gbps,最长300米,高,增强现实、工业互联网,NIST,https://www.nist.gov/,,
Ultra-Narrowband IoT,LPWAN,0.1-10 kbps,最远200公里,低,智能城市、环境监测,European Telecommunications Standards Institute,https://www.etsi.org/,,
6G Light,6G,超过1 Tbps,预计最长1公里,高,全息内容流、量子网络,IEEE 802.15 Working Group,https://www.ieee802.org/15/,,
NR 5G,5G,10 Gbps,最长2公里,中,智能城市、自动驾驶,中兴通讯,https://www.zte.com.cn/,,
LTE-A,4.5G,300 Mbps,最长50公里,中,高清视频流、在线游戏,中国电信,https://www.chinatelecom.com.cn,,
Edge 5G,5G,1 Gbps,最长500米,高,边缘计算、工业互联网,AT&T,https://www.att.com/,,
NB-IoT,LPWA,300 kbps,最长10公里,低,智能城市、农业监测,三大电信运营商,https://www.nokia.com/,,
Fifth Generation,5G,20 Gbps,预计最长500米,高,全息影像、虚拟现实,Mavenir,https://www.mavenir.com/,,
WiMAX,4G,70 Mbps,最长10公里,中,室外无线接入、无线视频监控,IEEE,https://www.ieee.org/,,
4G LTE,LTE,100 Mbps,最长40公里,中,移动宽带、社交媒体传播,爱立信,https://www.ericsson.com/,,
GSM-R,2G,64 kbps,最长250公里,低,列车控制、铁路通信,国际铁路联盟,https://www.uic.org/,,
