网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注
无人驾驶车辆网络,智能交通系统,V2X通讯,百度,2023-04-22,百度智能交通,百度公司,城市交通管理者,交通运输部,https://www.baidu.com,,
移动数据中心网络,数据通信系统,虚拟化技术,腾讯云,2023-07-10,腾讯,腾讯科技（深圳）有限公司,企业用户,云计算行业分析,https://cloud.tencent.com,,
灾难恢复通信系统,应急通信系统,自动化灾难恢复,IBM中国,2023-01-15,IBM,国际商业机器公司,政府与企业,企业风险管理期刊,https://www.ibm.com,,
卫星互联网服务,卫星通信,接入速率100 Mbps,SpaceX,2023-08-01,Starlink,SpaceX公司,偏远地区用户,卫星互联网研究机构,https://www.spacex.com,,
智能农业物联网,物联网系统,传感器网络,中农联,2023-03-05,中农联科技,中农联科技有限公司,农业用户,农林科技发展网,http://www.cnn.com,,
智能家居集成系统,家庭自动化,Zigbee技术,小米科技,2023-09-10,小米,北京小米科技有限公司,家庭用户,智能家居行业报告,http://www.mi.com,,
5G智能监控网络,视频监控系统,5G视频流,海康威视,2022-11-28,海康威视,浙江海康威视数字技术股份有限公司,安防用户,安防技术论坛,http://www.hikvision.com,,
城市公共Wi-Fi网络,无线通信系统,开放接入,中国联通,2023-05-06,中国联通,中国联合网络通信有限公司,公众用户,城市发展研究报告,https://www.chinaunicom.com,,
智能港口物流系统,物流通信系统,实时数据交换,中远海运,2023-06-30,中远海运集团,中国远洋海运集团有限公司,港口管理者,现代物流与港口发展,http://www.cosco.com,,
低延迟内容分发网络,网络加速系统,内容交付网络(CDN),阿里云,2023-09-20,阿里云,阿里巴巴集团,内容提供者,网络技术发展博客,https://www.aliyun.com,,
量子安全通信网络,量子网络,量子密钥分配,清华大学,2023-08-05,清华大学,清华大学,科研机构,中国量子研究院,http://www.tsinghua.edu.cn,,
自动驾驶汽车通信系统,汽车通信系统,车载网络V2V,特斯拉,2023-07-20,特斯拉公司,特斯拉汽车公司,智能汽车用户,汽车技术杂志,https://www.tesla.com,,
个人隐私保护通信系统,安全通信系统,端到端加密,腾讯,2023-08-12,腾讯科技,腾讯控股有限公司,普通消费者,网络安全研究报告,https://www.tencent.com,,
智能家居系统,物联网通信,Zigbee协议,小米科技,2023-09-30,小米,小米科技有限责任公司,家庭用户,家电市场分析,https://www.mi.com,,
远程医疗通信系统,医疗通信系统,视频会诊,阿里健康,2023-06-15,阿里巴巴集团,阿里健康信息技术有限公司,医疗机构,医疗技术论坛,https://www.aliyun.com,,
智能交通流量监测系统,智慧城市通信,传感器网络,中兴通讯,2023-10-05,中兴,中兴通讯股份有限公司,政府与企业,城市管理局,http://www.zte.com.cn,,
高效量子密钥分发网络,量子通信,量子密钥分发,中国科学技术大学,2023-11-01,中国科学技术大学,中国科学技术大学,实验室及科研机构,量子信息研究中心,http://www.ustc.edu.cn,,
下一代无线通信网络,无线通信系统,6G,华为技术有限公司,2023-09-20,华为,华为技术有限公司,企业及研究机构,国际通信联合会,https://www.huawei.com/,,
智能城市IoT平台,物联网通信,LoRaWAN,恩智浦半导体,2023-09-18,NXP Semiconductors,恩智浦半导体有限公司,智慧城市开发者,物联网发展报告,https://www.nxp.com,,
高速光纤互联网接入网络,固定通信系统,光纤,美国电话电报公司,2023-08-22,AT&T,美国电话电报股份有限公司,普通用户,美国通信委员会,https://www.att.com,,
量子无线通信网络,量子通信,量子纠缠传输,麻省理工学院,2023-05-12,MIT,麻省理工学院,研究机构,MIT量子信息实验室,http://web.mit.edu,,
下一代卫星通信系统,卫星通信,Ka-band,Eutelsat,2023-06-30,Eutelsat Communications,Eutelsat S.A.,全球用户,卫星通信年度报告,https://www.eutelsat.com,,
大规模传感器网络,物联网通信,NB-IoT,戴尔科技,2023-07-15,Dell Technologies,戴尔科技公司,企业用户,科技创新与发展报告,https://www.dell.com,,
5G物联网平台,无线通信系统,5G NR,爱立信,2023-08-04,Ericsson,爱立信公司,物联网开发者,无线通信行业报告,https://www.ericsson.com,,
智能农业管理系统,物联网通信,传感器和数据分析,巴西农业科技公司,2023-09-24,AgriTech Brazil,巴西农业科技有限公司,农场主,农业科技报告,https://www.agritechbrazil.com,,
企业级数据安全网络,安全通信系统,多因素身份验证,思科系统,2023-07-30,Cisco Systems,思科技术公司,企业用户,网络安全资源,https://www.cisco.com,,
跨国安全通信网络,安全通信系统,专用加密网络,诺基亚,2023-08-09,Nokia,诺基亚公司,国际企业,全球通信大会,https://www.nokia.com,,
虚拟现实通信平台,新兴通信技术,实时视频流,Facebook Technologies,2023-06-12,Meta Platforms,"Meta Platforms, Inc.",VR开发者,增强现实与虚拟现实报告,https://www.meta.com,,
全球支付通信网络,金融通信系统,加密支付,PayPal,2023-08-15,PayPal Holdings,"PayPal Holdings, Inc.",消费者与商户,金融技术期刊,https://www.paypal.com,,
智能农业物联网,物联网通信,智能传感器网络,阿里巴巴,2023-08-15,阿里云,阿里巴巴集团,农业用户,农业科技论坛,https://www.alibaba.com,,
个人健康监测网络,消费电子通信,可穿戴设备连接,小米,2023-09-01,小米科技,小米科技有限公司,个人用户,消费电子评测,https://www.mi.com,,
智能家居控制系统,家庭自动化,Zigbee网络,华为,2023-02-10,华为,华为技术有限公司,家庭用户,科技新闻网站,https://www.huawei.com,,
工业4.0网络系统,工业通信,M2M通信,西门子,2023-04-20,西门子,西门子股份公司,制造业用户,工业通信杂志,https://www.siemens.com,,
卫星基因组数据传输,卫星通信,L波段,SpaceX,2023-06-30,SpaceX,Space Exploration Technologies Corp,科研机构,太空探索通讯,https://www.spacex.com,,
智能医疗信息网络,医疗通信,电子健康记录,IBM,2023-03-15,IBM Watson Health,IBM公司,医疗机构,医疗技术展会,https://www.ibm.com,,
虚拟现实通信网络,虚拟现实,高带宽实时传播,Meta,2023-07-01,Meta Platforms,"Meta Platforms, Inc.",游戏用户,科技展会,https://www.meta.com,,
增强现实定位系统,增强现实,精准定位,苹果公司,2023-08-25,Apple Inc.,苹果公司,普通消费者,科技评论,https://www.apple.com,,
自动驾驶车辆网络,智能交通,V2X通信,特斯拉,2023-09-12,特斯拉汽车," Tesla, Inc.",车辆用户,汽车科技网站,https://www.tesla.com,,
智能电网通信系统,能源通信,智能计量,GE能源,2023-05-18,通用电气,通用电气公司,公用事业公司,电力与能源协会,https://www.ge.com,,
全球移动互联网接入,移动通信,5G覆盖,Vodafone,2023-09-20,Vodafone Group,Vodafone Group plc,普通用户,国际电信联盟,https://www.vodafone.com,,
超高速网络接入,固定宽带,千兆光纤,AT&T,2023-01-15,AT&T Inc.,AT&T Inc.,家庭用户,电信行业报告,https://www.att.com,,
智能监测城市网络,智慧城市,安全监控,英特尔,2023-03-11,Intel Corp.,英特尔公司,城市管理,智慧城市论坛,https://www.intel.com,,
区块链通信平台,金融通信,加密交易支持,Ripple,2023-02-21,Ripple Labs,"Ripple Labs, Inc.",金融机构,区块链技术论坛,https://ripple.com,,
跨境电商通信网络,电子商务,安全支付处理,PayPal,2023-05-28,PayPal Holdings,"PayPal Holdings, Inc.",企业用户,电子商务研究,https://www.paypal.com,,
智慧城市交通管理系统,城市交通,车联网应用,高德地图,2023-08-05,高德软件,高德软件有限公司,城市规划者,城市交通大会,https://www.amap.com,,
全球气象数据传输,专业通信,高频数据传输,IBM气象部,2023-09-22,IBM,IBM公司,气象机构,气象会议,https://www.ibm.com/weather,,
智能电动车充电通信系统,电动车,智能充电桩网络,ChargePoint,2023-03-05,ChargePoint Inc.,ChargePoint Inc.,电动车用户,新能源汽车展会,https://www.chargepoint.com,,
智能家居控制网络,物联网通信,Zigbee,乐鑫科技,2023-08-15,乐鑫科技,乐鑫科技股份有限公司,家庭用户,科技创新论坛,http://www.lexintech.com,,
智能农业传感器网络,农业物联网,LoRaWAN,苗圃科技,2023-06-18,苗圃科技,苗圃科技有限公司,农民与农业企业,农科院研究报告,http://www.agriscience.org,,
智能健康监测网络,医疗物联网,Wearable Tech,华大基因,2023-04-25,华大基因,华大基因科技有限公司,医疗机构与患者,医疗设备管理局,http://www.bgi.com,,
工业互联网平台,工业物联网,FIoT,海尔集团,2023-10-01,海尔,海尔集团公司,制造业企业,制造业协会,http://www.haier.com,,
车联网系统,智能交通通信,C-V2X,特斯拉公司,2023-09-21,特斯拉,特斯拉汽车公司,汽车制造商,汽车技术杂志,http://www.tesla.com,,
5G智能城市管理平台,智慧城市通信,5G NR,中兴通讯,2023-07-10,中兴,中兴通讯股份有限公司,城市管理者,城市发展研究中心,http://www.zte.com.cn,,
卫星互联网通信系统,卫星通信,Starlink,SpaceX,2023-03-15,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,航天新闻网,http://www.spacex.com,,
量子通信卫星网,量子通信,量子密钥分发,中国科学院,2023-09-20,中国科学院,中国科学院量子通信实验室,科研机构,中国科技日报,http://www.cas.cn,,
多模态通信平台,融合通信,5G与光纤融合,中国移动,2023-08-01,中国移动,中国移动通讯集团有限公司,企业用户,中国通信工程院,http://www.chinamobile.com,,
高效数据传输网络,数据通信,MPLS,中国联通,2023-05-05,中国联通,中国联合网络通信有限公司,企业及个人用户,信息通信技术研究所,http://www.chinaunicom.com,,
车载通信系统,移动通信,DSRC,日产汽车,2023-02-12,日产,日产汽车公司,汽车制造商与开发者,车辆工程协会,http://www.nissan-global.com,,
网络安全防护平台,安全通信,E2E加密,奇安信,2022-12-01,奇安信,奇安信科技有限公司,企业和个人,网络安全报告,http://www.qianxin.com,,
城市无线通信基础设施,无线通信,Wi-Fi 6,思科系统,2023-10-05,思科,思科系统公司,公共场所用户,科技发展计划,http://www.cisco.com,,
全球卫星导航通信系统,卫星通信,GNSS,诺基亚,2023-01-22,诺基亚,诺基亚公司,航天及交通部门,国际航天局,http://www.nokia.com,,
区块链网络通信系统,区块链通信,智能合约,Ethereum Foundation,2023-11-01,Ethereum,以太坊基金会,开发者与企业,区块链研究中心,http://www.ethereum.org,,
语音识别通信系统,人工智能通信,深度学习算法,百度,2023-06-28,百度,百度公司,企业与研发人员,人工智能研究院,http://www.baidu.com,,
智能家居网络,物联网通信,智能家居工具集成,小米科技,2023-10-01,小米,小米集团,普通家庭用户,智能家居市场研究,https://www.mi.com,,
北极卫星通信系统,卫星通信,低轨道卫星网络,Starlink,2023-05-20,SpaceX,SpaceX Corporation,远程地区用户,太空技术协会,https://www.spacex.com,,
5G智能城市网络,移动通信系统,5G排除延迟,Verizon,2023-08-15,Verizon Communications,Verizon Communications Inc.,城市管理者,移动通信行业报告,https://www.verizon.com,,
工业物联网平台,行业通信系统,工厂自动化集成,西门子,2023-09-12,西门子股份公司,Siemens AG,制造业,工业技术发展报告,https://www.siemens.com,,
增强现实通信平台,虚拟现实系统,AR实时互动,微软,2023-06-30,Microsoft,Microsoft Corporation,教育机构及企业,科技新闻,https://www.microsoft.com,,
光纤到户解决方案,固态通信系统,光纤猫,AT&T,2023-02-25,AT&T Inc.,AT&T Inc.,住宅用户,电信市场调查,https://www.att.com,,
智能农业网络,物联网通信,智慧农业设备管理,农夫网,2023-03-14,Farmers Network,"Farmers Network, Inc.",农业企业,农业技术进展,https://www.farmersnetwork.com,,
智能电网系统,能源管理系统,实时监控与调度,GE能源,2023-04-05,General Electric,General Electric Company,能源机构,能源行业分析,https://www.ge.com,,
量子加密通信网络,量子通信,量子密钥分发,北京大学,2023-07-20,北京大学,Peking University,科研机构及政府,量子通信研究中心,http://www.pku.edu.cn/,,
高频交易通信系统,金融通信,毫秒级延迟,摩根大通,2023-11-01,J.P. Morgan,J.P. Morgan Chase & Co.,金融投资公司,金融科技研究,https://www.jpmorgan.com,,
全球互联网安全通信系统,网络安全,安全传输层协议,云安全,2022-12-12,Cloud Security,Cloud Security Inc.,各类企业,网络安全报告,https://www.cloudsecurity.com,,
低功耗广域网络,物联网通信,LoRaWAN技术,Semtech,2023-01-15,Semtech Corporation,Semtech Corp.,物联网设备制造商,无线通信技术介绍,https://www.semtech.com,,
城市Wi-Fi接入网络,无线通信系统,公共Wi-Fi热点,Google,2023-09-10,Alphabet Inc.,Alphabet Inc.,公共场所,互联网普及研究,https://www.google.com,,
智能交通信号控制系统,智慧城市通信,自适应信号控制,施耐德电气,2023-02-05,Schneider Electric,Schneider Electric SE,城市交通管理,城市绿色发展报告,https://www.se.com,,
跨境电商通信网络,电商通信,多语种自动翻译,阿里巴巴国际,2023-03-25,阿里巴巴,Alibaba Group,跨境电商企业,跨境电商市场分析,https://www.alibaba.com,,
电动汽车充电网络,电动车通信,快速充电设备,特斯拉,2023-08-20,"Tesla, Inc.","Tesla, Inc.",电动汽车用户,新能源汽车报道,https://www.tesla.com,,
全球智能物流平台,物流通信系统,实时跟踪与数据分析,顺丰快递,2023-06-12,SF Express,SF Holding,物流行业,物流技术研究,http://www.sf-express.com,,
智能家居通信系统,物联网通信,Zigbee协议,美的集团,2023-08-01,美的智能,美的集团股份有限公司,家庭用户,消费电子市场研究,https://www.midea.com,,
V2X通信系统,智能交通系统,DSRC,博世,2022-10-15,博世集团,博世公司,交通管理部门,汽车行业报告,https://www.bosch.com,,
跨境数据通信网络,国际通信系统,MPLS,AT&T,2023-01-21,AT&T Inc.,美国电话电报公司,跨国企业,国际电信日活动,https://www.att.com,,
5G NR核心网,移动通信系统,SA/NSA架构,诺基亚,2023-04-18,诺基亚公司,诺基亚网络,电信运营商,电信业分析报告,https://www.nokia.com,,
超宽带通信系统,无线通信系统,UWB,德州仪器,2023-06-10,德州仪器,德州仪器公司,无线设备制造商,EDA工具总结,https://www.ti.com,,
全球卫星互联网系统,卫星通信,Starlink,SpaceX,2023-03-05,SpaceX,Space Exploration Technologies Corp,偏远地区用户,航天科技新闻,https://www.spacex.com,,
量子水务通信网络,量子通信,量子分发,香港科技大学,2023-02-22,香港科技大学,香港科技大学,水务公司,量子技术期刊,http://www.ust.hk,,
工业4.0无线通信系统,工业通信,5G私有网络,西门子,2023-09-01,西门子,西门子股份公司,制造企业,工业技术展览会,https://www.siemens.com,,
光纤接入网络,固定通信系统,FTTH,日本电信电话公司,2021-12-12,NTT,NTT Corporation,家庭和企业用户,日本电信协会,https://www.ntt.com,,
智能农业通信系统,物联网通信,LoRaWAN,阿里巴巴,2022-11-05,阿里云,阿里巴巴集团,农业用户,农科技术杂志,https://www.alibaba.com,,
企业级云通信平台,云计算系统,Unified Communication,微软,2023-05-14,Microsoft,微软公司,企业用户,IT市场研究,https://www.microsoft.com,,
北极信号通信网络,卫星通信,Ka-band Satellite,申请国际通信卫星公司,2023-07-20,Intelsat,Intelsat S.A.,研究机构,卫星通信会议,https://www.intelsat.com,,
智能电网通信系统,电力通信,GSM-R,中国南方电网,2023-09-22,南方电网,中国南方电网公司,电力行业,电力行业研究报告,http://www.csg.cn,,
室内导航通信系统,位置服务,Bluetooth Beacon,苹果公司,2023-03-15,Apple Inc.,苹果公司,零售商,消费电子技术论坛,https://www.apple.com,,
能源管理通信网络,智慧能源系统,MQTT协议,施耐德电气,2022-12-03,施耐德,施耐德电气股份公司,电力企业,智能建筑展览,https://www.se.com,,
全国零售商Wi-Fi网络,无线通信,802.11ax,思科系统,2023-01-30,Cisco,思科公司,零售业,国际网络展览,https://www.cisco.com,,
港口物流通信系统,物流通信,NFC,先进物流,2023-05-25,先进物流有限公司,先进物流有限公司,运输公司,物流管理周刊,https://www.logistics.com,,
智能家居通信网络,物联网通信,Zigbee,小米科技有限公司,2023-08-10,小米,小米集团,家庭用户,行业研究报告,https://www.mi.com,,
静态IP V6网,固定通信系统,IPv6,中国联通,2023-01-15,中国联通,中国联合网络通信有限公司,企业用户,通信产业观察,https://www.chinaunicom.com,,
数字增强现实平台,虚拟现实通信,AR/VR Support,字节跳动,2023-06-24,字节跳动,字节跳动科技有限公司,娱乐及教育用户,市场分析报告,https://www.bytedance.com,,
全景视频传媒网,多媒体通信系统,360度视频,优酷,2023-07-05,优酷信息技术有限公司,优酷土豆网络技术(北京)有限公司,内容创作者,多媒体产业报告,https://www.youku.com,,
卫星互联网服务,卫星通信,低轨卫星网络,SpaceX,2023-04-22,SpaceX,Space Exploration Technologies Corp,偏远地区用户,空间研究机构,https://www.spacex.com,,
全光网通信系统,光纤通信,GPON,中国电信,2022-11-15,中国电信,中国电信股份有限公司,住宅及企业用户,国内通信市场报告,https://www.chinatelecom.com.cn,,
大数据传输系统,数据中心通信,100G光纤,亚马逊网络服务,2023-09-05,AWS,"Amazon Web Services, Inc.",企业及开发者,科技新闻网站,https://aws.amazon.com,,
自主驾驶车联网系统,车载通信系统,V2X,特斯拉,2023-02-18,特斯拉,特斯拉汽车有限公司,汽车制造商,汽车行业公报,https://www.tesla.com,,
HoloLens 5G通信网,无线通信系统,5G融合应用,微软,2023-08-30,Microsoft,微软公司,企业及开发者,技术分析报告,https://www.microsoft.com,,
生物识别安全网络,安全通信系统,指纹识别,掌聚科技,2023-03-12,掌聚,掌聚科技（北京）有限公司,金融及安防行业,安防行业协会,https://www.zhangju.com,,
太空互联网计划,卫星通信,激光通信,OneWeb,2023-09-29,OneWeb,OneWeb Ltd.,全球用户,国际通信协会,https://www.oneweb.world,,
边缘智能网络,边缘计算系统,AI推理,英伟达,2023-06-10,NVIDIA,英伟达公司,开发者及企业,科技新闻杂志,https://www.nvidia.com,,
智慧两轮交通系统,智慧交通通信,GPS智能导航,LYFT,2023-05-15,LYFT,LYFT公司,共享骑行用户,智能交通研究报告,https://www.lyft.com,,
室内定位系统,定位通信,UWB技术,Zebra Technologies,2023-08-20,Zebra,Zebra Technologies Corporation,零售及仓库用户,物流与管理咨询,https://www.zebra.com,,
全球区块链通信系统,区块链应用,去中心化网络,以太坊基金会,2023-07-17,Ethereum,Ethereum Foundation,开发者及金融用户,区块链科技会议,https://ethereum.org,,
生物特征数据安全网络,安全通信系统,双重认证,Auth0,2023-09-03,Auth0,"Auth0, Inc.",企业及开发人员,安全技术论坛,https://auth0.com,,
智能家居控制系统,家庭自动化系统,物联网集成,小米科技,2023-08-15,小米,小米科技有限公司,家庭用户,市场分析报告,https://www.xiaomi.com,,
云视频会议平台,协作通信,高清视频流,Zoom Video Communications,2023-06-10,Zoom,Zoom视频通讯公司,企业与教育用户,科技新闻网站,https://zoom.us,,
6G网络研究项目,下一代移动系统,超高速数据传输,诺基亚,2023-09-05,诺基亚,诺基亚公司,研究机构,国际通信联盟,https://www.nokia.com,,
智能交通管理平台,智慧城市应用,实时数据分析,阿尔卡特朗讯,2023-04-25,诺基亚贝尔,阿尔卡特朗讯,城市政府,城市发展报告,https://www.alcatel-lucent.com,,
自适应无线网络,无线通信,动态频谱管理,高通,2022-12-01,Qualcomm,高通公司,移动网络运营商,IEEE通讯协会,https://www.qualcomm.com,,
车联网通信系统,智能交通,DSRC技术,日产汽车,2023-01-18,日产,日产汽车公司,车主与驾驶员,汽车技术展,https://www.nissan-global.com,,
可穿戴设备通信网络,消费者技术,蓝牙LE,苹果公司,2023-07-22,Apple,苹果公司,个人用户,市场研究,https://www.apple.com,,
智能电网系统,能源管理,物联网集成,西门子,2023-03-12,西门子股份公司,西门子公司,能源公司,能源科技报告,https://www.siemens.com,,
智能物流管理系统,供应链管理,RFID跟踪,京东物流,2023-02-01,京东,京东物流科技有限公司,零售商,行业标准化组织,https://www.jd.com,,
跨国语音通信平台,国际通话服务,VoIP技术,Twilio,2023-11-20,Twilio,Twilio Inc.,企业用户,通信行业分析,https://www.twilio.com,,
量子计算通信系统,量子通信,量子纠缠传输,IBM,2023-05-22,IBM,IBM公司,科研机构,量子科技期刊,https://www.ibm.com,,
智能农业系统,农业科技,传感器网络,拜耳作物科学,2023-10-08,拜耳,拜耳作物科学有限公司,农民与农业企业,农业创新展,https://www.cropscience.bayer.com,,
动态负载平衡网络,网络优化,高效数据流,思科系统,2023-12-15,思科,思科系统公司,数据中心用户,网络技术展会,https://www.cisco.com,,
移动支付通信终端,金融科技,NFC技术,Visa,2023-09-29,Visa,Visa 国际公司,商家与消费者,金融科技报告,https://www.visa.com,,
远程医疗通信平台,医疗科技,HD远程视频,Teladoc Health,2023-05-01,Teladoc,"Teladoc Health, Inc.",医疗服务提供者,医疗技术期刊,https://www.teladochealth.com,,
多云网络连接服务,云计算服务,云间数据传输,Microsoft Azure,2023-01-12,Microsoft,微软公司,云服务用户,IT行业报告,https://azure.microsoft.com,,
个性化广告通信系统,数字营销,数据分析平台,谷歌,2023-07-04,Google,谷歌公司,广告主,数字营销协会,https://www.google.com,,
智能金融网关,金融通信系统,区块链兼容,蚂蚁集团,2023-08-01,蚂蚁科技,蚂蚁科技集团,金融机构,金融科技报告,https://www.antgroup.com,,
美国5G基础设施,移动通信系统,5G NR,AT&T,2022-11-10,AT&T,AT&T Inc.,普通用户,美国联邦通信委员会,https://www.fcc.gov,,
智慧农业传感器网络,物联网通信,LoRaWAN,安恒科技,2023-01-15,安恒,安恒科技有限公司,农业用户,中国农业信息网,http://www.chinaagrinews.com,,
智能矿山通讯系统,工业通信系统,采矿专用通信,中煤矿业,2023-03-28,中煤,中国煤矿矿业集团,矿业企业,中国矿业部,http://www.cmc.com.cn,,
欧洲高速互联网接入,宽带通信系统,光纤到户,Vodafone,2023-09-20,Vodafone Group,Vodafone Plc,家庭用户,欧洲通信监管局,https://www.vodafone.com,,
智能电网通讯网络,智能电网系统,Zigbee,国家电网公司,2022-04-15,国家电网,国家电网公司,能源用户,中国电力报,http://www.sgcc.com.cn,,
多媒体数据传输网络,宽带通信系统,SDN,中兴通讯,2023-05-05,中兴,中兴通讯股份有限公司,媒体机构,通信行业协会,http://www.zte.com.cn,,
全球卫星定位网络,卫星通信,GNSS,Inmarsat,2023-06-11,Inmarsat,Inmarsat Global Limited,交通运输用户,国际空间局,https://www.inmarsat.com,,
地铁无线通信系统,公共交通通信,LTE,中国移动,2023-07-07,中国移动,中国移动通信集团公司,城市居民,城市交通管理局,https://www.chinamobileltd.com,,
北极遥感通信网络,科研通信,无线电波,诺基亚,2023-04-22,Nokia,诺基亚公司,科研机构,国际气候组织,https://www.nokia.com,,
万物互联通信框架,物联网通信,MQTT协议,思科系统公司,2023-10-05,思科,思科系统有限公司,开发者,物联网技术白皮书,https://www.cisco.com,,
智慧能源管理系统,能源管理通信,AI优化,特斯拉,2023-02-28,Tesla,特斯拉公司,企业用户,全球能源基金,https://www.tesla.com,,
智能家居控制网络,家庭自动化通信,Z-Wave,三星电子,2023-11-30,Samsung,三星电子有限公司,普通家庭,家居技术杂志,https://www.samsung.com,,
女性科技平台通信网络,社交通信系统,安全社交平台,Slack Technologies,2023-08-14,Slack,Slack Technologies Inc.,职业女性,科技趋势报告,https://slack.com,,
低延迟云游戏网络,游戏通信系统,边缘计算支持,微软,2023-09-25,Microsoft,微软公司,游戏玩家,游戏行业协会,https://www.microsoft.com,,
跨境电子商务通信网络,商业通信系统,实时数据传输,亚马逊,2023-10-01,Amazon,亚马逊公司,在线零售商,电子商务研究院,https://www.amazon.com,,
智能家居连接平台,物联网通信,Zigbee及Wi-Fi集成,小米科技,2023-06-15,小米,小米科技有限责任公司,家庭用户,家居科技展览,https://www.mi.com,,
高频交易通信系统,金融通信系统,低延迟专用线,摩根士丹利,2023-08-01,摩根士丹利,摩根士丹利金融服务公司,金融机构,金融市场分析,https://www.morganstanley.com,,
西非数字教育平台,在线教学系统,云直播技术,最大教育科技,2023-02-20,最大教育,最大教育科技有限公司,学生及教育机构,教育部国际合作服务器,https://www.maxeducation.com,,
自动驾驶车辆通信系统,车辆网络通信,V2X通讯,特斯拉,2023-04-10,特斯拉汽车,特斯拉有限公司,汽车制造商,国家交通安全局,https://www.tesla.com,,
全球地理信息系统,GIS系统,基于云的地理数据分析,Esri,2023-07-25,Esri,Esri公司,政府及科研机构,GIS技术周刊,https://www.esri.com,,
虚拟现实会议系统,虚拟通信系统,沉浸式VR环境,Meta,2023-05-12,Meta Platforms,Meta公司,企业与专业人士,新技术论坛,https://www.meta.com,,
北欧海洋通信系统,海洋通信,卫星+光纤,Nordic Communications,2023-03-30,Nordic,北欧通信公司,海洋航运公司,国际海洋通信协会,https://www.nordiccommunication.com,,
国家级应急通信系统,应急通信,移动网络与卫星支持,中国移动,2023-09-01,中国移动,中国移动通信集团有限公司,政府与安全部门,国家应急管理部,https://www.chinamobile.com,,
太阳能网络监测系统,环境监测,低功耗无线传输,晴天科技,2023-10-10,晴天科技,晴天科技有限公司,环保组织,环保科技展,https://www.qingtian.com,,
东南亚跨境电商物流网络,电子商务通信系统,集成API接口,亚马逊,2023-01-15,亚马逊,亚马逊公司,在线零售商,电子商务观察,https://www.amazon.com,,
全球气候监测通信网络,气候监测系统,传感器网络,气候科技公司,2023-09-18,Climate Tech,气候科技公司有限责任公司,研究机构,全球变暖观察局,https://www.climatetech.com,,
移动健康监测网络,医疗健康通信系统,可穿戴设备集成,苹果公司,2023-05-05,Apple,苹果公司,个人用户,医疗科技会议,https://www.apple.com,,
智能物流无人机通信系统,无人机通信,实时数据传输,DJI大疆,2023-03-12,大疆创新科技,大疆创新科技有限公司,货运和配送公司,无人机展会,https://www.dji.com,,
城市公共Wi-Fi网络,无线网络系统,多用户接入,AT&T,2023-04-20,AT&T Inc.,AT&T公司,城市居民,城市管理局,https://www.att.com,,
南极考察通信系统,极地通信,卫星通信,NASA,2023-08-05,美国国家航空航天局,NASA,科研团体,科学研究期刊,https://www.nasa.gov,,
社交媒体数据分析平台,数据分析通信系统,实时分析与监控,推特,2023-02-01,Twitter,推特公司,市场营销人员,社交媒体研究,https://www.twitter.com,,
虚拟医生通信系统,医疗健康通信系统,视频通话与监测,Teladoc Health,2023-06-28,Teladoc,Teladoc Health Inc.,患者,医疗监管机构,https://www.teladoc.com,,
智能家庭网络,家庭自动化系统,智能家居控制,小米科技,2023-08-11,小米集团,小米科技有限公司,家庭用户,市场调研报告,https://www.mi.com,,
城市公共Wifi系统,无线通信系统,公共网络覆盖,中国联通,2023-01-15,中国联通,中国联合网络通信有限公司,城市居民,城市规划局,https://www.chinaunicom.com,,
企业VPN解决方案,安全通信系统,虚拟专用网络,思科系统有限公司,2023-04-22,思科,思科系统有限公司,企业用户,网络安全报告,https://www.cisco.com,,
卫星物联网网络,物联网通信,全球覆盖,Iridium Communications,2022-11-10,Iridium,Iridium Communications Inc.,全球用户,国际卫星组织,https://www.iridium.com,,
5G边缘计算平台,云计算系统,低延迟云服务,AWS（亚马逊网络服务）,2023-07-01,亚马逊,亚马逊公司,开发者与企业,云计算行业报告,https://aws.amazon.com,,
量子密钥编码系统,量子通信,量子密钥分发,谷歌量子人工智能,2023-10-05,谷歌,谷歌公司,研究机构,科技前沿期刊,https://quantumai.google,,
智能交通管理系统,智慧城市通信,实时交通监控,思科系统有限公司,2023-06-18,思科,思科系统有限公司,政府与城市管理,城市交通委员会,https://www.cisco.com,,
全球车联网解决方案,物联网通信,车辆通信标准,英特尔公司,2023-03-29,英特尔,英特尔公司,汽车制造业,汽车行业研究,https://www.intel.com,,
高速公路智能收费系统,智慧城市通信,自动收费解决方案,松下电器,2023-02-19,松下,松下电器产业株式会社,政府与公共机构,交通运输协会,https://www.panasonic.com,,
下一代物联网平台,物联网通信,连接管理,爱立信,2023-01-30,爱立信,爱立信公司,企业及开发者,通信行业分析,https://www.ericsson.com,,
区块链通信网络,创新通信系统,分布式账本技术,IBM,2023-05-25,IBM,国际商业机器公司,企业及开发者,IT行业洞察,https://www.ibm.com,,
可穿戴设备通信网络,物联网通信,健康监测,Fitbit,2023-08-05,谷歌,Fitbit Inc.,个人用户,健康科技报告,https://www.fitbit.com,,
网络流量分析系统,网络优化系统,流量实时监控,NETSCOUT,2023-04-10,NETSCOUT,"NETSCOUT SYSTEMS, INC.",企业用户,网络安全分析,https://www.netscout.com,,
