基础结构（字符型）,上行带宽（字符型）,下行带宽（字符型）,抗氢老化稳定性（字符型）,采集来源,来源链接,采集时间,备注
长距离Wi-Fi,50 Mbps,500 Mbps,高,连接世界,https://www.connectivityworld.com,,
超宽带无线网络,100 Mbps,600 Mbps,中,华为云,https://www.huaweicloud.com,,
量子通信网络,特定,特定,高,清华大学量子科技研究中心,https://www.tsinghua.edu.cn,,
智能光网络,300 Mbps,1.5 Gbps,高,中科院光电研究所,http://www.io.com.cn,,
LoRaWAN,1 kbps,10 kbps,中,阿里巴巴新零售,https://www.alibaba.com,,
蜂窝物联网,20 Mbps,200 Mbps,中,高通物联网,https://www.qualcomm.com,,
智能路由器网络,250 Mbps,1.2 Gbps,高,小米科技,https://www.mi.com,,
边缘计算网络,150 Mbps,600 Mbps,高,英特尔,https://www.intel.com,,
移动卫星互联网,40 Mbps,300 Mbps,中,欧洲航天局,https://www.esa.int,,
宽带接入网,80 Mbps,500 Mbps,高,中国信息通信研究院,https://www.caict.ac.cn,,
IPv6网络,100 Mbps,1 Gbps,高,网络工程师联盟,https://www.networkworld.com,,
光纤到户（FTTH）,1 Gbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
卫星互联网,30 Mbps,100 Mbps,中,Eutelsat,https://www.eutelsat.com,,
4G LTE,50 Mbps,200 Mbps,中,中国联通,https://www.chinaunicom.com,,
以太网接入,500 Mbps,2 Gbps,高,阿里巴巴,https://www.alibaba.com,,
5G网络,200 Mbps,1.5 Gbps,高,中国移动,https://www.chinamobileltd.com,,
NLoS （非视距）,45 Mbps,180 Mbps,低,中兴通讯,https://www.zte.com.cn,,
Wi-Fi 6E,1.5 Gbps,9.6 Gbps,中,华硕,https://www.asus.com,,
毫米波通信,300 Mbps,3 Gbps,高,高通,https://www.qualcomm.com,,
光纤宽带,250 Mbps,1 Gbps,高,AT&T,https://www.att.com,,
混合光纤同轴电缆 (HFC),150 Mbps,600 Mbps,中,康卡斯特,https://www.comcast.com,,
边缘计算,100 Mbps,500 Mbps,高,IBM,https://www.ibm.com,,
超宽带无线技术,400 Mbps,2.5 Gbps,高,爱立信,https://www.ericsson.com,,
红外通信,20 Mbps,100 Mbps,低,光纤协会,https://www.foa.org,,
光纤局域网,2 Gbps,2 Gbps,高,思科系统,https://www.cisco.com,,
等离子云网络,100 Mbps,1 Gbps,高,谷歌云,https://cloud.google.com,,
智能家居网络,60 Mbps,250 Mbps,中,小米科技,https://www.mi.com,,
城市光网,1 Gbps,5 Gbps,高,京东科技,https://www.jd.com,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
G.fast,150 Mbps,600 Mbps,中,华为技术,https://www.huawei.com,,
7G网络,200 Mbps,1200 Mbps,高,中国移动,https://www.chinamobileltd.com/,,
Wi-Fi 6E,1.5 Gbps,9.6 Gbps,高,网络世界,https://www.networkworld.com,,
Wi-Fi 7,2 Gbps,30 Gbps,中,IEEE,https://www.ieee.org/,,
毫米波通信,500 Mbps,1.2 Gbps,高,京东科技,https://www.jd.com,,
低轨卫星网络,25 Mbps,100 Mbps,中,OneWeb,https://www.oneweb.world/,,
DSRC（Dedicated Short-Range Communications）,50 Mbps,50 Mbps,高,汽车电子学会,https://www.automotiveelectronics.org,,
热带卫星通信,15 Mbps,300 Mbps,中,NASA,https://www.nasa.gov/,,
次毫米波通信,75 Mbps,200 Mbps,中,清华大学,https://www.tsinghua.edu.cn/,,
光纤宽带接入,500 Mbps,2 Gbps,高,美国通信协会,https://www.ctia.org/,,
4G LTE Advanced,50 Mbps,300 Mbps,中,高通,https://www.qualcomm.com/,,
交换机网络,10 Gbps,10 Gbps,高,ZTE,https://www.zte.com.cn/,,
CBRS（Citizens Broadband Radio Service）,1 Gbps,5 Gbps,高,FCC,https://www.fcc.gov/,,
BPL（Broadband over Power Lines）,30 Mbps,60 Mbps,中,电力公司,https://www.utility.com/,,
被动光网络（PON）,100 Mbps,1 Gbps,高,安费诺,https://www.amphenol.com/,,
职能数据网络,200 Mbps,2 Gbps,高,华为技术,https://www.huawei.com,,
泛在网络,150 Mbps,600 Mbps,中,阿里巴巴,https://www.alibaba.com,,
光纤到户（FTTH）,500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
DSL接入,5 Mbps,25 Mbps,中,IT资讯网,https://www.itnews.com,,
光纤分布式接入,250 Mbps,800 Mbps,高,全球互联网研究中心,https://www.globalinternet.org,,
Wi-Fi 6E,2 Gbps,10 Gbps,中,小米科技,https://www.mi.com,,
L波段卫星通信,15 Mbps,30 Mbps,高,中国航天科技集团,http://www.spacechina.com,,
6G 网络,1.5 Gbps,10 Gbps,高,中国科学技术大学,https://www.ustc.edu.cn,,
电力线通信（PLC）,100 Mbps,150 Mbps,中,华为技术,https://www.huawei.com,,
毫米波通信,200 Mbps,1 Gbps,高,国际电信联盟,https://www.itu.int,,
边缘计算网络,1 Gbps,1.5 Gbps,高,阿里巴巴集团,https://www.alibaba.com,,
动态光网络（DWN）,300 Mbps,1.2 Gbps,高,清华大学,https://www.tsinghua.edu.cn,,
隧道光纤网络,50 Mbps,400 Mbps,中,中兴通讯,https://www.zte.com.cn,,
超宽带无线网络,400 Mbps,2 Gbps,高,百度科技,https://www.baidu.com,,
自组织网络（SON）,120 Mbps,800 Mbps,高,硅谷创业公司,https://www.svstartup.com,,
量子通信,无上限,无上限,高,量子通信技术实验室,http://www.quantumtechlab.com,,
小型基站,50 Mbps,200 Mbps,中,农业科技中心,https://www.agri-tech.org,,
社交媒体网络接入,30 Mbps,150 Mbps,中,新浪网,https://www.sina.com.cn,,
增强现实网络,60 Mbps,300 Mbps,高,Facebook科学研究院,https://www.facebook.com,,
新型城域网,100 Mbps,500 Mbps,中,城市发展研究所,http://www.urbandevelopment.org,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
固定无线接入,50 Mbps,250 Mbps,中,中国广电,https://www.cctv.com,,
L波段卫星互联网,10 Mbps,100 Mbps,低,Inmarsat,https://www.inmarsat.com,,
HSPA+网络,25 Mbps,100 Mbps,中,中国联通,https://www.chinaunicom.com/,,
微波通信,80 Mbps,400 Mbps,中,中兴通讯,https://www.zte.com.cn,,
超高速光纤网络,1 Gbps,2 Gbps,高,长江通信,https://www.cyang.com,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,中,低空科技,https://www.dakongkeji.com,,
6G网络,10 Gbps,100 Gbps,高,国际电信联盟,https://www.itu.int,,
光纤分布式接入,1 Gbps,2 Gbps,高,光网络研究所,https://www.fiberresearch.org,,
NB-IoT网络,250 Kbps,250 Kbps,低,物联网中心,https://www.iot-center.com,,
光纤链路,2 Gbps,10 Gbps,高,华为技术,https://www.huawei.com,,
DSL网络,20 Mbps,80 Mbps,中,中国电信,https://www.chinatelecom.com.cn,,
802.11ax无线网络,1 Gbps,6 Gbps,高,Intel,https://www.intel.com,,
IPv6升级网络,500 Mbps,1.5 Gbps,高,网络技术标准委员会,https://www.w3c.org,,
SOHO宽带,100 Mbps,300 Mbps,中,搜狐科技,https://www.sohu.com/,,
自适应网络,250 Mbps,2 Gbps,高,新华社,https://www.xinhuanet.com,,
全光网,5 Gbps,20 Gbps,高,光纤前沿,https://www.fiberfrontier.com,,
光纤到户（FTTH）,500 Mbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
光纤密集波分复用（DWDM）,1 Gbps,10 Gbps,高,华为技术,https://www.huawei.com,,
微波无线接入,150 Mbps,300 Mbps,中,联通研究院,https://www.chinaunicom.com,,
802.11ax（Wi-Fi 6E）,1.2 Gbps,9.6 Gbps,高,网络世界,https://www.networkworld.com,,
5G NR（新无线接入）,200 Mbps,1.5 Gbps,高,中兴通讯,https://www.zte.com.cn,,
光电复合接入网,300 Mbps,3 Gbps,高,中国网络通信,https://www.chinacache.com,,
电力线通信（PLC）,30 Mbps,70 Mbps,中,华东电力,http://www.eastChinaPower.com,,
城市光纤网络,150 Mbps,500 Mbps,中,中国移动,https://www.chinamobileltd.com,,
超宽带无线接入,1 Gbps,10 Gbps,高,阿里巴巴云,https://www.aliyun.com,,
分布式天线系统（DAS）,50 Mbps,300 Mbps,中,移动网络联盟,https://www.mna.org,,
光纤广播系统,70 Mbps,400 Mbps,高,广播电视研究中心,http://www.bt-research.org,,
无线局域网（WLAN）,200 Mbps,600 Mbps,中,IT专家,https://www.itexpert.com,,
高通量卫星网络,10 Mbps,400 Mbps,中,Global Satellite Network,https://www.gsn.com,,
边缘计算网络,300 Mbps,1 Gbps,高,边缘云服务,https://www.edgecloud.net,,
移动宽带网络（LTE）,100 Mbps,500 Mbps,中,中国联通,https://www.chinaunicom.com,,
智能家居网络,50 Mbps,200 Mbps,中,智能家居科技,https://www.smarthome-tech.com,,
低轨卫星网络,25 Mbps,150 Mbps,中,卫星网络研究院,https://www.satellitenetworks.org,,
高速数据中心网络,2 Gbps,10 Gbps,高,数据中心联盟,https://www.datacenteralliance.com,,
光纤到户 (FTTH),500 Mbps,1 Gbps,高,中国电信,https://www.chinaet.cn/,,
太空互联网,50 Mbps,300 Mbps,中,OneWeb,https://www.oneweb.world/,,
固定无线接入,10 Mbps,50 Mbps,低,联通宽带,https://www.chinaunicom.com/,,
光纤通道 (FC),16 Gbps,16 Gbps,高,惠普企业,https://www.hpe.com/,,
移动卫星通信,12 Mbps,150 Mbps,中,Inmarsat,https://www.inmarsat.com/,,
下一代光网络（NGN）,400 Mbps,2 Gbps,高,诺基亚,https://www.nokia.com/,,
IPv6网络,100 Mbps,1 Gbps,高,网络信息中心,https://www.nic.cn/,,
热带地区无线接入,20 Mbps,100 Mbps,低,天翼宽带,https://www.1900.net/,,
光网络单元（ONU）,150 Mbps,750 Mbps,高,Cisco,https://www.cisco.com/,,
LoRaWAN,1 Mbps,1 Mbps,中,Semtech,https://www.semtech.com/,,
边缘计算网络,25 Mbps,250 Mbps,高,亚马逊云服务,https://aws.amazon.com/,,
业界标准以太网技术,10 Gbps,10 Gbps,高,IEEE,https://www.ieee.org/,,
微波通信,30 Mbps,150 Mbps,中,WOW! Internet,https://www.wowway.com/,,
量子通信网络,特定,特定,高,中国科学院,https://www.cas.cn/,,
超高速5G网络,1 Gbps,10 Gbps,高,Verizon,https://www.verizon.com/,,
区域性光纤网络,200 Mbps,800 Mbps,高,AT&T,https://www.att.com/,,
长距离无线技术（LoRa）,2 Mbps,2 Mbps,中,Actility,https://www.actility.com/,,
电力线通信 (PLC),100 Mbps,100 Mbps,中,中国电力,https://www.cec.org.cn/,,
光纤到户 (FTTH),500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com,,
光传输网络 (OTN),100 Gbps,400 Gbps,高,中兴通讯,https://www.zte.com.cn,,
4G LTE网络,50 Mbps,150 Mbps,中,小米科技,https://www.mi.com,,
超宽带光纤网络,2 Gbps,10 Gbps,高,阿里巴巴集团,https://www.alibaba.com,,
宽带无线接入 (WBA),10 Mbps,50 Mbps,中,联想集团,https://www.lenovo.com,,
IEEE 802.11ax (Wi-Fi 6),1.2 Gbps,9.6 Gbps,高,华硕电脑,https://www.asus.com,,
郊区光纤网络,100 Mbps,300 Mbps,中,中国铁塔,https://www.chinatowercom.com,,
以太网络,10 Gbps,10 Gbps,高,腾讯科技,https://www.tencent.com,,
毫米波5G网络,200 Mbps,1.5 Gbps,中,诺基亚,https://www.nokia.com,,
光纤分布式接入 (Passive Optical Network),900 Mbps,3 Gbps,高,光纤设备协会,https://www.fiberoptics.com,,
低空卫星互联网,25 Mbps,150 Mbps,中,亚马逊卫星网络,https://www.amazon.com,,
Mesh Wi-Fi,300 Mbps,1.2 Gbps,高,TP-Link,https://www.tp-link.com,,
边缘计算网络,150 Mbps,800 Mbps,高,云计算协会,https://www.cloudcomputing.org,,
HFC網絡 (混合光纤同轴),75 Mbps,600 Mbps,中,康卡斯特,https://www.comcast.com,,
高效能光网络,400 Mbps,1.2 Gbps,高,思科系统,https://www.cisco.com,,
802.11ac (Wi-Fi 5),200 Mbps,1.3 Gbps,高,网络设备协会,https://www.networkequipment.org,,
下一代无线网络,500 Mbps,2 Gbps,高,英特尔公司,https://www.intel.com,,
光纤到户（FTTH）,500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
数字用户线（ADSL2+）,1 Mbps,24 Mbps,中,腾讯科技,https://tech.qq.com,,
无线路由（Wi-Fi 5）,400 Mbps,3.5 Gbps,中,小米科技,https://www.mi.com,,
光纤通道（FC）,16 Gbps,16 Gbps,高,思科系统,https://www.cisco.com,,
Cable Modem,30 Mbps,400 Mbps,中,康宁公司,https://www.corning.com,,
固定无线接入,50 Mbps,150 Mbps,中,中国广电,https://www.cgtv.com,,
光纤网络（PON）,2 Gbps,10 Gbps,高,欧洲电信研究院,https://www.etsi.org,,
Wi-Fi 7,1.2 Gbps,30 Gbps,高,高通公司,https://www.qualcomm.com,,
LTE网络,50 Mbps,300 Mbps,中,诺基亚,https://www.nokia.com,,
微波接入,100 Mbps,200 Mbps,中,华为技术,https://www.huawei.com,,
SD-WAN,200 Mbps,1 Gbps,高,Juniper Networks,https://www.juniper.net,,
干线光缆,10 Gbps,100 Gbps,高,中国信科,https://www.jsic.net.cn,,
星链系统,50 Mbps,150 Mbps,中,SpaceX Starlink,https://www.starlink.com/,,
卫星宽带,25 Mbps,400 Mbps,中,Viasat,https://www.viasat.com,,
智能家居网络,100 Mbps,500 Mbps,高,联想集团,https://www.lenovo.com,,
NB-IoT,10 Kbps,100 Kbps,中,中兴通讯,https://www.zte.com.cn,,
毫米波通信,1 Gbps,10 Gbps,高,华为技术,https://www.huawei.com,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
无线光接入,100 Mbps,700 Mbps,中,长飞光纤,https://www.changyi.com,,
DOCSIS 3.1,1 Gbps,10 Gbps,高,通信世界网,https://www.cww.net.cn,,
移动光纤接入,250 Mbps,800 Mbps,高,中国移动,https://www.chinamobile.com,,
光纤直连,1 Gbps,5 Gbps,高,中兴通讯,https://www.zte.com.cn,,
以太网 over 光纤,500 Mbps,2 Gbps,高,海思半导体,https://www.hisilicon.com,,
5G NR,200 Mbps,1.5 Gbps,高,华为技术,https://www.huawei.com,,
星链卫星互联网,50 Mbps,150 Mbps,中,SpaceX,https://www.spacex.com,,
固定无线接入,30 Mbps,300 Mbps,中,中国联通,https://www.chinaunicom.com,,
光纤网络,500 Mbps,1.5 Gbps,高,Fiber Optic Association,https://www.foa.org,,
4G LTE,40 Mbps,150 Mbps,中,移动通信网,https://www.mobileworld.com,,
卫星宽带,10 Mbps,25 Mbps,低,AT&T,https://www.att.com,,
Wi-Fi 7,2 Gbps,30 Gbps,高,CNET,https://www.cnet.com,,
Cable Modem,100 Mbps,500 Mbps,中,家庭网络杂志,https://www.home-networking.com,,
MPLS VPN,200 Mbps,1 Gbps,高,国际数据公司,https://www.idc.com,,
Cloudflare网络,500 Mbps,3 Gbps,高,Cloudflare,https://www.cloudflare.com,,
DSL,10 Mbps,50 Mbps,中,Rural Broadband Institute,https://www.ruralbroadband.org,,
光纤到户（FTTH）,100 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
DSL,15 Mbps,75 Mbps,中,搜狐科技,https://www.sohu.com/,,
微波通信,10 Mbps,200 Mbps,低,中兴通讯,https://www.zte.com.cn,,
4G LTE,50 Mbps,300 Mbps,中,中国联通,https://www.chinaunicom.com/,,
有线电视网络 (CATV),5 Mbps,150 Mbps,高,中国广播电视网络,https://www.cbtv.com.cn,,
超宽带无线网络,200 Mbps,1.2 Gbps,中,京东云,https://www.jdcloud.com/,,
深度学习加速网络,500 Mbps,2 Gbps,高,百度云,https://cloud.baidu.com/,,
传输控制协议/互联网协议（TCP/IP）,无特定值,无特定值,高,ITU,https://www.itu.int/,,
云计算网络,300 Mbps,2 Gbps,高,阿里巴巴集团,https://www.alibaba.com/,,
边缘计算网络,150 Mbps,850 Mbps,高,小米科技,https://www.mi.com/,,
卫星宽带,25 Mbps,800 Mbps,高,Inmarsat,https://www.inmarsat.com/,,
智能家居网络,50 Mbps,400 Mbps,中,TP-Link,https://www.tp-link.com/,,
光纤到节点（FTTN）,30 Mbps,300 Mbps,高,三星电子,https://www.samsung.com/,,
量子通信网络,特定,特定,高,全球量子网络,https://www.globalquantumnetwork.com/,,
蓝牙网络,0.8 Mbps,2 Mbps,中,蓝牙特别兴趣组,https://www.bluetooth.com/,,
云交互式网络,400 Mbps,1.5 Gbps,中,思科系统,https://www.cisco.com/,,
多信道传输,200 Mbps,2 Gbps,高,华为技术,https://www.huawei.com/,,
光纤到户（FTTH）,500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
无锡市5G基站,200 Mbps,1.2 Gbps,高,无锡日报,https://www.wxrb.com/,,
VDSL2,60 Mbps,200 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
光纤射频接入 (RFoG),300 Mbps,1.5 Gbps,高,美国光纤协会,https://www.ofsoptics.com/,,
HFC网络,40 Mbps,400 Mbps,中,北京广播电视网络有限公司,http://www.bjgt.com.cn/,,
无线宽带,25 Mbps,150 Mbps,中,广西日报,http://www.gxrd.com.cn/,,
卫星通信网络,10 Mbps,100 Mbps,中,航天科技集团,http://www.casic.cn/,,
以太网接入,1 Gbps,1 Gbps,高,阿里巴巴集团,https://www.alibaba.com/,,
光纤接入,1.5 Gbps,4 Gbps,高,智库网,https://www.thinktank.org.cn/,,
6G网络,1 Gbps,10 Gbps,高,国家通信研究院,http://www.cai.gov.cn/,,
光纤到大楼（FTTB）,200 Mbps,500 Mbps,中,南方电网公司,http://www.csg.cn/,,
手机热点,20 Mbps,50 Mbps,中,腾讯科技,https://tech.qq.com/,,
光纤通信,300 Mbps,1 Gbps,高,中国铁塔,https://www.chinatowercom.cn/,,
光纤环网,100 Mbps,600 Mbps,高,国家电网公司,http://www.sgcc.com.cn/,,
无线路由器,100 Mbps,1 Gbps,中,小米科技,https://www.mi.com/,,
个人移动热点,15 Mbps,35 Mbps,中,百度科技,https://www.baidu.com/,,
光纤配网,800 Mbps,4 Gbps,高,城市光网,http://www.cityfiber.net/,,
光纤直入 (FTTH),1 Gbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
DSL接入,10 Mbps,50 Mbps,低,百度科技,https://www.baidu.com/,,
专线网络,10 Gbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
数字用户线（ADSL）,1 Mbps,24 Mbps,中,腾讯科技,https://tech.qq.com/,,
双向光纤 (2GPON),100 Mbps,1 Gbps,高,光纤网络研究所,http://www.foa.org/,,
智能家居网络,200 Mbps,600 Mbps,高,小米科技,https://www.mi.com/,,
固定无线接入,15 Mbps,75 Mbps,中,电信研究院,http://www.cnii.com.cn/,,
随波光纤通信 (WDM),500 Mbps,2 Gbps,高,标准技术协会,https://www.ets.org/,,
全球星网（GlobalStar）,5 Mbps,50 Mbps,中,全球卫星网络,https://www.globalstar.com/,,
超高清网络 (UHD),300 Mbps,1.5 Gbps,高,华为技术,https://www.huawei.com,,
超级宽带网络 (SuperFast),400 Mbps,2 Gbps,高,新浪科技,https://www.sina.com.cn/,,
树莓派互联网接入,2 Mbps,20 Mbps,低,树莓派基金会,https://www.raspberrypi.org/,,
无线路由 Wi-Fi 6E,1.5 Gbps,9.6 Gbps,中,TP-Link,https://www.tp-link.com/,,
智能城市网络,500 Mbps,1 Gbps,高,阿里巴巴研究院,https://www.alibabagroup.com/,,
量子通信网络,特定,特定,高,中国科技大学,https://www.ustc.edu.cn/,,
边缘计算网络,250 Mbps,1 Gbps,高,微软铁人科技,https://www.microsoft.com/,,
超窄带物联网 (NB-IoT),50 Kbps,100 Kbps,中,深圳大学,http://www.szu.edu.cn/,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
增强型无线网络,50 Mbps,500 Mbps,中,中国联通,https://www.chinaunicom.com,,
QoS管理互联网接入,10 Mbps,100 Mbps,高,网络世界,https://www.networld.com,,
宽带无线接入,40 Mbps,300 Mbps,中,ZTE中兴,https://www.zte.com.cn,,
城市光纤网络,500 Mbps,2 Gbps,高,互联网的未来,https://www.futureinternet.com,,
无线光网传输,100 Mbps,600 Mbps,高,网易科技,https://tech.163.com/,,
混合光电接入,400 Mbps,1.5 Gbps,中,搜狐科技,https://www.sohu.com/,,
次世代移动通信网络,250 Mbps,1 Gbps,高,清华大学,https://www.tsinghua.edu.cn/,,
长距离光纤网络,150 Mbps,800 Mbps,高,Fiber Optic Association,https://www.foa.org,,
小基站网络,50 Mbps,400 Mbps,中,小米科技,https://www.mi.com,,
边缘计算网络,300 Mbps,1.2 Gbps,高,阿里云,https://www.aliyun.com,,
全球星网,30 Mbps,600 Mbps,中,OneWeb,https://www.oneweb.world,,
卫星互联网,25 Mbps,500 Mbps,中,NASSCOM,https://nasscom.in/,,
低地球轨道卫星通信,100 Mbps,900 Mbps,高,SpaceX Starlink,https://www.starlink.com/,,
智能家庭无线网络,80 Mbps,700 Mbps,高,华为技术,https://www.huawei.com,,
超宽带高速网络,200 Mbps,1.2 Gbps,高,Netflix技术,https://www.netflix.com,,
便携式LTE路由器,50 Mbps,200 Mbps,中,移动互联,https://www.mobileinternet.com,,
光纤到户（FTTH）,500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
超宽带无线接入,100 Mbps,800 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
Wi-Fi 6E,1.5 Gbps,10 Gbps,中,CNET,https://www.cnet.com/,,
光纤配线架,1 Gbps,1 Gbps,高,Fiber Optic News,https://fiberopticnews.com/,,
移动边缘计算网络（MEC）,300 Mbps,600 Mbps,高,阿里巴巴研究院,https://www.alibabagroup.com/,,
下一代接入网（NGAN）,100 Mbps,500 Mbps,中,新南威尔士大学,https://www.unsw.edu.au/,,
光波导通信,1 Gbps,2 Gbps,高,光通信协会,https://www.osa.org/,,
卫星宽带,50 Mbps,300 Mbps,中,Eutelsat,https://www.eutelsat.com/,,
局域网 (LAN),2 Gbps,2 Gbps,高,Cisco,https://www.cisco.com/,,
光纤到大楼（FTTB）,250 Mbps,750 Mbps,高,光纤网络协会,https://www.fiberoptics.com/,,
3G网络,5 Mbps,30 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
4G LTE网络,60 Mbps,300 Mbps,高,中国联通,https://www.chinaunicom.com/,,
智能卫星互联网,80 Mbps,400 Mbps,中,OneWeb,https://www.oneweb.world/,,
微波宽带接入,20 Mbps,150 Mbps,中,卫星互联网协会,https://www.satellitenetworks.com/,,
光纤复用技术,1.5 Gbps,3 Gbps,高,德州仪器,https://www.ti.com/,,
频分多址网络（FDMA）,30 Mbps,200 Mbps,中,国际电信联盟,https://www.itu.int/,,
微陆地移动通信（MIW）,100 Mbps,500 Mbps,高,IEEE,https://www.ieee.org/,,
5G NR,200 Mbps,1 Gbps,高,工信部,http://www.miit.gov.cn/,,
光纤主动配线,150 Mbps,600 Mbps,高,宽带中国,https://www.broadbandchina.com/,,
光纤到户（FTTH）,1 Gbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
宽带接入（DSL）,30 Mbps,80 Mbps,中,中国联通,https://www.chinaunicom.com,,
电力线通信（PLC）,50 Mbps,100 Mbps,低,电力部,https://www.powerchina.com,,
宽带光纤接入,100 Mbps,200 Mbps,高,香港宽频,https://www.hkcsl.com,,
Wi-Fi 6E,2 Gbps,10 Gbps,中,Intel,https://www.intel.com,,
LTE网络,20 Mbps,150 Mbps,中,全球移动通信系统协会（GSMA）,https://www.gsma.com,,
光纤通道（FC）,16 Gbps,16 Gbps,高,Fiber Channel Industry Association,https://www.fibrechannel.org,,
微波通信,10 Mbps,30 Mbps,低,央视科技,https://www.cctv.com,,
光纤波分复用（DWDM）,100 Gbps,100 Gbps,高,Cisco,https://www.cisco.com,,
混合光纤同轴电缆（HFC）,20 Mbps,500 Mbps,中,Telecom Regulatory Authority,https://www.trai.gov.in,,
卫星宽带,5 Mbps,25 Mbps,中,Eutelsat,https://www.eutelsat.com,,
FTTN（光纤到节点）,50 Mbps,100 Mbps,中,AT&T,https://www.att.com,,
短距离无线通信,500 Kbps,1 Mbps,低,IEEE 802.15,https://www.ieee802.org,,
光纤链路,400 Mbps,800 Mbps,高,Juniper Networks,https://www.juniper.net,,
下一代无线通信,200 Mbps,1 Gbps,高,Huawei Research,https://www.huawei.com,,
移动网络（4G LTE）,10 Mbps,50 Mbps,中,Verizon,https://www.verizon.com,,
全光网络,10 Gbps,10 Gbps,高,NEC Corporation,https://www.nec.com,,
局域网（LAN）,1 Gbps,1 Gbps,高,Tech Canada,https://www.techcanada.com,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,中,华硕科技,https://www.asus.com,,
光纤分复用（WDM）,100 Mbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn,,
3GPP标准5G,250 Mbps,1.5 Gbps,高,ITU联合国,https://www.itu.int,,
电缆调制解调器,50 Mbps,400 Mbps,中,康卡斯特,https://www.comcast.com,,
长距离无线电频率,30 Mbps,150 Mbps,中,Viasat,https://www.viasat.com,,
家用共享网络,5 Mbps,50 Mbps,低,京东,https://www.jd.com,,
小波光纤传输,200 Mbps,1 Gbps,高,全球光纤网络,https://www.globalfiber.com,,
光通信系统（Li-Fi）,高达 10 Gbps,高达 10 Gbps,高,加州大学,https://www.ucla.edu,,
小基站（Small Cell）,100 Mbps,600 Mbps,中,高通,https://www.qualcomm.com,,
全球卫星互联网,50 Mbps,400 Mbps,中,OneWeb,https://www.oneweb.world,,
固定无线接入（FWA）,20 Mbps,200 Mbps,低,8亿科技,https://www.8billiontech.com,,
智能城市网络,300 Mbps,1.2 Gbps,高,阿姆斯特丹智能城市计划,https://www.amsterdamsmartcity.com,,
低轨道卫星互联网,75 Mbps,200 Mbps,中,亚马逊Kuiper计划,https://www.amazon.com/kuiper,,
全光网络（All-Optical Network）,500 Mbps,5 Gbps,高,思科系统公司,https://www.cisco.com,,
承载网络（Backhaul Network）,200 Mbps,1 Gbps,高,链路科技,https://www.linktech.com,,
城市光网,150 Mbps,800 Mbps,高,城市光纤计划,https://www.cityfiber.com,,
光纤到户（FTTH）,500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
光纤到大楼（FTTB）,300 Mbps,800 Mbps,高,百度科技,https://www.baidu.com/tech,,
毫米波通信,2 Gbps,10 Gbps,中,中兴通讯,https://www.zte.com.cn,,
IP多播网络,50 Mbps,500 Mbps,低,华三通信,https://www.h3c.com.cn,,
4G LTE网络,75 Mbps,300 Mbps,中,中国移动,https://www.chinamobile.com,,
开放式光纤网络,250 Mbps,600 Mbps,高,Optics.org,https://www.optics.org,,
LPWAN（低功耗广域网）,5 Mbps,20 Mbps,高,全球物联网联盟,https://www.theinternetofthings.global,,
超宽带网络,2 Gbps,5 Gbps,高,腾讯云,https://cloud.tencent.com,,
边缘计算网络,150 Mbps,800 Mbps,中,阿里云,https://www.aliyun.com,,
无线回程网络,100 Mbps,400 Mbps,低,高通技术,https://www.qualcomm.com,,
低延迟网络,200 Mbps,600 Mbps,高,英特尔,https://www.intel.com,,
IPV6网络,35 Mbps,120 Mbps,中,Loopback Network,https://www.loopbacknetwork.com,,
高性能计算网络,500 Mbps,1.5 Gbps,高,中国科学院,https://www.cas.cn,,
量子通信网络,特定,特定,高,北京大学,https://www.pku.edu.cn,,
长距离光纤网络,1 Gbps,6 Gbps,高,俄罗斯电信,https://www.russia-tel.com,,
基于区块链的通信网络,70 Mbps,300 Mbps,中,ChainTech,https://www.chaintech.com,,
