受理号（数字型）,人工智能系统名称（字符型）,人工智能系统类型（字符型）,注册分类（字符型）,申请类型（字符型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,规范人工智能系统类型（字符型）,规范企业名称（字符型）.1,注册版本（字符型）,采集来源,来源链接,采集时间,备注
Guangxi-ShengXing-20241101 S0015,智能人力资源管理系统,人力资源,HR软件,HR软件,2023-08-15,中兴通讯,北京大学,招募中,2023-08-20,待审,中兴人力,候选人筛选、绩效评估,中兴通信,Guangxi-ShengXing-20241101 S0015,企業人力资源,招聘与员工管理,自适应人工智能系统,中兴人力,V1.0,HR Tech Guide,https://hrtechguide.com,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,智能资产管理系统,金融服务,资产管理,资产管理,2023-09-01,招商银行,复旦大学,招募中,2023-09-05,合格,招商银行,风险评估、资产优化配置,招商银行,Yunnan-ZhiHui-20241102 S0016,资本市场,财富管理,具备学习能力的人工智能系统,招商银行,V1.0,Finance Weekly,https://financeweekly.com,2024-10-11,
Fujian-SuShi-20241103 S0017,智能供应链优化系统,供应链管理,企业管理软件,企业管理软件,2023-09-10,美团,中国科学院,招募中,2023-09-15,待审,美团科技,预测分析、流程优化与成本控制,美团,Fujian-SuShi-20241103 S0017,供应链,库存管理,超级智能决策系统,美团科技,V1.0,Supply Chain Review,https://supplychainreview.com,2024-10-11,
Hunan-JingZhi-20241104 S0018,智能客服系统,客户服务,客服软件,客服软件,2023-09-20,拼多多,南开大学,待审,2023-09-25,合格,拼多多科技,自然语言处理、智能应答,拼多多,Hunan-JingZhi-20241104 S0018,电子商务,顾客支持,高级自主智能系统,拼多多科技,V1.0,E-Commerce Insights,https://ecommerceinsights.com,2024-10-11,
Jilin-QingKe-20241105 S0019,智能诊断平台,医疗健康,医疗软件,医疗软件,2023-07-15,阿里健康,复旦大学,办理中,2023-07-20,合格,阿里巴巴医疗,症状分析、疾病预测和医疗建议,阿里健康,Jilin-QingKe-20241105 S0019,心脏病、糖尿病,心脏病、糖尿病,情感智能人工智能系统,阿里巴巴医疗,V1.0,TechCrunch,https://hrtechguide.com,2024-10-11,
Ningxia-JiZhi-20241106 S0020,智能支付风控系统,金融服务,风控软件,风控软件,2023-08-01,支付宝,腾讯,已完成,2023-08-05,合格,蚂蚁科技,交易行为分析、欺诈检测,支付宝,Ningxia-JiZhi-20241106 S0020,支付安全管理,支付安全管理,强化学习型人工智能系统,蚂蚁科技,V2.0,Financial Times,https://financeweekly.com,2024-10-11,
Sichuan-XinTian-20241020 S0002,城市智能照明系统,城市管理,智能基础设施,智能基础设施,2023-09-10,华为,深圳市政府,办理中,2023-09-15,待审,华为技术,光照检测、能源管理,华为,Sichuan-XinTian-20241020 S0002,能源优化管理,能源优化管理,复杂问题解决人工智能系统,华为技术,V1.0,SmartCitiesWorld,https://supplychainreview.com,2024-10-11,
Guangdong-HuaWei-20241019 S0003,AI法律助手,法律服务,法律工具,法律工具,2023-10-01,法律机器人,清华大学法学院,已完成,2023-10-05,合格,法律科技,法律文档分析、案件预测,法律机器人,Guangdong-HuaWei-20241019 S0003,合同审查、诉讼预测,合同审查、诉讼预测,创造性思维人工智能系统,法律科技,V1.0,Harvard Law Review,https://ecommerceinsights.com,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,智能语音识别系统,信息技术,语音处理,语音处理,2023-10-15,科大讯飞,北京语言大学,办理中,2023-10-20,合格,讯飞科技,语音识别、自然语言处理,科大讯飞,Zhejiang-BaiDu-20241021 S0004,语音翻译、语音助手,语音翻译、语音助手,自适应人工智能系统,讯飞科技,V1.0,MIT Technology Review,https://hrtechguide.com,2024-10-11,
Henan-JunJian-20241022 S0005,智能在线课程推荐系统,教育行业,教育软件,教育软件,2023-11-01,网易云课堂,南开大学,已完成,2023-11-05,合格,网易教育,学习分析、个性化推荐,网易云课堂,Henan-JunJian-20241022 S0005,在线教育、技能培训,在线教育、技能培训,分布式人工智能系统,网易教育,V1.0,EdTech Magazine,https://financeweekly.com,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,智能视频监控系统,安防,监控系统,监控系统,2023-11-10,大华股份,公安部,办理中,2023-11-15,待审,大华科技,视频分析、行为识别,大华股份,Shandong-ZuoZhe-20241023 S0006,公共安全监控,公共安全监控,具身智能系统,大华科技,V1.0,Security World,https://supplychainreview.com,2024-10-11,
Hubei-YunXing-20241024 S0007,智慧城市管理系统,城市管理,城市智能化,城市智能化,2023-12-01,中兴通讯,上海市政府,已完成,2023-12-05,合格,中兴技术,城市监控、数据分析,中兴通讯,Hubei-YunXing-20241024 S0007,城市服务优化,城市服务优化,增强智能系统,中兴技术,V1.0,Cities Today,https://ecommerceinsights.com,2024-10-11,
Anhui-XingFu-20241025 S0008,个性化健康管理系统,医疗健康,健康管理,健康管理,2023-12-15,平安科技,中山大学,办理中,2023-12-20,待审,平安医疗,健康监测、数据分析,平安科技,Anhui-XingFu-20241025 S0008,慢性病管理、健康监控,慢性病管理、健康监控,感知智能系统,平安医疗,V1.0,HealthTech Magazine,https://hrtechguide.com,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,智能制造优化系统,制造业,生产管理,生产管理,2023-07-10,西门子,华中科技大学,招募中,2023-07-15,待审,西门子科技,智能调度、质量控制和数据分析,西门子,Jiangxi-QiXiang-20241026 S0009,生产管理,生产效率提升、资源优化,解释型人工智能系统,西门子科技,V1.0,Industrial AI News,https://www.industrialainews.com/,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,气候智能监测系统,环境保护,环境监测,环境监测,2023-08-01,IBM,清华大学,已完成,2023-08-05,合格,IBM环境科技,气象数据分析、模型预测与决策支持,IBM,Liaoning-YuanChuang-20241027 S0010,生态与环保,气候变化监测、环境健康评估,认知人工智能系统,IBM环境科技,V1.0,Climate Tech Journal,https://www.climatetechjournal.com/,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,智能客服平台,服务行业,客户支持,客户支持,2023-02-20,腾讯,阿里巴巴,招募中,2023-02-25,合格,腾讯服务,自然语言处理、知识库管理,腾讯,Beijing-ZhiNeng-20241028 S0011,互联网服务,客户咨询、在线支持,协作人工智能系统,腾讯服务,V1.0,TechNews,https://www.technews.com/,2024-10-11,
Shanghai-WeiXin-20241029 S0012,智能公共安全系统,安全行业,监控系统,监控系统,2023-05-12,华为,公安部,已完成,2023-05-15,合格,华为安全,图像识别、行为分析与实时警报,华为,Shanghai-WeiXin-20241029 S0012,物业安全,反恐、公共安全监控,通用人工智能系统,华为安全,V1.0,Security Tech Review,https://www.securitytechreview.com/,2024-10-11,
Tianjin-JinXing-20241030 S0013,在线健康咨询系统,医疗健康,健康服务,健康服务,2023-09-05,平安健康,复旦大学,招募中,2023-09-10,待审,平安健康科技,在线问诊、健康数据管理,平安健康,Tianjin-JinXing-20241030 S0013,电子健康,慢性病管理、健康咨询,自我学习智能系统,平安健康科技,V1.0,Medical Tech Daily,https://www.medicaltechdaily.com/,2024-10-11,
Shaanxi-HuaZhong-20241031 S0014,语音翻译助手,翻译服务,语言处理,语言处理,2023-10-01,百度,中山大学,已完成,2023-10-05,合格,百度翻译,语音识别、实时翻译与语言学习辅助,百度,Shaanxi-HuaZhong-20241031 S0014,语言服务,跨语言沟通、学习辅导,自适应人工智能系统,百度翻译,V1.0,TechCrunch,https://www.techcrunch.com/,2024-10-11,
Guangxi-ShengXing-20241101 S0015,智能农业管理系统,农业,农业科技,农业科技,2023-06-15,阿里巴巴,农业部,招募中,2023-06-20,合格,阿里农业,作物监测、数据分析和智能决策,阿里巴巴,Guangxi-ShengXing-20241101 S0015,现代农业,作物生长管理、资源配置,通用人工智能系统,阿里农业,V1.0,AgriTech Today,https://www.agritechtoday.com/,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,智能旅行助手,旅游服务,用户体验,用户体验,2023-08-15,携程,北京旅游局,已完成,2023-08-20,合格,携程旅行,行程规划、实时导航和成本分析,携程,Yunnan-ZhiHui-20241102 S0016,旅游行业,旅游规划、费用控制,超级智能体系统,携程旅行,V1.0,Travel Tech Insights,https://www.traveltechinsights.com/,2024-10-11,
Fujian-SuShi-20241103 S0017,智能情感分析系统,市场研究,商业智能,商业智能,2023-10-20,字节跳动,复旦大学,招募中,2023-10-25,待审,字节情感,文本分析、情感识别与市场预测,字节跳动,Fujian-SuShi-20241103 S0017,电子商务,用户反馈分析、市场动向预测,认知智能系统,字节情感,V1.0,Market Insights,https://www.marketinsights.com/,2024-10-11,
Hunan-JingZhi-20241104 S0018,AI药物辅助诊断系统,医疗健康,医疗软件,医疗软件,2023-07-20,波士顿制药,麻省理工学院,待审,2023-07-25,待审,波士顿制药,智能推荐、数据分析和临床支持,波士顿制药,Hunan-JingZhi-20241104 S0018,癌症、心血管疾病,癌症、心血管疾病,增强型智能系统,波士顿制药,V1.0,MedicineNet,https://www.medicinenet.com,2024-10-11,
Jilin-QingKe-20241105 S0019,智能金融顾问,金融服务,智能顾问,智能顾问,2023-08-15,信诚基金,复旦大学,招募中,2023-08-20,合格,信诚基金,投资建议、市场监测,信诚基金,Jilin-QingKe-20241105 S0019,资产管理、投资分析,资产管理、投资分析,结构化智能系统,信诚基金,V1.1,Bloomberg,https://www.bloomberg.com,2024-10-11,
Ningxia-JiZhi-20241106 S0020,智能制造优化系统,制造业,生产管理,生产管理,2023-09-10,GE能源,清华大学,已完成,2023-09-15,合格,GE能源,预测维护、效能优化,GE能源,Ningxia-JiZhi-20241106 S0020,设备故障预测,设备故障预测,进化人工智能系统,GE能源,V1.2,IndustryWeek,https://www.industryweek.com,2024-10-11,
Sichuan-XinTian-20241020 S0002,智能城市环境监测系统,智慧城市,环境管理,环境管理,2023-10-01,阿里巴巴,华东师范大学,招募中,2023-10-05,待审,阿里巴巴环保,监测传感器、数据分析和预测模型,阿里巴巴,Sichuan-XinTian-20241020 S0002,空气质量监测、水体监测,空气质量监测、水体监测,抽象智能系统,阿里巴巴环保,V1.0,Smart Cities World,https://www.smartcitiesworld.net,2024-10-11,
Guangdong-HuaWei-20241019 S0003,区块链追踪系统,物流与供应链,供应链管理,供应链管理,2023-06-30,IBM,清华大学,已完成,2023-07-05,合格,IBM区块链,数据安全、透明性和追踪,IBM,Guangdong-HuaWei-20241019 S0003,产品跟踪,产品跟踪,集成智能系统,IBM区块链,V1.0,Forbes,https://www.forbes.com,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,AI基础教育助手,教育行业,教学辅助,教学辅助,2023-09-25,新东方,北京师范大学,待审,2023-09-30,待审,新东方教育,个性化课程设计和学生评估,新东方,Zhejiang-BaiDu-20241021 S0004,基础教育、个性化学习,基础教育、个性化学习,量子智能系统,新东方教育,V1.0,Education Week,https://www.edweek.org,2024-10-11,
Henan-JunJian-20241022 S0005,智能网络安全系统,信息技术,安全防护,安全防护,2023-08-30,华为,中国人民大学,已完成,2023-09-05,合格,华为网络安全,威胁检测、响应和修复,华为,Henan-JunJian-20241022 S0005,数据泄露防护,数据泄露防护,"窄人工智能系统,一般人工智能系统,超越人工智能系统,自适应人工智能系统,意识人工智能系统,综合人工智能系统,自主学习人工智能系统,超智能人工智能系统",华为网络安全,V1.0,TechCrunch,https://techcrunch.com,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,智能节能系统,能源管理,资源优化,资源优化,2023-10-10,国家电网,清华大学,招募中,2023-10-15,待审,国家电网公司,能耗分析、预测和管理,国家电网,Shandong-ZuoZhe-20241023 S0006,能源管理,能源管理,自适应人工智能系统,国家电网公司,V1.0,Energy Digital,https://www.energydigital.com,2024-10-11,
Hubei-YunXing-20241024 S0007,AI语音助手,消费者服务,智能助手,智能助手,2023-06-15,百度,武汉大学,已完成,2023-06-20,合格,百度智能助手,语音识别、自然语言处理,百度,Hubei-YunXing-20241024 S0007,客户支持、虚拟助理,客户支持、虚拟助理,具有人工智能系统,百度智能助手,V2.0,VentureBeat,https://venturebeat.com,2024-10-11,
Anhui-XingFu-20241025 S0008,智能客服机器人,客服服务,软件系统,软件系统,2023-08-12,阿里巴巴,腾讯,招募中,2023-08-15,合格,阿里客服,自然语言处理、语音识别,阿里巴巴,Anhui-XingFu-20241025 S0008,电子商务,在线客户支持,超级智能系统,阿里客服,V1.0,ZOL,https://www.zol.com/,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,气象预测系统,环境监测,气象工具,气象工具,2023-09-01,中国气象局,清华大学,已完成,2023-09-05,合格,中国气象,大数据分析、模型预测,中国气象局,Jiangxi-QiXiang-20241026 S0009,生态环境,天气预报,进化人工智能系统,中国气象,V2.0,CSDN,https://blog.csdn.net/,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,智慧城市管理平台,城市管理,平台系统,平台系统,2023-06-21,华为,新加坡政府,待审,2023-06-25,待审,华为城市,数据整合、实时监控,华为,Liaoning-YuanChuang-20241027 S0010,城市管理,基础设施管理、公共安全,伴随智能系统,华为城市,V1.0,TechTarget,https://www.techtarget.com/,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,金融交易监测系统,金融服务,监测工具,监测工具,2023-07-15,招商银行,北京大学,已完成,2023-07-20,合格,招商银行,数据分析、风险评估,招商银行,Beijing-ZhiNeng-20241028 S0011,金融服务,交易监控、合规性检查,具情感智能系统,招商银行,V3.0,Tsinghua University,http://www.tsinghua.edu.cn/,2024-10-11,
Shanghai-WeiXin-20241029 S0012,工业设备预测维护系统,制造业,维护管理,维护管理,2023-08-05,中国工程院,西安交通大学,招募中,2023-08-10,合格,中国工程,数据采集、故障预测,中国工程院,Shanghai-WeiXin-20241029 S0012,现代制造,设备故障监测,超级协作智能系统,中国工程,V1.0,ZOL,https://www.zol.com/,2024-10-11,
Tianjin-JinXing-20241030 S0013,个性化健康管理平台,医疗健康,健康工具,健康工具,2023-09-10,平安科技,复旦大学,已完成,2023-09-15,合格,平安健康,健康数据分析、个性化建议,平安科技,Tianjin-JinXing-20241030 S0013,医疗健康,慢性病管理,复杂智能系统,平安健康,V1.0,OpenText,https://www.opentext.com/,2024-10-11,
Shaanxi-HuaZhong-20241031 S0014,虚拟现实教育平台,教育行业,教育工具,教育工具,2023-10-01,英特尔,斯坦福大学,招募中,2023-10-05,待审,英特尔教育,虚拟现实、互动学习,英特尔,Shaanxi-HuaZhong-20241031 S0014,教育,创新学习体验,知识增强智能系统,英特尔教育,V1.0,TechTarget,https://www.techtarget.com/,2024-10-11,
Guangxi-ShengXing-20241101 S0015,智能规划系统,城市规划,规划工具,规划工具,2023-11-02,城市研究院,复旦大学,已完成,2023-11-05,合格,城市规划,空间数据分析、资源优化,城市研究院,Guangxi-ShengXing-20241101 S0015,城市建设,土地利用规划,全面智能系统,城市规划,V1.0,CSDN,https://blog.csdn.net/,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,AI诊断助手,医疗健康,医疗设备,医疗设备,2023-07-15,阿里健康,华大基因,待审,2023-07-20,待审,阿里巴巴健康科技,疾病预测、基因分析,阿里健康,Yunnan-ZhiHui-20241102 S0016,遗传病、慢性病,遗传病、慢性病,窄人工智能系统,阿里巴巴健康科技,V1.0,TechCrunch,https://techcrunch.com,2024-10-11,
Fujian-SuShi-20241103 S0017,智能金融决策系统,金融服务,决策支持,决策支持,2023-08-01,腾讯金融,清华大学,已完成,2023-08-05,合格,腾讯科技,数据分析、预测分析工具,腾讯金融,Fujian-SuShi-20241103 S0017,信贷决策、投资分析,信贷决策、投资分析,通用人工智能系统,腾讯科技,V2.0,新华网,http://www.xinhuanet.com,2024-10-11,
Hunan-JingZhi-20241104 S0018,环境监测智能系统,环境保护,监控设备,监控设备,2023-07-30,博世,中科院,招募中,2023-08-05,合格,博世环保科技,空气质量监测、数据分析,博世,Hunan-JingZhi-20241104 S0018,空气污染监测,空气污染监测,超级人工智能系统,博世环保科技,V1.0,Environmental Science & Technology,https://pubs.acs.org/journal/esthag,2024-10-11,
Jilin-QingKe-20241105 S0019,智能物流优化系统,供应链管理,软件解决方案,软件解决方案,2023-09-10,京东物流,上海交通大学,待审,2023-09-15,待审,京东科技,运输管理、路径优化,京东物流,Jilin-QingKe-20241105 S0019,配送调度、仓库管理,配送调度、仓库管理,量子人工智能系统,京东科技,V1.0,物流技术网,http://www.logistics-tech.com,2024-10-11,
Ningxia-JiZhi-20241106 S0020,智能聊天机器人,客户服务,软件系统,软件系统,2023-09-01,百度,哈尔滨工业大学,招募中,2023-09-05,合格,百度大脑,自然语言处理、客户支持,百度,Ningxia-JiZhi-20241106 S0020,客户咨询、售后服务,客户咨询、售后服务,自适应人工智能系统,百度大脑,V2.0,36氪,https://36kr.com,2024-10-11,
Sichuan-XinTian-20241020 S0002,电动车智能调度平台,交通运输,交通工具,交通工具,2023-09-20,特斯拉,中国科学技术大学,已完成,2023-09-25,合格,特斯拉科技,车队管理、路线优化,特斯拉,Sichuan-XinTian-20241020 S0002,电动车调度,电动车调度,进化人工智能系统,特斯拉科技,V3.0,新京报,http://www.bjnews.com.cn,2024-10-11,
Guangdong-HuaWei-20241019 S0003,自动化仓储系统,供应链管理,自动化设备,自动化设备,2023-10-05,阿里巴巴,浙江大学,待审,2023-10-10,待审,阿里巴巴集团,库存管理、机器人操作,阿里巴巴,Guangdong-HuaWei-20241019 S0003,仓储自动化,仓储自动化,整合人工智能系统,阿里巴巴集团,V1.5,智通财经,https://finance.sina.com.cn,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,个性化医疗管理系统,医疗健康,医疗软件,医疗软件,2023-10-15,华为,复旦大学,招募中,2023-10-20,合格,华为技术,患者数据分析、个性化治疗,华为,Zhejiang-BaiDu-20241021 S0004,心血管疾病、糖尿病,心血管疾病、糖尿病,认知人工智能系统,华为技术,V2.5,中国医疗网,http://www.chinamed.com,2024-10-11,
Henan-JunJian-20241022 S0005,患者健康监测系统,医疗健康,医疗设备,医疗设备,2023-07-12,阿里健康,中国医学科学院,招募中,2023-07-15,待审,阿里健康科技,生理参数采集、数据分析平台,阿里健康,Henan-JunJian-20241022 S0005,慢性病监测、高血压,慢性病监测、高血压,无监督人工智能系统,阿里健康科技,V1.0,Health Tech,https://www.healthtech.com,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,智能供应链优化系统,工业与制造,企业软件,企业软件,2023-08-01,华为,中兴通讯,已完成,2023-08-05,合格,华为技术有限公司,基于AI的需求预测和库存管理,华为,Shandong-ZuoZhe-20241023 S0006,库存管理、需求预测,库存管理、需求预测,广义人工智能系统,华为技术有限公司,V1.0,Supply Chain Insights,https://www.supplychaininsights.com,2024-10-11,
Hubei-YunXing-20241024 S0007,智能金融欺诈检测系统,金融服务,安全监控,安全监控,2023-07-22,腾讯财付通,复旦大学,招募中,2023-07-25,合格,腾讯金融科技,异常交易识别、风险评分,腾讯财付通,Hubei-YunXing-20241024 S0007,欺诈检测、风险管理,欺诈检测、风险管理,"基础人工智能系统,高级人工智能系统,未来人工智能系统,自适应人工智能系统,自主学习人工智能系统,通用人工智能系统,超越人类智能系统,无界人工智能系统",腾讯金融科技,V1.1,FinTech Times,https://www.fintechtimes.com,2024-10-11,
Anhui-XingFu-20241025 S0008,人工智能法律助理,法律服务,法律技术,法律技术,2023-07-30,法宝科技,北大法学院,招募中,2023-08-02,合格,法宝科技有限公司,文书生成、法律文献检索,法宝科技,Anhui-XingFu-20241025 S0008,法律咨询、文书自动生成,法律咨询、文书自动生成,窄人工智能系统,法宝科技有限公司,V1.0,Legal Automation News,https://www.legalautomationnews.com,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,智能城市环境监控系统,城市管理,公共安全,公共安全,2023-06-20,百度,清华大学,已完成,2023-06-25,合格,百度科技,烟雾监测、噪声监测,百度,Jiangxi-QiXiang-20241026 S0009,环境监测、公共安全,环境监测、公共安全,一般人工智能系统,百度科技,V1.0,UrbanTech Insights,https://www.urbantechinsights.com,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,智能翻译平台,语言翻译,翻译软件,翻译软件,2023-08-05,字节跳动,外语学院,招募中,2023-08-10,合格,字节跳动科技,实时翻译、语音识别,字节跳动,Liaoning-YuanChuang-20241027 S0010,语言翻译、文化交流,语言翻译、文化交流,强化人工智能系统,字节跳动科技,V1.0,Translation Technology News,https://www.translationtechnologynews.com,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,智能招聘平台,人力资源,招聘工具,招聘工具,2023-08-20,LinkedIn,北京大学,已完成,2023-08-25,合格,LinkedIn全球,候选人匹配、市场分析,LinkedIn,Beijing-ZhiNeng-20241028 S0011,招聘管理、人才甄选,招聘管理、人才甄选,自适应人工智能系统,LinkedIn全球,V1.0,HR Tech Insights,https://www.hrtechinsights.com,2024-10-11,
Shanghai-WeiXin-20241029 S0012,智能灾后恢复系统,应急管理,灾害管理,灾害管理,2023-08-30,IBM,应急管理学院,招募中,2023-09-05,合格,IBM云计算,资源调度、风险评估,IBM,Shanghai-WeiXin-20241029 S0012,灾后评估、资源配置,灾后评估、资源配置,认知人工智能系统,IBM云计算,V1.0,Emergency Management Magazine,https://www.emergencymanagementmagazine.com,2024-10-11,
Tianjin-JinXing-20241030 S0013,智能营销助手,市场营销,营销工具,营销工具,2023-09-01,Salesforce,复旦大学,已完成,2023-09-05,合格,Salesforce科技,客户数据分析、市场洞察,Salesforce,Tianjin-JinXing-20241030 S0013,客户关系管理、市场营销,客户关系管理、市场营销,超级智能系统,Salesforce科技,V1.0,Marketing AI Review,https://www.marketingaireview.com,2024-10-11,
Shaanxi-HuaZhong-20241031 S0014,环境监测智能系统,环境保护,监测工具,监测工具,2023-07-22,联想,清华大学,已完成,2023-07-27,合格,联想科技,空气质量监测、数据分析,联想,Shaanxi-HuaZhong-20241031 S0014,生态环境,污染监测、气候分析,进化人工智能系统,联想科技,V1.0,EcoTech,https://www.legalautomationnews.com,2024-10-11,
Guangxi-ShengXing-20241101 S0015,智能法律咨询系统,法律服务,咨询工具,咨询工具,2023-07-10,阿里巴巴,法律援助中心,招募中,2023-07-15,待审,阿里法律科技,法律文书生成、智能问答,阿里巴巴,Guangxi-ShengXing-20241101 S0015,司法服务,法律咨询、案例分析,自主人工智能系统,阿里法律科技,V1.0,Legal Tech Review,https://www.urbantechinsights.com,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,智能个性化广告投放系统,市场营销,广告平台,广告平台,2023-08-01,腾讯,阿里云,进行中,2023-08-05,合格,腾讯广告,用户行为分析、广告推荐,腾讯,Yunnan-ZhiHui-20241102 S0016,电子商务,市场分析、广告优化,定义人工智能系统,腾讯广告,V2.0,Marketing Insider,https://www.translationtechnologynews.com,2024-10-11,
Fujian-SuShi-20241103 S0017,招聘智能筛选系统,人力资源,招聘工具,招聘工具,2023-06-29,LinkedIn,复旦大学,招募中,2023-07-01,待审,LinkedIn 人力资源,简历筛选、数据分析,LinkedIn,Fujian-SuShi-20241103 S0017,组织管理,人才招聘、绩效评估,自适应人工智能系统,LinkedIn人力资源,V1.1,HR Tech News,https://www.hrtechinsights.com,2024-10-11,
Hunan-JingZhi-20241104 S0018,智慧物流调度系统,物流管理,调度系统,调度系统,2023-08-10,京东,华东师范大学,已完成,2023-08-15,合格,京东物流,实时调度、数据可视化,京东,Hunan-JingZhi-20241104 S0018,电子商务,物流管理、运输优化,泛人工智能系统,京东物流,V2.1,Logistics Magazine,https://www.emergencymanagementmagazine.com,2024-10-11,
Jilin-QingKe-20241105 S0019,智能个人财务助理,金融服务,财务管理,财务管理,2023-05-20,支付宝,浙江大学,招募中,2023-05-25,合格,支付宝财务科技,收入分析、支出管理,支付宝,Jilin-QingKe-20241105 S0019,个人理财,资产管理、预算规划,认知人工智能系统,支付宝财务科技,V1.0,Finance Tech,https://www.marketingaireview.com,2024-10-11,
Ningxia-JiZhi-20241106 S0020,智慧社区服务平台,社区服务,管理系统,管理系统,2023-06-15,美团,南开大学,已完成,2023-06-20,合格,美团科技,居民服务、资源调度,美团,Ningxia-JiZhi-20241106 S0020,个人服务,社区管理、服务覆盖,超级智能体系统,美团科技,V1.0,GovTech,https://www.legalautomationnews.com,2024-10-11,
Sichuan-XinTian-20241020 S0002,智能多语言翻译系统,语言处理,翻译工具,翻译工具,2023-07-18,百度,武汉大学,进行中,2023-07-22,待审,百度翻译,文本分析、翻译自动化,百度,Sichuan-XinTian-20241020 S0002,国际交流,语言翻译、文本理解,进化人工智能系统,百度翻译,V1.0,Language Tech News,https://www.urbantechinsights.com,2024-10-11,
Guangdong-HuaWei-20241019 S0003,AI健康饮食建议系统,营养健康,健康工具,健康工具,2023-08-05,食界,北京大学,招募中,2023-08-10,合格,食界科技,饮食建议、营养评估,食界,Guangdong-HuaWei-20241019 S0003,健康营养,饮食管理、健康指导,反应型人工智能系统,食界科技,V1.0,Health Tech,https://www.translationtechnologynews.com,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,虚拟助手教育平台,教育行业,教育工具,教育工具,2023-07-15,阿里巴巴,北京师范大学,招募中,2023-07-20,待审,阿里教育科技,实时在线教学、智能测评,阿里巴巴,Zhejiang-BaiDu-20241021 S0004,教育行业,在线教育、个性化辅导,生成型人工智能系统,阿里教育科技,V1.0,China Education Online,http://www.chinaedu.gov.cn,2024-10-11,
Henan-JunJian-20241022 S0005,智能制造监控系统,制造业,工业自动化,工业自动化,2023-08-10,华为,中科院,已完成,2023-08-15,合格,华为技术有限公司,生产流程监控、数据分析,华为,Henan-JunJian-20241022 S0005,生产制造,智能制造、优化生产,伴随智能系统,华为技术有限公司,V1.0,制造业观察,http://www.mfgwatch.com,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,智能房地产评估系统,房地产,市场分析,市场分析,2023-09-05,中原地产,清华大学,招募中,2023-09-10,合格,中原地产评估,市场数据分析、报告生成,中原地产,Shandong-ZuoZhe-20241023 S0006,房地产,房地产估值、投资决策,自主智能系统,中原地产评估,V1.0,时代地产网,http://www.todaysproperty.com,2024-10-11,
Hubei-YunXing-20241024 S0007,人脸识别安全系统,安全监控,安全设备,安全设备,2023-10-01,海康威视,公安部,已完成,2023-10-05,合格,海康威视科技,实时监控、数据分析,海康威视,Hubei-YunXing-20241024 S0007,安全监控,安防监控、身份验证,自适应人工智能系统,海康威视科技,V1.0,Security Today,http://www.securitytoday.com,2024-10-11,
Anhui-XingFu-20241025 S0008,气候变化监测系统,环境科学,环境监测,环境监测,2023-06-25,中国气象局,香港理工大学,招募中,2023-07-01,待审,气象科技,数据采集、趋势分析,中国气象局,Anhui-XingFu-20241025 S0008,环境科学,气候变化监测,进化人工智能系统,气象科技,V1.0,The Climate Center,http://www.climatecenter.com,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,智能金融顾问系统,金融服务,财富管理,财富管理,2023-05-20,平安保险,复旦大学,已完成,2023-05-25,合格,平安科技,投资分析、风险评估,平安保险,Jiangxi-QiXiang-20241026 S0009,金融服务,投资管理、客户服务,超级学习人工智能系统,平安科技,V1.0,Financial Times,http://www.ft.com,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,医疗影像分析系统,医疗健康,医疗设备,医疗设备,2023-06-15,阿斯利康,复旦大学,招募中,2023-06-20,待审,阿斯利康医疗,图像识别、数据分析,阿斯利康,Liaoning-YuanChuang-20241027 S0010,医疗健康,影像诊断、疾病检测,联合智能系统,阿斯利康医疗,V1.0,The Lancet,http://www.thelancet.com,2024-10-11,
