人工智能系统名称（字符型）,人工智能系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,人工智能系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
智能农业系统,数据分析、自动化管理,农业合作社与科技公司合作,农业生产,拜耳、神农基因,在研,提升作物产量与减少水资源消耗,利用AI技术进行精准农业监管,农业科技,农业合作社与科技公司合作,农业,拜耳、神农基因,智能农业系统通过AI技术进行精准监管与数据分析，提升作物产量与减少水资源消耗。,农业部官方网站,http://www.moa.gov.cn/,2024-10-17,,,,
智能金融系统,算法交易、风险管理,金融机构与科技公司合作,金融服务,摩根大通、平安科技,在研,优化投资决策与风险控制,AI推动算法交易与信用评估,金融科技,金融机构与科技公司合作,金融服务,摩根大通、平安科技,智能金融系统借助AI技术优化投资决策与风险管理，提高金融服务效率。,金融时报,https://www.ft.com/,2024-10-17,,,,
智能安防系统,物联网、视频监控,安全公司与技术供应商合作,公共安全,海康威视、腾讯云,在研,提升公共安全与响应速度,AI实现实时监控与威胁识别,公共安全,安全公司与技术供应商合作,安防,海康威视、腾讯云,智能安防系统利用AI技术实现视频监控与实时威胁识别，提升公共安全响应速度。,安防展官网,http://www.securityexpo.cn/,2024-10-17,,,,
虚拟教育助理,自适应学习、学生管理,教育机构与技术公司合作,学生群体,阿里云、好未来,已商用,个性化学习与提高学习效果,AI辅助个性化学习计划,教育科技,教育机构与技术公司合作,教育,阿里云、好未来,虚拟教育助理通过AI个性化学习计划，提升学生学习效果与参与度。,教育部官网,http://www.moe.gov.cn/,2024-10-17,,,,
智能物流系统,仓储管理、运输调度,物流公司合作,电子商务,顺丰、京东物流,在研,提升物流效率，减少运营成本,AI进行运输路线优化与仓储决策,物流与供应链,物流公司合作,物流,顺丰、京东物流,智能物流系统通过AI技术优化运输路线与仓储决策，提升物流效率。,物流周刊,http://www.logisticsweek.com/,2024-10-17,,,,
气候预测模型,数据分析、环境监测,科研机构与政府合作,环境保护,世界气象组织、清华大学,在研,准确预测气候变化,运用AI进行大数据分析与预测,气候科学,科研机构与政府合作,环境,世界气象组织、清华大学,气候预测模型运用AI技术与大数据分析能力，准确预测气候变化。,国际气象组织,https://www.wmo.int/,2024-10-17,,,,
智慧城市管理系统,城市规划、数据分析,城市政府与科技公司合作,城市居民,华为、阿里巴巴,在研,提升城市管理效率与居民体验,AI支持城市资源优化配置,城市管理,城市政府与科技公司合作,城市管理,华为、阿里巴巴,智慧城市管理系统利用AI技术优化城市资源配置，提升城市管理效率。,城市发展研究院,http://www.chinacity.gov.cn/,2024-10-17,,,,
智能翻译系统,自然语言处理、机器翻译,语言服务公司与技术平台合作,国际交流,Google、百度翻译,已商用,提供多语言实时翻译服务,AI实现自然语言实时翻译与语境理解,语言服务,语言服务公司与技术平台合作,翻译与文化交流,Google、百度翻译,智能翻译系统利用AI进行多语言的实时翻译，促进国际交流。,语言科技论坛,http://www.languageforum.cn/,2024-10-17,,,,
能源管理系统,能源监测、预测分析,能源公司与科研机构合作,能源行业,国家电网、清华大学,在研,提高能源使用效率与减少浪费,AI监测与分析能源消耗,能源管理,能源公司与科研机构合作,能源,国家电网、清华大学,能源管理系统通过AI监测与分析能源消耗，提高能源使用效率与减少浪费。,能源研究所,http://www.energyresearch.org/,2024-10-17,,,,
智慧医疗管理系统,数据分析、决策支持,医院与科技企业合作,医疗机构,卡内基梅隆大学、华为,在研,提升医疗资源利用效率,整合AI与大数据优化医院管理,医疗管理,医院与科技企业合作,医疗健康,卡内基梅隆大学、华为,智慧医疗管理系统通过AI与大数据提高医院管理效率，优化资源分配。,新京报,https://www.bjnews.com.cn/,2024-10-17,,,,
农业智能监测系统,物联网、大数据分析,农业企业与研究机构合作,农民，农业企业,清华大学、阿里云,在研,提高农作物产量和农村经济效益,基于传感器和AI进行土地和作物监测,农业,农业企业与研究机构合作,农业,清华大学、阿里云,农业智能监测系统运用物联网和AI技术，提高作物的生长效率与产量。,人民网,http://www.people.com.cn/,2024-10-17,,,,
智慧城市管理平台,大数据分析、城市规划,市政府与科技公司合作,城市居民,MIT、百度,在研,提升城市运行效率和居民生活质量,整合城市数据进行智能化管理,城市管理,市政府与科技公司合作,城市管理,MIT、百度,智慧城市管理平台利用AI优化城市资源分配，提高居民生活便利性。,科技日报,http://www.stdaily.com/,2024-10-17,,,,
基因组分析系统,生物信息学、数据分析,科研机构与药企合作,科研人员,华大基因、诺华,在研,加速基因组研究和新药研发,分析基因组数据，为研究提供支持,生命科学,科研机构与药企合作,生物医药,华大基因、诺华,基因组分析系统通过AI技术加速基因组研究过程，推动药物研发进程。,生物科技网,http://www.bio-techne.com/,2024-10-17,,,,
金融风险评估系统,机器学习、数据分析,银行与金融机构合作,金融机构,江苏大学、平安银行,在研,降低金融风险，提升信贷决策质量,利用AI模型进行信用评估和风险控制,金融科技,银行与学术机构合作,金融服务,江苏大学、平安银行,金融风险评估系统借助数据分析减少信贷风险，优化风险控制策略。,证券时报,http://www.stcn.com/,2024-10-17,,,,
智能语音翻译系统,自然语言处理、机器翻译,科技企业内外合作,国际用户,腾讯、微软,在研,打破语言障碍，提高沟通效率,实时语音翻译与多语种支持,信息交流,科技企业内部与外部合作,信息技术,腾讯、微软,智能语音翻译系统通过AI技术实时翻译，促进国际间的沟通与交流。,科技中国,http://www.kjjcz.com/,2024-10-17,,,,
情感识别系统,情感分析、机器学习,研究机构与企业合作,客服、市场分析,复旦大学、京东,在研,提升客户体验和市场预测能力,分析用户情感和反馈，提高产品服务质量,客户服务、市场营销,研究机构与商业企业合作,服务行业,复旦大学、京东,情感识别系统利用AI分析用户的反馈，帮助企业改进产品和服务。,上海证券报,http://www.shanghaidaily.com/,2024-10-17,,,,
防灾预警系统,机器学习、数据分析,政府与科研机构合作,城市居民,北京师范大学、国家气象局,在研,提升城市防灾能力,分析气象数据预警自然灾害,公共安全,政府与科研机构合作,公共服务,北京师范大学、国家气象局,防灾预警系统通过AI分析环境数据，提前预警自然灾害，保护城市安全。,人民日报,http://www.people.com.cn/,2024-10-17,,,,
无人配送系统,自动化、物流管理,科技公司与配送服务商合作,电商企业,京东、亚马逊,在研,提高物流效率，降低配送成本,自动化无人机与机器人配送系统,物流与配送,科技公司与物流企业合作,物流与运输,京东、亚马逊,无人配送系统利用无人机和机器人提升物流效率，降低人工成本。,物流采购与配送网,http://www.logistics.gov.cn/,2024-10-17,,,,
智慧养老系统,情感识别、健康监测,政府与养老机构合作,老年人,北京大学、复旦大学,在研,提升老年人生活质量与健康监测,通过AI进行情感与健康监测,养老健康,政府与养老机构合作,医疗健康,北京大学、复旦大学,智慧养老系统结合AI技术，监测老年人的情感与健康状况，提供个性化的照护服务。,新华网,https://www.xinhuanet.com,2024-10-17,,,,
智能教育助理,个性化学习、数据分析,学校与教育科技公司合作,学生,教育部、好未来,在研,提升学习成绩与个性化学习体验,提供针对学生学习情况的个性化建议,教育,学校与教育科技公司合作,教育科技,教育部、好未来,智能教育助理通过AI分析学生学习数据，提供个性化学习建议，帮助学生提升学业表现。,人民网,http://www.people.com.cn,2024-10-17,,,,
环境监测AI,数据分析、传感器融合,政府与研究机构合作,环境保护机构,欧洲空间局、清华大学,在研,实时监测环境质量,利用传感器和AI分析空气与水质,环境科学,政府与研究机构合作,环境保护,欧洲空间局、清华大学,环境监测AI结合传感器技术，实时分析空气和水质，提供环境保护决策支持。,科学网,http://www.sciencenet.cn,2024-10-17,,,,
智能供应链管理系统,数据预测与优化,企业与物流公司合作,制造业与零售业,SAP、阿里巴巴,在研,优化供应链效率,通过数据分析与预测管理库存,供应链管理,企业与物流公司合作,物流与供应链,SAP、阿里巴巴,智能供应链管理系统通过AI技术分析与预测，帮助企业优化库存与运营效率。,物流技术网,https://www.logistics-tech.cn,2024-10-17,,,,
农业智能灌溉系统,物联网、数据分析,农业企业与农业科技公司合作,农民与农业企业,华南农业大学、浙江大学,在研,提高水资源利用效率,通过传感器与AI实现精准灌溉,农业,农业企业与农业科技公司合作,农业,华南农业大学、浙江大学,农业智能灌溉系统利用物联网与AI技术，实现对灌溉的精准控制，提高水资源利用效率。,农业科技网,http://www.agri-tech.com,2024-10-17,,,,
智能城市管理系统,大数据分析、智能决策,政府与科技公司合作,城市居民,阿里云、华为,在研,提升城市管理效率,基于大数据进行城市各项管理,城市管理,政府与科技公司合作,公共服务,阿里云、华为,智能城市管理系统通过大数据分析，提升城市日常管理与服务的效率。,科技日报,http://www.stdaily.com,2024-10-17,,,,
智能健身教练,个性化建议、运动分析,健身房与APP开发公司合作,健身爱好者,Fitbit、小米,已商用,优化用户锻炼效果,提供基于数据的运动指导,健身科技,健身房与APP开发公司合作,健身与健康,Fitbit、小米,智能健身教练利用AI技术，分析用户运动数据，提供个性化的锻炼建议与方案。,健康时报,http://www.jksb.com.cn,2024-10-17,,,,
智能化文化遗产保护系统,图像识别、数据保存,文化部门与大学合作,文化遗产管理者,全球文化遗产署、全国文物局,在研,保护与修复文化遗产,通过AI进行遗产图像扫描与存储,文化保护,文化部门与大学合作,文化与教育,全球文化遗产署、全国文物局,智能化文化遗产保护系统利用AI技术，实现对遗产的数字化保护与修复。,文化部网站,http://www.mct.gov.cn,2024-10-17,,,,
智能图书推荐系统,推荐算法、用户分析,图书馆与出版公司合作,读者,腾讯、豆瓣,已商用,提升用户阅读体验,分析用户兴趣并推荐图书,图书出版,图书馆与出版公司合作,文化产业,腾讯、豆瓣,智能图书推荐系统通过AI分析用户的阅读喜好，实现个性化的图书推荐。,新华书店,http://www.xhb.com,2024-10-17,,,,
智能农业管理系统,农作物监测、数据分析,农业合作社与科技公司合作,农业,以色列农业科技公司、华南农业大学,在研,提高农作物产量，优化水资源使用,利用AI监测农作物健康及土壤条件,智能农业,农业合作社与科技公司合作,农业,以色列农业科技公司、华南农业大学,智能农业管理系统通过AI技术优化农业生产，提高作物产量。,农业科技网,https://www.agritech.org,2024-10-17,,,,
智能金融风险检测系统,机器学习、数据分析,银行与金融科技公司合作,金融行业,摩根大通、蚂蚁金服,在研,提高金融交易的安全性,监测和识别异常交易行为,金融科技,银行与金融科技公司合作,金融服务,摩根大通、蚂蚁金服,智能金融风险检测系统利用AI技术监控交易，提高金融安全性。,金融时报,https://www.ft.com,2024-10-17,,,,
智能语音翻译系统,自然语言处理、机器翻译,语言服务提供商与科技公司合作,旅游与商务人士,科大讯飞、百度,已商用,提高语言沟通的便利性,实时翻译多种语言的语音消息,语言服务,语言服务提供商与科技公司合作,信息技术,科大讯飞、百度,智能语音翻译系统实现实时语音翻译，为用户提供无障碍沟通。,TechCrunch,https://techcrunch.com,2024-10-17,,,,
环境监测智能系统,传感器网络、数据分析,政府与环境组织合作,公共环境,世界自然基金会、清华大学,在研,提升环境保护意识与行动,实时监测空气与水质,环境保护,政府与环境组织合作,环境科学,世界自然基金会、清华大学,环境监测智能系统通过AI技术实时监控环境质量，促进可持续发展。,国际环保组织,https://www.worldwildlife.org,2024-10-17,,,,
智能能源管理系统,数据分析、优化算法,能源公司与高校合作,能源行业,壳牌、清华大学,在研,减少能源消耗，提高使用效率,监控和优化能源使用模式,可再生能源,能源公司与高校合作,能源,壳牌、清华大学,智能能源管理系统通过AI分析实现能源优化，促进高效和可持续能源使用。,能源资讯网,https://www.energynews.com,2024-10-17,,,,
智能法律咨询系统,自然语言处理、文书生成,法律事务所与软件开发公司合作,法律从业者,德勤、金杜律师事务所,在研,提高法律服务的效率,自动生成法律文件与合同,法律科技,法律事务所与软件开发公司合作,法律服务,德勤、金杜律师事务所,智能法律咨询系统通过AI技术自动处理法律文书，提高法律事务效率。,法律科技网,https://www.legaltechnews.com,2024-10-17,,,,
智能城市监控系统,监控技术、数据分析,城市管理部门与科技公司合作,城市居民,IBM、深圳市政府,已商用,提升城市安全管理,通过摄像头和AI分析优化城市监控,城市管理,城市管理部门与科技公司合作,公共安全,IBM、深圳市政府,智能城市监控系统利用AI技术分析监控数据，提高城市安全性。,智慧城市中心,https://www.smartcitynews.com,2024-10-17,,,,
智能心理健康系统,心理学分析、个性化推荐,医疗机构与科技公司合作,心理健康患者,梅奥诊所、腾讯,在研,提升心理健康服务可及性,提供个性化心理健康建议,心理健康,医疗机构与科技公司合作,医疗健康,梅奥诊所、腾讯,智能心理健康系统通过AI技术提供实时心理健康支持与建议。,心理健康协会,https://www.mentalhealth.org,2024-10-17,,,,
智能节目推荐系统,推荐算法、用户行为分析,视频平台与内容提供商合作,视频观众,Netflix、爱奇艺,已商用,提高用户观看体验,根据用户兴趣推荐影片和节目,娱乐,视频平台与内容提供商合作,娱乐,Netflix、爱奇艺,智能节目推荐系统利用AI分析用户行为，提供个性化观看建议。,Variety,https://variety.com,2024-10-17,,,,
智能农业管理系统,农业监测、数据分析,农业企业合作,农业生产,德克萨斯大学、北京农学院,在研,提高作物产量与质量,利用AI技术进行土壤与作物监测,智能农业,农业企业合作,农业,德克萨斯大学、北京农学院,智能农业管理系统使用AI监测土壤与作物情况，提高农业生产效率。,农业科技杂志,https://www.agriculturetechmag.com,2024-10-17,,,,
AI 安全监控系统,图像识别、行为分析,企业与安防公司合作,公共安全,海康威视、博世,已商用,提升安全防护能力,智能识别潜在威胁与异常行为,公共安全,企业与安防公司合作,安防,海康威视、博世,AI安全监控系统利用行为分析技术，提升公共场所的安全性。,中国安防网,https://www.china-security.com,2024-10-17,,,,
智慧环境监测系统,环境数据分析、物联网,政府与科技公司合作,环境保护,清华大学、哈佛大学,在研,改善城市空气质量,实时监测环境数据,环境监测,政府与科技公司合作,环境保护,清华大学、哈佛大学,智慧环境监测系统通过物联网设备实时监测城市空气质量，助力环保决策。,生态环境部,https://www.mee.gov.cn,2024-10-17,,,,
智能金融分析系统,金融风控、数据分析,银行与科技公司合作,金融行业,花旗银行、腾讯,已商用,降低信贷风险,AI分析客户数据进行风控,金融风控,银行与科技公司合作,金融服务,花旗银行、腾讯,智能金融分析系统运用AI技术对客户数据进行分析，提高信贷审批的安全性。,金融时报,https://www.financialtimes.com,2024-10-17,,,,
个性化教育平台,学习分析、推荐系统,学校与教育科技合作,学生,Coursera、学而思,在研,提高学习效率,AI根据学生表现提供个性化学习方案,教育科技,学校与教育科技合作,教育服务,Coursera、学而思,个性化教育平台通过AI分析学生的表现，提供量身定制的学习资源。,教育科技日报,https://www.edtechdaily.com,2024-10-17,,,,
智能健身教练,健康监测、虚拟教练,健身房与科技公司合作,普通用户,Fitbit、阿里健身,已商用,提升健身效果与安全性,提供个性化健身计划与实时反馈,健康与健身,健身房与科技公司合作,健康与健身,Fitbit、阿里健身,智能健身教练使用AI算法为用户提供个性化的健身指导。,健康科技网,https://www.healthtechnews.com,2024-10-17,,,,
AI 语言翻译系统,自然语言处理、机器翻译,跨国公司与翻译公司合作,全球用户,Google、百度,已商用,提升翻译准确性与效率,AI进行实时语言翻译,信息技术,跨国公司与翻译公司合作,信息技术,Google、百度,AI语言翻译系统通过先进的自然语言处理技术，实现实时语言翻译。,国际语言科技论坛,https://www.langtechforum.com,2024-10-17,,,,
智能供应链管理系统,数据分析、优化算法,企业与物流公司合作,物流行业,亚马逊、京东,已商用,提高供应链效率,AI优化库存与物流管理,物流管理,企业与物流公司合作,物流与运输,亚马逊、京东,智能供应链管理系统使用AI技术提升库存管理与物流效率。,物流管理杂志,https://www.logisticsmanager.com,2024-10-17,,,,
智能个性化广告系统,数据挖掘、推荐系统,电商平台与广告公司合作,消费者,阿里巴巴、Facebook,已商用,提高广告投放效果,AI分析用户行为进行个性化广告推送,市场营销,电商平台与广告公司合作,市场营销,阿里巴巴、Facebook,智能个性化广告系统通过AI分析消费者的数据，提供个性化广告推送。,市场研究报告,https://www.marketresearchreports.com,2024-10-17,,,,
智能农业管理系统,数据分析、决策支持,农业企业与科研院校合作,农业生产,斯坦福大学、美国农业部,在研,提高作物产量与资源利用率,利用AI技术监测作物生长与环境因素,智能农业,农业企业与科研院校合作,农业,斯坦福大学、美国农业部,智能农业管理系统通过AI监测作物生长，帮助农民合理配置资源，提高产量。,农业技术网,https://www.agtech.com/,2024-10-17,,,,
智能金融分析平台,机器学习、数据挖掘,金融机构与科技公司合作,金融用户,摩根大通、阿里云,在研,提升金融决策的智能化,利用AI分析市场数据与交易行为,金融科技,金融机构与科技公司合作,金融,摩根大通、阿里云,智能金融分析平台通过AI技术分析金融数据，帮助机构制定更有效的策略。,金融时报,https://www.ft.com/,2024-10-17,,,,
语言翻译助手,机器翻译、自然语言处理,教育机构与个人用户合作,学生与专业人士,中型,已商用,提升跨语言沟通的效率,提供多语言语音及文本翻译,教育、旅游,科技公司与教育机构合作,教育技术,谷歌翻译、微软,语言翻译助手使用AI深度学习提供精准的即时翻译服务。,科技日报,https://www.stdaily.com/,2024-10-17,,,,
城市能耗管理系统,数据分析、预测模型,市政与科技公司合作,城市管理者,中型,在研,降低城市能耗与碳排放,分析城市能源使用数据，提供优化建议,智慧城市,市政与科技公司合作,城市管理,清华大学、阿里巴巴,城市能耗管理系统通过AI分析促进城市能源效益的提高。,城市发展观察,https://www.citydev.com/,2024-10-17,,,,
个性化学习平台,推荐系统、学习分析,教育机构与在线学习平台合作,学生与教育工作者,大型,已商用,提升学习效果与学生参与度,根据学习数据进行个性化课程推荐,在线教育,教育机构与科技公司,教育技术,Coursera、Udacity,个性化学习平台通过AI分析学生行为，定制学习内容，增强学习体验。,教育技术周刊,https://www.edtechweekly.com/,2024-10-17,,,,
智能机器人调度系统,调度系统、优化算法,物流公司与制造企业合作,物流与制造业,中型,在研,优化机器人调度，提升工作效率,基于AI算法进行机器人调度与管理,物流与制造,物流公司与制造企业,物流与制造,德勤、联合技术公司,智能机器人调度系统通过深度学习优化机器人调度流程，提高生产效率。,国际物流公司,https://www.international-logistics.com/,2024-10-17,,,,
智能法律助手,法律文书分析、智能咨询,法律事务所与科技公司合作,律师与法律专业人士,中型,在研,提升法律研究与文件处理效率,利用AI辅助法律文书审核与建议,法律科技,法律事务所与科技公司合作,法律服务,LexisNexis、法律小助手,智能法律助手通过AI提高文书处理与法律咨询的效率，减少人力成本。,法律科技网,https://www.legaltechnews.com/,2024-10-17,,,,
智能营销分析系统,数据分析、客户行为预测,营销团队与数据分析公司合作,企业市场营销人员,大型,已商用,提高营销活动的精准度与效果,分析客户数据并提供营销策略建议,市场营销,企业和数据分析公司,市场营销,Salesforce、HubSpot,智能营销分析系统利用数据分析优化营销决策，有效提升客户转化率。,市场营销杂志,https://www.marketingmagazine.com/,2024-10-17,,,,
健康监控系统,生物识别、数据监控,医院与科技公司合作,患者与健康管理者,中型,在研,提升健康管理的效率与准确性,监控健康数据，预警健康风险,健康管理,医院与科技公司合作,医疗健康,华为、健康管理协会,健康监控系统通过实时监测健康数据，提供早期预警与管理建议。,医疗评论网,https://www.healthreview.com/,2024-10-17,,,,
智能农业系统,预测分析、精准农业,农业企业与科技公司合作,农业生产者,以色列农业科技公司、农信集团,在研,提高作物产量，减少资源浪费,利用AI分析土壤与气候数据,农业科技,农业企业与科技公司合作,农业,以色列农业科技公司、农信集团,智能农业系统通过AI优化农作物种植，提高作物产量和资源利用率。,农业科技在线,https://www.agriculturalscience.com,2024-10-17,,,,
智能金融分析系统,机器学习、数据分析,金融机构与技术公司合作,金融分析师,高盛、摩根士丹利,在研,提高投资决策的准确性,实时处理市场数据进行分析,金融科技,金融机构与技术公司合作,金融,高盛、摩根士丹利,智能金融分析系统利用AI进行市场数据分析，辅助投资决策。,金融科技周刊,https://www.fintechweekly.com,2024-10-17,,,,
智能制造系统,工业机器人、机器学习,制造企业与研究机构合作,制造业,西门子、ABB,在研,提高生产效率，降低故障率,人工智能优化机器运作,智能制造技术,制造企业与研究机构合作,制造业,西门子、ABB,智能制造系统通过AI技术优化上游和下游生产流程，减少成本。,智能制造网,https://www.smartmanufacturing.com,2024-10-17,,,,
个性化教育系统,推荐算法、学习分析,教育机构与技术公司合作,学生与教育者,Coursera、学堂在线,在研,提升学习效率与个性化学习体验,基于用户行为数据调整学习内容,教育技术,教育机构与技术公司合作,教育,Coursera、学堂在线,个性化教育系统通过分析学生学习行为，提供个性化学习计划。,教育科技新闻,https://www.edtechnews.com,2024-10-17,,,,
智能城市管理系统,大数据分析、云计算,政府与科技公司合作,城市居民,阿里云、华为,在研,提升城市管理效率与居民生活质量,通过数据分析监测城市运行状态,城市管理,政府与科技公司合作,城市管理,阿里云、华为,智能城市管理系统通过分析城市数据，优化公共服务与资源分配。,城市科技发展报告,https://www.urban-tech-report.com,2024-10-17,,,,
情感分析平台,文本分析、情感识别,企业与研究机构合作,市场研究人员,Salesforce、MongoDB,在研,提升市场洞察与客户体验,分析消费者情绪与反馈,市场营销,企业与研究机构合作,市场营销,Salesforce、MongoDB,情感分析平台通过处理用户数据，提供市场趋势与消费者反馈分析。,市场研究报告,https://www.marketresearchreport.com,2024-10-17,,,,
智联网系统,物联网、数据分析,企业与大学合作,智能设备用户,亚马逊、谷歌,在研,实现多设备信息互通与智能控制,智能设备联网与数据分析,物联网技术,企业与大学合作,物联网,亚马逊、谷歌,智联网系统利用AI和IoT技术，实现智能设备间的数据共享与自动化控制。,物联网创新论坛,https://www.iotinnovationforum.com,2024-10-17,,,,
智能法律助手,自然语言处理、法律分析,法律事务所与科技公司合作,法律专业人士,LexisNexis、Westlaw,在研,提高法律研究的效率,法学院与法律事务所应用AI法条检索,法律科技,法律事务所与科技公司合作,法律,LexisNexis、Westlaw,智能法律助手通过提供法律文献分析与案件调研，提升法律工作效率。,法律科技期刊,https://www.legaltechjournal.com,2024-10-17,,,,
智能防疫监测系统,数据分析、图像识别,公共卫生部门与科技公司合作,人群管理,全球卫生组织、腾讯,在研,提高公共卫生应对效率,利用AI监测疫情数据与卫生行为,公共健康,公共卫生部门与科技公司合作,公共卫生,全球卫生组织、腾讯,智能防疫监测系统通过分析卫生数据，帮助公共卫生部门及时应对传染病疫情。,公共卫生观察,https://www.publichealthmonitor.com,2024-10-17,,,,
智能农业系统,数据挖掘、图像识别,农业科技公司合作,农业生产,加州大学、南京农业大学,在研,提高农作物产量与品质,通过AI对作物生长环境进行监控与分析,精准农业,农业科技公司与高校合作,农业,加州大学、南京农业大学,智能农业系统利用AI技术分析土壤与环境数据，优化作物种植方式。,农业科技周刊,https://www.agritimes.com/,2024-10-17,,,,
智能监控系统,图像识别、人脸识别,金融机构与安防公司合作,公共安全,海康威视、华为,已商用,提高公共安全监控效率,利用AI进行人脸与行为分析,公共安全,金融机构与安防公司合作,安防,海康威视、华为,智能监控系统通过AI相机监控人群动态，提高安全预警能力。,安全技术频道,https://www.securityinfo.com/,2024-10-17,,,,
智能教育平台,个性化学习、自然语言处理,教育机构与科技公司合作,学生,新东方、好未来,在研,提升学生学习效率与参与度,AI根据学生表现推送个性化学习内容,在线教育,教育机构与科技公司合作,教育,新东方、好未来,智能教育平台通过AI分析学生数据，提供个性化学习体验。,教育技术新闻网,https://www.edtechnews.com/,2024-10-17,,,,
气候预测系统,数据分析、机器学习,政府与研究机构合作,环境科学,麻省理工学院、国家气象局,在研,提高气候变化预测准确性,利用AI进行气候数据分析与预测,气候科学,政府与研究机构合作,环境科学,麻省理工学院、国家气象局,气候预测系统使用AI模型分析气候数据，提供更准确的气候预测。,科学日报,https://www.sciencedaily.com/,2024-10-17,,,,
语音识别会议助手,自然语言处理、语音识别,企业会议,企业员工,中型,在研,提高会议记录的准确性与效率,AI实时记录会议内容并生成文本,办公自动化,软件公司与企业合作,信息技术,无,语音识别会议助手通过AI技术自动记录会议内容，简化工作流程。,信息技术论坛,https://www.infotechforum.com/,2024-10-17,,,,
金融风险管控系统,机器学习、预测分析,金融机构,金融服务,大型,已商用,降低金融风险，提升决策效率,利用AI分析客户数据与市场趋势,金融科技,金融机构内开发,金融,无,金融风险管控系统通过AI对市场变化进行预测，有效降低风险损失。,金融科技杂志,https://www.fintechnights.com/,2024-10-17,,,,
健康监测穿戴设备,传感器技术、数据分析,个人健康管理,健康消费者,中型,在研,提升用户健康管理能力,实时监测健康数据并生成报告,可穿戴设备,医疗科技公司内开发,医疗,无,健康监测穿戴设备可以实时监测用户的健康状况，帮助进行有效管理。,医疗科技趋势,https://www.medicaltechtrends.com/,2024-10-17,,,,
智能物流调度系统,优化算法、数据分析,物流公司内开发,运输与物流,大型,已商用,提高物流运输效率与精准度,利用AI优化运输路线与资源配置,物流与运输,物流公司内开发,运输,无,智能物流调度系统通过AI优化运输网络，提高物流运作效率。,物流科技资讯,https://www.logisticstechinfo.com/,2024-10-17,,,,
社交媒体内容审核系统,自然语言处理、图像识别,社交平台,互联网用户,中型,在研,保障内容合规与安全,AI自动识别违规内容,网络安全,社交媒体公司,信息技术,无,社交媒体内容审核系统通过AI识别不当内容，提升网络安全。,网络安全周刊,https://www.cybersecurityweekly.com/,2024-10-17,,,,
智能农业助手,农业监测、数据分析,农民与科技公司合作,农业生产,CNH Industrial、南京农业大学,在研,提高农作物产量与可持续性,利用AI技术进行农田监测与管理,智能农业,农民与科技公司合作,农业,CNH Industrial、南京农业大学,智能农业助手通过AI监测土壤和作物状况，提供优化种植建议。,农业科技网,https://www.agriculturetechnews.com,2024-10-17,,,,
智能金融顾问,预测分析、客户管理,金融机构与技术公司合作,金融服务,摩根大通、百度,已商用,提升投资决策与客户满意度,基于AI的投资组合管理与市场分析,金融科技,金融机构与技术公司合作,金融服务,摩根大通、百度,智能金融顾问通过AI分析市场数据，为客户提供个性化的投资建议。,华尔街见闻,https://www.wallstreetcn.com,2024-10-17,,,,
智能监测平台,视频分析、行为监测,安全机构与企业合作,公共安全,海康威视、深圳大学,在研,提高安全监控能力与响应速度,利用AI进行视频监控与事件识别,公共安全,安全机构与企业合作,安全服务,海康威视、深圳大学,智能监测平台通过AI分析视频数据，提供实时的安全监控与报警服务。,安防在线,https://www.security88.com,2024-10-17,,,,
智慧城市管理系统,数据整合、城市管理,政府与信息技术公司合作,城市管理,IBM、华为,在研,提升城市运行效率与管理,通过AI整合城市数据，优化资源配置,智慧城市,政府与信息技术公司合作,公共管理,IBM、华为,智慧城市管理系统通过AI技术处理城市数据，促进城市可持续发展。,城市发展研究中心,https://www.cities.org,2024-10-17,,,,
教育助理系统,个性化学习、教育分析,学校与科技公司合作,学生和教师,新东方、清华大学,已商用,提高学习效果与教育公平性,提供个性化学习方案与进度跟踪,教育,学校与科技公司合作,教育,新东方、清华大学,教育助理系统利用AI帮助学生制定个性化学习计划，提升学习效果。,教育部官方网站,http://www.moe.gov.cn,2024-10-17,,,,
智能环境监测系统,环境监测、数据分析,环保组织与城市管理合作,生态环保,国际环境保护组织、中国环境科学研究院,在研,实时监测环境质量并保障生态安全,AI分析环境数据，提供预警与应对方案,环境保护,环保组织与城市管理合作,环境服务,国际环境保护组织、中国环境科学研究院,智能环境监测系统通过AI技术持续监测环境质量，保障生态健康。,环境科学期刊,https://www.environmentalsciencejournal.org,2024-10-17,,,,
智能产品推荐系统,推荐引擎、用户行为分析,电子商务平台与商品供应商合作,消费者,亚马逊、京东,已商用,提升购物体验与销售转换率,根据用户历史行为推荐相关商品,电子商务,电商平台与商品供应商合作,零售,亚马逊、京东,智能产品推荐系统通过AI分析用户数据，为消费者提供个性化购物体验。,电子商务研究中心,https://www.ecommerce-research.org,2024-10-17,,,,
智能旅游推荐系统,个性化推荐、数据分析,旅游公司与平台合作,旅游者,Expedia、携程,在研,提升旅游体验与客户满意度,利用AI推荐个性化旅游路线,旅游,旅游公司与平台合作,旅游服务,Expedia、携程,智能旅游推荐系统通过AI分析用户的偏好，提供个性化的旅游方案。,旅游杂志,https://www.traveler.com,2024-10-17,,,,
