名称（字符型）,品牌（字符型）,宽度（字符型）,封装（字符型）,生产基地（字符型）,型号（字符型）,供应商（字符型）,集成协议（字符型）,应用产品（字符型）,上市日期（日期型）,功能说明（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
A16 Bionic,苹果,10.9mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,提升图形性能，支持更高效能多任务,技术发展引领产业变革,https://pdf.dfcfw.com,,
Exynos 1280,三星,11.2mm,FOWLP,韩国京畿道,Exynos 1280,三星,"UFS, LPDDR4X",Galaxy A系列,2022-01-08,强力续航，出色拍照性能,电子工程专辑,https://www.eet-china.com,,
Snapdragon 8 Gen 2,高通,9.5mm,BGA,美国加利福尼亚,SM8550,高通,"PCIe, USB-C",智能手机,2022-11-17,增强AI性能，支持Wi-Fi 6E,智能科技前沿,https://www.techfrontier.com,,
Exynos 2200,三星,12mm,FOWLP,韩国水原,Exynos 2200,三星,"UFS, LPDDR5X",智能手机,2022-02-01,集成AMD RDNA2架构，支持光追技术,数码时代,https://www.digitalage.com,,
A16 Bionic,苹果,10.5mm,WLP,美国加利福尼亚,A16,苹果,"NVMe, LPDDR5",iPhone 14,2022-09-16,进一步提升能效与性能，强大的图形计算能力,苹果技术动态,https://www.apple.com/newsroom/,,
Kirin 9100,华为,10.8mm,BGA,中国深圳,Kirin 9100,华为,"PCIe, USB-C",智能手机,2022-11-15,增强AI运算能力，支持多模5G,ICT综合评论,https://www.ictreview.com,,
Dimensity 1000+,联发科,9mm,CoWoS,台湾台北,Dimensity 1000+,联发科,"UFS, LPDDR4X",智能手机,2021-05-05,支持高效的AI摄影功能，优化游戏性能,芯片产业观察,https://www.chipobserver.com,,
Snapdragon 7 Gen 1,高通,10mm,BGA,美国加利福尼亚,SM7325,高通,"PCIe, USB-C",中高端智能手机,2022-05-20,均衡性能与电池续航，优化多媒体体验,电信市场分析,https://www.telecommarketanalysis.com,,
HBM3,SK海力士,7mm,TSV,韩国水原,HBM3,SK海力士,HBM3,高性能计算,2023-03-15,更高带宽，支持先进的AI和数据分析,半导体行业动态,https://www.semiindustry.com,,
Apple M1 Pro,苹果,10.3mm,MCM,美国加利福尼亚,M1 Pro,苹果,NVMe,MacBook Pro,2021-10-26,强大的CPU和GPU性能，适合专业创作,苹果开发者论坛,https://developer.apple.com/news/,,
Exynos 1280,三星,11mm,FOWLP,韩国华城,Exynos 1280,三星,"UFS, LPDDR4",智能手机,2022-01-05,支持无缝游戏体验，优化视频播放,电子市场论坛,https://www.electronicmarketforum.com,,
Snapdragon 8 Gen 2,高通,10.5mm,BGA,美国加州,SM8550,高通,"PCIe, USB-C",智能手机,2022-12-01,增强AI性能，支持6G网络,电子工程专辑,https://www.eet-china.com/,,
Exynos 2200,三星,12mm,FOWLP,韩国首尔,Exynos 2200,三星,"UFS, LPDDR5",智能手机,2022-01-15,集成高性能GPU，支持游戏流媒体,半导体行业观察,https://www.semiinsights.com/,,
A16 Bionic,苹果,11.5mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,提升计算和图形性能，支持高效能模式,技术发展引领产业变革,https://www.dfcfw.com/,,
Kirin 810,华为,9.0mm,BGA,中国深圳,Kirin 810,华为,"PCIe, USB-C",智能手机,2021-06-01,优化AI处理，支持高效能多任务,半导体行业观察,https://www.semiinsights.com/,,
Dimensity 1300,联发科,10mm,CoWoS,台湾新竹,Dimensity 1300,联发科,"UFS, LPDDR5",智能手机,2022-03-15,支持4K视频录制，优化游戏体验,技术发展引领产业变革,https://www.dfcfw.com/,,
Apple M1,苹果,8.3mm,MCP,美国加州,M1,苹果,"PCIe, NVMe",iPad Pro,2020-11-10,高效能计算，支持图形处理,半导体行业观察,https://www.semiinsights.com/,,
Exynos W920,三星,7.5mm,WLP,韩国首尔,W920,三星,"BLE, Wi-Fi",智能手表,2021-08-15,专为可穿戴设备设计，低功耗,电子工程专辑,https://www.eet-china.com/,,
Snapdragon 7 Gen 1,高通,10mm,BGA,美国加州,SM7325,高通,"UFS, LPDDR5",智能手机,2021-12-01,适用于高端智能手机，支持AI计算,技术发展引领产业变革,https://www.dfcfw.com/,,
Dimensity 1200 AI,联发科,9mm,CoWoS,台湾新竹,Dimensity 1200 AI,联发科,"UFS, LPDDR4X",智能手机,2021-08-10,支持AI摄影和增强现实,半导体行业观察,https://www.semiinsights.com/,,
Snapdragon 8 Gen 1,高通,10mm,BGA,美国加州,SM8450,高通,"PCIe, USB-C, Wi-Fi 6E",智能手机,2021-12-01,增强的人工智能性能与高效能5G支持,半导体行业观察,https://www.semiinsights.com/,,
Exynos 2200,三星,11mm,FOWLP,韩国首尔,Exynos 2200,三星,"UFS 3.1, LPDDR5",智能手机,2022-01-14,支持新一代图形处理器，优化游戏性能,电子工程专辑,https://www.eet-china.com/,,
Kirin 9000S,华为,10.5mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB-C, Wi-Fi 6",智能手机,2022-09-01,高效能AI计算与多模块整合,华为官网,https://www.huawei.com/,,
Apple M1 Pro,苹果,8.5mm,MCM,美国加州,APL1098,苹果,"NVMe, Thunderbolt 4",MacBook Pro,2021-10-18,提升图形性能，支持高效能计算,苹果公司发布,https://www.apple.com/,,
Dimensity 1000+,联发科,9mm,CoWoS,台湾新竹,MT6885,联发科,"UFS, LPDDR4X",智能手机,2021-05-15,支持6GHz频段的5G与出色的AI能力,技术发展引领产业变革,https://www.dmt.com/,,
A16 Bionic,苹果,10.2mm,WLP,美国加州,A16,苹果,"NVMe, USB 3.2",iPhone 14 Pro,2022-09-16,极致性能，支持更高的计算与渲染能力,苹果公司发布,https://www.apple.com/,,
Helio G95,联发科,12mm,BGA,台湾新竹,MT6779,联发科,"UFS, LPDDR4X",智能手机,2020-09-10,专为游戏设计，支持高刷新率显示,联发科官网,https://www.mediatek.com/,,
Snapdragon 7 Gen 1,高通,9mm,BGA,美国加州,SM7325,高通,"PCIe, USB-C",智能手机,2021-12-17,高效能5G与游戏体验优化,半导体行业观察,https://www.semiinsights.com/,,
Exynos 1280,三星,11mm,FOWLP,中国南昌,Exynos 1280,三星,"UFS 3.1, LPDDR4X",智能手机,2022-01-30,适用于中高端设备，支持5G+AI功能,电子工程专辑,https://www.eet-china.com/,,
Snapdragon 898,高通,10.5mm,BGA,美国加州,SM8450,高通,"PCIe, USB4",智能手机,2021-12-01,增强AI性能，支持6G网络,移动通信技术杂志,https://www.mobiletechmagazine.com,,
Dimensity 2000,联发科,9.2mm,CoWoS,台湾新竹,Dimensity 2000,联发科,"UFS 3.1, LPDDR5X",智能手机,2023-01-15,优秀的能效管理，支持高速刷新率显示,半导体行业观察,https://www.semiinsights.com,,
Exynos 2200,三星,12mm,FOWLP,韩国首尔,Exynos 2200,三星,"LPDDR5, PCIe",智能手机,2022-02-01,集成AMD GPU，支持先进图形渲染,电子消费品日报,https://www.electronicsdaily.com,,
A16 Bionic,苹果,10.8mm,WLP,美国加州,A16,苹果,"NVMe, USB-C",iPhone 14,2022-09-16,前沿处理技术，支持多媒体应用,科技新闻周刊,https://www.technewsweekly.com,,
Kirin 9000S,华为,10.6mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, LPDDR5",智能手机,2022-12-31,实时视频处理，支持AI应用,华为技术论坛,https://www.huaweiforum.com,,
Snapdragon 8 Gen 2,高通,10.4mm,BGA,美国加州,SM8550,高通,"PCIe, USB-C",智能手机,2023-02-01,极致性能，优化游戏和多任务处理,半导体行业观察,https://www.semiinsights.com,,
Exynos 1280,三星,11.0mm,FOWLP,韩国水原,Exynos 1280,三星,"LPDDR4X, UFS 2.2",中端智能手机,2022-03-15,优秀的电池续航，适合日常使用,移动通信最新动态,https://www.mobilecommnews.com,,
A17 Bionic,苹果,11.5mm,WLP,美国加州,A17,苹果,"NVMe, USB-C",iPhone 15,2023-09-22,全面提升AI和图形性能,苹果技术博客,https://www.appleblog.com,,
Dimensity 1300,联发科,9.5mm,CoWoS,台湾新竹,Dimensity 1300,联发科,"UFS 3.1, LPDDR4X",智能手机,2022-05-10,支持高效能游戏，低功耗设计,电子工程专辑,https://www.eet-china.com,,
Snapdragon 888,高通,10mm,BGA,美国加州,SM8350,高通,"PCIe, USB-C",智能手机,2021-01-01,卓越的性能，增强AI功能,半导体行业观察,https://www.semiinsights.com/,,
Kirin 9000S,华为,10.5mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, LPDDR5",智能手机,2022-10-20,强大的5G能力，专注于AI计算,电子工程专辑,https://www.eet-china.com/,,
A16 Bionic,苹果,10.2mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,提升性能与能效，优化游戏体验,技术发展引领产业变革,https://pdf.dfcfw.com/,,
Dimensity 1200 Max,联发科,9mm,CoWoS,台湾新竹,Dimensity 1200 Max,联发科,"UFS, LPDDR5",智能手机,2022-05-12,支持高刷新率和多任务处理,科技日报,https://www.stdaily.com/,,
Exynos 2200,三星,12mm,FOWLP,韩国首尔,Exynos 2200,三星,"UFS, LPDDR5",智能手机,2022-01-18,集成AMD RDNA2架构，增强图形性能,电子工程专辑,https://www.eet-china.com/,,
Snapdragon 7 Gen 1,高通,8mm,BGA,美国加州,SM7475,高通,"PCIe, USB-C",中高端智能手机,2022-05-20,均衡性能与电池效率的处理器,半导体行业观察,https://www.semiinsights.com/,,
MediaTek Dimensity 1000,联发科,9mm,CoWoS,台湾新竹,Dimensity 1000,联发科,"UFS, LPDDR4X",智能手机,2020-11-05,搭载全新的5G基带，主要面向中端市场,科技日报,https://www.stdaily.com/,,
Apple M1,苹果,11.5mm,BGA,美国加州,M1,苹果,"NVMe, Thunderbolt 3",MacBook Air、iPad Pro,2020-11-10,首次集成CPU和GPU，打破性能瓶颈,苹果官网,https://www.apple.com/,,
Kirin 980,华为,10.5mm,BGA,中国深圳,Kirin 980,华为,"PCIe, LPDDR4X",智能手机,2018-10-16,首款7nm工艺移动处理器，支持AI和5G,半导体行业观察,https://www.semiinsights.com/,,
Tegra X1,英伟达,10mm,BGA,美国加州,Tegra X1,英伟达,"PCIe, USB-C",Nintendo Switch,2015-03-03,高效能处理器，提供实时图形处理,英伟达官网,https://www.nvidia.com/,,
Snapdragon 8 Gen 2,高通,9.5mm,BGA,美国加州,SM8450,高通,"PCIe 5.0, USB 4.0",智能手机,2022-12-01,增强的AI功能，支持6G网络,半导体行业观察,https://www.semiinsights.com/,,
Exynos 2200,三星,10.3mm,FOWLP,韩国首尔,Exynos 2200,三星,"UFS 3.1, LPDDR5",智能手机,2022-01-15,支持光追技术的图形处理单元,电子工程专辑,https://www.eet-china.com/,,
A16 Bionic,苹果,10.1mm,WLP,美国加州,A16,苹果,"NVMe, PCIe",iPhone 14,2022-09-16,更高效的电池管理系统，支持高级计算,技术发展引领产业变革,https://www.techorchard.com/,,
Kirin 9000S,华为,10.9mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB-C",智能手机,2022-10-28,增强的5G性能，支持AI计算,半导体行业观察,https://www.semiinsights.com/,,
Dimensity 1300,联发科,8.5mm,CoWoS,台湾新竹,Dimensity 1300,联发科,"UFS, LPDDR5",智能手机,2022-05-18,支持108MP摄像头和流畅的视频游戏体验,技术发展引领产业变革,https://www.techorchard.com/,,
HBM3,SK海力士,6.5mm,TSV,韩国水原,HBM3,SK海力士,HBM,图形处理器,2022-11-10,提供更高的内存带宽，支持高性能计算,半导体行业观察,https://www.semiinsights.com/,,
Snapdragon 7 Gen 1,高通,9.0mm,BGA,美国加州,SM7325,高通,"LPDDR5, UFS 3.1",中端智能手机,2022-06-09,高性价比，支持游戏优化和5G,电子工程专辑,https://www.eet-china.com/,,
Exynos 1280,三星,10.0mm,FOWLP,韩国首尔,Exynos 1280,三星,"UFS, LPDDR4X",智能手机,2022-01-20,低功耗设计，支持高清图像处理,半导体行业观察,https://www.semiinsights.com/,,
A17 Pro,苹果,10.5mm,WLP,美国加州,A17,苹果,"NVMe, PCIe 4.0",iPhone 15,2023-09-22,提升性能及图形运算能力，支持先进的影像处理功能,技术发展引领产业变革,https://www.techorchard.com/,,
Snapdragon 8 Gen 2,高通,12mm,BGA,美国加州,SM8550,高通,"PCIe, USB-C, Wi-Fi 6E",智能手机,2022-11-30,增强AI处理能力，支持更快5G网络,半导体行业观察,https://www.semiinsights.com,,
Exynos 2200,三星,11mm,FOWLP,韩国首尔,Exynos 2200,三星,"UFS, LPDDR5",智能手机,2022-01-15,首次集成AMD RDNA架构GPU，提升图形性能,电子工程专辑,https://www.eet-china.com,,
Dimensity 9000,联发科,9.5mm,CoWoS,台湾新竹,Dimensity 9000,联发科,"UFS, LPDDR5",智能手机,2021-12-01,支持最高120Hz显示，优化游戏和多媒体体验,技术发展引领产业变革,https://www.chiphell.com,,
A16 Bionic,苹果,10.8mm,WLP,美国加州,A16,苹果,"NVMe, Thunderbolt",iPhone 14,2022-09-16,更高效的能耗管理，支持ProRAW和ProRes,Apple Newsroom,https://www.apple.com/newsroom,,
Kirin 9000S,华为,10.2mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, LPDDR5",智能手机,2023-01-05,更强的AI智能应用，性能提升20%,华为官方新闻,https://www.huawei.com,,
MT7921,联发科,8mm,QFN,台湾新竹,MT7921,联发科,"Wi-Fi 6, Bluetooth 5.2",智能设备,2022-06-10,支持快速连网，减少延迟,电子工程专辑,https://www.eet-china.com,,
Apple M1,苹果,12mm,MCM,美国加州,M1,苹果,"Thunderbolt, NVMe","MacBook Air, iPad Pro",2020-11-17,优化性能和电池续航，支持多任务处理,Apple Newsroom,https://www.apple.com/newsroom,,
Snapdragon 7 Gen 1,高通,10.5mm,BGA,美国加州,SM7325,高通,"PCIe, USB-C",智能手机,2022-05-20,注重游戏体验，兼顾电池效率,半导体行业观察,https://www.semiinsights.com,,
Snapdragon 8+ Gen 1,高通,10mm,BGA,美国加州,SM8475,高通,"PCIe, USB-C",智能手机,2022-07-05,相较前代性能提升，优化散热设计,ChipsetNews,https://www.chipsetnews.com,,
Snapdragon 888,高通,12mm,BGA,美国加州,SM8350,高通,"USB 3.1, LPDDR5",智能手机,2021-01-01,提升AI处理能力，支持8K视频拍摄,电子工程专辑,https://www.eet-china.com/,,
Exynos 2200,三星,10.5mm,FOWLP,韩国首尔,Exynos 2200,三星,"LPDDR5, UFS 3.1",智能手机,2022-02-01,集成AMD GPU，支持光线追踪,GSMArena,https://www.gsmarena.com/,,
A16 Bionic,苹果,10.2mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,全新的性能架构，改善续航,MacRumors,https://www.macrumors.com/,,
Kirin 9000S,华为,9.5mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB-C",智能手机,2023-05-01,高效能与AI功能结合，支持多模5G,科技日报,https://www.stdaily.com/,,
Dimensity 1300,联发科,10mm,CoWoS,台湾新竹,Dimensity 1300,联发科,"UFS 3.1, LPDDR4X",智能手机,2022-04-15,优质影像处理，增强摄影体验,IT之家,https://www.ithome.com/,,
Snapdragon 8 Gen 2,高通,9mm,BGA,美国加州,SM8550,高通,"USB 3.2, LPDDR5X",智能手机,2022-11-15,优化性能与续航，支持Wi-Fi 7,Verge,https://www.theverge.com/,,
Horizon 5,英特尔,11mm,BGA,美国亚利桑那州,HRI5000,英特尔,PCIe 5.0,智能手表,2023-08-01,适合高效能智能穿戴设备,TechCrunch,https://techcrunch.com/,,
A17 Pro,苹果,10.5mm,WLP,美国加州,A17,苹果,"NVMe, Thunderbolt",iPhone 15,2023-09-22,首款7nm工艺，支持超高速数据传输,CNET,https://www.cnet.com/,,
Helio G99,联发科,8mm,CoWoS,台湾台北,Helio G99,联发科,"LPDDR4X, UFS 2.2",中低端智能手机,2022-06-01,优化游戏和视频性能，电池持久,安卓行业观察,https://www.androidauthority.com/,,
Snapdragon 8 Gen 2,高通,10.5mm,BGA,美国加州,SM8550,高通,"PCIe, USB4",智能手机,2023-12-01,支持最新5G技术与AI加速处理,半导体行业观察,https://www.semiinsights.com/,,
Exynos 2200,三星,12mm,FOWLP,韩国首尔,Exynos 2200,三星,"LPDDR5, UFS 3.1",智能手机,2022-01-15,支持高性能图形处理与增强现实,电子工程专辑,https://www.eet-china.com/,,
Apple M2,苹果,10.8mm,MCP,美国加州,M2,苹果,"NVMe, Thunderbolt",iPad Pro,2022-06-10,强大的机器学习性能，适合多任务,技术发展引领产业变革,https://www.digikey.com/,,
Kirin 9000S,华为,10.3mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB-C",智能手机,2023-09-23,高效能5G处理与AI支持,半导体行业观察,https://www.semisys.com/,,
Dimensity 2000,联发科,9.5mm,CoWoS,台湾新竹,Dimensity 2000,联发科,"LPDDR5X, UFS 4.0",智能手机,2022-12-20,为游戏优化与高刷新显示提供支持,技术发展引领产业变革,https://www.techradar.com/,,
A16 Bionic,苹果,11.5mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,出色的计算能力与图形处理能力,半导体行业观察,https://www.anandtech.com/,,
Exynos W920,三星,8.5mm,FOWLP,韩国首尔,Exynos W920,三星,"LPDDR4, UFS 3.1",智能手表,2021-08-11,低功耗，支持健康监测功能,电子工程专辑,https://www.eet-china.com/,,
Snapdragon 7c Gen 3,高通,10mm,BGA,美国加州,SM6375,高通,"PCIe, USB-C",笔记本电脑,2022-12-05,针对云计算与轻薄笔记本优化,半导体行业观察,https://www.semiinsights.com/,,
MediaTek Helio G90T,联发科,12mm,BGA,台湾新竹,Helio G90T,联发科,"LPDDR4X, eMMC",智能手机,2019-01-21,调整游戏性能，支持快充,技术发展引领产业变革,https://www.techradar.com/,,
Snapdragon 8 Gen 1,高通,10.5mm,BGA,美国加州,SM8450,高通,"PCIe, USB-C",智能手机,2021-12-01,强大的AI处理能力，支持全场景摄影,CNET科技,https://www.cnet.com,,
Exynos 2200,三星,11mm,FOWLP,韩国首尔,Exynos 2200,三星,"UFS, LPDDR5",智能手机,2022-01-15,集成AMD RDNA2架构，游戏性能提升显著,安卓头条,https://www.androidheadlines.com,,
Apple M1 Pro,苹果,10.5mm,WLP,美国加州,M1 Pro,苹果,NVMe,MacBook Pro,2021-10-18,强大的多核处理能力，适用于专业级应用,MacRumors,https://www.macrumors.com,,
Kirin 9000S,华为,10.3mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB-C",智能手机,2022-06-08,出色的影像处理能力，支持快速充电,IT之家,https://www.ithome.com,,
Dimensity 1300,联发科,9mm,CoWoS,台湾新竹,Dimensity 1300,联发科,"UFS, LPDDR5",智能手机,2022-03-15,针对游戏优化的处理器，支持高刷新率屏幕,手机中国,https://www.phonechina.com,,
A16 Bionic,苹果,10.5mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,增强的机器学习性能，支持更复杂的应用,The Verge,https://www.theverge.com,,
Snapdragon 778G,高通,10mm,BGA,美国加州,SM7325,高通,"PCIe, USB-C",智能手机,2021-05-06,出色的摄影和游戏体验，支持5G,GeekPark,https://www.geekpark.net,,
Exynos 1280,三星,10mm,FOWLP,韩国首尔,Exynos 1280,三星,"UFS, LPDDR4X",智能手机,2022-01-20,支持AI加速，优化视频录制体验,安卓中国,https://www.androidchina.com,,
MediaTek Kompanio 1200,联发科,9.5mm,CoWoS,台湾新竹,Kompanio 1200,联发科,"UFS, LPDDR5",平板电脑,2021-06-01,为多媒体应用优化的芯片，支持4K视频,TechCrunch,https://techcrunch.com,,
Kirin 1000,华为,10.6mm,BGA,中国上海,Kirin 1000,华为,"PCIe, USB-C",智能手机,2021-11-15,支持6G网络，强大的AI能力,数码时代,https://www.digitimes.com/,,
Snapdragon 888,高通,8mm,LGA,美国加州,SM8350,高通,"UFS, LPDDR5",智能手机,2020-12-01,提升AI运算性能，支持4K视频录制,电子产品世界,https://www.eepw.com.cn/,,
Exynos 2200,三星,12mm,FOWLP,韩国平泽,Exynos 2200,三星,"UFS, LPDDR5X",智能手机,2022-01-14,集成新一代GPU，适合移动游戏,CNBeta,https://www.cnbeta.com/,,
MediaTek Dimensity 1300,联发科,9.5mm,CoWoS,台湾台北,Dimensity 1300,联发科,"UFS, LPDDR5",智能手机,2022-03-01,支持光线追踪，增强真实感体验,IT之家,https://www.ithome.com/,,
Apple M1,苹果,15mm,WLP,美国加州,M1,苹果,NVMe,iPad Pro,2021-03-25,性能卓越，支持机器学习,极客公园,https://www.geekpark.net/,,
Nvidia Tegra X2,英伟达,11mm,BGA,美国加州,Tegra X2,英伟达,"LPDDR4X, PCIe",移动设备,2017-05-01,适用于自动驾驶与边缘计算,AI 时代,https://www.aitimes.com/,,
Tensilica TiMesh,博通,9mm,SoC,中国深圳,TiMesh,博通,"Wi-Fi, Bluetooth",智能家居设备,2022-04-15,支持低功耗长时间连接,智能设备论坛,https://www.smartdeviceforum.com/,,
Qualcomm QCC5151,高通,8.2mm,WLCSP,美国加州,QCC5151,高通,"Bluetooth, ANC",真无线耳机,2021-09-30,超低延迟，出色的音质体验,音频时代,https://www.audioage.com/,,
NXP i.MX 9,恩智浦,12.5mm,BGA,荷兰饶河,i.MX 9,恩智浦,"USB, HDMI",工业自动化设备,2022-07-10,支持高效能计算和多媒体处理,行业观察,https://www.industrywatch.com/,,
Dimensity 1100,联发科,9.2mm,CoWoS,台湾新竹,Dimensity 1100,联发科,"UFS, LPDDR5",智能手机,2021-06-15,"支持5G, AI加速处理, 增强现实",电子工程专辑,https://www.eet-china.com/,,
Snapdragon 8 Gen 1,高通,10.5mm,BGA,美国加州,SM8450,高通,"PCIe, USB-C",智能手机,2021-12-01,提升性能和电源管理，支持高达200MP相机,半导体行业观察,https://www.semiinsights.com/,,
Exynos 2200,三星,12mm,FOWLP,韩国首尔,Exynos 2200,三星,"LPDDR5, UFS 3.1",智能手机,2022-02-15,采用AMD RDNA架构的集成GPU，实现出色图形性能,技术发展引领产业变革,https://pdf.dfcfw.com/,,
Kirin 9100,华为,10.8mm,BGA,中国深圳,Kirin 9100,华为,"PCIe, USB-C",智能手机,2022-03-01,支持先进的AI功能和强大的多媒体性能,半导体行业观察,https://www.semiinsights.com/,,
A16 Bionic,苹果,10.5mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,极致的图形和计算能力，支持更复杂的应用程序,电子工程专辑,https://www.eet-china.com/,,
Helio G95,联发科,12mm,QFN,台湾台北,Helio G95,联发科,"LPDDR4X, EMMC",智能手机,2020-05-13,针对游戏优化，支持高刷新率显示,技术发展引领产业变革,https://pdf.dfcfw.com/,,
Snapdragon 7 Gen 1,高通,10mm,BGA,美国加州,SM7325,高通,"USB-C, LPDDR5",智能手机,2022-05-06,提供旗帜级的游戏体验，支持5G连接,半导体行业观察,https://www.semiinsights.com/,,
Exynos 1280,三星,11mm,FOWLP,韩国首尔,Exynos 1280,三星,"LPDDR4X, UFS 2.2",智能手机,2022-01-15,提供均衡的性能和电力效率，支持LTE和5G,电子工程专辑,https://www.eet-china.com/,,
Kirin 9000E,华为,10.3mm,BGA,中国深圳,Kirin 9000E,华为,"PCIe, USB-C",智能手机,2021-09-30,高效能和AI加速，支持5G网络,半导体行业观察,https://www.semiinsights.com/,,
Snapdragon 888,高通,10mm,BGA,美国加州,SM8350,高通,"USB-C, HDMI",智能手机,2021-01-01,支持AI引擎和先进的图形处理能力,CIOL技术资讯,https://www.ciol.com,,
Kirin 9000S,华为,10.5mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB-C",智能手机,2022-09-20,支持极致性能和高效能,半导体行业观察,https://www.semiinsights.com,,
Exynos 2200,三星,12mm,FOWLP,韩国水原,Exynos 2200,三星,"LPDDR5, UFS 3.1",智能手机,2022-01-11,增强的游戏性能，支持光追技术,电子工程专辑,https://www.eet-china.com,,
A16 Bionic,苹果,10.8mm,WLP,美国加州,A16,苹果,NVMe,iPhone 14,2022-09-16,最高性能的多任务处理能力，并支持750Mbps的下载速度,Gizmodo,https://www.gizmodo.com,,
Dimensity 9000,联发科,9mm,CoWoS,台湾新竹,Dimensity 9000,联发科,"LPDDR5, UFS 3.1",智能手机,2021-12-15,优化电池使用，支持高刷新率显示技术,媒体科技,https://www.mediatek.com,,
Snapdragon 7 Gen 1,高通,9.5mm,BGA,美国加州,SM7475,高通,"USB-C, Bluetooth 5.3",中高端智能手机,2022-05-20,出色的AI性能和高效能图形处理,半导体行业观察,https://www.semiinsights.com,,
Apple M1,苹果,8mm,MCP,美国加州,M1,苹果,NVMe,MacBook Air,2020-11-17,卓越的能效比，强大的图形与计算性能,极客公园,https://www.geekpark.net,,
A12 Bionic,苹果,10.5mm,WLP,美国加州,A12,苹果,NVMe,iPhone XS,2018-09-21,高效能的电池管理，AI加速,极客公园,https://www.geekpark.net,,
Cortex-A78,ARM,7.5mm,MCP,英国剑桥,Cortex-A78,ARM,"LPDDR5, UFS 3.1",多种智能终端,2020-05-12,提供高效能和低功耗的运算能力,芯片网,https://www.chipnet.com,,
Snapdragon 8 Gen 1,高通,10.2mm,BGA,美国加州,SM8450,高通,"PCIe, USB-C, Bluetooth 5.2","智能手机, 平板电脑",2022-12-01,超高性能处理器，支持最新5G和AI算法,芯片导报,https://www.chipnews.com/,,
Exynos 2200,三星,12mm,FOWLP,韩国首尔,Exynos 2200,三星,"LPDDR5, UFS 3.1","智能手机, 车载系统",2022-01-15,集成AMD RDNA图形架构，支持游戏流畅运行,电子产品开发,https://www.electronicproducts.com/,,
A16 Bionic,苹果,10.5mm,CoWoS,美国加州,A16,苹果,"NVMe, LPDDR5",iPhone 14,2022-09-16,更强大的图形处理能力和能效，支持新一代AR应用,苹果发布会,https://www.apple.com/,,
Kirin 9100,华为,10mm,BGA,中国深圳,Kirin 9100,华为,"PCIe, USB-C",智能手机,2022-06-20,支持为智能手机提供卓越的AI和5G性能,技术内幕,https://www.techinsight.com/,,
Dimensity 8100,联发科,9mm,CoWoS,台湾新竹,Dimensity 8100,联发科,"UFS 3.1, LPDDR5",智能手机,2022-03-15,精准优化游戏性能，支持高刷新率与HDR视频,联发科官网,https://www.mediatek.com/,,
Exynos 1280,三星,11mm,FOWLP,韩国首尔,Exynos 1280,三星,"LPDDR4X, UFS 2.2",智能手机,2022-01-10,高效能与低功耗兼具，支持基础5G功能,中国半导体网,https://www.chinasemi.com/,,
Unisoc T610,展讯,8mm,BGA,中国深圳,T610,展讯,"LPDDR4X, eMMC",入门级智能手机,2021-12-05,经济实惠，适用于多种日常应用,展讯官方资讯,https://www.unisoc.com/,,
Snapdragon 7 Gen 1,高通,9.5mm,封装技术,美国加州,SM7325,高通,"SSD, USB 3.1",游戏手机,2022-10-03,针对游戏优化，提供高效能与速率,高通新闻,https://www.qualcomm.com/,,
Tensor G2,谷歌,10mm,WLP,美国加州,Tensor G2,谷歌,"NVMe, LPDDR5",Pixel 7,2022-10-13,专为深度学习与图形运算设计,谷歌开发者,https://developers.google.com/,,
Snapdragon 8 Gen 2,高通,10mm,BGA,美国加州,SM8550,高通,"PCIe 5.0, USB-C",智能手机,2022-11-30,增强的人工智能和图形处理能力，支持Wi-Fi 6E,半导体行业观察,https://www.semiinsights.com/,,
Exynos 2200,三星,12mm,FOWLP,韩国首尔,Exynos 2200,三星,"LPDDR5, UFS 3.1",智能手机,2022-01-15,支持游戏优化与光线追踪技术,电子工程专辑,https://www.eet-china.com/,,
Dimensity 9000,联发科,8mm,CoWoS,台湾新竹,Dimensity 9000,联发科,"LPDDR5, UFS 3.1",智能手机,2021-12-12,引入先进的AI计算能力，提升相机拍摄效果,技术发展引领产业变革,https://www.mediatek.com/,,
Kirin 9000S,华为,10mm,BGA,中国深圳,Kirin 9000S,华为,"PCIe, USB-C",智能手机,2023-03-01,支持全面5G和AI手机应用,智能终端技术,https://www.huawei.com/,,
