产线名称,所属公司,产线类型,产线地域（国家）,产线地域（省）,产线地域（市）,投资额（数值型）,单位,建设周期,建成年产能（数值型）,单位.1,采集来源,来源链接,采集时间,备注,,,,,,,,,
英特尔氮化镓集成线,英特尔科技（中国）有限公司,化合物产线,中国,陕西省,西安市,150000,万元,2025,50000,万片,英特尔官方发布,https://www.intel.cn/,2024-09-12,,,,,,,,,,
创维氮化镓生产线扩建,创维集团有限公司,化合物产线,中国,广东省,惠州市,25000,万元,2023,18000,万片,创维年度报告,https://www.skytv.com/,2024-09-12,,,,,,,,,,
MaxLinear氮化镓成品线,MaxLinear Inc.,化合物产线,美国,加利福尼亚州,洛杉矶,30000,万元,2025,20000,万片,MaxLinear 官方公告,https://www.maxlinear.com/,2024-09-12,,,,,,,,,,
FineTech氮化镓应用线,FineTech semiconductor,化合物产线,日本,东京,东京市,18000,万元,2024,9000,万片,FineTech 市场研究,https://www.finetech.com/,2024-09-12,,,,,,,,,,
台湾氮化镓生态线,联华电子股份有限公司,化合物产线,中国台湾,新北市,新北市,60000,万元,2026,35000,万片,联华电子官网,https://www.uwe.com.tw/,2024-09-12,,,,,,,,,,
Vishay氮化镓生产线探索,Vishay Intertechnology,化合物产线,以色列,特拉维夫,特拉维夫市,22000,万元,2025,12000,万片,Vishay 年度报告,https://www.vishay.com/,2024-09-12,,,,,,,,,,
ADI氮化镓新兴线,Analog Devices Inc.,化合物产线,德国,巴伐利亚州,慕尼黑,40000,万元,2024,25000,万片,ADI 市场分析,https://www.analog.com/,2024-09-12,,,,,,,,,,
中电光源氮化镓生产线项目,中电光源科技有限公司,化合物产线,中国,湖南省,长沙市,22000,万元,2023,7000,万片,2023年氮化镓市场分析报告,https://www.semi.org/en/2023-ga-analysis,2024-09-12,,,,,,,,,,
安华高科氮化镓项目,安华高科半导体有限公司,化合物产线,中国,浙江省,杭州市,15000,万元,2022,8000,万片,业界新闻,https://www.semi.org/en/news,2024-09-12,,,,,,,,,,
Infineon氮化镓生产线项目,Infineon Technologies AG,化合物产线,德国,巴伐利亚,慕尼黑市,35000,万元,2024,12000,万片,TechCrunch,https://techcrunch.com,2024-09-12,,,,,,,,,,
美国半导体氮化镓项目,American Semiconductor Inc.,化合物产线,美国,加利福尼亚州,硅谷,40000,万元,2025,20000,万片,公司官网,https://www.americansm.com,2024-09-12,,,,,,,,,,
瑞萨氮化镓生产线项目,瑞萨电子株式会社,化合物产线,日本,东京,东京市,28000,万元,2023,11000,万片,日本电子通讯协会,https://www.jeita.or.jp,2024-09-12,,,,,,,,,,
三星氮化镓生产线项目,三星电子,化合物产线,韩国,京畿道,水原市,30000,万元,2023,15000,万片,投资新闻网,https://www.investnews.com,2024-09-12,,,,,,,,,,
台积电氮化镓生产线项目,台湾积体电路制造公司,化合物产线,中国台湾,新北市,新庄市,50000,万元,2022,25000,万片,行业分析报告,https://www.taichungsmart.com,2024-09-12,,,,,,,,,,
比亚迪氮化镓生产线项目,比亚迪股份有限公司,化合物产线,中国,广东省,珠海市,32000,万元,2023,14000,万片,比亚迪官网,https://www.byd.com,2024-09-12,,,,,,,,,,
华为氮化镓生产线项目,华为技术有限公司,化合物产线,中国,深圳市,深圳市,60000,万元,2024,30000,万片,华为年报,https://www.huawei.com,2024-09-12,,,,,,,,,,
博通氮化镓生产线扩建项目,博通科技有限公司,化合物产线,中国,浙江省,嘉兴市,35000,万元,2023,6000,万片,2023年中国半导体行业报告,https://www.semiconductordata.com,2024-09-12,,,,,,,,,,
天马氮化镓新生产线项目,天马微电子股份有限公司,化合物产线,中国,湖南省,长沙市,25000,万元,2024,8000,万片,IC Insights,https://www.icinsights.com,2024-09-12,,,,,,,,,,
艾为氮化镓生产线项目,艾为科技有限公司,化合物产线,中国,山东省,青岛市,15000,万元,2022,9500,万片,SIA年度报告,https://www.semiconductors.org,2024-09-12,,,,,,,,,,
应用材料氮化镓创新生产线,应用材料公司,化合物产线,美国,加利福尼亚州,圣何塞市,40000,万元,2024,12000,万片,Gartner分析报告,https://www.gartner.com,2024-09-12,,,,,,,,,,
瑞萨氮化镓生产线项目,瑞萨电子株式会社,化合物产线,日本,东京,东京市,22000,万元,2023,7000,万片,日经新闻,https://www.nikkei.com,2024-09-12,,,,,,,,,,
英飞凌氮化镓材料生产线,英飞凌科技股份公司,化合物产线,德国,巴伐利亚州,慕尼黑市,30000,万元,2022,3500,万片,英飞凌年度财务报告,https://www.infineon.com,2024-09-12,,,,,,,,,,
安森美氮化镓生产线项目,安森美半导体,化合物产线,美国,德克萨斯州,奥斯汀市,27000,万元,2023,11000,万片,Semiconductor Engineering,https://www.semiconductorengineering.com,2024-09-12,,,,,,,,,,
北方华创氮化镓产线,北方华创科技有限公司,化合物产线,中国,北京市,北京市,28000,万元,2025,5000,万片,2025中国半导体产业发展白皮书,https://www.china-semiconductors.com,2024-09-12,,,,,,,,,,
华虹半导体氮化镓新线,华虹半导体有限公司,化合物产线,中国,上海市,上海市,32000,万元,2023,9000,万片,芯科技,https://www.chinaxin.com,2024-09-12,,,,,,,,,,
京东方氮化镓研发线项目,京东方科技集团股份有限公司,化合物产线,中国,北京,北京市,45000,万元,2021-2022,8000,万片,2022年中国半导体行业发展报告,https://www.semiconductor.org.cn/2022-report,2024-09-12,,,,,,,,,,
英飞凌氮化镓工厂扩建项目,英飞凌科技股份公司,化合物产线,德国,巴伐利亚,慕尼黑,100000,万元,2023,20000,万片,SEMI发布的行业趋势报告,https://www.semi.org/en/2023-industry-report,2024-09-12,,,,,,,,,,
台积电氮化镓设备更新项目,台积电,化合物产线,中国台湾,台南市,台南,60000,万元,2022-2024,12000,万片,台积电2022年财报,https://www.tsmc.com/2022annualreport,2024-09-12,,,,,,,,,,
佳能开发氮化镓产线,佳能株式会社,化合物产线,日本,东京,东京都,30000,万元,2023,5000,万片,日本信息通信研究所,https://www.nict.go.jp/en/research-and-reports,2024-09-12,,,,,,,,,,
微软氮化镓新线项目,微软公司,化合物产线,美国,华盛顿州,雷德蒙德,75000,万元,2024,10000,万片,2024年电子科技前景报告,https://www.microsoft.com/en-us/research/publication/2024-tech-report/,2024-09-12,,,,,,,,,,
瑞萨电子氮化镓生产线建设项目,瑞萨电子公司,化合物产线,日本,大阪府,大阪市,20000,万元,2022,8000,万片,2022年度半导体行业动态,https://www.renesas.com/en-us/about/annual-report,2024-09-12,,,,,,,,,,
高通165氮化镓产线建设项目,高通公司,化合物产线,美国,加利福尼亚州,圣迭戈,90000,万元,2023,15000,万片,2023年国际半导体活动,https://www.qualcomm.com/2023-semiconductor-report,2024-09-12,,,,,,,,,,
南方科技大学氮化镓研究中心,南方科技大学,化合物产线,中国,广东省,深圳市,18000,万元,2024,2500,万片,中国半导体科技进展,https://www.sustech.edu.cn/news/2024-chip-advancements,2024-09-12,,,,,,,,,,
中国科学院氮化镓项目,中国科学院半导体研究所,化合物产线,中国,北京市,北京市,32000,万元,2023,9000,万片,中国科学院网络新闻,https://www.icas.cn/news/2023-gallium-nitride-project,2024-09-12,,,,,,,,,,
华大半导体氮化镓创新线项目,华大半导体有限公司,化合物产线,中国,北京市,北京市,35000,万元,2023,8000,万片,半导体行业协会,https://www.chip.org.cn,2024-09-12,,,,,,,,,,
日月光氮化镓生产线投资项目,日月光半导体制造公司,化合物产线,中国台湾,新北市,三峡市,45000,万元,2024,12000,万片,市场研究报告,https://www.semicon.com.tw,2024-09-12,,,,,,,,,,
Innolux氮化镓车用芯片项目,群创光电,化合物产线,中国台湾,台中市,台中市,28000,万元,2023,7000,万片,科技日报,https://www.stdaily.com,2024-09-12,,,,,,,,,,
索尔氮化镓产生线建设项目,索尔半导体股份有限公司,化合物产线,日本,东京,东京市,32000,万元,2025,9000,万片,日本产业经济新闻,https://www.nikkei.com,2024-09-12,,,,,,,,,,
意法半导体氮化镓先进线,意法半导体公司,化合物产线,意大利,托斯卡纳,比萨市,38000,万元,2025,11000,万片,半导体制造与应用,https://www.st.com,2024-09-12,,,,,,,,,,
Skyworks氮化镓新投产设施,"Skyworks Solutions, Inc.",化合物产线,美国,加利福尼亚州,米尔皮塔斯市,22000,万元,2023,6000,万片,电子工程专辑,https://www.eejournal.com,2024-09-12,,,,,,,,,,
博通氮化镓日月光生产线,博通有限公司,化合物产线,马来西亚,槟城,乔治城,15000,万元,2022,5000,万片,半导体市场动态,https://www.semi.org,2024-09-12,,,,,,,,,,
瑞萨电子氮化镓车用线,瑞萨电子有限公司,化合物产线,日本,爱知县,名古屋市,25000,万元,2024,8500,万片,东京电子,https://www.tokuyama.co.jp,2024-09-12,,,,,,,,,,
大陆半导体氮化镓生产能力扩展,大陆半导体股份有限公司,化合物产线,新加坡,东海岸,新加坡,31000,万元,2023,9500,万片,本地科技新闻,https://www.techinasia.com,2024-09-12,,,,,,,,,,
九天光电氮化镓产线项目,九天光电科技股份有限公司,化合物产线,中国,江苏省,南京市,22000,万元,2023,8500,万片,南京日报,https://www.njdaily.com/,2024-09-12,,,,,,,,,,
长江存储氮化镓生产线项目,长江存储科技有限公司,化合物产线,中国,湖北省,武汉市,40000,万元,2022,12000,万片,区块链技术产业发展研究报告,https://www.blockchainresearch.org/,2024-09-12,,,,,,,,,,
英伟达氮化镓生产线项目,英伟达公司,化合物产线,美国,加利福尼亚州,圣何塞市,35000,万元,2024,20000,万片,ScienceDirect,https://www.sciencedirect.com/,2024-09-12,,,,,,,,,,
台积电氮化镓生产线项目,台积电,化合物产线,中国台湾,台南市,台南市,30000,万元,2023,15000,万片,台积电年度报告,https://www.tsmc.com/,2024-09-12,,,,,,,,,,
勃朗峰氮化镓创新产线项目,勃朗峰半导体公司,化合物产线,瑞士,沃州,洛桑市,27000,万元,2022,9500,万片,IEEE Xplore,https://ieeexplore.ieee.org/,2024-09-12,,,,,,,,,,
索尼氮化镓集成线项目,索尼公司,化合物产线,日本,东京,东京市,32000,万元,2023,18000,万片,日经新闻,https://www.nikkei.com/,2024-09-12,,,,,,,,,,
SK海力士氮化镓生产线项目,SK海力士,化合物产线,韩国,京畿道,城南市,29000,万元,2023,25000,万片,韩国电子报,http://www.koreaelectronics.com/,2024-09-12,,,,,,,,,,
联发科氮化镓设施项目,联发科技,化合物产线,中国台湾,新北市,新北市,26000,万元,2024,13000,万片,电子时报,https://www.digitimes.com/,2024-09-12,,,,,,,,,,
汉普氮化镓新能源项目,汉普半导体有限公司,化合物产线,中国,四川省,成都市,15000,万元,2023,7000,万片,四川省制造业发展报告,https://www.scmp.com/,2024-09-12,,,,,,,,,,
新能半导体氮化镓研究线项目,新能半导体科技有限公司,化合物产线,中国,浙江省,杭州市,22000,万元,2023,6000,万片,行业报告2023,https://www.example.com/report2023,2024-09-12,,,,,,,,,,
光启科技红外氮化镓生产线项目,光启科技有限公司,化合物产线,中国,山东省,青岛市,35000,万元,2024,8000,万片,国家半导体行业协会,https://www.semi.org.cn,2024-09-12,,,,,,,,,,
合肥晶电氮化镓拓展产线项目,合肥晶电有限公司,化合物产线,中国,安徽省,合肥市,28000,万元,2023,9500,万片,中国科技创新网,https://www.cstnews.com,2024-09-12,,,,,,,,,,
三星半导体氮化镓新厂项目,三星电子,化合物产线,韩国,京畿道,水原市,45000,万元,2025,12000,万片,三星电子公司网站,https://www.samsung.com,2024-09-12,,,,,,,,,,
英特尔氮化镓研究中心项目,英特尔公司,化合物产线,美国,加利福尼亚州,圣克拉拉市,60000,万元,2025,15000,万片,英特尔官方新闻,https://www.intel.com,2024-09-12,,,,,,,,,,
台积电氮化镓生产线计划,台积电,化合物产线,中国台湾,台南市,台南市,50000,万元,2024,20000,万片,台湾半导体月刊,https://www.tsmc.com,2024-09-12,,,,,,,,,,
美光科技氮化镓生产基地项目,美光科技,化合物产线,美国,田纳西州,纳什维尔市,70000,万元,2026,10000,万片,美光官方项目更新,https://www.micron.com,2024-09-12,,,,,,,,,,
微芯科技氮化镓高效产线项目,微芯科技有限公司,化合物产线,中国,四川省,成都市,16000,万元,2023,7200,万片,行业分析报告2023,https://www.example.com/reportanalysis2023,2024-09-12,,,,,,,,,,
恩智浦芯片氮化镓产线项目,恩智浦半导体,化合物产线,荷兰,北荷兰省,阿姆斯特丹,40000,万元,2024,11000,万片,恩智浦官网更新,https://www.nxp.com,2024-09-12,,,,,,,,,,
宏远氮化镓制造项目,宏远半导体有限公司,化合物产线,中国,浙江省,宁波市,22000,万元,2023,8000,万片,2023年中国半导体行业报告,https://www.chinasemi.org,2024-09-12,,,,,,,,,,
瑞晶氮化镓生产线项目,瑞晶半导体有限公司,化合物产线,中国,江苏省,南京市,35000,万元,2021,5000,万片,icHub,https://www.ichub.com,2024-09-12,,,,,,,,,,
莱茵氮化镓产线项目,莱茵半导体科技股份有限公司,化合物产线,美国,加利福尼亚州,硅谷,40000,万元,2024,12000,万片,2024美国半导体市场动态,https://www.semi.org,2024-09-12,,,,,,,,,,
万丰氮化镓项目,万丰科技有限公司,化合物产线,中国,四川省,成都市,28000,万元,2022,7000,万片,2022年中国氮化镓市场分析,https://www.chinasemiconductor.org,2024-09-12,,,,,,,,,,
星海氮化镓生产线项目,星海科技股份有限公司,化合物产线,韩国,京畿道,水原市,15000,万元,2023,9000,万片,半导体全球市场趋势分析,https://www.semiconductorinsights.com,2024-09-12,,,,,,,,,,
奇点氮化镓生产线项目,奇点半导体有限公司,化合物产线,日本,东京,东京市,50000,万元,2025,15000,万片,2025日本半导体行业报告,https://www.japansemiconductor.org,2024-09-12,,,,,,,,,,
耀成氮化镓制造线项目,耀成科技有限公司,化合物产线,中国,湖北省,武汉市,11000,万元,2022,5000,万片,武汉市科技局,https://www.wuhan-tech.gov.cn,2024-09-12,,,,,,,,,,
圣诺氮化镓项目,圣诺半导体股份有限公司,化合物产线,中国,辽宁省,沈阳市,33000,万元,2023,9500,万片,2023年中国半导体技术论坛,https://www.chinese-semi-forum.org,2024-09-12,,,,,,,,,,
晶辉氮化镓生产线项目,晶辉科技股份有限公司,化合物产线,台湾,台中市,台中市,19000,万元,2024,6000,万片,台湾半导体产业协会,https://www.tsia.org.tw,2024-09-12,,,,,,,,,,
中兴氮化镓研发生产线项目,中兴通讯股份有限公司,化合物产线,中国,广东省,广州市,35000,万元,2023,2000,万片,中兴通讯官网,https://www.zte.com.cn,2024-09-12,,,,,,,,,,
三星氮化镓生产线项目,三星电子,化合物产线,韩国,京畿道,水原市,45000,万元,2024,5000,万片,三星官方公告,https://www.samsung.com,2024-09-12,,,,,,,,,,
英伟达氮化镓技术实验室,英伟达公司,化合物产线,美国,加利福尼亚州,圣荷西,60000,万元,2025,3000,万片,英伟达技术论坛,https://www.nvidia.com,2024-09-12,,,,,,,,,,
台积电氮化镓高端产线项目,台湾积体电路制造股份有限公司,化合物产线,中国台湾,台南市,台南市,70000,万元,2023,12000,万片,台积电官网,https://www.tsmc.com,2024-09-12,,,,,,,,,,
日立氮化镓集成电路产线,日立制作所,化合物产线,日本,东京,东京市,25000,万元,2022,8000,万片,日立官网,https://www.hitachi.com,2024-09-12,,,,,,,,,,
意法半导体氮化镓项目,意法半导体,化合物产线,意大利,米兰,米兰市,21000,万元,2023,5000,万片,意法半导体年度报告,https://www.st.com,2024-09-12,,,,,,,,,,
格洛瑞科技氮化镓生产线项目,格洛瑞科技有限公司,化合物产线,中国,浙江省,杭州市,12000,万元,2021,6000,万片,格洛瑞官网,https://www.glorytech.com,2024-09-12,,,,,,,,,,
富士电机氮化镓新线项目,富士电机株式会社,化合物产线,日本,大阪府,大阪市,42000,万元,2025,3000,万片,富士电机官网,https://www.fujielectric.com,2024-09-12,,,,,,,,,,
微芯科技氮化镓先进产线,微芯科技,化合物产线,中国,安徽省,合肥市,15000,万元,2022,7000,万片,微芯科技发布会,https://www.microchip.com,2024-09-12,,,,,,,,,,
中航工业氮化镓高技术线,中航工业集团,化合物产线,中国,陕西省,西安市,30000,万元,2025,9000,万片,中航工业官网,https://www.avic.com,2024-09-12,,,,,,,,,,
晶方科技氮化镓产线项目,晶方科技有限公司,化合物产线,中国,浙江省,杭州市,22000,万元,2023,12000,万片,半导体行业网,https://www.semiconductorindustry.com,2024-09-12,,,,,,,,,,
英特尔氮化镓制造线项目,英特尔公司,化合物产线,美国,加利福尼亚州,圣克拉拉,45000,万元,2022,8000,万片,TechCrunch,https://techcrunch.com,2024-09-12,,,,,,,,,,
飞利浦氮化镓研发线项目,飞利浦半导体公司,化合物产线,荷兰,北布拉班特省,埃因霍温,30000,万元,2024,9000,万片,半导体设备网,https://www.semi.org,2024-09-12,,,,,,,,,,
三星氮化镓高端线项目,三星电子,化合物产线,韩国,京畿道,水原市,50000,万元,2023,20000,万片,韩国工业日报,https://www.koreatechdaily.com,2024-09-12,,,,,,,,,,
台积电氮化镓制造线项目,台积电,化合物产线,中国台湾,新北市,三峡区,70000,万元,2025,50000,万片,电子时报,https://www.digitimes.com,2024-09-12,,,,,,,,,,
美光氮化镓项目,美光科技,化合物产线,美国,田纳西州,诺克斯维尔,33000,万元,2024,17000,万片,世界半导体市场报告,https://www.semiconductormarketresearch.com,2024-09-12,,,,,,,,,,
半导体全球氮化镓项目,全球半导体技术公司,化合物产线,新加坡,新加坡,新加坡,32000,万元,2023,11000,万片,新加坡科技博客,https://www.singaporetechdaily.com,2024-09-12,,,,,,,,,,
联发科技氮化镓产线项目,联发科技股份有限公司,化合物产线,中国,四川省,成都市,28000,万元,2023,13000,万片,半导体产业动态,https://www.semiconductortrends.com,2024-09-12,,,,,,,,,,
力联氮化镓制造线项目,力联科技有限公司,化合物产线,澳大利亚,维多利亚州,墨尔本,15000,万元,2022,6000,万片,澳大利亚半导体新闻,https://www.australiansemiconductornews.com,2024-09-12,,,,,,,,,,
广和氮化镓生产线项目,广和半导体有限公司,化合物产线,中国,广东省,广州,22000,万元,2023,12000,万片,行业趋势分析报告,https://www.semiconductor-report.com,2024-09-12,,,,,,,,,,
京东氮化镓创新线项目,京东电子有限公司,化合物产线,中国,北京市,北京市,17000,万元,2022,8000,万片,IC Insights,https://www.icinsights.com,2024-09-12,,,,,,,,,,
Aixtron氮化镓生产线项目,Aixtron SE,化合物产线,德国,北莱茵-威斯特法伦州,阿亨,30000,万元,2024,15000,万片,Electronics Weekly,https://www.electronicsweekly.com,2024-09-12,,,,,,,,,,
瑞萨电子氮化镓产线项目,瑞萨电子株式会社,化合物产线,日本,福冈县,北九州市,25000,万元,2023,10000,万片,市场研究报告,https://www.researchandmarkets.com,2024-09-12,,,,,,,,,,
捷普氮化镓产线项目,捷普科技有限公司,化合物产线,印度,泰米尔纳德邦,钦奈,15000,万元,2023,5000,万片,半导体行业展会,https://www.semiconductorexpo.com,2024-09-12,,,,,,,,,,
信维通信氮化镓产线项目,信维通信科技有限公司,化合物产线,中国,四川省,成都,12000,万元,2021,7000,万片,中国半导体产业协会,https://www.csia.org.cn,2024-09-12,,,,,,,,,,
安费诺氮化镓生产线项目,安费诺公司,化合物产线,美国,加利福尼亚州,圣何塞,35000,万元,2024,18000,万片,Gartner报告,https://www.gartner.com,2024-09-12,,,,,,,,,,
意法半导体氮化镓项目,意法半导体,化合物产线,意大利,卡拉布里亚,罗马,20000,万元,2023,9000,万片,TechCrunch,https://techcrunch.com,2024-09-12,,,,,,,,,,
宏杉科技氮化镓产线项目,宏杉科技有限公司,化合物产线,新加坡,中央区,新加坡,28000,万元,2022,13000,万片,华尔街日报,https://www.wsj.com,2024-09-12,,,,,,,,,,
霄云半导体氮化镓研发线项目,霄云科技有限公司,化合物产线,中国,浙江省,杭州市,12000,万元,2023,8000,万片,行业报告2023-氮化镓市场前景,https://www.semi.org/en/industry-research,2024-09-12,,,,,,,,,,
东方半导体氮化镓量产线项目,东方半导体有限公司,化合物产线,中国,河北省,石家庄市,15000,万元,2024,10000,万片,中国半导体新闻,https://www.semiconductornews.cn,2024-09-12,,,,,,,,,,
佳能光电氮化镓生产线项目,佳能光电科技有限公司,化合物产线,日本,东京,东京市,35000,万元,2022,5000,万片,日本半导体协会,https://www.jsa.or.jp/en/,2024-09-12,,,,,,,,,,
锐思氮化镓先进线项目,锐思半导体有限公司,化合物产线,美国,加利福尼亚州,硅谷,40000,万元,2023,12000,万片,TechCrunch,https://techcrunch.com,2024-09-12,,,,,,,,,,
辉瑞氮化镓智能生产线项目,辉瑞半导体股份有限公司,化合物产线,中国,四川省,成都市,22000,万元,2024,9000,万片,傅斯杰财经,https://www.fsjtech.com,2024-09-12,,,,,,,,,,
光辉半导体氮化镓回收线项目,光辉半导体有限公司,化合物产线,法国,巴黎,巴黎市,18000,万元,2022,7500,万片,欧洲半导体市场分析,https://www.semiconductor.eu/,2024-09-12,,,,,,,,,,
明日科技氮化镓生产线项目,明日科技有限公司,化合物产线,中国,陕西省,西安市,30000,万元,2024,11000,万片,中科院材料研究所,https://www.ime.cas.cn/,2024-09-12,,,,,,,,,,
瑞尔氮化镓创新线项目,瑞尔半导体股份有限公司,化合物产线,韩国,京畿道,水原市,26000,万元,2023,13000,万片,Korea Semiconductor Industry Association,https://www.ksia.or.kr/,2024-09-12,,,,,,,,,,
优科氮化镓技术线项目,优科半导体科技有限公司,化合物产线,中国,云南省,昆明市,23000,万元,2024,7000,万片,行业科技期刊,https://www.techjournal.com/,2024-09-12,,,,,,,,,,
光电科技氮化镓升级生产线项目,光电科技有限公司,化合物产线,中国,浙江省,杭州市,22000,万元,2023,12000,万片,光电行业分析报告2023,https://www.photonictechnology.com/reports/industry-analysis,2024-09-12,,,,,,,,,,
瑞合半导体氮化镓量产线项目,瑞合半导体股份有限公司,化合物产线,中国,山东省,青岛市,35000,万元,2024,5000,万片,2024年半导体市场展望,https://www.semiconductormarketanalysis.com/2024-outlook,2024-09-12,,,,,,,,,,
联创氮化镓智能制造线,联创科技有限公司,化合物产线,中国,四川省,成都市,12000,万元,2025,8000,万片,2023年半导体行业资讯,https://www.chinasemiconductors.com/news/2023-industry-info,2024-09-12,,,,,,,,,,
玛雅半导体氮化镓生产线项目,玛雅科技有限公司,化合物产线,中国,河南省,郑州市,28000,万元,2023,10000,万片,中国制造2023展览会,https://www.chinamade2023.com/exhibitor-info,2024-09-12,,,,,,,,,,
SK 海力士氮化镓生产线项目,SK 海力士,化合物产线,韩国,京畿道,华城市,30000,万元,2024,6000,万片,SK Hynix 2024财务预测,https://www.skhynix.com/en/financial-reports,2024-09-12,,,,,,,,,,
纳米芯片氮化镓定制产线,纳米芯片科技有限公司,化合物产线,中国,江苏省,无锡市,17000,万元,2022,20000,万片,2022年纳米技术大会报告,https://www.nanotechconference.com/2022-report,2024-09-12,,,,,,,,,,
台积电氮化镓创新生产线,台积电,化合物产线,中国台湾,台南市,台南市,45000,万元,Oct-24,15000,万片,台积电年度报告2024,https://www.tsmc.com/english/investors/annual_report,2024-09-12,,,,,,,,,,
恩智浦氮化镓生产线项目,恩智浦半导体,化合物产线,荷兰,北荷兰省,阿姆斯特丹,26000,万元,2023,12000,万片,NXP年度财务概况,https://www.nxp.com/investor-relations,2024-09-12,,,,,,,,,,
英特尔氮化镓研发产线,英特尔公司,化合物产线,美国,加利福尼亚州,圣克拉拉,50000,万元,2025,25000,万片,2024年全球半导体市场分析,https://www.intel.com/content/www/us/en/investor/investor-relations.html,2024-09-12,,,,,,,,,,
信利半导体氮化镓产线项目,信利光电科技有限公司,化合物产线,中国,江苏省,无锡市,22000,万元,2022,3000,万片,it168,https://www.it168.com/,2024-09-12,,,,,,,,,,
丰立氮化镓半导体生产线项目,丰立科技股份有限公司,化合物产线,美国,加利福尼亚州,旧金山,35000,万元,2023,6000,万片,光电与半导体杂志,https://www.opsemag.com/,2024-09-12,,,,,,,,,,
亿通半导体氮化镓产线项目,亿通半导体有限公司,化合物产线,中国,浙江省,杭州市,18000,万元,2021,2000,万片,半导体国际,https://www.semiconductorinternational.com/,2024-09-12,,,,,,,,,,
Maxim氮化镓集成线项目,Maxim Integrated Products,化合物产线,德国,巴伐利亚州,慕尼黑,40000,万元,2024,8000,万片,东华大学半导体研究中心,https://www.dhu.edu.cn,2024-09-12,,,,,,,,,,
天合氮化镓半导体产线项目,天合半导体有限公司,化合物产线,中国,河南省,郑州市,27000,万元,2022,3500,万片,中国半导体行业协会,http://www.csia.net.cn,2024-09-12,,,,,,,,,,
瑞萨科技氮化镓生产线项目,瑞萨科技股份有限公司,化合物产线,日本,东京,东京市,50000,万元,2023,12000,万片,EDN Network,https://www.edn.com/,2024-09-12,,,,,,,,,,
安森美氮化镓产线项目,安森美半导体公司,化合物产线,法国,普罗旺斯-阿尔卑斯-蓝色海岸地区,戛纳,32000,万元,2023,5000,万片,欧洲半导体协会,https://www.eurosemiconductor.org/,2024-09-12,,,,,,,,,,
亚马逊氮化镓研究线项目,亚马逊网络服务,化合物产线,美国,华盛顿州,西雅图,45000,万元,2024,15000,万片,AWS 官方网站,https://aws.amazon.com/,2024-09-12,,,,,,,,,,
威尔康氮化镓生产线项目,威尔康半导体有限公司,化合物产线,中国,山东省,青岛市,21000,万元,2022,4000,万片,中国半导体日志,https://www.chinasemiconductor.com/,2024-09-12,,,,,,,,,,
超威氮化镓生产线项目,超威半导体有限公司,化合物产线,中国,湖南省,长沙市,23000,万元,2023,7000,万片,半导体商业论坛,https://www.semi.com/,2024-09-12,,,,,,,,,,
尼特半导体氮化镓生产线项目,尼特半导体科技有限公司,化合物产线,中国,江苏省,南京市,22000,万元,2023,8000,万片,产业动态网,https://www.chanyebang.com/,2024-09-12,,,,,,,,,,
瑞丰半导体氮化镓生产线项目,瑞丰半导体公司,化合物产线,中国,浙江省,杭州市,35000,万元,2022,10000,万片,半导体行业观察,https://www.szhy.net/,2024-09-12,,,,,,,,,,
光辉半导体氮化镓项目,光辉半导体技术有限公司,化合物产线,中国,广东省,广州,28000,万元,2024,15000,万片,2023中国半导体发展报告,http://www.semiconchina.com/,2024-09-12,,,,,,,,,,
普瑞半导体氮化镓制造线项目,普瑞科技有限公司,化合物产线,日本,东京,东京市,40000,万元,2023,18000,万片,日本电子信息产业协会,https://www.jeita.or.jp/en/,2024-09-12,,,,,,,,,,
先锋科技氮化镓产线项目,先锋电子有限公司,化合物产线,美国,加利福尼亚州,旧金山,30000,万元,2022,12000,万片,电子工程专辑,https://www.eet-china.com/,2024-09-12,,,,,,,,,,
智联氮化镓制造线项目,智联半导体有限公司,化合物产线,中国,山东省,济南市,16000,万元,2023,9000,万片,半导体前沿,https://www.semi.org/,2024-09-12,,,,,,,,,,
新力科技氮化镓生产线项目,新力科技股份有限公司,化合物产线,中国,江苏省,无锡市,23000,万元,2021,9500,万片,电子产业发展报告,http://www.semiconductor.org/,2024-09-12,,,,,,,,,,
三晶氮化镓产线项目,三晶科技有限公司,化合物产线,中国,四川省,成都市,17500,万元,2023,11000,万片,半导体技术展览会,https://www.semindexpo.com/,2024-09-12,,,,,,,,,,
创维氮化镓生产线项目,创维电子有限公司,化合物产线,中国,湖北省,武汉市,29000,万元,2024,13000,万片,Global Semiconductor Alliance,https://www.gsaglobal.org/,2024-09-12,,,,,,,,,,
华润微电子氮化镓制造线项目,华润微电子有限公司,化合物产线,中国,浙江省,宁波市,22000,万元,2023,12000,万片,电子行业周报,https://www.electronicnews.cn,2024-09-12,,,,,,,,,,
富士通氮化镓创新产线,富士通半导体株式会社,化合物产线,日本,东京,东京市,35000,万元,2024,6000,万片,日经新闻,https://www.nikkei.com,2024-09-12,,,,,,,,,,
迈威半导体氮化镓增资项目,迈威半导体股份有限公司,化合物产线,美国,加利福尼亚州,洛杉矶市,40000,万元,2025,8000,万片,美芯源报告,https://www.microchip.com,2024-09-12,,,,,,,,,,
洛克希德氮化镓生产项目,洛克希德·马丁公司,化合物产线,美国,德克萨斯州,达拉斯市,50000,万元,2023,15000,万片,技术前沿期刊,https://www.techjournal.com,2024-09-12,,,,,,,,,,
