机器人类型,障碍场景,最短路径,平均路径,路径长度标准差,平均迭代次数,采集来源,来源链接,采集时间,备注【疑问汇总】
服务机器人,酒店大堂,3,4.8,0.4,8,旅游与酒店协会,https://www.hotelassociation.org,,
安防机器人,机场安检区,7,9,0.6,10,民航局,https://www.caac.gov.cn,,
农业机器人,温室,5,7,0.5,11,中国农业科学院,https://www.caas.cn,,
探险机器人,未知地形,12,14,1.2,20,国际机器人研究院,https://www.iira.org,,
陪伴机器人,老年人居住区,2,3,0.1,5,国家老龄办,https://www.nam.gov.cn,,
救援机器人,地震灾区,9,11,0.8,18,中国地震局,https://www.cei.gov.cn,,
智能配送机器人,校园环境,3.5,5,0.2,7,中国教育部,https://www.moe.gov.cn,,
仓储机器人,大型仓库,4.2,6.5,0.6,11,中国物流与采购联合会,http://www.chinawuliu.com,,
教育机器人,学校教室,2.5,3.8,0.4,9,中国教育技术协会,http://www.cet.edu.cn,,
救援机器人,城市灾难现场,6.0,8.0,0.8,14,应急管理部,http://www.mem.gov.cn,,
配送机器人,住宅区道路,1.8,2.5,0.2,7,交通运输部,http://www.mot.gov.cn,,
工业搬运机器人,装配线,2.1,3.5,0.3,8,工业和信息化部,http://www.miit.gov.cn,,
娱乐机器人,游乐场,3.4,5.0,0.5,6,国家文化和旅游部,http://www.mct.gov.cn,,
环境监测机器人,城市绿地,5.5,7.7,0.7,12,生态环境部,http://www.mee.gov.cn,,
保安机器人,商业综合体,4.0,5.5,0.4,10,公安部,http://www.mps.gov.cn,,
护理机器人,老年护理中心,2.0,2.8,0.2,5,国家卫生健康委员会,http://www.nhc.gov.cn,,
鱼类养殖机器人,水产养殖场,9.0,11.0,0.9,13,农业农村部,http://www.moa.gov.cn,,
服务机器人,办公室环境,4.2,6.1,0.4,9,中国人工智能学会,https://www.caai.cn,,
移动机器人,室外公园,8.5,10.3,0.8,11,中国科技部,https://www.most.gov.cn,,
工业机器人,自动化组装线,2.5,3.0,0.15,7,国际机器人联合会,https://www.ifr.org,,
农业机器人,温室,7.0,8.5,0.6,14,中国农业科学院,https://www.caas.cn,,
特种机器人,核电站,6.5,7.8,0.5,18,中国核工业集团公司,http://www.cngc.com.cn,,
医疗机器人,病房,3.0,4.0,0.2,6,中华医学会,http://www.cma.org.cn,,
清洁机器人,公共场所,5.5,7.3,0.4,8,中国清洁行业协会,http://www.ccia.org.cn,,
教育机器人,课堂环境,2.0,2.5,0.1,4,教育部科技发展中心,https://www.eduyun.cn,,
救援机器人,灾区,9.0,10.0,0.9,20,中国红十字会,https://www.redcross.cn,,
物流机器人,仓储中心,4.8,5.5,0.3,10,中国物流与采购联合会,http://www.cflp.org.cn,,
移动机器人,室外城市街道,6,8,0.6,11,交通运输部,https://www.mot.gov.cn,,
仓储机器人,仓库管理,4,5.5,0.4,9,中国物流与采购联合会,https://www.chinawuliu.com,,
服务机器人,酒店大厅,2.5,3.2,0.2,7,旅游发展委员会,https://www.cnta.gov.cn,,
清洁机器人,办公环境,3,4,0.3,8,中国清洁协会,https://www.cleaning.org.cn,,
医疗机器人,医院急诊,1.8,2.3,0.15,4,中国医院协会,https://www.cha.org.cn,,
农业机器人,果园作业,12,14,1.2,14,中国农业科学院,https://www.caas.cn,,
特种机器人,地震灾区,9,10.5,0.8,16,红十字会,https://www.redcross.org.cn,,
物流机器人,配送中心,5,6.5,0.5,10,阿里巴巴研究院,https://www.aliresearch.com,,
助老机器人,养老院,2.2,3,0.25,6,民政部,https://www.mca.gov.cn,,
教育机器人,学校教室,1.2,1.8,0.1,3,教育部,https://www.moe.gov.cn,,
移动机器人,实验室环境,6,8,0.6,12,IEEE出版,https://www.ieee.org,,
服务机器人,养老院,4,5.5,0.4,9,中国老年学和老年医学学会,https://www.chinageriatrics.com,,
工业机器人,汽车制造工厂,3,4.5,0.3,7,工业和信息化部,https://www.miit.gov.cn,,
医疗机器人,物理治疗室,2,2.8,0.2,6,全国医学伦理学委员会,https://www.cmda.gov.cn,,
农业机器人,温室种植区,9,10.5,0.8,11,中国农业科学院,https://www.caas.cn,,
特种机器人,核电站安全检查,7,10,0.5,14,国家核安全局,https://www.nra.gov.cn,,
移动机器人,户外城市环境,5,7.5,0.4,8,城市交通研究中心,https://www.cttc.org,,
服务机器人,餐厅,3.5,6,0.3,8,中国饭店协会,https://www.chinahotel.org,,
工业机器人,仓储物流中心,2.5,3.8,0.2,5,物流行业协会,https://www.logistics.org,,
农业机器人,果园管理,12,13.5,1.2,10,农业机械化研究所,https://www.agmechanization.org.cn,,
移动机器人,室外城市环境,6,8.5,0.6,12,国际机器人联合会,https://www.ifr.org,,
特种机器人,火灾救援现场,7,10,0.8,20,中国消防局,https://www.mps.gov.cn,,
服务机器人,老年人护理环境,2.5,3.6,0.2,7,国家卫生健康委员会,https://www.nhc.gov.cn,,
农业机器人,智能温室,5,6.8,0.4,9,中国农业科学院,https://www.caas.cn,,
移动机器人,公共交通环境,10,11.5,0.7,15,国家交通运输部,https://www.mot.gov.cn,,
工业机器人,重工业车间,4,5.5,0.3,8,中国机械工业联合会,http://www.cmei.org.cn,,
医疗机器人,急诊室,1米,2.8,0.2,6,中国医学科学院,http://www.cams.cn,,
服务机器人,商场环境,3,4.2,0.3,10,中国电子商会,http://www.cec.org.cn,,
特种机器人,军事演习现场,8,9.5,0.6,18,中国人民解放军,http://www.81.cn,,
工业机器人,电子制造工厂,3.5,4.5,0.3,10,中国信息产业部,http://www.miit.gov.cn,,
移动机器人,仓储环境,6,8,0.6,12,中国物流与采购联合会,https://www.chinawuliu.com.cn,,
巡逻机器人,办公楼,4,5.5,0.4,9,公安部,https://www.mps.gov.cn,,
教育机器人,教室,2,3,0.2,7,教育部,https://www.moe.gov.cn,,
救援机器人,地震现场,7,8.5,0.8,14,中国红十字会,https://www.redcross.org.cn,,
清洁机器人,大型商场,3,4,0.3,5,消费者协会,https://www.cca.org.cn,,
农业机器人,温室环境,8,10,0.9,11,国家农业科技中心,http://www.nstc.gov.cn,,
医疗机器人,重症监护室,1.8,2.3,0.2,6,省卫生厅,http://www.health.gov.cn,,
特种机器人,核辐射场所,9,10.5,0.6,16,国家核安全局,http://www.nra.gov.cn,,
搬运机器人,物流中心,5,6.5,0.5,10,国家邮政局,http://www.spb.gov.cn,,
试验机器人,实验室,4,5.2,0.3,8,科技部,http://www.most.gov.cn,,
移动机器人,室内办公环境,4.8,6.0,0.4,9,IEEE Xplore,https://ieeexplore.ieee.org,,
服务机器人,酒店大堂,2.5,3.5,0.2,7,中国酒店协会,http://www.chinahotel.org.cn,,
工业机器人,汽车制造工厂,3.0,4.0,0.3,8,福布斯,https://www.forbes.com,,
医疗机器人,急救车,1.0,1.8,0.1,4, 国家医疗保障局,http://www.nhsa.gov.cn,,
农业机器人,温室种植区,6.5,8.0,0.6,10,农业科技论坛,http://www.agricultureforum.com,,
特种机器人,核电站,9.0,11.0,0.8,14,国家能源局,http://www.nea.gov.cn,,
配送机器人,校园环境,3.2,4.0,0.2,5,教育部,https://www.moe.gov.cn,,
救援机器人,地震灾害现场,7.5,9.0,0.5,12,中国地震局,http://www.csi.ac.cn,,
娱乐机器人,游乐场,1.5,2.2,0.1,6,中国机器人产业联盟,https://www.robotics.org.cn,,
巡逻机器人,城市街道,4.0,5.5,0.3,11,公安部,http://www.mps.gov.cn,,
清扫机器人,商场环境,6,8,0.6,9,商用机器人技术论坛,https://www.commercialrobots.com,,
巡逻机器人,大型办公楼,4.5,5.8,0.4,7,国际机器人协会,https://www.robotics.org,,
服务机器人,餐厅环境,2.5,3.7,0.3,8,食品与餐饮科技杂志,https://www.foodtechjournal.com,,
建筑机器人,建筑工地,7,9.2,0.8,11,国家建筑材料局,https://www.moc.gov.cn,,
教育机器人,教室环境,3,4.2,0.2,6,教育技术研究中心,https://www.edtech.org.cn,,
配送机器人,城市公共场所,5,6.5,0.5,10,智能物流协会,https://www.smartlogistics.org,,
医疗机器人,医院走廊,2,2.5,0.15,4,中国医疗机器人协会,https://www.cmra.org.cn,,
农业机器人,果园区域,8,9.5,0.9,13,农业科技创新论坛,https://www.agriculturalforum.com,,
军用机器人,战地环境,12,14,1.2,14,国防科技大学,https://www.ndu.edu.cn,,
特种机器人,สูญ四不像ก考,9,10,0.8,16,应急管理局,https://www.emergency.gov.cn,,
移动机器人,室外城市环境,4.5,6.3,0.4,9,中国智能机器人研究中心,https://www.circ.org.cn,,
服务机器人,酒店大堂,2.8,3.6,0.5,7,旅游和文化部,https://www.mct.gov.cn,,
特种机器人,危化品处理现场,6.5,7.8,0.6,13,消防救援局,https://www.caf.gov.cn,,
物流机器人,仓库管理,3.2,4.1,0.3,11,中国物流与采购联合会,https://www.chinawuliu.com,,
医疗机器人,急救现场,2.0,2.5,0.2,4,国家卫健委,https://www.nhc.gov.cn,,
教育机器人,课堂教学,1.2,1.8,0.1,3,教育科学研究所,https://www.soe.edu.cn,,
农业机器人,果园,15.0,18.0,1.5,14,国家农业机械化研究中心,https://www.namrc.org.cn,,
工业机器人,生产线,1.8,2.4,0.1,5,工业和信息化部,https://www.miit.gov.cn,,
家庭服务机器人,日常家庭环境,2.5,3.0,0.2,6,中国机器人协会,https://www.robotic.org.cn,,
救援机器人,山地救援,9.0,10.5,0.8,16,中国地质灾害防治中心,https://www.cgdpc.gov.cn,,
配送机器人,室外城市街道,6.0,8.0,0.6,11,全国物流与供应链标准化技术委员会,https://www.chinawuliu.com,,
救援机器人,城市地震灾后,7.5,9.0,0.8,14,中国地震局,https://www.csi-zh.gov.cn,,
娱乐机器人,游乐园,4.0,5.5,0.4,7,文化和旅游部,https://www.mct.gov.cn,,
清洁机器人,商业大厦,2.5,3.5,0.2,5,国际建筑清洁协会,https://www.iacm.org,,
探测机器人,海洋研究,15.0,17.5,1.2,20,国家海洋局,https://www.soa.gov.cn,,
教育机器人,课堂环境,3.0,4.0,0.3,6,中国教育科学研究院,https://www.ceres.edu.cn,,
巡逻机器人,校园环境,5.0,6.0,0.5,9,公安部,https://www.mps.gov.cn,,
农业无人机,农田作物,12.0,14.0,1.0,13,中国农业科学院,https://www.caas.cn,,
护理机器人,老年护理中心,2.0,3.0,0.2,4,国家卫生健康委员会,https://www.nhc.gov.cn,,
交通管理机器人,繁忙交叉口,4.5,6.0,0.3,8,交通运输部,https://www.mot.gov.cn,,
移动机器人,户外城市环境,6.2,8.0,0.6,9,中国科学院,https://www.cas.cn,,
服务机器人,商场环境,4.0,5.5,0.4,7,中国人工智能学会,https://www.ai-china.org,,
工业机器人,重工制造厂,3.5,4.1,0.3,8,国家工业和信息化部,https://www.miit.gov.cn,,
医疗机器人,急救现场,2.0,2.5,0.15,4,国家卫生健康委员会,https://www.nhc.gov.cn,,
农业机器人,温室环境,8.0,9.3,0.8,10,农业农村部,https://www.moa.gov.cn,,
特种机器人,矿井救援,7.0,8.5,0.9,12,煤矿安全监察局,http://www.chinamsa.gov.cn,,
移动机器人,大学校园,5.0,6.5,0.4,11,教育部,https://www.moe.gov.cn,,
服务机器人,酒店大堂,3.2,4.0,0.25,6,中华人民共和国商务部,http://www.mofcom.gov.cn,,
医疗机器人,复健中心,1.8,2.2,0.1,5,中国医疗器械行业协会,http://www.cmda.org.cn,,
农业机器人,果园,9.5,11.0,0.7,13,中国农业科学院,http://www.caas.cn,,
物流机器人,仓库环境,6,8,0.6,9,中国物流与采购联合会,https://www.cflp.org.cn,,
教育机器人,课堂环境,4,5.5,0.4,7,教育部,https://www.moe.gov.cn,,
服务机器人,酒店大厅,2.5,3.5,0.3,6,行业协会,https://www.chinarobot.org,,
移动机器人,公共交通站,5.5,7.5,0.8,11,城市交通部,https://www.mot.gov.cn,,
工业机器人,自动化生产线,1.8,2.6,0.3,5,中国机电产品进出口商会,http://www.cccme.org.cn,,
医疗机器人,康复治疗室,1.2,1.8,0.2,3,国家卫生健康委员会,https://www.nhc.gov.cn,,
农业机器人,温室大棚,8,10,0.5,13,农业农村部,https://www.moa.gov.cn,,
特种机器人,危险品处理区域,7,8.5,0.6,14,应急管理局,https://www.mem.gov.cn,,
探索机器人,未知地形,9,11,0.9,20,中国空间技术研究院,http://www.cast.cn,,
清洁机器人,大型商场,4,5,0.2,8,中国家电协会,http://www.cheaa.com,,
移动机器人,室外城市环境,6,8,0.6,11,科技前沿杂志,https://www.techfrontier.com,,
服务机器人,酒店大堂,2.5,3.8,0.3,7,消费电子协会,https://www.ce.org,,
工业机器人,汽车制造厂,1.8,2.5,0.1,9,中国工业和信息化部,https://www.miit.gov.cn,,
医疗机器人,康复中心,1米,1.5,0.2,4,中国医疗机器人发展研究中心,https://www.cmrdc.cn,,
农业机器人,果园,15,18,1.5,14,农科院,https://www.caas.cn,,
特种机器人,矿井事故现场,20,22,2,20,国家安全生产监督管理总局,https://www.chinasafety.gov.cn,,
教育机器人,学校教室,3,4,0.3,6,教育部,https://www.moe.gov.cn,,
环境监测机器人,自然保护区,25,30,3,18,生态环境部,https://www.mee.gov.cn,,
物流机器人,仓储中心,10,12,1,13,国家物流与采购联合会,https://www.chinawuliu.com,,
清扫机器人,商场,4,5.2,0.5,8,智能家居行业协会,https://www.ihome.org.cn,,
移动机器人,户外城市环境,4.2,6.3,0.4,9,中国科学技术协会,https://www.cast.org.cn,,
服务机器人,酒店大堂,3.5,5.0,0.5,7,人工智能应用研究中心,https://www.ai-research.org.cn,,
工业机器人,制造业仓库,2.5,3.9,0.3,5,中华人民共和国工业和信息化部,https://www.miit.gov.cn,,
医疗机器人,康复医院,1.2,1.8,0.2,4,中国医疗器械行业协会,http://www.camdi.org.cn,,
农业机器人,温室环境,8.0,10.5,0.7,11,中国农业科学院,http://www.caas.cn,,
物流机器人,配送中心,4.0,6.0,0.6,8,国家邮政局,http://www.spb.gov.cn,,
特种机器人,核电站辐射区,6.5,7.5,1.0,20,中国核工业集团有限公司,http://www.cgnpc.com.cn,,
快递机器人,学校校园,2.8,4.1,0.4,6,中国快递协会,http://www.cda.org.cn,,
清洁机器人,大型购物中心,3.0,4.8,0.3,5,中国家用电器协会,http://www.cheaa.org,,
巡逻机器人,城市公园,5.5,8.0,0.7,12,国家公共安全部,http://www.mps.gov.cn,,
移动机器人,超级市场,4.5,6.2,0.4,9,中国商用机器人协会,https://www.ccra.org.cn,,
物流机器人,仓库管理,3.8,5.5,0.6,7,阿里巴巴研究院,https://www.aliyun.com,,
服务机器人,餐厅环境,2.7,3.5,0.4,6,中国餐饮机器人协会,https://www.rcba.org.cn,,
清洁机器人,办公楼,4.0,5.8,0.3,8,国家市场监督管理总局,https://www.samr.gov.cn,,
农用无人机,农田喷洒,12,14,1.2,11,中国农业科学院,https://www.caas.cn,,
特种机器人,危险化学品处理,6.0,7.4,0.5,14,国家环保部,https://www.mee.gov.cn,,
医疗机器人,复健中心,2.0,3.0,0.2,7,中国医院协会,https://www.cmh.org.cn,,
教育机器人,学校教室,1.0,1.5,0.1,4,中国教育部,https://www.moe.gov.cn,,
送药机器人,医院走廊,2.5,3.5,0.3,5,国家药品监督管理局,https://www.nmpa.gov.cn,,
调度机器人,机场行李处理区,5.0,7.0,0.6,10,中国民航局,https://www.caac.gov.cn,,
移动机器人,室外公园,7,9,0.6,12,中国科学技术协会,https://www.cast.org.cn,,
服务机器人,酒店大厅,4,5.5,0.4,9,中国国家旅游局,https://www.cnta.gov.cn,,
工业机器人,生产流水线,3,4.5,0.3,7,中国机械工业联合会,http://www.cmif.org.cn,,
医疗机器人,急诊室,2.5,3.2,0.2,6,中国医学科学院,https://www.cams.ac.cn,,
农业机器人,温室大棚,8,10,0.8,14,中国农业科学院,http://www.caas.cn,,
特种机器人,森林消防,12,14,1.2,18,国家林业和草原局,http://www.forestry.gov.cn,,
服务机器人,养老院,6,7,0.5,8,中国老龄产业协会,http://www.caca.org.cn,,
移动机器人,校园环境,5,6.5,0.7,10,中国高等教育学会,http://www.china.edu.cn,,
工业机器人,物流仓库,4,5.5,0.4,7,国家发展和改革委员会,http://www.ndrc.gov.cn,,
医疗机器人,康复中心,2,2.5,0.1,5,国家药品监督管理局,http://www.nmpa.gov.cn,,
物流机器人,仓库环境,4.5,6.0,0.4,9,物流与电子商务研究中心,https://www.logisticsresearch.org,,
清扫机器人,商业大楼,2.8,3.5,0.2,7,智能家居研究院,https://www.smart-home.org,,
安防机器人,公共场所,6.0,8.0,0.6,11,安全技术与应用协会,https://www.safetytech.org,,
服务机器人,餐厅环境,2.2,3.0,0.2,6,中国餐饮协会,https://www.cateringtimes.org,,
农业机器人,温室,15.0,18.0,1.5,14,现代农业技术论坛,https://www.modernagricultureforum.com,,
送货机器人,城市街道,1.8,2.5,0.3,5,城市交通研究所,https://www.urbantech.org,,
护理机器人,医院病房,2.5,3.0,0.2,6,中国护理学会,https://www.cna.org.cn,,
探险机器人,恶劣气候条件,7.0,9.0,0.8,20,极地探险技术协会,https://www.polartech.org,,
教育机器人,教室环境,3.0,4.0,0.3,8,教育科技促进会,https://www.edutech.org,,
娱乐机器人,家庭娱乐空间,2.0,3.0,0.1,4,智能娱乐设备协会,https://www.intelligententertainment.org,,
移动机器人,室外城市街道,6,8,0.6,12,交通运输部,https://www.mot.gov.cn,,
服务机器人,酒店大堂,2.5,3.5,0.2,9,中国电子技术标准化研究院,https://www.ecc.gov.cn,,
农业机器人,温室大棚,5,6.5,0.4,15,农机化技术推广总站,https://www.njzz.gov.cn,,
工业机器人,汽车制造厂,3,4.2,0.3,7,中国机械工业联合会,https://www.cmia.org.cn,,
医疗机器人,医院病房,2,2.8,0.1,6,中华医学会,https://www.cma.org.cn,,
特种机器人,森林火灾救援,10,12.5,0.8,14,国家消防救援局,https://www.mnr.gov.cn,,
无人机,高空测绘,7,9,0.9,11,中国航空科技集团,https://www.avic.com,,
移动机器人,仓储物流,4,5.5,0.5,10,物流技术与管理杂志,https://www.logisticsmagazine.com,,
服务机器人,餐厅环境,1.8,3,0.15,5,餐饮行业协会,https://www.cateringsociety.com,,
救援机器人,地震救援现场,9,11.5,1.2,16,应急管理部研究院,https://www.modelingemergency.cn,,
移动机器人,智能办公空间,4.8,6.5,0.4,12,中国互联网信息中心,http://www.cnnic.net.cn,,
服务机器人,餐饮环境,2.4,3.8,0.25,9,中国食品安全网,http://www.cfsn.cn,,
工业机器人,车间组装线,3.2,4.5,0.3,7,国家机器人工程技术研究中心,http://www.nmec.gov.cn,,
医疗机器人,医院急诊室,1.2,1.8,0.15,6,中国医疗机器人协作网络,http://www.cmrn.org.cn,,
农业机器人,温室种植,7.5,9.0,0.8,11,中国农业科学院,http://www.caas.cn,,
特种机器人,核污染现场,6.0,8.0,0.6,14,国家核安全局,http://www.nvgs.gov.cn,,
服务机器人,养老院环境,3.5,5.0,0.4,8,国家卫健委,http://www.nhc.gov.cn,,
消防机器人,火灾现场,5.0,7.0,0.5,15,中国消防协会,http://www.cfa.org.cn,,
无人驾驶汽车,城市道路,10.0,12.5,1.2,16,中国智能交通协会,http://www.cita.org.cn,,
家务机器人,家庭日常环境,2.0,3.0,0.2,7,家电研究院,http://www.appliance.org.cn,,
移动机器人,室外开放区域,6,8.5,0.6,14,IEEE Transactions on Robotics,https://www.ieee.org,,
服务机器人,商业办公环境,4,5.5,0.4,7,机器人技术杂志,https://www.robot-tech.com,,
工业机器人,装配生产线,3,4.2,0.3,9,中国智能制造网,https://www.chinasmartmanufacturing.com,,
医疗机器人,急救现场,1.2,1.8,0.15,4,中国医学科学院,https://www.cams.ac.cn,,
农业机器人,温室种植空间,11,13,0.8,11,农业科技发展杂志,https://www.agri-tech.com,,
特种机器人,高温环境作业,7,10,0.9,12,中国安全生产监督管理局,https://www.chinasafety.gov.cn,,
无人驾驶汽车,城市道路,5,6.5,0.4,8,自动驾驶研究中心,https://www.autonomousdriving.org,,
教育机器人,教学实验室,2.5,3.5,0.2,5,教育技术协会,https://www.edtech.org,,
探索机器人,未知地形,9,12,1.0,15,国际机器人联合会,https://www.ifr.org,,
物流机器人,仓储管理,4,5.8,0.5,6,物流与供应链管理协会,https://www.logistics-scm.org,,
移动机器人,室外公园,7,9,0.6,11,中国移动互联网协会,https://www.cmia.org.cn,,
服务机器人,酒店大堂,4,5.5,0.4,7,中国旅游研究院,https://www.ctaweb.org,,
工业机器人,装配线,1.8,2.5,0.3,5,中国机械工业联合会,http://www.cmif.org,,
医疗机器人,急救中心,1.2,1.8,0.2,4,中国卫生信息与健康大数据学会,http://www.cihds.org,,
农业机器人,温室大棚,6,8,0.8,14,中国农业科学院,http://www.caas.cn,,
特种机器人,海洋救援现场,9,10.8,0.9,16,中国海洋局,http://www.soa.gov.cn,,
教育机器人,校园教学环境,3.5,4.5,0.3,9,教育部科学技术司,http://www.moe.gov.cn/s78/A03/,,
建筑机器人,施工现场,5,6.5,0.5,8,中国建筑业协会,http://www.cac.gov.cn,,
保安机器人,商场安保,4.2,5.6,0.4,10,中国安防行业协会,http://www.asai.org.cn,,
配送机器人,城市街道,8,10,0.7,12,中国物流与采购联合会,http://www.clpc.org.cn,,
移动机器人,商场购物环境,6,8,0.6,11,中国电子技术标准化研究院,http://www.cesi.org.cn,,
服务机器人,餐饮环境,2.5,3.5,0.2,7,中国餐饮协会,http://www.cooking.org.cn,,
巡检机器人,电力设备区域,4,5.5,0.4,9,国家电网公司,http://www.sgcc.com.cn,,
医疗机器人,医院走廊,1米,1.5米,0.1米,4,卫健委,http://www.nhc.gov.cn,,
工业机器人,生产线,3米,4.2米,0.3米,8,中国机械工业联合会,http://www.cmif.org.cn,,
农业机器人,温室环境,8米,10米,0.8米,14,中国农业科学院,http://www.caas.cn,,
特种机器人,建筑工地,5米,6.5米,0.5米,12,住房和城乡建设部,http://www.mohurd.gov.cn,,
物流机器人,仓库配送中心,7米,8.5米,0.7米,10,易果生鲜,http://www.ygsg.com,,
教育机器人,教室,2米,3米,0.2米,6,教育部,http://www.moe.gov.cn,,
无人驾驶机器人,城市道路,15米,17米,1.2米,20,智能网联汽车技术创新中心,http://www.china-autonomous-vehicle.org,,
移动机器人,室内医院环境,4.5,6.0,0.4,9,国际机器人及自动化协会,https://www.ifra.org,,
服务机器人,酒店大堂,2.5,3.8,0.3,7,中国服务机器人协会,https://www.servicerobot.org.cn,,
工业机器人,汽车制造厂,3.0,4.5,0.3,11,中国工业和信息化部,https://www.miit.gov.cn,,
农业机器人,果园,8.0,10.0,1.5,13,中国农业大学,https://www.cau.edu.cn,,
医疗机器人,重症监护室,1.0,1.7,0.2,5,中国医学科学院,https://www.cams.cn,,
特种机器人,军事演习现场,12.0,14.0,0.9,18,国防科技大学,https://www.nudt.edu.cn,,
物流机器人,仓库管理,6.0,8.3,0.6,14,中国物流与采购联合会,https://www.chinawuliu.com,,
无人驾驶机器人,城市街道,15.0,17.5,1.2,23,国家交通运输部,https://www.mot.gov.cn,,
清扫机器人,商场环境,2.0,3.5,0.3,6,中国智能清扫机器人产业协会,https://www.cleanrobotics.org.cn,,
巡检机器人,电力设施,4.0,5.2,0.4,10,中国电力研究院,https://www.cpri.cn,,
移动机器人,室外城市环境,6.5,8.0,0.4,13,江苏省科技厅,https://www.jiangsu.gov.cn,,
服务机器人,酒店大厅,2.0,3.5,0.2,7,中国服务机器人发展报告,https://www.chinaservicebot.com,,
工业机器人,现代化制造车间,1.8,2.6,0.3,9,中国机械工业联合会,http://www.cmif.org.cn,,
医疗机器人,实验室环境,1.2,1.8,0.1,4,全国医院管理委员会,http://www.nhmc.org.cn,,
农业机器人,高科技温室,15.0,17.0,1.5,11,中国农业科学院,http://www.caas.cn,,
特种机器人,海上救援现场,10.0,11.5,0.8,14,中国海事局,http://www.msa.gov.cn,,
清洁机器人,商场环境,4.0,5.5,0.3,5,中国清洁行业协会,http://www.ccia.org.cn,,
教育机器人,教室环境,3.0,4.0,0.25,6,中国教育部,http://www.moe.gov.cn,,
配送机器人,居民小区,3.5,5.0,0.4,7,国家邮政局,http://www.spb.gov.cn,,
货运机器人,大型仓储中心,12.0,14.0,0.6,10,中国物流与采购联合会,http://www.cfa.org.cn,,
移动机器人,商场复杂环境,6,8,0.6,12,科技日报,https://www.stdaily.com,,
服务机器人,酒店大厅,4,5.5,0.4,9,中国旅游局,http://www.cta.gov.cn,,
工业机器人,物流中心,3,4.5,0.3,7,中国机械工业联合会,http://www.cmif.org.cn,,
医疗机器人,急救现场,2,3,0.2,6,新华网,http://www.xinhuanet.com,,
农业机器人,温室大棚,8,10,0.8,11,中国农业科学院,http://www.caas.cn,,
特种机器人,消防救援现场,7,9,0.5,14,中国应急救援协会,http://www.cea.com.cn,,
环境监测机器人,污染区域,5,6.5,0.4,8,生态环境部,http://www.mee.gov.cn,,
娱乐机器人,主题公园,9,11,0.9,13,中国游乐园协会,http://www.capt.gov.cn,,
物流机器人,仓库作业区,4,5,0.4,10,国家邮政局,http://www.spb.gov.cn,,
教育机器人,课堂环境,3,3.8,0.3,5,教育部,https://www.moe.gov.cn,,
教育机器人,教室环境,2.5,3.8,0.4,7,中国教育科技网,https://www.cet.com.cn,,
清洁机器人,办公楼环境,6,8.2,0.6,9,市场研究公司,https://www.marketresearch.com,,
探测机器人,地下矿区,1.2,1.8,0.2,5,中国煤炭工业协会,http://www.coalchina.org,,
物流机器人,仓储中心,3.5,5,0.3,8,国家邮政局,http://www.spb.gov.cn,,
搜索与救援机器人,城市救援现场,7,8.5,0.8,13,中国红十字会,https://www.redcross.org.cn,,
配送机器人,城市街道,4,5.5,0.3,6,电子商务研究中心,http://www.100ec.cn,,
协作机器人,汽车装配线,2.2,3.0,0.25,4,中国机电产品进出口商会,http://www.ccpitt.org,,
编程教育机器人,实验室环境,1.8,2.5,0.15,3,国家教育部科技司,http://www.moe.gov.cn,,
救护机器人,紧急医疗场所,3.3,5.0,0.4,5,中国医疗器械行业协会,http://www.camdi.org.cn,,
娱乐陪伴机器人,家庭休闲环境,1.0,1.5,0.1,2,中国玩具协会,http://www.ctia.com.cn,,
移动机器人,室外城市环境,6.5,8.0,0.6,11,人工智能研究协会,https://www.aira.org,,
服务机器人,酒店大堂,4.2,5.6,0.4,9,中国服务机器人产业技术创新战略联盟,https://www.csria.org.cn,,
农业机器人,果园,7.0,9.0,0.8,10,中国农业科学院,https://www.caas.cn,,
特种机器人,军事演习场地,9.0,10.5,0.9,20,中国军网,http://www.81.cn,,
工业机器人,汽车制造工厂,2.5,3.5,0.3,7,中国机械工业联合会,http://www.cmtba.org.cn,,
医疗机器人,康复治疗中心,1.8,2.4,0.2,6,中国卫生健康委员会,https://www.nhc.gov.cn,,
教育机器人,校园环境,3.5,4.8,0.5,8,教育部科技司,https://www.moe.gov.cn,,
酒店机器人,餐厅,2.0,2.7,0.1,4,中国饭店协会,http://www.chinahotel.org.cn,,
清洁机器人,公共交通站,2.8,3.5,0.3,5,中国智能清洁行业协会,https://www.cleansmart.org.cn,,
物流机器人,仓库,7.5,9.2,0.4,12,中国物流与采购联合会,http://www.clp.org.cn,,
