系统名称（字符型）,系统类型（字符型）,系统架构（字符型）,系统性能（字符型）,系统搭建环境（字符型）,系统关键功能（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
空天安全监控系统,安全监控系统,多层次监控架构,全天候监控能力,本地与云结合环境,监控视频管理、报警系统,公安部,http://www.mps.gov.cn,2024-10-08,,,,,,,,,,,
空天无人机协调系统,协调管理系统,集中控制架构,无人机编队飞行管理,专用无人机指挥环境,飞行调度、实时监控,民用航空局,http://www.caac.gov.cn,2024-10-08,,,,,,,,,,,
基于AI的空间数据分析系统,分析系统,人工智能架构,数据分析速度快,数据科学实验室,空间数据处理、预测分析,AI技术研究院,http://www.aitri.cn,2024-10-08,,,,,,,,,,,
空天资源分配调度系统,资源管理系统,动态调度架构,资源利用率高,高性能计算环境,资源调度、动态分析,国际资源管理协会,http://www.irma.org,2024-10-08,,,,,,,,,,,
空天安全审核与合规系统,合规管理系统,合规审核架构,安全审核效率高,合规监管平台,合规审查、风险评估,国家安全监管局,http://www.ssa.gov.cn,2024-10-08,,,,,,,,,,,
空天空间天气监测系统,监测系统,综合传感器架构,空中气象监测与分析,标准气象观测环境,空间天气预报、极端天气监测,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天智能决策支持系统,决策支持系统,多层次决策架构,快速决策与分析支持,高性能计算环境,数据分析、决策模拟,工业和信息化部,http://www.miit.gov.cn,2024-10-08,,,,,,,,,,,
空天数据融合平台,数据融合系统,模块化融合架构,多种数据源实时融合,云计算端环境,数据整合、信息共享,国家数据局,http://www.stats.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监测与评估系统,监测系统,分布式监测架构,高频次环境监测,遥感数据平台,环境评估、污染检测,生态环境部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天应急响应指挥系统,指挥系统,一体化指挥架构,快速应急反应能力,移动指挥平台,应急指挥、资源调度,应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天多模态信息共享系统,信息共享系统,互联互通架构,信息共享与交换高效,安全信息平台,信息发布、实时咨询,国家信息中心,http://www.nic.gov.cn,2024-10-08,,,,,,,,,,,
空天系统可靠性分析工具,分析工具,云端分析架构,系统可靠性评估高,云仿真环境,可靠性预测、故障分析,中国工程院,http://www.cae.cn,2024-10-08,,,,,,,,,,,
空天导航与导引系统,导引系统,卫星导航架构,高精度导航与导引能力,地面固定监测站,导航导引、路线优化,导航与位置服务联盟,http://www.nlps.org.cn,2024-10-08,,,,,,,,,,,
空天区域安全监控系统,监控系统,区域联动监控架构,智能监控与风险预警,综合监控中心,区域监测、风险预警,国家安全局,http://www.mps.gov.cn,2024-10-08,,,,,,,,,,,
空天技术研发协同平台,协同平台,协同设计架构,高效协同开发能力,云研发环境,项目协作、技术交流,科技部,http://www.most.gov.cn,2024-10-08,,,,,,,,,,,
三维空间仿真平台,仿真系统,环境模拟架构,实时交互式仿真,边缘计算环境,虚拟现实模拟、区域环境评估,空间科技论坛,https://www.spaceforum.gov.cn,2024-10-08,,,,,,,,,,,
空天目标识别系统,识别系统,神经网络架构,高识别精度与速度,深度学习平台,目标检测、分类监测,航空航天科技研究院,http://www.aerospace-cn.com,2024-10-08,,,,,,,,,,,
空天监测与预警系统,监测系统,集成化监测架构,实时数据反馈与预警,物联网环境,数据采集、动态监测,中国环境监测总站,http://www.cnemc.cn,2024-10-08,,,,,,,,,,,
空天双向通信系统,双向通信系统,多层次网络架构,低延迟双向数据传输,卫星网络环境,数据互通、应急通信,卫星通信公司,http://www.satellitecom.cn,2024-10-08,,,,,,,,,,,
空天危机管理平台,管理平台,分布式管理架构,快速资源协调与调度,云服务环境,危机响应、资源调配,国家应急管理局,http://www.msp.gov.cn,2024-10-08,,,,,,,,,,,
空天地理信息服务系统,服务系统,开放式架构,可视化信息快速发布,混合云环境,空间数据管理、图层叠加,地理信息科学研究所,http://www.gis-research.cn,2024-10-08,,,,,,,,,,,
空天数据共享平台,数据共享平台,去中心化架构,高可用性与接入性,开放数据环境,数据发布、用户管理,国家数据管理局,http://www.nlsc.gov.cn,2024-10-08,,,,,,,,,,,
空天任务数据分析系统,分析系统,数据驱动架构,海量数据处理能力,大数据分析环境,数据挖掘、预测分析,数据科学研究中心,https://www.datasciencecenter.cn,2024-10-08,,,,,,,,,,,
空天环境影响评估系统,评估系统,评估模型架构,动态评估与反馈,非常规处理环境,环境数据分析、影响评估,生态环境部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天多源信息融合系统,信息融合系统,多维数据架构,信息整合与分析速度快,智能信息环境,信息采集、数据融合,智能科技企业,http://www.intelligenttech.cn,2024-10-08,,,,,,,,,,,
空天监测与评估系统,监测系统,集成化架构,实时环境监测能力,边缘计算环境,环境数据采集、评估报告生成,环境科学研究所,http://www.cersi.cn,2024-10-08,,,,,,,,,,,
空天气象预报系统,预报系统,云计算架构,长短期气象预报能力,多云平台环境,气候模型构建、数据可视化,国家气象局,http://www.nmc.cn,2024-10-08,,,,,,,,,,,
空天情报分析平台,分析系统,分布式架构,智能数据挖掘能力,高性能计算环境,数据整合、智能决策支持,国防科技研究院,http://www.lasty.com.cn,2024-10-08,,,,,,,,,,,
空天安全管理系统,管理系统,模块化架构,实时安全监控与预警,混合云环境,安全事件响应、风险评估,网络安全中心,http://www.cybersecurity.gov.cn,2024-10-08,,,,,,,,,,,
空天能源管理系统,能源管理系统,智能网架构,能源使用效率优化,物联网支持环境,能源数据分析、消费预测,可再生能源协会,http://www.renergy.org.cn,2024-10-08,,,,,,,,,,,
空天大数据平台,数据处理系统,大数据架构,海量数据处理能力,混合云环境,数据存储与分析、实时应用,数据管理与分析中心,http://www.dma.org.cn,2024-10-08,,,,,,,,,,,
空天航天交通管理系统,交通管理系统,分布式架构,复杂航天交通管理能力,专用网络环境,航天器轨道管理、碰撞预警,航天局,http://www.spaceagency.gov.cn,2024-10-08,,,,,,,,,,,
空天应急应对系统,应急管理系统,快速反应架构,快速响应与协调能力,云端协同环境,应急资源分配、事件监测,应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天科研协作平台,协作系统,平台化架构,科研项目管理与协作,共享云环境,项目资源管理、进度追踪,科研协作网络,http://www.researchcollab.org,2024-10-08,,,,,,,,,,,
空天智能决策支持系统,决策支持系统,决策支持架构,高效决策生成能力,云计算与数据融合环境,决策建模、方案评估,决策支持中心,http://www.dss.org.cn,2024-10-08,,,,,,,,,,,
空天气象监测平台,监测系统,实时数据流架构,精准天气预报能力,云计算环境,气候数据采集、风暴预测,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
多源信息融合分析系统,分析系统,模块化融合架构,多种数据类型兼容,混合云环境,数据整合、智能分析,国家信息中心,http://www.nic.gov.cn,2024-10-08,,,,,,,,,,,
无人机协同作战系统,作战系统,基于云计算的分布式架构,实时指挥与控制能力,安全专用网络环境,任务协调、战场监控,中国军事实验室,http://www.military.gov.cn,2024-10-08,,,,,,,,,,,
空间资源管理平台,管理系统,集成式架构,资源利用率优化,私有云环境,资源调度、空间利用分析,国家资源部,http://www.nrm.gov.cn,2024-10-08,,,,,,,,,,,
空天探测与分析系统,探测系统,多层次架构,高效目标辨识能力,数据中心环境,目标检测、数据可视化,航空航天科技公司,http://www.aerospace.cn,2024-10-08,,,,,,,,,,,
空间安全监控系统,监控系统,环网架构,24小时不间断监测能力,云服务环境,安全态势监控、应急响应,国家安全委员会,http://www.nsc.gov.cn,2024-10-08,,,,,,,,,,,
卫星数据实时处理系统,数据处理系统,高可用架构,快速数据吞吐能力,超级计算环境,卫星数据接收与处理,卫星应用中心,http://www.sz.gov.cn,2024-10-08,,,,,,,,,,,
智能空中交通管理系统,管理系统,集中式管理架构,动态交通流量控制,5G和云平台环境,航路监测、交通流分析,航天航空大学,http://www.cuaas.edu.cn,2024-10-08,,,,,,,,,,,
空天应急救援系统,应急系统,异构架构,快速响应能力,移动网络平台,救援任务调度、资源分配,国家应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
智能空间导航系统,导航系统,精准地图服务架构,导航精度高达厘米级,实时动态数据平台,路径规划、实时导航,智能交通技术开发公司,http://www.intelligenttraffic.com.cn,2024-10-08,,,,,,,,,,,
智能空天信息分析系统,信息分析系统,云原生架构,数据处理速度快，支持多种数据源,云计算基础设施,信息聚合、决策支持,智能科技研究院,https://www.smarttech.org.cn,2024-10-08,,,,,,,,,,,
基于卫星的环境监测系统,监测系统,集成架构,实时监测、快速响应,卫星通信网络,环境数据采集、分析报告生成,环境保护部,http://www.sep.gov.cn,2024-10-08,,,,,,,,,,,
无人机集群控制系统,控制系统,分布式系统,高效率、低延迟,移动设备环境,航线规划、任务协调,无人机协会,http://www.droneassociation.cn,2024-10-08,,,,,,,,,,,
空天基础设施维护管理系统,管理系统,模块化架构,多用户访问、数据共享,综合信息平台,维护调度、设备监控,航天科技集团,https://www.casic.cn,2024-10-08,,,,,,,,,,,
虚拟现实空战训练系统,训练系统,三维实时模拟架构,沉浸式体验、高真实感,VR环境,战术演练、战斗模拟,军事科学院,https://www.ami.org.cn,2024-10-08,,,,,,,,,,,
高效空天数据融合平台,数据融合平台,架构分层,海量数据处理能力、人机交互友好,企业级云服务,数据集成、交互式分析,数据科技集团,http://www.datatech.com.cn,2024-10-08,,,,,,,,,,,
空间探测任务执行系统,任务执行系统,实时分布式架构,高实时性、稳定性强,高性能计算环境,任务调度、数据回传,国家航天局,https://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
跨域协同空天任务系统,协同系统,跨域架构,协同能力强、适应性广,跨平台环境,任务协调、信息共享,学术研究机构,http://www.academic.org.cn,2024-10-08,,,,,,,,,,,
新一代空天监控预警系统,监控系统,集成化监控架构,快速反应、准确检测,稳定网络环境,预警发报、实时监控,国家安全部,http://www.mps.gov.cn,2024-10-08,,,,,,,,,,,
量子通信空天网络系统,网络系统,量子架构,安全性高、传输速率快,量子计算平台,隐秘通信、数据加密,量子通信研究所,http://www.qc.edu.cn,2024-10-08,,,,,,,,,,,
空天监测与预警系统,监测系统,分层架构,实时监测与预警,云计算与边缘计算结合环境,气象监测、灾害预警,国家气象局,http://www.nmc.cn,2024-10-08,,,,,,,,,,,
空天生态监测系统,生态监测系统,分布式系统架构,环保数据实时分析,区域专用环境,生物多样性监测、生态保护,生态环境部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天资源管理系统,资源管理系统,云端集成架构,高效资源调配能力,虚拟化环境,资源盘点、使用效率分析,自然资源部,http://www.mnr.gov.cn,2024-10-08,,,,,,,,,,,
空天农业监测系统,农业监测系统,智能化架构,农业数据实时分析与处理,远程监控环境,农作物生长监测、环境评估,农业农村部,http://www.moa.gov.cn,2024-10-08,,,,,,,,,,,
空天城市安全管理系统,安全管理系统,多层次安全架构,全面安全风险评估,城市高密度环境,城市安全监视、应急响应,应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天智慧交通管理系统,智能交通系统,开放式架构,交通流量分析与预测,中心化与分散化结合环境,车辆调度、流量监控,交通运输部,http://www.mot.gov.cn,2024-10-08,,,,,,,,,,,
空天国土资源监测系统,资源监测系统,统一平台架构,完整的土地监测与管理,GIS云平台,土地覆盖变化分析、资源分布监测,国土资源库,http://www.glr.gov.cn,2024-10-08,,,,,,,,,,,
空天海洋监测系统,海洋监测系统,综合交互式架构,海洋环境实时监测,海洋专用监测平台,水质监测、海洋生物监测,国家海洋局,http://www.soa.gov.cn,2024-10-08,,,,,,,,,,,
空天气候变化研究系统,科学研究系统,研究型架构,气候模拟与预测分析,科学计算环境,气候数据分析、趋势预测,气候变化研究所,http://www.ccir.cn,2024-10-08,,,,,,,,,,,
空天灾害监测与预警系统,监测系统,集成监控架构,快速响应、实时监测,人造卫星网络环境,灾害预警、数据可视化,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监测与评估系统,监测系统,分布式环境监控架构,高灵敏度、长时间监测,跨区域网络环境,空气质量监测、气候变化评估,环境保护部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天资源管理平台,管理系统,服务导向架构,资源调度快捷,云计算及大数据环境,资源规划、数据共享,资源与环境科学研究所,http://www.resex.com.cn,2024-10-08,,,,,,,,,,,
空天智能决策支持系统,决策系统,基于模型的决策架构,快速决策支持能力,智能终端环境,决策分析、情报整合,人工智能研究中心,http://www.ai-research.org.cn,2024-10-08,,,,,,,,,,,
空天安全防护系统,安全系统,模块化防护架构,安全监测宽广,网络安全环境,威胁识别、应急响应,国家网络安全局,http://www.cac.gov.cn,2024-10-08,,,,,,,,,,,
空中无人机调度系统,调度系统,集中控制架构,高效无人机调度能力,专用无人机网络,动作计划、实时监控,无人机应用协会,http://www.droneassoc.org.cn,2024-10-08,,,,,,,,,,,
空天农业监测系统,监测系统,智能农业架构,精准农业监控,农业物联网环境,土壤监测、作物健康评估,农业农村部,http://www.moa.gov.cn,2024-10-08,,,,,,,,,,,
空天智能交通系统,交通系统,全域交通管理架构,流量分析及优化,城市数据网络环境,实时交通管理、事故分析,交通运输部,http://www.mot.gov.cn,2024-10-08,,,,,,,,,,,
空天监控与治理系统,治理系统,综合治理架构,全面监控治理能力,综合监控网络,资源整合、效率提升,社会治理研究所,http://www.socialgovernance.org.cn,2024-10-08,,,,,,,,,,,
空天科技支持系统,支持系统,基础设施服务架构,保障科研活动,高性能计算环境,科研支持、数据处理,高等院校科技部,http://www.moe.gov.cn,2024-10-08,,,,,,,,,,,
空间分布式数据融合平台,数据融合系统,分布式多层次架构,高可靠性与实时性,混合云环境,数据融合、实时监测,空间科技创新中心,https://www.spaceinnovation.cn,2024-10-08,,,,,,,,,,,
无人驾驶航天器管理系统,无人系统,模块化解耦架构,自动决策与自主飞行,专用实验环境,任务调度、飞行路径优化,无人机应用协会,https://www.uavassociation.cn,2024-10-08,,,,,,,,,,,
城市空中交通优化平台,交通管理系统,基于AI的智能架构,动态流量预测,云计算与边缘计算结合,交通流量管理、事故预警,智能交通研究院,https://www.smarttraffic.cn,2024-10-08,,,,,,,,,,,
光电遥感监测系统,监测系统,集成化架构,高分辨率与多光谱成像,虚拟仿真环境,环境监测、资源管理,国防科学技术大学,https://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
先进成像系统,成像系统,交互式服务架构,实时成像能力,虚拟现实开发环境,三维成像、数据分析,航天科技集团,https://www.astronautics.com,2024-10-08,,,,,,,,,,,
多源数据监听系统,数据监听系统,集成化设计架构,高效数据收集与分析,混合数据中心,实时数据采集、动态分析,数据分析研究所,https://www.dataanalysisinstitute.cn,2024-10-08,,,,,,,,,,,
多维天基通信系统,通信系统,星间链路架构,高效率与广覆盖,全球卫星网络,全球信号覆盖、数据传输,航天通信公司,https://www.spacecomm.cn,2024-10-08,,,,,,,,,,,
空天情报自动分析系统,情报分析系统,集成分析架构,智能分析决策支持,私有云环境,数据挖掘、情报推理,军事科学院,https://www.militaryacademy.cn,2024-10-08,,,,,,,,,,,
气象遥感观测系统,气象监测系统,模块化的天基架构,及时气象预报,气象专用平台,气象数据收集、趋势分析,国家气象局,https://www.nmc.cn,2024-10-08,,,,,,,,,,,
空天协同作战系统,作战指挥系统,一体化指挥架构,实时指挥与信息共享,集成战备环境,任务执行、战场态势共享,军事指挥与控制研究所,https://www.commandandcontrol.cn,2024-10-08,,,,,,,,,,,
智能无人机集群管理系统,无人机管理系统,中心控制架构,高效率群体协同,5G和云计算环境,任务协调、数据共享,中国无人机行业协会,https://www.cauae.org,2024-10-08,,,,,,,,,,,
空天环境监测系统,监测系统,多层次网络架构,实时数据采集与分析,边缘计算环境,气象监测、污染追踪,环境保护部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
城际高速列车调度系统,交通调度系统,开放式架构,高效动态调度,专用铁路信号系统,列车监控、路径优化,国家铁路局,http://www.nra.gov.cn,2024-10-08,,,,,,,,,,,
空天农业监控与分析系统,农业应用系统,分布式信息系统,精准农业指导,云平台及卫星传输,作物监测、产量预估,农业农村部,http://www.moa.gov.cn,2024-10-08,,,,,,,,,,,
空天智能救援协作平台,救援管理系统,互联互通架构,快速响应与决策,移动应用与指挥中心,事件响应、资源调度,国家应急管理局,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天气象预报提升系统,气象预报系统,云计算与人工智能架构,精确的气象预测,气象观测环境,气象模型构建、大数据分析,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
城市空天交通集成系统,智能交通系统,一体化系统架构,全面交通数据整合,城市云计算平台,交通流量监控、事故预警,交通运输部,http://www.mot.gov.cn,2024-10-08,,,,,,,,,,,
空天生物多样性监测系统,生态监测系统,多传感器网络架构,全面生物数据分析,生态观察环境,物种识别、生态评估,国家林业和草原局,http://www.nlc.gov.cn,2024-10-08,,,,,,,,,,,
空天物联网监控系统,物联网应用系统,模块化物联网架构,高效实时监测,智能设备互联环境,设备管理、故障检测,中国物联网联盟,http://www.iot.org.cn,2024-10-08,,,,,,,,,,,
空天国防安全系统,安全监控系统,层级防御架构,多维威胁检测,安全网络环境,风险评估、安全监控,国家安全部,http://www.mss.gov.cn,2024-10-08,,,,,,,,,,,
空天气象监测系统,监测系统,分层架构,实时气象数据收集,气象局云平台,降水预测、气象数据共享,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天无人机指挥系统,指挥系统,中央控制架构,多无人机协同作业,AI辅助决策系统,实时监控、行动指令下达,无人机研究院,http://www.uavassociation.cn,2024-10-08,,,,,,,,,,,
空天数据融合处理平台,数据融合系统,集成架构,高速数据处理,边缘计算环境,数据集成、实时分析,国际空间站科学实验室,https://www.nasa.gov,2024-10-08,,,,,,,,,,,
空天智能信息系统,信息系统,开放式平台架构,智能决策支持,混合云环境,数据可视化、智能分析,人工智能技术研究所,http://www.aitri.org,2024-10-08,,,,,,,,,,,
空天探测器运行管理系统,管理系统,模块化架构,高效调度能力,安全网络环境,任务监控、数据记录,航天科技集团,https://www.spacechina.com,2024-10-08,,,,,,,,,,,
空天卫星编队控制系统,控制系统,分布式控制架构,实时编队调整,卫星网络环境,轨道计算、编队管理,卫星应用技术研究中心,http://www.satelliteresearch.org,2024-10-08,,,,,,,,,,,
空天应急响应系统,应急系统,紧急响应架构,快速反应能力强,多站点协同环境,紧急情况报告、决策支持,国家应急管理局,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天安全监测系统,监测系统,分布式网络架构,全面安全监测,信息安全环境,威胁检测、事件响应,网络安全技术研究所,http://www.cert.org.cn,2024-10-08,,,,,,,,,,,
空天大数据分析系统,分析系统,数据湖架构,处理大量数据,数据科学云平台,数据挖掘、趋势分析,大数据研究促进会,http://www.bigdata.org.cn,2024-10-08,,,,,,,,,,,
空天技术政策分析系统,政策分析系统,分析模型架构,政策影响评估,政策研究中心环境,政策建模、评估报告,国家发展和改革委员会,http://www.ndrc.gov.cn,2024-10-08,,,,,,,,,,,
智能无人机操作监控系统,监控系统,云计算架构,实时数据反馈、可视化监控,智能设备整合环境,飞行状态监控、任务执行监督,无人机行业协会,https://www.uav-a.org,2024-10-08,,,,,,,,,,,
空间探测数据融合平台,数据融合系统,集中式架构,多维度数据分析能力,高性能计算集群,数据可视化、实时分析,空间科学研究院,https://www.space-science.gov.cn,2024-10-08,,,,,,,,,,,
综合气象预报与分析系统,气象系统,混合云架构,精准气象模型计算,数据中心环境,气象预测、趋势分析,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天情报共享平台,信息共享系统,区块链架构,高安全性与数据完整性,分布式网络环境,数据共享、权限管理,信息安全研究中心,https://www.infosec.gov.cn,2024-10-08,,,,,,,,,,,
空天高频通讯系统,通讯系统,多层次架构,超高带宽数据传输,基站网络环境,数据传输、实时流媒体支持,高频通讯研究所,https://www.hfris.gov.cn,2024-10-08,,,,,,,,,,,
低地轨道卫星导航辅助系统,导航系统,卫星网络架构,高精度定位和跟踪能力,多重信号接收环境,定位服务、轨迹跟踪,卫星导航系统管理中心,https://www.satnav.gov.cn,2024-10-08,,,,,,,,,,,
空天智能决策系统,智能决策系统,人工智能架构,决策自动化与预测分析,深度学习计算环境,策略建议、风险评估,人工智能研究院,https://www.aiministry.gov.cn,2024-10-08,,,,,,,,,,,
空天安全应急响应系统,应急响应系统,模块化架构,快速响应时间与处理能力,多种应急装备协同环境,应急预案实时执行、资源调度,国家应急管理局,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
未来空天环境监测系统,监测系统,分布式实时监测架构,全面环境数据采集与分析,物联网环境,多参数监测、数据报送,环境保护部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
多源数据协同处理平台,数据处理平台,协同处理架构,高效的数据集成与处理能力,混合计算环境,数据集成、异常检测,数据整合技术公司,https://www.dataintegration.cn,2024-10-08,,,,,,,,,,,
北极空天监测系统,监测系统,基于人工智能的架构,极地环境下高效监测,极地前沿站点,气候变化监测、数据分析,国际气候变化研究机构,https://www.icccr.org,2024-10-08,,,,,,,,,,,
海洋无人机协作系统,无人机系统,分布式协作架构,实时海域监测与数据共享,舰船平台与海上站点,水下数据采集、实时传输,海洋科技研究所,http://www.oceanresearch.cn,2024-10-08,,,,,,,,,,,
未来城市空中交通系统,智慧交通系统,智能网联架构,动态流量管理能力,云计算站点,交通流量预测、优化调度,城市交通管理局,http://www.trafficmanagement.gov,2024-10-08,,,,,,,,,,,
环境监控与预测系统,监测与预测系统,跨域共享架构,7x24小时环境监测,政府研究实验室,污染源跟踪、数据可视化,环境保护部,https://www.epb.gov.cn,2024-10-08,,,,,,,,,,,
空天数字地理信息系统,地理信息系统,集成化地理数据库架构,高精度地图生成能力,大数据处理平台,地图更新、空间分析,地理信息科学研究中心,https://www.giscience.cn,2024-10-08,,,,,,,,,,,
空天卫星数据融合系统,数据融合系统,多源数据集成架构,数据融合精度高,云数据中心,卫星影像融合、分析,航天科技集团,http://www.space-tech.cn,2024-10-08,,,,,,,,,,,
全球气候模型模拟系统,模拟系统,高度并行计算架构,复杂气候模型仿真能力,超算中心,气候变化预测、模型校准,世界气象组织,https://www.wmo.int,2024-10-08,,,,,,,,,,,
新一代无人驾驶空交通系统,无人驾驶系统,自适应控制架构,安全高效的飞行能力,测试飞行场,路径规划、安全检测,民航安全局,http://www.casa.gov,2024-10-08,,,,,,,,,,,
空天反制综合系统,安全系统,综合防护架构,快速反应与协调能力,安全指挥中心,威胁评估、应急响应,国家安全部,http://www.ns-security.gov,2024-10-08,,,,,,,,,,,
智能监控与命令系统,监控系统,中央控制架构,高效信息处理与反馈,数据中心,实时监控、命令发出,综合防控技术研究中心,https://www.cpbtech.cn,2024-10-08,,,,,,,,,,,
多维空天监测与评估系统,综合监测系统,分层架构,综合评估、多源数据融合,边缘计算环境,动态监测、综合评估报告,中国电子科技集团,https://www.cetc.com,2024-10-08,,,,,,,,,,,
空天智能调度平台,智能调度系统,微服务架构,实时调度、智能决策支持,混合云环境,资源优化调度、任务优先级管理,科研院所创新中心,https://www.researchinstitute.cn,2024-10-08,,,,,,,,,,,
无人机云端操控系统,无人机控制系统,集中式控制架构,多机协同控制能力强,卫星通信网络,无人机部署、实时数据传输,无人机技术协会,https://www.uavtech.org,2024-10-08,,,,,,,,,,,
空间资源管理平台,资源管理系统,服务导向架构,高效资源分配,私有云环境,资源监控、优化配置,国际空间站管理局,https://www.iss.gov,2024-10-08,,,,,,,,,,,
精确导航增强系统,增强导航系统,分布式处理架构,精确度达到厘米级,多频GNSS环境,实时补偿、定位误差修正,国家测绘局,http://www.ngcc.gov.cn,2024-10-08,,,,,,,,,,,
空天安全防护系统,安全防护系统,模块化安全架构,快速响应能力强,隔离网络环境,威胁检测、入侵防御,国家网络安全局,https://www.nsa.gov.cn,2024-10-08,,,,,,,,,,,
智能空天数据融合系统,数据融合系统,云原生架构,高吞吐量数据处理,云计算平台,动态数据融合、实时分析,云计算发展中心,https://www.cloudtech.gov.cn,2024-10-08,,,,,,,,,,,
空天应急响应系统,应急管理系统,集成化架构,快速应急反应能力,移动通信环境,应急信息传递、资源协调,国家应急管理部,https://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天智能预测与分析系统,智能分析系统,深度学习架构,高准确率的预测能力,GPU集群环境,数据分析、趋势预测,高级分析研究所,https://www.analyticsinstitute.cn,2024-10-08,,,,,,,,,,,
空天综合服务平台,服务平台,服务导向架构,支持多种服务应用,混合云环境,服务协同、数据共享,信息产业部,https://www.miit.gov.cn,2024-10-08,,,,,,,,,,,
智能空天监视系统,监视系统,综合传感器架构,全天候监视能力强,大数据处理环境,多维监测、数据共享,中国空间监测中心,https://www.csms.gov.cn,2024-10-08,,,,,,,,,,,
智能气候监测平台,气象监测系统,边缘计算架构,实时气候数据处理,云服务平台,气象数据采集、预报服务,国家气象局,https://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天资源管理平台,资源管理系统,分布式数据架构,资源调配效率高,本地网络环境,资源分配、使用跟踪,国家自然资源部,https://www.mnr.gov.cn,2024-10-08,,,,,,,,,,,
无人机巡检监测系统,无人机监控系统,模块化无人机架构,巡检效率高、覆盖广,专用无人机飞行环境,自动巡检、数据传送,中国无人机协会,https://www.china-uav.org,2024-10-08,,,,,,,,,,,
空间安全监控系统,安全监控系统,三维空间架构,高精度监控能力,云计算与大数据结合环境,安全态势感知、事件响应,国家安全局,https://www.nsa.gov.cn,2024-10-08,,,,,,,,,,,
精准农业空天系统,农业监测系统,多传感器数据融合架构,精准数据监测与分析,多源农业数据环境,作物监测、土壤分析,农业部,https://www.moa.gov.cn,2024-10-08,,,,,,,,,,,
空天数据交互平台,数据交互系统,数据交换云平台,高效数据集成与交互,云服务与 API 接口,数据共享、接口对接,信息技术公司,https://www.itcompany.com,2024-10-08,,,,,,,,,,,
全球卫星导航系统,卫星导航系统,卫星星座架构,覆盖率高、定位精度高,卫星发射与接收网络,全球定位、导航支持,国际航天局,https://www.iao.org,2024-10-08,,,,,,,,,,,
空天运输管理系统,运输管理系统,集成化管理架构,运输效率高,移动平台环境,运输调度、实时监控,物流行业协会,https://www.logistics.org.cn,2024-10-08,,,,,,,,,,,
太空探测数据分析平台,数据分析系统,基于云的分析架构,实时数据处理能力,科研云计算平台,太空数据分析、结果展示,天文研究所,https://www.astronomy.org.cn,2024-10-08,,,,,,,,,,,
无人机集群控制系统,控制系统,分级控制架构,高效自适应能力,边缘计算环境,集群协调、任务执行,无人机研究院,https://www.uavresearch.org,2024-10-08,,,,,,,,,,,
气象卫星数据分析平台,数据分析系统,微服务架构,实时数据处理与分析,云计算环境,气象数据采集、预测模型,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空间态势感知系统,监测系统,集中式架构,多源数据集成能力强,高性能服务器环境,态势识别、预警发布,航天科技集团,http://www.casic.com,2024-10-08,,,,,,,,,,,
空间通信保障系统,支持系统,星地链路架构,稳定性高、延迟低,3G/4G/5G基础设施,通信链路监控、故障定位,国家广播电视总局,http://www.sapprft.gov.cn,2024-10-08,,,,,,,,,,,
导弹预警与评估系统,安全系统,模块化架构,信息处理快速准确,专用硬件环境,预警生成、威胁评估,军事科学院,http://www.cass.cn,2024-10-08,,,,,,,,,,,
空间资源监测系统,监测系统,分布式架构,大数据处理能力强,高性能计算平台,资源监测、环境评估,自然资源部,http://www.mnr.gov.cn,2024-10-08,,,,,,,,,,,
太空物体追踪系统,追踪系统,网状架构,实时数据更新,智能网络环境,轨道预测、碰撞预警,空间科学协会,http://www.space-sci.org,2024-10-08,,,,,,,,,,,
无人机遥感监测平台,遥感系统,云服务架构,高分辨率图像采集,开放计算环境,数据采集、分析与展示,地理信息科学研究中心,http://www.giscience.org,2024-10-08,,,,,,,,,,,
