蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
HSPA+,3.5G,42 Mbps,最长20公里,中,应用下载、社交网络,GSM Association,https://www.gsma.com,,
IoT-M,NB-IoT,100 kbps,最长15公里,低,环境监测、资产追踪,TruePath Solutions,https://www.truepathsolutions.com,,
VoLTE,4G,100 Mbps,最长50公里,中,语音通话、视频会议,科技日报,http://www.stdaily.com,,
6G,未来网络,100 Gbps,最长0.5公里,高,高清虚拟现实、全息通信,IEEE Communications Society,https://www.comsoc.org,,
CDMA2000,3G,3 Mbps - 1 Mbps,最长25公里,低,实时音频、短消息,Telecom世界,https://www.telecomworld.com,,
FDD-LTE,4G,150 Mbps,最长120公里,中,视频监控、智能家居,中国移动,https://www.chinamobileltd.com,,
mMTC,LTE,50 kbps,最长8公里,低,智慧农业、可穿戴设备,GSMA Intelligence,https://www.gsmaintelligence.com,,
LAA,LTE,300 Mbps,最长100公里,中,高密度用户区域、城市中心,Qualcomm,https://www.qualcomm.com,,
Satellite LTE,混合网络,25 Mbps,全球覆盖,高,偏远地区、灾害救援,SpaceX,https://www.spacex.com,,
TD-SCDMA,3G,2 Mbps - 6 Mbps,最长15公里,中,视频通话、数据传输,中国移动通信,https://www.chinamobileltd.com,,
HSPA+,3.5G,21 Mbps - 42 Mbps,最长30公里,中,移动互联网,国际电信联盟,https://www.itu.int,,
FDD-LTE,4G,100 Mbps - 1 Gbps,最长200公里,高,移动宽带、智能城市,GSM协会,https://www.gsma.com,,
5G NR,5G,1 Gbps - 20 Gbps,最长10公里,高,智慧医疗、无人机通信,高通公司,https://www.qualcomm.com,,
eMTC,LTE-M,1 Mbps,最长50公里,低,物联网传感器、设备监控,中国工业和信息化部,https://www.miit.gov.cn,,
UMTS,3G,384 Kbps - 2 Mbps,最长20公里,中,移动网页浏览、电子邮件,中国联通,https://www.chinaunicom.com,,
Sigfox,LPWAN,100 bps,最长50公里,低,智能城市、资产追踪,Sigfox官网,https://www.sigfox.com,,
LoRaWAN,LPWAN,0.3 kbps - 50 kbps,最长15公里,低,环境监控、农业管理,LoRa Alliance,https://lora-alliance.org,,
GNSS,卫星通信,取决于卫星链路,无限制,高,全球定位、导航,欧洲航天局,https://www.esa.int,,
WiMAX,4G,70 Mbps,最长50公里,中,区域宽带服务、固定无线接入,IEEE官网,https://www.ieee.org,,
TD-SCDMA,3G,2 Mbps,最长30公里,中,移动电话、数据服务,中国移动,https://www.china-mobile.com/,,
HSPA+,3.5G,42 Mbps,最长40公里,中,流媒体、移动办公,华为技术有限公司,https://www.huawei.com/,,
4G LTE Advanced,4G,1 Gbps,最长150公里,高,高清视频、增强现实,中国电信,https://www.chinatelecom.com.cn/,,
VoLTE,4G,20 Mbps,最长100公里,中,高清语音通话,通信世界网,http://www.cww.net.cn/,,
5G NR,5G,20 Gbps,最长1公里,高,智慧医疗、工业自动化,GSMA Intelligence,https://www.gsma.com/,,
LPWAN,LPWA,50 kbps,最长15公里,低,环境监控、物流跟踪,物联网国际协会,https://www.i-society.org/,,
Satellite LTE,4G,10 Mbps,无限制,高,偏远地区通信、应急服务,全球卫星运营公司,https://www.gsma.com/satellite/,,
C-V2X,5G,1 Gbps,最长350公里,高,车联网、智能交通系统,IEEE Communications Society,https://www.comsoc.org/,,
IMT-2020,5G,100 Gbps,最长3公里,高,未来网络、超高清视频,国际电信联盟,https://www.itu.int/,,
Sigfox,LPWAN,100 bps,最长50公里,低,智能家居、资产追踪,Sigfox 官网,https://www.sigfox.com/,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,流媒体、移动互联网,中国移动,https://www.chinamobile.com/,,
TDSCDMA,3G,2 Mbps - 10 Mbps,最长25公里,中,社交媒体、位置服务,中国联通,https://www.chinaunicom.com/,,
4G LTE-M,4G,1 Mbps - 10 Mbps,最长15公里,低,物联网、智能家居,GSMA,https://www.gsma.com/,,
5G NSA,5G,2 Gbps,最长1公里,高,增强现实、远程医疗,Counterpoint Research,https://www.counterpointresearch.com/,,
5G SA,5G,10 Gbps - 20 Gbps,最长3公里,高,智慧城市、工业自动化,IDC,https://www.idc.com/,,
LTE Cat-1,4G,10 Mbps,最长20公里,低,资产追踪、智能运输,TechRadar,https://www.techradar.com/,,
LoraWAN,LPWAN,50 kbps,最长5公里,低,农业监控、环境监测,IEEE Spectrum,https://spectrum.ieee.org/,,
eMTC,4G,1 Mbps,最长10公里,低,智能城市、健康监测,GSMA Intelligence,https://www.gsmaintelligence.com/,,
IMT-2020,5G,20 Gbps,最长2公里,高,无人机、机器人,ITU,https://www.itu.int/,,
Sigfox,LPWAN,100 bps,最长50公里,低,智能表计、资产监控,Sigfox,https://www.sigfox.com/,,
WCDMA,3G,384 kbps,最长25公里,中,移动电话、数据服务,GSMA,https://www.gsma.com,,
TD-LTE,4G,150 Mbps,最长80公里,中,高清无线视频、流媒体,中国信息通信研究院,https://www.caict.ac.cn,,
SigFox,LPWAN,100 bps,最长50公里,低,物联网监控、智能家居,SigFox官方,https://www.sigfox.com,,
VoLTE,4G,最大20 Mbps,与LTE相同,中,语音和视频通话,中国联通,https://www.10010.com,,
6G,未来通信,高达100 Gbps,预期可达500米,高,远程医疗、工业自动化,IEEE Communications Society,https://www.comsoc.org,,
eMTC,LPWA,1 Mbps,最长20公里,低,智能计量、资产追踪,3GPP,https://www.3gpp.org,,
Cat-M1,LPWA,300 kbps,最长15公里,低,智能家居、健康监测,GSMA Intelligence,https://www.gsmaintelligence.com,,
FDD-LTE,4G,300 Mbps,最长50公里,中,移动商务、在线教育,国际电信联盟,https://www.itu.int,,
NBIoT,LPWA,250 kbps,最长10公里,低,智能农业、城市基础设施,中国移动,https://www.10086.cn,,
QLayer,5G,10 Gbps,最长1公里,高,增强现实、智能交通系统,Forbes Tech,https://www.forbes.com/technology/,,
CDMA,2G,153 kbps,最长50公里,中,手机通话、数据传输,IEEE Communications Society,https://www.comsoc.org/,,
HSPA+,4G,42 Mbps,最长20公里,中,移动宽带、流媒体,GSMA,https://www.gsma.com/,,
LTE-M,LPWA,1 Mbps,最长15公里,低,物联网、智能交通,国际电信联盟,https://www.itu.int/,,
5G NR,5G,15 Gbps,最长3公里,高,增强现实、工业自动化,Gartner,https://www.gartner.com/,,
EC-GSM-IoT,LPWA,200 kbps,最长12公里,低,智能家居、环境监测,3GPP,https://www.3gpp.org/,,
V2X,5G,1 Gbps,最长1公里,高,车联网、智能交通系统,European Commission,https://ec.europa.eu/,,
TS 5G,5G,10 Gbps,最长500米,高,远程手术、医疗监控,ITU-R,https://www.itu.int/,,
GPRS,2.5G,40-100 kbps,最长30公里,低,短信服务、基础数据服务,Frost & Sullivan,https://www.frost.com/,,
OpenRAN,5G,10 Gbps,最长700米,中,自定义网络、乡村联网,O-RAN Alliance,https://o-ran-alliance.org/,,
WiMAX,4G,1 Gbps,最长50公里,中,固定无线、移动宽带,WiMAX Forum,https://www.wimaxforum.org/,,
UMTS,3G,384 kbps - 2 Mbps,最长30公里,中,移动电话、数据服务,中国工业和信息化部,https://www.miit.gov.cn,,
CDMA2000,3G,300 kbps - 1 Mbps,最长30公里,中,视频通话、数据传输,中国移动,https://www.chinamobileltd.com,,
WiMAX,4G,1 Gbps,最长50公里,低,宽带互联网、视频流媒体,国际电信联盟,https://www.itu.int,,
LTE-A,4G,1 Gbps,最长60公里,高,增强移动宽带、超高清视频,Counterpoint Research,https://www.counterpointresearch.com,,
5G NR,5G,20 Gbps,最长2公里,高,物联网、工业自动化,Gartner,https://www.gartner.com,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,智能城市、农业监控,LoRa Alliance,https://lora-alliance.org,,
Sigfox,LPWAN,600 bps,最长30公里,低,智能测量、环境监测,Sigfox,https://www.sigfox.com/,,
Edge Computing,5G+,高达10 Gbps,城市范围,高,实时数据处理、低延迟应用,IDC,https://www.idc.com,,
MEC (Multi-access Edge Computing),5G,15 Gbps,最长1公里,高,视频分析、智能交通系统,IEEE Communications Society,https://www.comsoc.org,,
6G (预期),6G,高达100 Gbps,预估范围,高,虚拟现实、全息通信,Nokia Bell Labs,https://www.bell-labs.com,,
CDMA2000,3G,153 kbps - 3 Mbps,最长50公里,中,移动电话、数据服务,移动通讯协会,https://www.ctia.org/,,
TS 5G NR,5G,20 Gbps,最长600米,高,远程医疗、智能工厂,Gartner Research,https://www.gartner.com/,,
EDGE,2.5G,256 kbps,最长30公里,低,SMS、基础互联网接入,中国信息通信研究院,https://www.cicit.org.cn/,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,环境监测、农业物联网,LoRa Alliance,https://lora-alliance.org/,,
FDD-LTE,4G,150 Mbps,最长120公里,中,移动宽带、视频会议,国际电信联盟,https://www.itu.int/,,
S1-PS,5G,4 Gbps,最长800米,高,增强现实、无人机控制,IEEE Communications Society,https://www.comsoc.org/,,
WCDMA,3G,384 kbps,最长40公里,中,语音及数据服务,Verizon,https://www.verizon.com/,,
5G NR mmWave,5G,10 Gbps,最长300米,高,高密度城市环境、智能交通,The Verge,https://www.theverge.com/,,
TETRA,数字对讲机,28.8 kbps,最长25公里,中,公共安全、紧急服务,ETSI,https://www.etsi.org/,,
NB-M2M,NB-IoT,100 kbps,最长10公里,低,智能城市、物流追踪,Zigbee Alliance,https://zigbeealliance.org/,,
5G NR,5G,20 Gbps,最长2公里,高,智能制造、远程医疗,中国工业和信息化部,http://www.miit.gov.cn/,,
LORaWAN,LPWAN,50 kbps,最长15公里,低,智慧农业、环境监测,深圳市科技创新委员会,http://www.sz.gov.cn/,,
TD-LTE,4G,150 Mbps,最长80公里,中,移动互联网、视频直播,中国信通院,http://www.caict.ac.cn/,,
Cat-M1,LPWA,1 Mbps,最长20公里,中,智能穿戴设备、物流追踪,中国移动,http://www.chinamobileltd.com/,,
4G LTE Advanced,4G,1 Gbps,最长50公里,中,社交媒体、在线教育,Counterpoint Research,https://www.counterpointresearch.com/,,
NB-IoT,LPWA,100 kbps,最长10公里,低,智能停车、健康监控,小米科技,https://www.mi.com/,,
Satellite 5G,5G,10 Gbps,全球覆盖,高,航空通讯、灾后恢复,航天科技集团,http://www.casc.com.cn/,,
HSPA+,3G,42 Mbps,最长30公里,中,移动办公、视频会议,全球移动通信系统协会（GSMA）,https://www.gsma.com/,,
6G,超高频,100 Gbps,预计无极限,极高,虚拟现实、全息通讯,IEEE 802.11 Working Group,https://www.ieee802.org/,,
CDMA,3G,2 Mbps - 3 Mbps,最长30公里,低,移动电话、数据通信,美国联邦通讯委员会,https://www.fcc.gov/,,
TDSCDMA,3G,1.8 Mbps,最长40公里,中,数据服务、移动互联网,中国移动,https://www.chinamobileltd.com/,,
Edge,2.5G,300 kbps,最长50公里,低,短信服务、基础数据传输,GSMA,https://www.gsma.com/,,
VoLTE,4G,最大150 Mbps,最长100公里,中,语音通话、视频通话,ITU,https://www.itu.int/,,
5G NR,5G,20 Gbps,最长2公里,高,无人机、智能家居,Counterpoint Research,https://www.counterpointresearch.com/,,
4G LTE-A,LTE Advanced,1 Gbps,最长120公里,高,高速移动网络服务、互联网电视,华为技术有限公司,https://www.huawei.com/,,
LoraWAN,LPWAN,50 kbps,最长15公里,低,物联网、水利监控,Semtech Corporation,https://www.semtech.com/,,
未来6G,6G,100 Gbps (预计),预计100公里,极高,全息通信、智能交通系统,IEEE Communications Society,https://www.ieeecommunities.org/,,
Satellite 5G,5G,3 Gbps,全球覆盖,高,偏远地区通信、灾难响应,SpaceX,https://www.spacex.com/,,
4G LTE,4G,75 Mbps,最长30公里,中,广播、远程教育,中国国家广播电视总局,http://www.sarft.gov.cn/,,
CDMA,2G/3G,153 kbps - 2 Mbps,最长30公里,低,语音通话、SMS,中国工业和信息化部,https://www.miit.gov.cn/,,
HSPA+,3.5G,42 Mbps,最长70公里,中,移动互联网、视频通话,中国移动,https://www.chinamobileltd.com/,,
LoRaWAN,LPWAN,0.3 kbps - 50 kbps,最长15公里,低,智能农业、环境监测,国际电信联盟,https://www.itu.int/,,
5G NR,5G,最多20 Gbps,最长500米,高,远程医疗、工业互联网,GSMA,https://www.gsma.com/,,
eMTC,LPWA,1 Mbps,最长15公里,低,智能计量、车联网,中国信息通信研究院,http://www.cac.gov.cn/,,
FDD LTE,4G,150 Mbps,最长80公里,中,社交媒体、移动支付,当代网络,https://www.cntv.cn/,,
TD-SCDMA,3G,2 Mbps,最长25公里,中,宽带移动互联网,中国科学院,http://www.cas.cn/,,
Ultra-Reliable Low Latency Communication (URLLC),5G,高达10 Gbps,最长1公里,高,自动驾驶、工业自动化,IEEE Communications Society,https://www.comsoc.org/,,
Satellite LTE,4G,20 Mbps,不限,高,偏远地区通信、灾害应急,卫星通信论坛,https://www.satcoms.org/,,
6G,未来技术,高达1 Tbps,预计10公里,极高,全面连接、全息通信,中国工程院,http://www.cae.cn/,,
CDMA,3G,1 Mbps - 2 Mbps,最长30公里,中,语音通话、无线宽带,中国通信研究院,https://www.caiw.gov.cn,,
VoLTE,4G,up to 500 Mbps,最长80公里,中,高清语音、视频通话,中国移动,https://www.chinamobileltd.com,,
IMT-2020,5G,20 Gbps,最长3公里,高,智慧交通、远程医疗,国际电信联盟,https://www.itu.int,,
HSPA+,3.5G,14 Mbps,最长45公里,中,移动互联网、视频流,华为技术有限公司,https://www.huawei.com,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,物联网、智能农业,LoRa Alliance,https://lora-alliance.org,,
Ultra-Reliable Low Latency Communication,5G,5 Gbps,最长2公里,高,工业自动化、实时监控,德勤咨询,https://www2.deloitte.com,,
GPRS,2.5G,40 - 50 kbps,最长40公里,低,数据传输、MMS,中国信息通信研究院,https://www.citra.cn,,
5G NR,5G,接近 10 Gbps,最长1公里,高,增强现实、无人机控制,Strategy Analytics,https://www.strategyanalytics.com,,
TDD-LTE,4G,up to 500 Mbps,最长90公里,中,高速无线互联网,高通公司,https://www.qualcomm.com,,
TDSCDMA,3G,144 kbps - 2 Mbps,最长35公里,中,视频通话、移动宽带,中国移动通信集团公司,https://www.chinamobileltd.com/,,
UHF,远程无线,1 Mbps,最长50公里,低,农业监测、环境监测,国家无线电监测中心,http://www.nric.cn/,,
5G NR,5G,20 Gbps,最长500米,高,工业自动化、增强现实,GSMA,https://www.gsma.com/,,
Sigfox,LPWAN,100 bps,最长10公里,低,物联网设备、智能城市,Sigfox官网,https://www.sigfox.com/,,
LTE-M,4G+,375 kbps,最长40公里,中,智能家居、健康监测,中国电信,https://www.chinatelecom-h.com/,,
eMTC,LTE,1 Mbps,最长15公里,中,车联网、移动支付,赛迪网,http://www.ccidconsulting.com/,,
LoRaWAN,LPWAN,50 kbps,最长20公里,低,智能物流、环境监测,LoRa Alliance,https://lora-alliance.org/,,
ISA100,工业无线,250 kbps,最长500米,中,工业自动化、遥测,ISA100委员会,https://www.isa.org/,,
Fifth Generation (5G),5G,5 Gbps,最长1公里,高,农业机器人、无人机操作,中国信息通信研究院,http://www.cnii.com.cn/,,
WCDMA,3G,384 kbps,最长25公里,中,移动互联网、即时通讯,移动互联网发展报告,https://www.cnnic.cn/,,
4G LTE-A,4G,1 Gbps,最长50公里,中,高清电视、移动互联网,工信部电信研究院,https://www.3gpp.org,,
TSG 5G NR,5G,20 Gbps,最长500米,高,智能家居、工业互联网,IEEE Communications Society,https://www.ieee802.org,,
CDMA2000,3G,153 kbps,最长30公里,中,移动电话、位置服务,中国移动,https://www.chinamobileltd.com,,
NB-IoT 2.0,LPWA,500 kbps,最长15公里,低,智能城市、农业监测,GSMA,https://www.gsma.com,,
LoRaWAN,LPWAN,50 kbps,最长40公里,低,智能家庭、环境监测,LoRa Alliance,https://lora-alliance.org,,
6G,未来技术,100 Gbps+,最长1公里,高,全息传输、边缘计算,未来网络技术研究,https://www.itu.int,,
HSPA+,3.5G,42 Mbps,最长20公里,中,移动宽带、视频通话,华为技术有限公司,https://www.huawei.com,,
Edge Computing Network,5G,1 Gbps,最长1公里,高,智能制造、实时传输,国家计算机网络应急技术处理协调中心,https://www.cncert.gov.cn,,
WiMAX,4G,70 Mbps,最长50公里,中,无线宽带接入、城市互联网,国际电信联盟,https://www.itu.int/en/ITU-T/wimax,,
DCS,2G,64 kbps,最长15公里,低,短信服务、基本通话,中国电信,https://www.chinatelecom-h.com,,
CDMA2000,3G,144 kbps - 3.1 Mbps,最长50公里,中,无线宽带、智能手机,国际电信联盟,https://www.itu.int,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,移动视频、数据服务,GSMA,https://www.gsma.com,,
埃及5G,5G,1 Gbps - 10 Gbps,最长1公里,高,智慧医疗、物联网,埃及通信部,https://www.mcit.gov.eg,,
LoRaWAN,LPWAN,5 kbps - 50 kbps,最长15公里,低,农业监控、城市管理,LoRa联盟,https://lora-alliance.org,,
4G LTE Advanced,4G,600 Mbps - 1 Gbps,最长80公里,高,高清视频、AR应用,Counterpoint Research,https://www.counterpointresearch.com,,
未来6G,6G,超过100 Gbps,预计可达2公里,极高,超高清视频、全沉浸式体验,科技前沿,https://www.technologyfrontier.com,,
TD-SCDMA,3G,2 Mbps,最长20公里,中,移动数据、视频通话,国家通信管理局,https://www.miit.gov.cn,,
Satcom,卫星通信,1 Mbps - 400 Mbps,无限制,高,远程地区、海上通信,全球移动卫星通信组织,https://www.gmsc.org,,
Sigfox,LPWAN,100 bps - 600 bps,最长50公里,低,智能环境监测、资产追踪,Sigfox官网,https://www.sigfox.com,,
Edge Computing Networks,边缘计算,高达10 Gbps,取决于网络架构,高,实时分析、工业自动化,Gartner,https://www.gartner.com,,
CDMA,2G,64 kbps,最长30公里,低,语音通信、数据传输,中国信息通信研究院,http://www.caict.ac.cn,,
HSPA+,3G,42 Mbps,最长50公里,中,移动互联网、视频会议,国际电信联盟,https://www.itu.int/en/ITU-T/Statistics,,
FDD-LTE,4G,150 Mbps,最长90公里,中,高质量视频通话、在线游戏,GSMA,https://www.gsma.com,,
TDD-LTE,4G,200 Mbps,最长80公里,中,大数据通信、云计算,Counterpoint Research,https://www.counterpointresearch.com,,
WiMAX,4G,1 Gbps,最长50公里,高,城市宽带接入、无线回传,IEEE Communications Society,https://www.comsoc.org,,
LPWA,LPWA,100 kbps,最长20公里,低,智能城市、环境监测,Zigbee Alliance,https://zigbeealliance.org,,
6G,6G,高速提升至100 Gbps,预计可达10公里,高,全息通信、超高速数据传输,ITU,https://www.itu.int/en/ITU-T/futureoftechnologynetworks,,
eMTC,LPWA,1 Mbps,最长15公里,低,智能家居、车联网,3GPP,https://www.3gpp.org,,
VHF/UHF,无线电,8 kbps,超过50公里,低,应急通信、无人机遥控,Radio Society of Great Britain,https://rsgb.org,,
Satelite 5G,卫星通信,25 Mbps,全球覆盖,高,偏远地区网络接入、航空通信,SpaceX Starlink,https://www.starlink.com,,
TDSCDMA,3G,3.6 Mbps,最长30公里,中,移动互联网、视频通话,中国移动通信集团,https://www.chinamobileltd.com,,
HSPA+,3.5G,42 Mbps,最长50公里,中,高速度移动数据服务,华为官网,https://www.huawei.com,,
4G LTE Advanced,4G,1 Gbps,最长80公里,高,高清视频、边缘计算,Strategy Analytics,https://www.strategyanalytics.com,,
6G,未来技术,100 Gbps,无限制,高,全息通信、智能交通系统,IEEE Spectrum,https://spectrum.ieee.org,,
eMTC,LPWA,1 Mbps,最长20公里,低,智能穿戴、物联网设备,物联网网,https://www.iotinfo.com.cn,,
CDMA2000,3G,153 kbps,最长40公里,中,移动电话、数据通信,Sprint Corporation,https://www.sprint.com,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,农业监测、环境监测,LoRa Alliance,https://lora-alliance.org,,
Satellite 5G,5G,2 Gbps,全球覆盖,高,偏远地区通信、紧急救援,SpaceX,https://www.spacex.com,,
FDD-LTE,4G,150 Mbps,最长70公里,中,移动广告、流媒体,GSM Association,https://www.gsma.com,,
V2X,5G,高达1 Gbps,最长500米,中,车联网、智慧交通,汽车工程师协会,https://www.sae.org,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,移动电话、数据传输,中国信息通信研究院,https://www.caiw.gov.cn/,,
CDMA2000,3G,153 kbps - 3.1 Mbps,最长25公里,中,移动电话、视频通话,中国工业和信息化部,https://www.miit.gov.cn/,,
LTE-A,4.5G,1 Gbps,最长90公里,高,高速互联网接入、智能城市,OpenSignal,https://www.opensignal.com/,,
5G NR,5G,20 Gbps,最长2公里,高,物联网、工业自动化,高通公司,https://www.qualcomm.com/,,
LoRaWAN,LPWAN,0.3 - 50 kbps,最长15公里,低,智能农业、环境监测,LoRa Alliance,https://lora-alliance.org/,,
Sigfox,LPWAN,100 bps,最长30公里,低,智能家居、资产追踪,Sigfox公司,https://www.sigfox.com/,,
4G LTE,4G,100 Mbps,最长80公里,中,视频会议、云计算,Strategy Analytics,https://www.strategyanalytics.com/,,
5G SA,5G,10 Gbps,最长1.5公里,高,增强现实、虚拟现实,GSM Association,https://www.gsma.com/,,
GPRS,2.5G,50 - 114 kbps,最长35公里,低,移动互联网、短消息服务,中国通信学会,https://www.cac.gov.cn/,,
卫星蜂窝网络,中等速率,最大2 Mbps,全球覆盖,高,偏远地区通信、应急服务,国际电信联盟,https://www.itu.int/,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,移动互联网、视频通话,中国通信研究院,https://www.ctr.com.cn,,
CDMA2000,3G,300 kbps - 3 Mbps,最长40公里,中,语音电话、数据服务,中国工业和信息化部,https://zh.wikipedia.org/wiki/CDMA2000,,
LoRaWAN,LPWAN,0.3 kbps - 50 kbps,最长15公里,低,物联网、资产追踪,IoT Analytics,https://iot-analytics.com,,
4G LTE Advanced,4G,1 Gbps,最长150公里,高,高清视频、云计算,3GPP,https://www.3gpp.org,,
5G NR,5G,20 Gbps,最长2公里,高,智能制造、智慧城市,Gartner,https://www.gartner.com,,
TDD-LTE,4G,100 Mbps,最长80公里,中,移动宽带、家庭网络,ZDNet,https://www.zdnet.com,,
Sigfox,LPWAN,0.1 kbps - 100 kbps,最长50公里,低,智能家居、环境监测,Sigfox,https://www.sigfox.com,,
Multi-G,5G,5 Gbps,最长500米,高,虚拟现实、增强现实,Qualcomm,https://www.qualcomm.com,,
VHF Radio,卫星,取决于地点,最长500公里,高,航空通信、海上通信,国际民航组织,https://www.icao.int,,
6G,未来,100 Gbps,尚未确定,非常高,全息通信、深度学习,NIST,https://www.nist.gov,,
CDMA,2G,153 kbps,最长20公里,低,语音通话、短信服务,中国信息通信研究院,https://www.caid.gov.cn/,,
HSPA+,3G,42 Mbps,最长50公里,中,移动宽带、视频通话,GSMA,https://www.gsma.com/,,
WiMAX,4G,70 Mbps,最长15公里,中,无线宽带、企业网络,IEEE,https://www.ieee.org/,,
6G,6G,上行达到 1 Tbps,预计为 500 米,高,全息通信、智能交通,国际电信联盟,https://www.itu.int/,,
TETRA,专业集群,少于 20 kbps,最远30公里,低,公共安全、紧急服务,网络与通信科学杂志,https://www.journalofcommunications.com/,,
LoRaWAN,LPWA,0.3 kbps - 50 kbps,最长15公里,低,物联网、农业监控,LoRa Alliance,https://lora-alliance.org/,,
UWB,超宽带,数百 Mbps,通常10-30米,中,室内定位、智能家居,IEEE Spectrum,https://spectrum.ieee.org/,,
IMT-2020,5G,20 Gbps,最长500米,高,AR/VR、智能制造,全球移动通信系统协会,https://www.gsma.com/,,
NB-Internet,LPWAN,20 kbps,最长5公里,低,智慧农业、智能城市,中国科技部,https://www.most.gov.cn/,,
5G NR,5G,下载速度高达 10 Gbps,最长1公里,高,远程医疗、智慧物流,国际电信联盟,https://www.itu.int/,,
CDMA,3G,200 kbps - 3.1 Mbps,最长50公里,中,手机通信、数据服务,国家邮政局,https://www.spb.gov.cn,,
6G,6G,100 Gbps,最长500米,高,远程医疗、智能制造,中国科学院,https://www.cas.cn,,
HSPA+,3.5G,21 Mbps,最长30公里,中,移动视频、社交媒体,国际电信联盟,https://www.itu.int,,
LoRaWAN,LPWA,0.3 kbps - 50 kbps,最长15公里,低,智能农业、物联网,物联网世界,https://www.iotworld.com,,
FDD-LTE,4G,150 Mbps,最长75公里,中,家庭宽带、移动办公,中国电信,https://www.chinatelecom.com.cn,,
TDD-LTE,4G,300 Mbps,最长100公里,中,高清视频会议、在线教育,移动互联网研究中心,https://www.mircr.org,,
UMTS,3G,384 kbps - 2 Mbps,最长40公里,中,视频通话、移动游戏,中国科学院通信研究所,https://www.crl.ac.cn,,
eMTC,LPWA,1 Mbps,最长20公里,低,工业监控、智能电表,中国无线通信协会,https://www.cwca.org.cn,,
Satellite Communication,卫星通信,1 Mbps - 10 Mbps,不限,高,全球连接、偏远地区通信,卫星通信技术研究院,https://www.thu.edu.cn,,
WiMAX,无线宽带,70 Mbps,最长30公里,中,城市无线互联网接入、企业网络,国家无线宽带委员会,https://www.wirelessbroadband.org,,
卫星通信,中高频段,1 Mbps,最长2000公里,高,远程监控、灾难通信,中国科学院,https://www.cas.cn,,
HSPA+,3.5G,42 Mbps,最长30公里,中,移动互联网、在线视频,爱立信技术文档,https://www.ericsson.com,,
LTE-M,LPWA,1 Mbps,最长15公里,低,物联网设备、智能家居,华为技术有限公司,https://www.huawei.com,,
6G,6G,100 Gbps,最长500米,非常高,全息通信、极致虚拟现实,MIT科技评论,https://www.technologyreview.com,,
CDMA,2G,153 kbps,最长25公里,低,移动电话、数据服务,高通公司,https://www.qualcomm.com,,
FDD-LTE,4G,150 Mbps,最长80公里,中,智能手机、平板电脑,中国信息通信研究院,https://www.citicpr.com,,
V2X,车联网,20 Mbps,最长1公里,中,智能交通、自动驾驶,IEEE通讯杂志,https://ieeexplore.ieee.org,,
LoRaWAN,LPWA,50 kbps,最长25公里,低,农业监测、城市管理,LoRa联盟,https://lora-alliance.org,,
WiMAX,宽带,70 Mbps,最长50公里,中,城市宽带接入、企业网络,ITU电信标准化局,https://www.itu.int,,
DSRC,车载通信,27 Mbps,最长1公里,低,智能交通系统、车联网,美国交通部,https://www.transportation.gov,,
CDMA,2G,153 kbps,最长30公里,低,手机通话、GPS定位,国际电信联盟,https://www.itu.int,,
HSPA+,3.5G,42 Mbps,最长50公里,中,快速上网、视频通话,GSMA Intelligence,https://www.gsma.com,,
4G LTE-A,4G,1 Gbps,最长75公里,中,直播、在线学习,腾讯云,https://cloud.tencent.com,,
5G NR,5G,20 Gbps,最长500米,高,智慧医疗、无人机,华为技术有限公司,https://www.huawei.com,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,农业监测、资产追踪,物联网发展论坛,https://www.iota.org,,
IMT-2020,5G,10 Gbps,最长1公里,高,智能家居、工业自动化,中国通信研究院,https://www.itsc.org.cn,,
TD-SCDMA,3G,2 Mbps,最长40公里,中,手机通信、数据服务,中国电信,https://www.chinatelecom.com.cn,,
FDD-LTE,4G,150 Mbps,最长80公里,中,高带宽视频、在线游戏,中国移动,https://www.chinamobileltd.com,,
NFC,短距离通信,424 kbps,最长10厘米,低,移动支付、门禁系统,IEEE Communications Society,https://www.comsoc.org,,
TDD-LTE,4G,300 Mbps,最长60公里,中,高速移动数据、媒体流,国际无线通信技术协会,https://www.wirelessnetworks.org,,
CDMA,2G-3G,153 kbps - 2 Mbps,最长50公里,中,无线电话、数据服务,中国信息通信研究院,https://www.cnii.com.cn,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,视频通话、移动互联网,Telecom Media Journal,https://www.tmj.com,,
HSPA+,3.5G,22 Mbps,最长40公里,中,移动宽带、网络冗余,GSMA,https://www.gsma.com,,
4G LTE-Advanced,4G,1 Gbps,最长120公里,中,IoT、高清视频,IDC,https://www.idc.com,,
LTE-M,LPWA,1 Mbps,最长15公里,低,智能穿戴设备、资产追踪,Verizon,https://www.verizon.com,,
