网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
车联网通信平台,物联网系统,V2X,蔚来汽车,2023-02-14,蔚来,蔚来汽车有限公司,汽车用户,交通运输部,https://www.nio.com,,
量子通信网络,量子通信系统,Quantum Key Distribution,中科院,2024-03-30,中国科学院,中国科学院,科研用户,科技部,http://www.cas.cn,,
VoLTE高清声音服务,语音通信系统,VoLTE,中国移动,2015-12-10,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.chinamobileltd.com,,
5G超高清电视,多媒体服务,5G,中国联通,2021-06-15,中国联通,中国联通股份有限公司,家庭用户,行业协会报告,https://www.chinaunicom.com,,
卫星互联网项目,卫星通信系统,Starlink,SpaceX,2022-03-01,Starlink,Space Exploration Technologies Corp.,全球用户,国际电信联盟,https://www.spacex.com,,
WiFi 6E无线网络,无线通信系统,WiFi 6E,高通技术公司,2020-09-01,高通,Qualcomm Incorporated,企业和家庭用户,无线电管理局,https://www.qualcomm.com,,
开放移动网络,移动通信系统,O-RAN,诺基亚,2021-05-20,诺基亚,Nokia Corporation,运营商,行业研究报告,https://www.nokia.com,,
智能物联网平台,物联网通信系统,NB-IoT,中兴通讯,2019-11-11,中兴,ZTE Corporation,工业用户,科技部,https://www.zte.com.cn,,
无人机网络控制系统,无人机通信系统,4G/5G,大疆创新科技有限公司,2023-01-10,大疆创新,"DJI Technology Co., Ltd.",商业用户,行业协会,https://www.dji.com,,
边缘计算网络服务,边缘计算服务,Edge Computing,阿里云,2022-12-22,阿里巴巴,Alibaba Group Holding Limited,企业用户,云计算协会,https://www.aliyun.com,,
光纤到户FTTH解决方案,固定通信系统,FTTH,中国电信,2020-08-01,中国电信,中国电信股份有限公司,家庭用户,国家广播电视总局,https://www.chinatelecom.com.cn,,
智能城市通信平台,城市通信系统,Smart City,华为,2023-05-12,华为,华为技术有限公司,政府和社区,科技创新部,https://www.huawei.com,,
卫星互联网系统,卫星通信系统,Starlink,SpaceX,2020-11-12,SpaceX,SpaceX公司,偏远地区用户,美国联邦通信委员会,https://www.fcc.gov,,
NextGen移动网络,移动通信系统,6G,京东集团,2023-01-15,京东,京东数字科技控股有限公司,车联网用户,工业和信息化部,https://www.miit.gov.cn,,
下一代光纤网络,光纤通信系统,10G PON,中兴通讯,2021-06-23,中兴,中兴通讯股份有限公司,商业用户,中国光通信行业协会,http://www.gochina.org,,
未来城市智能网络,综合通信系统,IoT标准,阿里巴巴,2022-05-10,阿里云,阿里巴巴集团,城市管理者,《智慧城市发展报告》,https://www.aliyun.com,,
超宽带通信系统,新的通信系统,UWB,博通,2021-09-15,博通有限公司,博通股份有限公司,家庭用户,IEEE协会,https://www.ieee.org,,
全球量子通信网络,量子通信系统,量子密钥分发,中国科学院,2023-03-29,中国科学院,中国科学院量子通信实验室,政府机构,国际量子通信会议,https://www.ict.cn,,
智能家居网络,家庭网络系统,Zigbee,小米科技,2021-11-07,小米,小米科技有限公司,家庭用户,中国家电协会,http://www.cheaa.com,,
区块链通信系统,数据通信系统,DLT,比特大陆,2022-08-20,比特大陆,比特大陆科技有限公司,金融机构,区块链行业协会,http://www.btc.com,,
智能运输网络系统,物联网系统,V2X,百度自动驾驶,2022-12-01,百度,百度在线网络技术（北京）有限公司,交通管理者,中国智能交通协会,http://www.cits.org.cn,,
先进数据通信网络,固定通信系统,SDH,中兴通讯股份有限公司,2002-05-21,中兴通讯,中兴通讯股份有限公司,企业用户,中国工业和信息化部,https://www.zte.com.cn,,
光纤宽带网络,固网宽带系统,FTTx,中国电信,2015-03-15,中国电信,中国电信股份有限公司,普通家庭,中国互联网信息中心,https://www.chinatelecom.com.cn,,
Wi-Fi 6,无线局域网,IEEE 802.11ax,华为技术有限公司,2020-07-01,华为,华为技术有限公司,全部用户,中国信息通信研究院,https://www.huawei.com,,
卫星互联网系统,卫星通信系统,Starlink,SpaceX,2022-01-10,SpaceX,SpaceX,全球用户,国际电信联盟,https://www.spacex.com,,
量子通信网络,前沿通信系统,量子密钥分发,中国科学院,2021-10-12,中国科学院,中国科学院,政府和科研机构,自然科学基金委员会,https://www.cas.cn,,
边缘计算网络,移动通信系统,Edge Computing,阿里巴巴集团,2022-03-22,阿里云,阿里巴巴集团,企业用户,阿里云技术文档,https://www.aliyun.com,,
车联网 ,移动通信系统,V2X,滴滴出行,2023-05-01,滴滴出行,滴滴出行科技有限公司,驾驶用户,中国交通运输部,https://www.didiglobal.com,,
智能家居通信网,物联网系统,Zigbee,小米科技,2020-09-10,小米,小米科技有限公司,家庭用户,国家市场监督管理总局,https://www.mi.com,,
高可用性网络,数据中心网络,SD-WAN,思科系统公司,2023-02-15,思科,思科系统公司,企业用户,网络工程技术协会,https://www.cisco.com,,
普遍接入网络,移动通信系统,6G,华为技术有限公司,2023-09-01,华为,华为技术有限公司,普通用户,国际电信联盟,https://www.huawei.com,,
5G E-UTRA,移动通信系统,5G NR,中兴通讯,2020-05-15,中兴,中兴通讯股份有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn,,
VoLTE服务,移动通信系统,LTE,中国广电,2021-03-08,中国广电,中国国家广播电视总局,普通用户,中国广电官网,https://www.cnbroadcasting.gov.cn,,
中国电信新一代网络,移动通信系统,5G,中国电信,2022-09-14,中国电信,中国电信股份有限公司,普通用户,中国电信官网,https://www.chinatelecom.cn,,
IoT网络平台,固定通信系统,NB-IoT,华为技术有限公司,2021-08-21,华为,华为技术有限公司,企业用户,华为官网,https://www.huawei.com,,
卫星宽带网络,固定通信系统,VSAT,中国卫通,2019-11-30,中国卫通,中国卫星通信集团公司,普通用户,中国卫通官网,https://www.china-satellite.com,,
星链卫星互联网,卫星通信系统,Starlink,SpaceX,2023-02-15,SpaceX,Space Exploration Technologies Corp,乡村用户,SpaceX官网,https://www.spacex.com,,
SDN网络架构,数据通信系统,SDN,思科系统公司,2022-04-05,思科,思科系统公司,企业用户,思科官网,https://www.cisco.com,,
量子通信网络,量子通信系统,量子密钥分发,中国科学院,2023-05-01,中国科学院,中国科学院,政府与军方,中国科学院官网,https://www.cas.cn,,
云通讯平台,云计算系统,WebRTC,阿里巴巴,2021-10-10,阿里云,阿里巴巴集团,企业用户,阿里巴巴官网,https://www.alibaba.com,,
边缘计算网络,边缘计算系统,Edge Computing,IBM公司,2023-01-12,IBM,国际商业机器公司,企业用户,IBM官网,https://www.ibm.com,,
越南移动网络,移动通信系统,GSM,Viettel,2006-01-15,Viettel,越南军队电信集团,普通用户,越南信息与通信部,https://viettel.vn/,,
印度5G网络,移动通信系统,5G NR,Jio,2021-09-25,Reliance Jio,Reliance Industries Limited,普通用户,印度信息技术部,https://www.jio.com/,,
澳大利亚NB-IoT网络,物联网通信系统,NB-IoT,Telstra,2018-03-10,Telstra,Telstra Corporation Limited,企业用户,澳大利亚通信与媒体管理局,https://www.telstra.com.au/,,
日本超宽带网络,固定通信系统,光纤宽带,NTT,2015-06-12,NTT Corporation,日本电信电话公司,家庭用户,日本总务省,https://www.ntt.co.jp/,,
北美卫星通信系统,卫星通信系统,KU波段,SpaceX,2020-11-19,SpaceX,Space Exploration Technologies Corp.,企业与个人用户,美国联邦通信委员会,https://www.spacex.com/,,
巴西城市Wi-Fi,公共通信系统,Wi-Fi 6,Oi S.A.,2022-01-03,Oi,Oi S.A.（巴西电信公司）,城市居民,巴西国家电信局,https://www.oi.com.br/,,
意大利智能家居网络,物联网通信系统,Zigbee,Telecom Italia,2021-05-15,Telecom Italia,意大利电信公司,家庭用户,意大利通信局,https://www.telecomitalia.com/,,
德国车联网系统,车载通信系统,V2X,Volkswagen,2022-10-12,Volkswagen AG,大众汽车集团,汽车用户,德国交通部,https://www.volkswagen.com/,,
南非长距离通信网,长途通信系统,光纤网络,Telkom South Africa,2019-03-20,Telkom,南非电信公司,企业用户,南非通信局,https://www.telkom.co.za/,,
英国公共无线电网络,公共通信系统,4G LTE,BT Group,2020-07-05,BT,英国电信集团,普通用户,英国通信局,https://www.bt.com/,,
5G Star Network,移动通信系统,5G NR,中兴通讯,2020-11-15,中兴通讯,中兴通讯股份有限公司,普通用户,中国工业和信息化部,https://www.zte.com.cn,,
Wi-Fi 6E,无线网络,Wi-Fi 6E,英特尔公司,2021-03-01,英特尔,英特尔科技（中国）有限公司,家庭用户,国家无线电监管机构,https://www.intel.com,,
Starlink卫星网络,卫星通信系统,卫星互联网,SpaceX,2021-05-01,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,FCC（美国联邦通信委员会）,https://www.spacex.com,,
Quantum Secure Communication,量子通信系统,量子密钥分发,中国科学技术大学,2022-09-15,中国科学技术大学,中国科学技术大学,科研机构,科技日报,https://www.stdaily.com,,
Private 5G Network,专用网络,5G,阿里巴巴,2023-01-10,阿里巴巴,阿里巴巴集团控股有限公司,企业用户,中国信息产业网,https://www.aliyun.com,,
Smart IoT Network,物联网通信系统,NB-IoT,华为技术有限公司,2022-06-01,华为,华为技术有限公司,智能设备制造商,TechCrunch,https://techcrunch.com,,
Mobile Edge Computing Network,边缘计算网络,边缘计算,百度,2022-12-20,百度,百度在线网络技术（北京）有限公司,企业用户,人民日报,https://www.people.com.cn,,
Open RAN Network,开放无线接入网络,Open RAN,爱立信,2023-05-30,爱立信,爱立信（中国）有限公司,移动通信运营商,中国信息通信技术集团公司,https://www.ericsson.com,,
Hybrid Fiber-Coaxial Network,混合光纤同轴网络,HFC,中国广电,2021-08-10,中国广电,中国广播电视网络有限公司,普通用户,广电总局,http://www.sarft.gov.cn,,
智能物联网系统,物联网通信,LoRaWAN,阿里云,2021-05-15,阿里巴巴,阿里巴巴集团股份有限公司,企业用户,中国互联网协会,https://www.aliyun.com/,,
光纤综合接入系统,固定通信系统,基于GPON,中国广电,2020-09-17,中国广电,中国广播电视网络有限公司,家庭用户,中国工业和信息化部,https://www.chinacbn.com/,,
城市智能交通系统,智慧城市通信,C-V2X,中兴通讯,2022-03-02,中兴,中兴通讯股份有限公司,政府与企业,国家交通运输部,http://www.zte.com.cn/,,
下一代卫星通信系统,卫星通信,GEO-LEO混合,华为技术有限公司,2023-07-21,华为,华为技术有限公司,全球用户,中国通信研究院,https://www.huawei.com/,,
5G边缘计算网络,移动通信系统,5G EC,中国电信,2023-01-15,中国电信,中国电信股份有限公司,大型企业,中国信息通信研究院,https://www.chinatelecom.com.cn/,,
3G互联网络,移动通信系统,WCDMA,中国联通,2010-10-01,中国联通,中国联通股份有限公司,普通用户,开放数据平台,https://www.chinaunicom.com/,,
基于SDN的网络架构,计算机网络,SDN,思科系统有限公司,2021-11-20,思科,思科系统有限公司,云服务提供商,全球互联网论坛,https://www.cisco.com/,,
虚拟现实通信系统,虚拟现实,VR Cloud,微软,2022-04-10,微软,微软公司,普通用户及企业,国际软件协会,https://www.microsoft.com/,,
量子通信网络,量子通信,量子密钥分发,中国科学技术大学,2023-09-12,中国科学技术大学,中国科学技术大学,实验室及科研机构,中国量子通信研究中心,http://www.ustc.edu.cn/,,
增强现实通信平台,增强现实,AR Cloud,字节跳动,2023-02-18,字节跳动,字节跳动有限公司,普通用户及企业,科技创新署,https://www.bytedance.com/,,
5G超宽带通信系统,移动通信系统,5G,中国联通,2020-01-15,中国联通,中国联通股份有限公司,商用企业,中国工业和信息化部,https://www.miit.gov.cn/,,
NB-IoT网络,物联网通信系统,NB-IoT,华为技术有限公司,2018-05-20,华为,华为技术有限公司,物联网设备制造商,中国工业和信息化部,https://www.huawei.com/,,
光纤宽带网络,固定通信系统,FTTH,中国电信,2015-03-11,中国电信,中国电信股份有限公司,家庭用户,中国电信官网,https://www.chinatelecom.com.cn/,,
家庭安防无线网络,无线通信系统,Zigbee,小米科技,2022-02-28,小米,小米科技有限责任公司,家庭用户,互联网科技评论,https://www.xiaomi.com/,,
卫星通信系统,卫星通信系统,C-band,中星微电子,2016-09-14,中星微电子,中星微电子股份有限公司,政府与企业用户,卫星通信协会,https://www.outlook.com/,,
加密通信系统,安全通信系统,Quantum Encryption,阿里巴巴,2023-07-20,阿里云,阿里巴巴集团控股有限公司,企业客户,阿里云官网,https://www.aliyun.com/,,
企业级SD-WAN网络,软件定义网络,SD-WAN,思科系统,2021-11-05,思科,思科系统有限公司,中小企业,思科官网,https://www.cisco.com/,,
虚拟现实通信系统,增强现实与虚拟现实,5G VR,Facebook Technologies,2023-08-15,Meta,"Meta Platforms, Inc.",游戏用户,虚拟现实日报,https://www.meta.com/,,
边缘计算通信系统,边缘计算,Edge Compute,亚马逊网络服务,2024-02-10,AWS,亚马逊公司,企业用户,云计算门户,https://aws.amazon.com/,,
区块链通信网络,区块链技术,Blockchain,IBM,2021-03-03,IBM,IBM公司,金融机构,IBM官网,https://www.ibm.com/,,
卫星通信网络,卫星通信系统,VSAT,中国卫通,2020-05-15,中国卫通,中国卫通股份有限公司,军事及科研机构,中国工业和信息化部,https://www.china-satcom.com,,
Wi-Fi 6,无线通信系统,802.11ax,TP-Link,2021-02-10,TP-Link,TP-Link科技有限公司,家庭与企业用户,中国网络安全与信息化委员会,https://www.tp-link.com,,
量子通信网络,量子通信系统,量子密钥分发,中国科学院,2022-09-23,中国科学院,中国科学院网络信息中心,政府与金融机构,中国科学院官方网站,https://www.cas.cn,,
低轨卫星互联网,卫星互联网,Ku频段,星链通信,2023-01-15,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,中国工业和信息化部,https://www.spacex.com,,
5G专网,企业通信系统,5G NR,中兴通讯,2023-03-20,中兴通讯,中兴通讯股份有限公司,工业用户,中国信息通信研究院,http://www.cai.gov.cn,,
车联网通信系统,物联网系统,C-V2X,华为,2022-06-15,华为,华为技术有限公司,汽车制造商,中国汽车工业协会,http://www.cauto.org.cn,,
边缘计算网络,云计算系统,Edge Computing,阿里云,2023-08-01,阿里巴巴,阿里巴巴集团,企业用户,阿里云官网,https://www.aliyun.com,,
超宽带通信系统,无线通信系统,UWB,高通公司,2021-11-05,高通,高通股份有限公司,消费电子用户,高通官网,https://www.qualcomm.com,,
定向无线电台,无线通信系统,MIMO,摩托罗拉,2022-07-18,摩托罗拉,摩托罗拉解决方案公司,应急服务,摩托罗拉官网,https://www.motorolasolutions.com,,
5G高速移动互联网,移动通信系统,5G,中国联通,2020-09-15,中国联通,中国联通股份有限公司,普通用户,中国国家广播电视总局,https://www.nrta.gov.cn,,
VoLTE语音通话服务,移动通信系统,VoLTE,华为技术有限公司,2016-03-10,华为,华为技术有限公司,普通用户,中国信息通信研究院,https://www.caict.ac.cn,,
高通量卫星通信系统,卫星通信系统,GEO,中星技术公司,2022-01-20,中星技术,中国卫星通信集团有限公司,企业用户,中国空间技术研究院,http://www.cast.cn,,
智能城市数据网络,物联网系统,LPWAN,阿里巴巴集团,2021-05-25,阿里云,阿里巴巴（中国）有限公司,政府及企业用户,中国工业和信息化部,http://www.miit.gov.cn,,
Wi-Fi 6无线路由,无线路由系统,Wi-Fi 6,TP-Link,2020-11-12,TP-Link,TP-Link科技有限公司,普通用户,中国信通院,https://www.caict.ac.cn,,
超宽带无线通信系统,固定无线访问系统,UWB,百度,2023-02-14,百度,百度公司,开发者与专业用户,中国互联网信息中心,https://www.cnnic.cn,,
NBIoT边缘网络,物联网系统,NBIoT,中国电信,2021-09-30,中国电信,中国电信股份有限公司,物联网应用开发者,中国信息通信研究院,https://www.caict.ac.cn,,
低轨道卫星互联网,卫星通信系统,LEO,Starlink,2023-05-18,SpaceX,SpaceX公司,全球用户,国际电信联盟,https://www.itu.int,,
光纤接入网络,光纤通信系统,GPON,中国广电,2022-08-05,中国广电网络股份有限公司,中国广电,住宅及企业用户,中国信息通信研究院,https://www.caict.ac.cn,,
SDN云网络技术,云计算网络系统,SDN,京东科技,2023-01-27,京东,京东集团,企业与开发者,信息技术产业部,https://www.miit.gov.cn,,
5G Edge计算平台,移动通信系统,5G,中兴通讯股份有限公司,2021-05-15,中兴通讯,中兴通讯股份有限公司,企业用户,中国工业和信息化部,https://www.zte.com.cn,,
Wi-Fi 6E网络,无线通信系统,Wi-Fi 6E,英特尔公司,2022-01-10,英特尔,英特尔公司,家庭与办公用户,市场研究报告,https://www.intel.com,,
STARLINK卫星网络,卫星通信系统,星链,SpaceX,2020-11-05,SpaceX,SpaceX公司,偏远地区用户,美国联邦通信委员会,https://www.spacex.com,,
光纤到户(FttH),固定通信系统,光纤,中国电信,2018-08-20,中国电信,中国电信股份有限公司,住宅用户,中国工业和信息化部,https://www.chinatelecom.com.cn,,
NB-IoT网络,物联网通信系统,NB-IoT,华为技术有限公司,2019-02-28,华为,华为技术有限公司,物联网应用开发者,科技新闻媒体,https://www.huawei.com,,
超宽带(UWB)通信系统,无线通信系统,UWB,苹果公司,2020-11-10,苹果,苹果公司,智能设备用户,行业分析报告,https://www.apple.com,,
下一代移动通信网络(6G),未来网络,6G,中国移动,2023-03-01,中国移动,中国移动通信集团有限公司,研究机构和战略投资者,技术发展论坛,https://www.chinamobileltd.com,,
超高清视频传输网络,媒体传输系统,4K/8K,小米科技,2022-09-12,小米,小米科技有限责任公司,娱乐用户,产业网络协会,https://www.mi.com,,
智能城市网络接口,城市基础设施,IoT集成,阿里巴巴集团,2021-12-15,阿里巴巴,阿里巴巴集团控股有限公司,城市管理者,行业研究机构,https://www.alibabagroup.com,,
5G超高速网络,移动通信系统,5G,中国移动,2020-08-15,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn,,
NB-IoT网络,物联网系统,NB-IoT,华为技术有限公司,2017-11-01,华为,华为技术有限公司,企业用户,中国互联网信息中心,https://www.cnnic.net.cn,,
全球卫星互联网,卫星通信系统,Starlink,SpaceX,2020-04-05,SpaceX,Space Exploration Technologies Corp,偏远地区用户,国际电信联盟,https://www.itu.int,,
光纤宽带网络,固定通信系统,FTTH,中国电信,2016-09-12,中国电信,中国电信股份有限公司,家庭用户,中国通信工业协会,https://www.cai.org,,
VoWiFi网络,移动通信系统,VoWiFi,中国联通,2021-01-10,中国联通,中国联通股份有限公司,普通用户,中国互联网络信息中心,https://www.cnnic.net.cn,,
Wi-Fi 6网络,局域网通信,IEEE 802.11ax,新华三技术有限公司,2019-10-20,新华三,新华三技术有限公司,家庭及企业用户,中国信息通信技术集团有限公司,https://www.zte.com.cn,,
云计算网络,云服务系统,云计算,阿里巴巴集团,2018-06-30,阿里云,阿里巴巴网络技术有限公司,企业及开发者,中国云计算产业联盟,https://cloud.aliyun.com,,
区域5G网络,移动通信系统,5G,中国广播电视网络公司,2021-09-10,广电网络,中国广播电视网络公司,城市居民,中国信息通信研究院,https://www.caict.ac.cn,,
智能城市通信平台,物联网系统,智慧城市,中兴通讯股份有限公司,2022-03-15,中兴,中兴通讯股份有限公司,政府及企业,城市智能化发展论坛,https://www.zte.com.cn,,
量子通信系统,量子通信,量子密钥分发,中国科学院,2023-01-05,中国科学院,中国科学院,科研机构及高端用户,中国科技信息研究所,https://www.cas.cn,,
NextGen卫星通信系统,卫星通信系统,Ku频段,中国卫通,2021-05-15,中国卫通,中国卫星通信集团公司,政府及企业用户,国家广播电视总局,https://www.cgtn.com,,
Wi-Fi 6E 网络,无线通信系统,802.11ax,高通,2020-12-10,高通,高通公司,普通用户及商业用户,IEEE,https://www.ieee.org,,
光纤接入网络,固定通信系统,GPON,中国电信,2017-11-20,中国电信,中国电信股份有限公司,家庭用户,中国信息通信研究院,https://www.caict.ac.cn,,
V2X通信系统,车联网,C-V2X,中兴通讯,2019-03-01,中兴通讯,中兴通讯股份有限公司,智能汽车制造商,国际电信联盟,https://www.itu.int,,
NB-IoT网络,物联网通信系统,NB-IoT,中国移动,2020-04-25,中国移动,中国移动通信集团有限公司,物联网开发者,国家无线电监测中心,http://www.nra.gov.cn,,
国内外高速光网络,固定通信系统,DWDM,中国联通,2018-07-18,中国联通,中国联通股份有限公司,企业级用户,中国光纤通信网,http://www.chinafiber.org,,
智能家居通信系统,家庭自动化,Zigbee,小米科技,2022-09-12,小米,小米科技有限责任公司,家庭用户,市场研究公司,https://www.statista.com,,
量子通信网络,安全通信系统,量子密钥分发,中国科学院,2023-01-05,中国科学院,中国科学院,国家安全机构,科学技术部,http://www.most.gov.cn,,
边缘计算网络,分布式计算,边缘计算规范,阿里巴巴,2025-11-15,阿里云,阿里巴巴集团,云服务用户,中国互联网协会,http://www.isc.org.cn,,
新一代无线电通信系统,无线通信,6G,华为技术有限公司,2023-08-01,华为,华为技术有限公司,技术开发者,科技日报,https://www.stdaily.com,,
5G超广域移动网络,移动通信系统,5G NR,中兴通讯,2021-02-15,中兴通讯,中兴通讯股份有限公司,企业用户,中国工业和信息化部,https://www.zte.com.cn,,
光纤到户（FTTH）,固定通信系统,FTTH,中国电信,2015-08-01,中国电信,中国电信股份有限公司,普通用户,中国信息产业网,https://www.cnnic.net.cn,,
无线路由器贸易网络,固定通信系统,802.11ac,TP-Link,2016-11-25,TP-Link,TP-Link科技有限公司,普通用户,中国消费电子行业协会,https://www.tp-link.com,,
Next-Gen Wi-Fi 6网络,固定通信系统,Wi-Fi 6,华为技术有限公司,2022-09-01,华为,华为技术有限公司,普通用户,国际电信联盟,https://www.itu.int,,
卫星通信系统,卫星通信,L-band,北斗导航,2020-12-15,北斗导航,中国卫星导航系统管理办公室,政府和企业用户,中国空间技术研究院,http://www.beidou.gov.cn,,
低功耗广域网络（LPWAN）,物联网,LoRaWAN,阿里巴巴集团,2023-03-10,阿里云,阿里巴巴集团控股有限公司,物联网设备制造商,行业研究机构,https://www.alibaba.com,,
5G蜂窝网络系统,移动通信系统,5G NR,华为技术有限公司,2020-05-14,华为,华为技术有限公司,普通用户,中国工业和信息化部,https://www.huawei.com,,
高通量宽带通信网络,卫星通信,Ka-band,Inmarsat,2022-01-20,Inmarsat,Inmarsat Global Limited,企业用户,国际卫星通信联盟,https://www.inmarsat.com,,
量子通信网络,新兴通信系统,量子密钥分发,中国科学院,2023-09-15,中国科学院,中国科学院,科研机构,科学技术部,http://www.cas.cn,,
边缘计算网络,网络服务,边缘计算,亚马逊网络服务（AWS）,2021-11-30,AWS,亚马逊公司,大企业和开发者,国际计算机协会,https://aws.amazon.com,,
中国未来6G网络,移动通信系统,6G,中国通信科研院,2023-09-15,中国通信科研院,中国通信科技集团有限公司,研究机构,中国工业和信息化部,https://www.miit.gov.cn,,
欧洲卫星通信网络,卫星通信系统,Ka波段,欧洲航天局,2022-11-10,阿里巴巴集团,阿里巴巴网络技术有限公司,企业用户,欧洲航天局官网,https://www.esa.int,,
农村数字通信系统,固定通信系统,光纤,中国电信,2021-03-20,中国电信,中国电信股份有限公司,农村用户,中国工业和信息化部,https://www.chinatelecom.com.cn,,
美国5G城市网,移动通信系统,5G NR,AT&T,2020-10-12,AT&T,AT&T Inc.,普通用户,美国联邦通信委员会,https://www.fcc.gov,,
物联网连接网络,移动通信系统,NB-IoT,华为技术有限公司,2019-07-15,华为,华为技术有限公司,企业用户,中国工业和信息化部,https://www.huawei.com,,
超宽带无线网络,无线通信系统,UWB,高通公司,2021-05-21,高通公司,Qualcomm Incorporated,普通用户,美国联邦通信委员会,https://www.qualcomm.com,,
日本智能交通系统,固定通信系统,DSRC,NTT DOCOMO,2022-08-28,NTT DOCOMO,株式会社NTT DOCOMO,交通管理机构,日本总务省,https://www.soumu.go.jp,,
高德导航服务,移动通信系统,GPS,高德软件,2020-12-05,阿里巴巴集团,阿里巴巴集团控股有限公司,普通用户,高德官网,https://www.amap.com,,
云计算通信平台,云服务系统,通用云,微软公司,2022-01-10,微软,Microsoft Corporation,企业用户,微软官网,https://www.microsoft.com,,
卫星互联网,卫星通信系统,Starlink,SpaceX,2020-10-01,SpaceX,太空探索技术公司,偏远地区用户,国际通讯联盟,https://www.itu.int,,
5G移动宽带,移动通信系统,5G NR,高通,2021-05-15,高通,高通公司,企业用户,中国工业和信息化部,https://www.miit.gov.cn,,
物联网通信系统,物联网,NB-IoT,中兴通讯,2019-09-10,中兴通讯,中兴通讯股份有限公司,智能家居用户,中国网络通信研究院,https://www.cni.com.cn,,
5G增强移动宽带,移动通信系统,5G EMBB,华为技术有限公司,2021-12-05,华为,华为技术有限公司,普通用户,信息产业部,https://www.huawei.com,,
光纤数据传输网络,固定通信系统,FTTH,中国电信,2017-04-20,中国电信,中国电信股份有限公司,家庭用户,中国信息通信研究院,https://www.caict.ac.cn,,
Wi-Fi 6E,局域网,Wi-Fi 6E,英特尔,2022-01-10,英特尔,英特尔公司,普通用户,美国联邦通信委员会,https://www.fcc.gov,,
局域网解决方案,局域网,802.11ax,思科系统公司,2022-06-15,思科,思科系统有限公司,企业用户,国际电信联盟,https://www.itu.int,,
VoLTE系统,移动通信系统,VoLTE,中国移动,2016-08-30,中国移动,中国移动通信集团有限公司,普通用户,中国信息产业部,https://www.miit.gov.cn,,
自组网络技术,新兴技术,Zigbee,德州仪器,2023-03-01,德州仪器,德州仪器公司,物联网用户,IEEE,https://www.ieee.org,,
区块链通信网络,新兴技术,Blockchain,IBM,2023-05-12,IBM,国际商业机器公司,金融用户,科技日报,https://www.stdaily.com,,
中国移动5G网络,移动通信系统,5G NR,中国移动,2020-10-01,中国移动,中国移动通信集团有限公司,企业用户,中国工业和信息化部,https://www.miit.gov.cn/,,
联盟5G网络,移动通信系统,5G NR,GTI科技,2021-05-15,GTI科技,GTI集团有限公司,普通用户,中国工业和信息化部,https://www.gtia.org/,,
物联网专网,固定通信系统,NB-IoT,华为技术有限公司,2022-03-22,华为,华为技术有限公司,企业用户,中国工业和信息化部,https://www.huawei.com/,,
中国电信光纤网络,固定通信系统,光纤接入,中国电信,2019-09-09,中国电信,中国电信股份有限公司,家庭用户,中国工业和信息化部,https://www.chinatelecom.com.cn/,,
LTE-Advanced网络,移动通信系统,LTE-A,中兴通讯,2020-11-18,中兴通讯,中兴通讯股份有限公司,普通用户,中国工业和信息化部,https://www.zte.com.cn/,,
全球卫星网络,卫星通信系统,L波段,天链卫星,2022-01-12,天链无线,天链卫星科技有限公司,企业用户,中国航天科技集团,http://www.spacechina.com/,,
量子通信网络,固定通信系统,量子密钥分发,中国科学院,2023-07-05,中国科学院,中国科学院量子通信研究所,政府机构,中国科学院,http://www.cas.cn/,,
WiFi 6E网络,无线通信系统,WiFi 6E,联想集团,2021-08-30,联想,联想集团有限公司,普通用户,中国工业和信息化部,https://www.lenovo.com.cn/,,
光传输网,固定通信系统,DWDM,中国联合网络通信有限公司,2019-12-16,中国联通,中国联通股份有限公司,企业用户,中国工业和信息化部,http://www.chinaunicom.com/,,
边缘计算网络,云计算网络,边缘云,阿里巴巴云,2023-03-18,阿里云,阿里巴巴集团控股有限公司,企业用户,阿里巴巴集团,https://www.alibabagroup.com/,,
5G智能网络,移动通信系统,5G NR,中国移动,2020-09-15,中国移动,中国移动通信集团有限公司,企业用户,中国工业和信息化部,https://www.miit.gov.cn/,,
全球宽带卫星系统,卫星通信,Ka波段,星联通信,2021-02-10,星联通信,星联通信技术有限公司,高需求地区用户,中国国家广播电视总局,http://www.sarft.gov.cn/,,
NB-IoT网络,物联网通信,NB-IoT,华为技术有限公司,2017-12-01,华为,华为技术有限公司,智能城市用户,中国工业和信息化部,https://www.huawei.com/,,
光纤宽带系统,固定通信,FTTH,中国电信,2015-08-20,中国电信,中国电信股份有限公司,家庭用户,中国通信管理局,http://www.miit.gov.cn/,,
超过600MHz的宽带网络,移动通信系统,6G,清华大学,2023-11-01,清华大学,清华大学研究院,研究机构,清华大学官网,http://www.tsinghua.edu.cn/,,
物联网实名制通信系统,物联网通信,LPWAN,阿里巴巴网络技术部,2019-03-15,阿里巴巴,阿里巴巴集团控股有限公司,企业用户,浙江省通信管理局,https://www.alibaba.com/,,
