品牌,面料,科技含量,特点,主要产品,采集来源,来源链接,采集时间,备注
Under Armour,UA Tech、Threadborne,高,超轻便、快干、抗菌,运动短袖、长裤,公司官网,https://www.underarmour.cn/,,
斯凯奇,Goodyear Rubber,中,耐磨、抓地力强,休闲鞋、运动鞋,用户评价,https://www.skechers.cn/,,
彪马,Nexkin、Evercat,高,抗风、防水、透气,户外服、跑步鞋,运动分析平台,https://www.puma.com.cn/,,
H&M,Recycled Polyester,中,环保、舒适、时尚,运动服、休闲装,公司官网,https://www.hm.com/,,
亚瑟士,gORE-TEX、FlyteFoam,高,防水、透气、轻量化,登山鞋、跑步鞋,专业跑步杂志,https://www.asics.com.cn/,,
FILA,CoolMax、DuraCool,高,干爽透气、长时间舒适,运动衫、健身衣,公司宣传册,https://www.fila.com.cn/,,
VANS,Eco-polyester、Duracap,中,复古、环保设计、耐用,滑板鞋、休闲鞋,用户反馈网站,https://www.vans.cn/,,
Uniqlo,AIRism、BlockTech,高,透气、快干、防风,内衣、外套,公司官网,https://www.uniqlo.com/,,
茵宝,FinerDry、PinLock,中,舒适、耐磨、轻便,足球鞋、运动服,体育市场调研,https://www.umbro.com.cn/,,
Speedo,Eco-Endurance+,高,耐氯、快干、生态环境友好,泳衣、游泳装备,公司活动报道,https://www.speedo.com.cn/,,
森马,Spray Tech、Flexi-fit,中,舒适、贴合、高弹性,休闲服、运动外套,客户调查问卷,https://www.seман.com.cn/,,
Columbia,Omni-Tech、Omni-Heat,高,防水、保暖、透气,户外夹克、运动裤,公司网站,https://www.columbia.com.cn/,,
Mizuno,Mizuno Enerzy、AeroHug,高,超强缓震、包裹感好,跑步鞋、运动服,专业体育网站,https://www.mizuno.cn/,,
Draper James,Organic Cotton、Recycled Blends,中,环保、时尚休闲,日常服装、裙子,公司社交媒体,https://www.draperjames.com/,,
Boohoo,Sustainable Polyamide,中,价格适中、环保,时尚服装、运动服,电商平台,https://www.boohoo.com/,,
彪马,DryCELL、Griptex,高,快干、耐磨、防滑,运动鞋、训练装备,公司官网,https://www.puma.com.cn/,,
李宁,云技术、抗UV,高,轻便、抗紫外线、透气,户外装备、运动服,产品发布会,https://www.lining.com/,,
Under Armour,HeatGear、Threadborne,高,透气、舒适、抗拉伸,运动内衣、长裤,用户评测,https://www.underarmour.com.cn/,,
新百伦,Fresh Foam、Hypoknit,高,轻量、缓震、灵活,跑步鞋、多功能鞋,行业展会,https://www.newbalance.com.cn/,,
H&M,再生聚酯、Organic Cotton,中,环保、舒适、适合日常,休闲服、运动单品,品牌宣告,https://www.hm.com.cn/,,
阿迪达斯,Lego_BLOCK系列、EVA,高,多功能、拼接设计、环保,运动服、休闲鞋,可持续发展年度报告,https://www.adidas.cn/,,
Mizuno,Wave技术、Airmesh,高,减震、透气、舒适,跑步鞋、专业运动装备,业界评论,https://www.mizuno.com.cn/,,
匡威,Chuck Taylor Canvas、Recycled Rubber,中,经典设计、舒适耐用,帆布鞋、休闲鞋,运动品牌博览会,https://www.converse.com.cn/,,
Richer Poorer,Merino Wool、Bamboo,中,轻便、保暖、透气,袜子、休闲服饰,时尚杂志,https://www.richerpoorers.com/,,
Lululemon,Nulu、Luon,高,极致柔软、四向拉伸、舒适,瑜伽服、运动短裤,用户反馈,https://www.lululemon.com/,,
Uniqlo,AIRism、Ultra Light Down,高,透气、轻便、易搭配,内衣、外套,公司发布会,https://www.uniqlo.com/,,
Zalando,Vegan Leather、Recycled Polyester,中,环保、时尚、耐用,时尚鞋、休闲服饰,时尚电商平台,https://www.zalando.cn/,,
Lands' End,InsulAir,高,保温、轻便、耐磨,户外夹克、活动服,户外装备展,https://www.landsend.com/,,
Fabletics,PowerHold、Vapor,高,支持性强、快干、舒适,瑜伽服、运动文胸,用户评价,https://www.fabletics.com/,,
Vans,Sick Stick、UltraCush,中,耐磨、舒适、流行,滑板鞋、休闲鞋,用户推荐,https://www.vans.com/,,
Decathlon,Kipsta、G_Eco,高,耐久性、舒适、经济,各类运动装备,市场调研,https://www.decathlon.com.cn/,,
中国国家队,CARBON系列、BreatheTech,高,轻便、透气、运动套餐,训练服、比赛服,国家队发布会,https://www.china-team.com/,,
Hoka One One,Meta-Rocker、Freemove,高,高效能、舒适性、极致减震,跑步鞋、越野鞋,运动科技杂志,https://www.hoka.com/,,
New Balance,Fresh Foam、Nb Dry,高,轻量、吸湿速干、舒适,跑步鞋、休闲鞋,公司官网,https://www.newbalance.com.cn/,,
Asics,GEL科技、AMPELT,高,减震效果好、稳定性强、防滑,跑步鞋、竞技鞋,运动品牌展会,https://www.asics.com.cn/,,
Lululemon,Nulu、Luxtreme,中,轻便、日常穿着适宜、透气,运动外套、瑜伽裤,公司官网,https://www.lululemon.com/,,
Decathlon,100%再生聚酯纤维,高,环保、舒适、耐用,健身服、户外装备,公司官网,https://www.decathlon.cn/,,
Columbia,Omni-Tech、Omni-Shade,高,防水、透气、紫外线防护,户外夹克、野营服,公司新闻,https://www.columbia.com.cn/,,
Puma,PUMAGRIP、PUMATEX,高,良好的抓地力、舒适非凡,跑步鞋、篮球鞋,消费者论坛,https://www.puma.com.cn/,,
Fabletics,PowerHold、UltraLite,中,聚拢、适合日常穿搭、舒适透气,健身裤、运动胸罩,公司官网,https://www.fabletics.cn/,,
H&M,有机棉、再生聚酯,中,环保、舒适、适合日常穿着,休闲服、运动服,公司官网,https://www.hm.com.cn/,,
Under Armour,UA Tech、Storm,高,快速干燥、保暖、防风,紧身衣、运动外套,公司官网,https://www.underarmour.com/cn/,,
Lands' End,款式多样面料,中,耐磨、亲肤、低过敏,休闲裤、衬衫,用户反馈,https://www.landsend.cn/,,
Mizuno,Mizuno Wave、DryLite,高,良好的运动性能、舒适贴合,跑步鞋、训练服,公司发布会,https://www.mizuno.com.cn/,,
Gymshark,Flex、Vital,中,弹性好、适合健身使用、舒适性强,健身服、运动内衣,社交媒体营销,https://www.gymshark.com/,,
Alo Yoga,Airlift、Melt,高,高弹性、透气性良好、紧身设计,瑜伽服、运动短裤,公司官方网志,https://www.aloyoga.com/,,
Vans,UltraCush、EcoRubber,中,极佳的舒适感、环保材料,滑板鞋、休闲鞋,品牌社区活动,https://www.vans.com/,,
Everlast,Lightweight Fiber,中,耐用、轻便、适合锻炼,拳击服、训练装备,行业市场报告,https://www.everlast.com/,,
Outdoor Research,Pertex、GORE-TEX,高,防水透气、耐磨、适合极限天气,登山服、帐篷,产品评测网站,https://www.outdoorresearch.com/,,
Sierra Designs,Recycled Materials,中,环保、透气、适合长途行走,户外背包、睡袋,绿色消费平台,https://sierradesigns.com/,,
Roxy,Hemp、Recycled Polyester,中,环保、适合水上运动、耐盐水,冲浪服、泳衣,公司官网,https://www.roxy.com/,,
Under Armour,HeatGear、ColdGear,高,温控调节、吸湿排汗、轻量化,运动短袖、保暖内衣,运动品牌发布会,https://www.underarmour.cn/,,
新百伦,NB Dry、Re-Engineered,高,快干、极致舒适、透气性强,跑步短裤、运动T恤,公司官网,https://www.newbalance.com.cn/,,
Lands' End,True Shape、ThermoChill,中,贴身舒适、可机洗、防水,休闲外套、运动裤,在线商店,https://www.landsend.com/,,
Tommy Hilfiger,Eco-Soft、Aqua FX,高,环保材料、强排水性、时尚外观,运动夹克、跑步鞋,品牌官网,https://www.tommy.com/,,
Asics,FlyteFoam、GEL技术,高,缓震、舒适合脚、耐磨,跑步鞋、训练鞋,运动产品展览,https://www.asics.com.cn/,,
Puma,NITRO、SoftFoam,高,轻量、减震、透气,Yoga服、跑步裤,品牌发布会,https://www.puma.com,,
Fabletics,LuxLift、Graphite,中,弹性、贴身、不透明,运动瑜伽裤、运动Bra,时尚杂志,https://www.fabletics.com/,,
Lululemon,Luon、Nulu,高,柔软、透气、速干,卫衣、运动短裤,公司官网,https://www.lululemon.com/,,
Outdoor Research,Gore-Tex、Pertex Shield,高,防水、透气、耐磨,登山外套、攀岩裤,户外博览会,https://www.outdoorresearch.com/,,
Rapha,Merino Wool、Pro Team,高,温暖、吸湿、抗异味,骑行服、运动外套,专业运动杂志,https://www.rapha.cc/,,
Uniqlo,AIRism、Blocktech,中,透气、轻盈、防风,休闲外套、运动上衣,公司官网,https://www.uniqlo.com/,,
H&M,Recycled Polyester、Organic Cotton,中,可再生材料、舒适、环保,休闲衫、运动裤,可持续发展报告,https://www.hm.com/,,
Columbia,Omni-Tech、Omni-Wick,高,防水、透气、防风,滑雪服、徒步外套,户外活动博览会,https://www.columbia.com/,,
Volcom,V-Science、Repreve,中,耐磨、舒适、快干,冲浪短裤、街头服饰,公司官网,https://www.volcom.com/,,
Patagonia,NetPlus、Worn Wear,高,环保、耐用、可修复,户外外套、背包,品牌官网,https://www.patagonia.com/,,
Fila,Coolmax、AeroStretch,高,动感设计、弹性、速干,运动衫、运动裤,体育展会,https://www.fila.com/,,
HOKA,Meta-Rocker、Active Footframe,高,减震、利于跑步、舒适,跑步鞋、越野鞋,运动产品博览会,https://www.hokaoneone.com/,,
Havaianas,Rubber、Recycled Materials,中,轻便、耐磨、环保,拖鞋、沙滩鞋,在线商店,https://www.havaianas.com/,,
Under Armour,UA Tech、Threadborne,高,快速排汗、舒适贴身、轻量化设计,运动T恤、训练短裤,公司官网,https://www.underarmour.cn/,,
Lululemon,Luon、Nulu,高,四面弹力、速干透气、适合高强度运动,瑜伽裤、运动背心,用户评价,https://www.lululemon.cn/,,
New Balance,Fresh Foam、NB Dry,中,舒适、减震效果好、耐磨,跑鞋、休闲鞋,科技发布会,https://www.newbalance.cn/,,
H&M,Bamboo Blend、Organic Cotton,中,环保、柔软亲肤、透气,休闲装、基本款T恤,公司官网,https://www.hm.com/,,
Columbia,Omni-Heat、Omni-Tech,高,保暖、透气、防水,户外夹克、登山服,户外运动展,https://www.columbia.com.cn/,,
Skechers,Air Cooled、Goga Max,中,透气、减震、舒适,运动鞋、休闲鞋,公司官网,https://www.skechers.cn/,,
Reebok,Speedwick、Cotton Blend,高,速干、轻便、舒适,健身短裤、运动衣,用户体验报告,https://www.reebok.cn/,,
Patagonia,Hemp Recycled Blend、Capilene,高,可持续、透气、耐久,户外背心、冲锋衣,环保网站,https://www.patagonia.cn/,,
Fabletics,Luxletic、Supplex,高,舒适、有弹性、适合运动,瑜伽服、运动套装,用户社区,https://www.fabletics.cn/,,
Asics,FlyteFoam、GEL,高,减震、轻便、耐磨,跑步鞋、训练鞋,科技新品发布会,https://www.asics.com.cn/,,
Alo Yoga,Alosoft、Airlift,高,柔软、舒适、适合运动与休闲,运动内衣、瑜伽裤,品牌活动,https://www.aloyoga.cn/,,
Puma,NXT Mesh、Lightweight Foam,高,透气、舒适、重量轻,运动鞋、休闲服,运动产品展会,https://www.puma.cn/,,
Champion,EcoFleece、Double Dry,中,温暖、舒适、适合日常穿着,运动卫衣、休闲裤,公司官网,https://www.champion.cn/,,
Lands' End,Thermal、Water Resistant,中,防风、保暖、适合户外活动,冲锋衣、夹克,公司官网,https://www.landsend.cn/,,
Taiwan Sportswear,Graphene Tech、Moisture Control,高,抗菌、防水、透气,运动T恤、高运动裤,运动科技论坛,https://www.taiwansportswear.com/,,
Fila,Coolmax、Stretchable Fabric,中,舒适、快速排汗、抗紫外线,休闲运动服、跑步鞋,品牌官网,https://www.fila.cn/,,
Oiselle,Silk Touch、Stellar,高,光滑、透气、自适应温度,跑步装备、运动内衣,公司官网,https://www.oiselle.com/,,
Gymshark,Flex Fabric、Energy Seamless,高,紧致、透气、运动自如,健身服、训练装备,社交媒体评价,https://www.gymshark.cn/,,
Luxe Performance,UltraSoft、QuickDry,高,柔软、舒适、适合全天穿着,专业运动服、日常穿着品,运动科技杂志,https://www.luxeperformance.cn/,,
新百伦,NB Dry、FlashDry,高,吸汗、速干、舒适透气,运动T恤、跑步鞋,公司官网,https://www.newbalance.com.cn/,,
Lululemon,Nulu、Luxtreme,高,极致柔软、透气性好、支持性强,瑜伽裤、运动文胸,用户体验采访,https://www.lululemon.cn/,,
匡威,Canvas Eco,中,可回收材料、耐用舒适,经典帆布鞋、休闲背包,公司公告,https://www.converse.com.cn/,,
Under Armour,HeatGear、ColdGear,高,四季适用、耐磨性好,训练服、运动鞋,运动科技博览会,https://www.underarmour.cn/,,
安踏,G-TEN、Aeroflex,高,轻便、亲肤、透气性强,跑步服、户外装备,科技发布会,https://www.anta.com/,,
李宁,弯曲科技、石墨烯,高,温度调节、自我修复,运动长裤、缓震鞋,公司官网,https://www.lining.com/,,
PUMA,NXT舒适布、Re:Connect,中,可再生材料、风格多变,休闲流行服、运动短裤,年度产品目录,https://www.puma.com.cn/,,
特步,HYPER FLEX、TRIMAX,高,增强支撑、快速排汗,篮球鞋、健身服,体育用品展览会,https://www.xtep.com/,,
Saucony,Grid、PWRRUN,高,优越缓震、透气性能佳,跑步鞋、运动袜,跑步论坛,https://www.saucony.com.cn/,,
H&M,CONSCIOUS COLLECTION、TENCEL™,中,环保时尚、柔软舒适,休闲上衣、环保包,拉链研究会,https://www.hm.com.cn/,,
Nike,Flyknit、Max Air,高,轻量化、无缝设计,运动鞋、轻便外套,公司发布会,https://www.nike.com.cn/,,
阿迪达斯,Primegreen、AEROREADY,高,可持续材料、快干透气,运动服饰、健身鞋,可持续时尚会议,https://www.adidas.cn/,,
Balenciaga,Technical Fabric、Re-Nylon,高,奢华混合、耐用性强,时尚运动服、高端球鞋,品牌新闻稿,https://www.balenciaga.com/,,
FILA,Aero Breath、Sculpting Fabric,中,塑形效果、舒适透气,健身服、运动文胸,公司展会,https://www.fila.com.cn/,,
Reebok,Flexweave、Speedwick,中,耐磨、防臭、灵活性强,健身鞋、运动背心,运动健康杂志,https://www.reebok.com.cn/,,
Skechers,Air Cooled、Hyper Burst,高,高效透气、超轻,慢跑鞋、空气鞋垫,用户评价系统,https://www.skechers.com.cn/,,
GAP,Recycled Denim、Soft Touch,中,环保耐磨、手感柔软,休闲牛仔裤、T恤,公司内部报告,https://www.gap.com.cn/,,
Lacoste,L.12.12 Polo Fabric、Econyl,高,经典设计、环保面料,Polo衫、休闲鞋,品牌活动,https://www.lacoste.cn/,,
Champion,Double Dry、Soft Cotton,中,双重排汗、舒适耐用,运动衫、短裤,行业论坛,https://www.champion.com.cn/,,
Lululemon,Nulu Fabric、Luon,高,极致舒适、超轻透气、弹性良好,瑜伽裤、运动文胸,用户评测,https://www.lululemon.com/,,
Under Armour,UA Tech、Microthread,高,快干、抗异味、轻便,运动衫、短裤,品牌发布会,https://www.underarmour.cn/,,
Adidas,AEROREADY、Primegreen,高,吸湿排汗、透气、可持续,运动外套、T恤,社交媒体宣传,https://www.adidas.cn/,,
PUMA,PWRFRAME、NITRO,中,支撑性强、轻量、舒适,跑步鞋、训练鞋,市场分析报告,https://www.puma.com.cn/,,
New Balance,Fresh Foam、Hypoknit,高,极佳缓震、呼吸性强、灵活性好,跑步鞋、健身服,线上用户反馈,https://www.newbalance.com.cn/,,
Columbia,Omni-Tech、Omni-Wick,高,防水透气、排汗、耐磨,户外夹克、登山裤,户外产品展,https://www.columbia.com.cn/,,
The North Face,FlashDry、Futurelight,高,迅速干燥、防水、透气,徒步服、外套,生态保护活动,https://www.thenorthface.com.cn/,,
Li-Ning,CoolMax、AeroCool,中,快干、透气、舒适,运动服、专业鞋,新产品发布,https://www.lining.com/,,
Uniqlo,AIRism、Ultra Light Down,中,轻量、舒适、透气性优秀,休闲服、外套,消费者调查,https://www.uniqlo.cn/,,
ASICS,GEL、FlyteFoam,高,缓震、轻便、适合长跑,跑步鞋、训练鞋,体育科学会议,https://www.asics.com.cn/,,
FILA,CoolMax、Cushioning,中,排汗、舒适、缓冲,休闲运动鞋、运动服,时尚展,https://www.fila.cn/,,
H&M,Recycled Polyester、Lenzing Modal,高,环保、柔软、贴肤,时尚T恤、长裤,公司新闻稿,https://www.hm.com/,,
Decathlon,Kipsta、Domyos,中,耐用、适合运动、舒适性好,瑜伽装备、运动服,展会信息,https://www.decathlon.cn/,,
ZARA,EcoVero、TENCEL,高,可持续、透气、柔软,休闲时尚服装,环保时尚论坛,https://www.zara.cn/,,
MSI,ThermoCool、ThermoLite,高,智能温控、透气、舒适性强,运动外套、长袖T恤,科技展示会,https://www.msi.com/,,
Nike,Nike Zero、FlyKnit,高,无缝设计、透气、舒适性优异,高性能运动鞋,官方产品发布,https://www.nike.com.cn/,,
HIND,Moisture Wicking、Compression,中,吸湿、适合慢跑、增强肌肉支持,运动紧身裤、运动衫,用户反馈平台,https://www.hind.cn/,,
HOKA ONE ONE,Ramatou、Lightweight Mesh,高,极致缓震、轻便、透气,跑步鞋、户外鞋,品牌推广活动,https://www.hokaoneone.cn/,,
KAPPA,BLOCKCELL、QuickDry,中,活泼色彩、透气、快速干燥,运动服、休闲服,市场调研,https://www.kappa.com.cn/,,
新百伦,Fresh Foam、Sustainable Knit,高,良好的缓震、透气性、抗菌,跑步鞋、休闲鞋,公司官网,https://www.newbalance.com.cn/,,
H&M,Bamboo Fiber、Recycled Polyester,中,环保、舒适、透气,时尚T恤、运动休闲服,公司官网,https://www.hm.com.cn/,,
Lands' End,AquaBlock、ThermaCheck,高,防水、保暖、耐磨,户外夹克、雨衣,公司官网,https://www.landsend.com/,,
Under Armour,UA Tech、HeatGear,高,快速干燥、轻便、舒适,运动T恤、短裤,公司官网,https://www.underarmour.cn/,,
FILA,AirFlow、Biodegradable Fabrics,中,透气性佳、环保可降解,运动鞋、运动服,官方发布会,https://www.fila.com.cn/,,
特步,水处理再生材料、快干材料,高,环保、轻便、快干,运动服、跑步鞋,公司官网,https://www.xtep.com/,,
哥伦比亚,Omni-Tech、Omni-Heat,高,防水、保暖、透气,户外服、滑雪服,行业展会,https://www.columbia.com.cn/,,
理想科技,SILVADUR、Sustainable Cotton,高,抗菌、持久透气，普通棉织物的升级版,运动衫、休闲裤,科技论坛,https://www.lenghtang.com/,,
迪卡侬,Inntex、Breathable Mesh,中,亲肤、轻便、耐用,运动裤、紧身衣,公司官网,https://www.decathlon.cn/,,
全明星,Air Cushion、Flexible Weave,高,舒适透气、增强支撑、弹性好,篮球鞋、休闲鞋,用户调查,https://www.allstar.com.cn/,,
GAP,Eco-Soft Denim、Lightweight Fleece,中,环保、轻便、舒适,休闲服、外套,公司官网,https://www.gap.com.cn/,,
UA Renegade,High Density Forged,高,高强度、耐磨、极致舒适,战术服、作战鞋,机构测评,https://www.uarenegade.com/,,
Leapfrog,Econyl、Merino Wool,高,再生材料、舒适透气、防臭,运动服、健身装备,环保宣传活动,https://www.leapfrog.com/,,
时尚之旅,Seamless Fabric、Biomimicry Technology,高,超柔、贴合度高、耐磨,运动文胸、紧身衣,时尚周展会,https://www.fashionjourney.com.cn/,,
移动科技,MicroLumens、Nano-Fabric,高,超轻、慢回弹、耐水性,运动风衣、外套,科技展会,https://www.mobiltech.com/,,
康舞,Sustainable Active Fabric、Breathable Mesh,中,透气性好、环保材料、时尚,健身服、瑜伽服,公司官网,https://www.kangdance.com/,,
运动先锋,Fiberglass Composite、Water-Resistant Fabric,高,透气、耐水、轻便,运动夹克、登山装备,公司官网,https://www.sportsfrontier.com.cn/,,
墨尔本设计,Graphene Blend、Smart Fabric,高,温度调节、抗菌、耐磨,外套、运动衫,设计博览会,https://www.melbournedesign.com/,,
新百伦,Fresh Foam、Hypoknit,高,舒适贴合、支撑力强、透气,跑步鞋、训练鞋,公司官网,https://www.newbalance.cn/,,
亚瑟士,GEL、FlyteFoam,高,轻量减震、持久舒适,跑步鞋、健身鞋,用户评测,https://www.asics.com.cn/,,
Converse,Canvas、Eco Canvas,中,经典设计、环保材料,休闲鞋、运动鞋,公司官网,https://www.converse.com/,,
H&M,Tencel、Organic Cotton,中,自然触感、可持续环保,休闲服、运动装,公司官网,https://www.hm.com/,,
威尔胜,Coolmax、Spandex,高,高透气性、快干舒适,羽毛球服、运动短裤,行业展览会,https://www Wilson.com/,,
李宁,NEO X、AEGIS,高,轻便、抗菌、透气,训练服、运动鞋,用户评论,https://www.lining.com/,,
Salomon,SensiFit、GORE-TEX,高,防水、贴合性好、舒适,登山鞋、越野跑鞋,公司官网,https://www.salomon.com/,,
Under Armour,UA Tech、Threadborne,高,极致干燥、轻量设计,运动短袖、训练短裤,公司官网,https://www.underarmour.cn/,,
FILA,Nylon、Mesh,中,透气、耐磨、舒适,休闲运动鞋、运动套装,公司官网,https://www.fila.cn/,,
Champion,Powerblend、Fleece,中,柔软、温暖、耐磨,卫衣、运动裤,公司官网,https://www.champion.com/,,
Arc'teryx,N70p 3L GORE-TEX、Fortius,高,防风、防水、透气,户外夹克、冲锋衣,公司官网,https://www.arcteryx.com/,,
Goldwin,V.STAR、Schoeller,高,抗风、耐磨、透气,滑雪服、户外服,行业杂志,https://www.goldwin.co.jp/,,
NB,Kinetic Fit、Fresh Foam,高,支撑力好、舒适性强,跑步鞋、训练鞋,用户反馈,https://www.newbalance.com/,,
西部兄弟,Cordura、PUL,高,防水、耐磨、轻量,登山包、户外衣物,产品发布,http://www.dickies.com.cn/,,
アディダス,Climacool、UltraBOOST,高,透气性好、舒适可持续,跑步鞋、训练服,用户社区,https://www.adidas.co.jp/,,
Superdry,Sustainable Cotton、Vegan Leather,中,时尚、环保、耐用,外套、卫衣,时尚杂志,https://www.superdry.com/,,
快步,X-SILK、Quick-Dry,中,亲肤、速干、舒适,运动鞋、运动服,线上购物平台,https://www.kangool.com/,,
Lands' End,Thermal Brushed、Fleece,中,保暖、舒适、耐用,冬季服装、居家服,用户体验,https://www.landsend.com/,,
新百伦,Fresh Foam、Hypoknit,高,抗菌、舒适透气、支撑性佳,跑鞋、健身鞋,公司官网,https://www.newbalance.com.cn/,,
H&M,Tencel、Recycled Polyester,中,柔软舒适、环保、透气性强,休闲衬衫、连衣裙,公司官网,https://www.hm.com.cn/,,
李宁,火焰织物、冰丝,高,抗紫外线、速干、透气,运动短袖、运动裤,科技新品发布会,https://www.lining.com/,,
UNDER ARMOUR,UA Microthread、HeatGear,高,无缝设计、轻量透气、吸湿排汗,运动背心、长裤,公司官网,https://www.underarmour.cn/,,
安踏,抗撕裂面料、EVA,中,耐磨、轻便、舒适,户外跑鞋、登山鞋,用户体验调查,https://www.anta.com/,,
Lululemon,Nulu、Luon,高,极致舒适、紧身、适合瑜伽,瑜伽裤、运动顶,时尚展会,https://www.lululemon.com/,,
PEAK,DynamicFit、UltraLight,高,弹性好、舒适合脚、轻量化,篮球鞋、跑步鞋,公司官网,http://www.peak.com.cn/,,
Asics,GEL、FlyteFoam,高,减震、轻便、适合长跑,跑鞋、健身鞋,运动员评测,https://www.asics.com.cn/,,
斐乐,Coolmax、Ventex,中,排汗快、轻盈、舒适,运动外套、跑步裤,行业资讯社,https://www.fila.com.cn/,,
Reebok,Cotton Blend、Speedwick,中,柔软、速干、透气性好,运动背心、跑步短裤,公司官网,https://www.reebok.com.cn/,,
新百伦,ReGround、Cushioning,高,回弹性强、舒适、适合徒步,旅行鞋、健步鞋,户外活动展,https://www.newbalance.com.cn/,,
PUMA,Netfit、Ignite Foam,高,适应性强、舒适支撑、持久耐磨,足球鞋、训练鞋,运动科技博览会,https://www.puma.com,,
GAP,Stretch Denim、100% Cotton,中,舒适、耐磨、适合休闲装,下装、衬衣,公司官网,https://www.gap.com.cn/,,
MOXY,Bio-Fabric、Recycled Material,高,可生物降解、环保、舒适,运动服、外套,可持续发展论坛,http://www.moxy.com/,,
华为,Smart Textile、Graphene,高,智能感知、调节温度、长时间穿着舒适,智能运动服、科技外套,科技新品发布会,https://consumer.huawei.com/cn/,,
ZARA,EcoVero、Organic Cotton,中,环保、舒适、适合日常穿着,休闲服、长裙,公司官网,https://www.zara.com/,,
cLoud,AirWeave、Polyblend,中,轻量、适合夏季、色彩多样,运动T恤、短裤,消费者调研,http://www.cloud.com/,,
新百伦,Fresh Foam、Air Mesh,高,透气、减震、舒适性好,跑鞋、运动服,公司官网,https://www.newbalance.com/,,
安踏,超级轻量抗撕布,高,耐磨、舒适、功能性强,训练服、健身鞋,科技新品发布会,https://www.anta.com/,,
H&M,再生聚酯纤维,中,环保、柔软、适合日常穿着,休闲服、运动裤,公司官网,https://www.hm.com/,,
PUMA,PWRFRAME,高,增加支撑、轻便、灵活,训练鞋、户外鞋,用户体验调查,https://www.puma.com/,,
奇迹,SmartSkin Technology,高,智能调节体温、防风防水,运动外套、冲锋衣,行业展览会,https://www.miracle.com/,,
李宁,CoolDry,中,迅速排汗、轻量、透气,篮球服、运动背心,消费者反馈,https://www.lining.com/,,
迪卡侬,Ultra-Resistant Fabric,中,耐磨、舒适性好、适合户外活动,登山服、运动裤,公司官网,https://www.decathlon.com/,,
Under Armour,UA Tech™,高,快速干燥、轻便、舒适,运动短袖、篮球鞋,社会媒体营销,https://www.underarmour.com/,,
哥伦比亚,Omni-Tech™,高,防水透气、耐用,滑雪服、户外夹克,公司官网,https://www.columbia.com/,,
汤米·希尔费格,Eco-Conscious Blend,中,环保、舒适、素雅设计,休闲服、时尚衬衫,市场调查报告,https://www.tommy.com/,,
Lululemon,Nulu,高,极致柔软、适合高强度运动,瑜伽裤、运动背心,用户评价,https://www.lululemon.com/,,
FILA,PowerMesh,高,轻量、透气、舒适包裹感,跑步鞋、运动服,环球时尚展,https://www.fila.com/,,
ASICS,FlyteFoam,高,轻量、舒适、反弹性好,跑步鞋、运动服,公司官网,https://www.asics.com/,,
Reebok,Cotton Blend,中,透气、舒适、经典设计,休闲鞋、跑步服,大众市场调研,https://www.reebok.com/,,
瑜伽每一天,Bio-Fabric,高,可生物降解、环保、舒适,瑜伽服、运动凉鞋,环保时尚论坛,https://www.yogaday.com/,,
Champion,Reversible Fleece,中,柔软、保暖、时尚,运动外套、休闲服,公司发布会,https://www.champion.com/,,
Samsonite,Innovative Fabric,高,防水、超轻、耐用,旅行包、运动服,国际展览会,https://www.samsonite.com/,,
New Balance,Fresh Foam、Hypoknit,高,导湿排汗、动态适应、舒适性强,跑鞋、训练服,公司官网,https://www.newbalance.cn/,,
Lululemon,Silverscent、Nulux,高,抗菌、速干、极轻,瑜伽裤、运动内衣,用户反馈,https://www.lululemon.com/,,
Nike,Flyknit、Therma-FIT,高,透气、抗寒、合身,冬季外套、训练鞋,市场调研,https://www.nike.com.cn/,,
PUMA,NXT Flex,高,抗撕裂、贴合性好、适合运动,运动裤、健身服,行业报告,https://www.puma.com.cn/,,
Under Armour,UA Tech、Threadborne,中,舒适、轻盈、便于运动,训练短裤、T恤,公司新闻发布会,https://www.underarmour.com.cn/,,
Columbia,Omni-Wick、PFG,高,防水、透湿、舒适,户外夹克、钓鱼服,在线评测,https://www.columbia.com.cn/,,
H&M,Conscious Collection、Lenzing EcoVero,高,可持续、透气、柔软,时尚女装、休闲装,社会责任报告,https://www.hm.com.cn/,,
The North Face,Futurelight、FlashDry,高,防风防水、轻盈、快干,徒步外套、登山装备,户外展会,https://www.thenorthface.com.cn/,,
Reebok,Cotton + Recycled Polyester Blend,中,柔软、舒适、适合日常穿着,休闲鞋、运动T恤,用户评论,https://www.reebok.cn/,,
Mizuno,AeroHug、DryLite,高,透气、快干、增强运动表现,跑步鞋、运动外套,公司更新,https://www.mizuno.com.cn/,,
Salomon,SensiFit、ActiveSkin,高,轻盈、贴合、透气性好,越野跑鞋、运动背心,产品发布会,https://www.salomon.com.cn/,,
ASICS,GEL、FlyteFoam,高,减震、舒适、耐用,跑鞋、运动服,品牌公告,https://www.asics.com.cn/,,
On,CloudTec、Helion,高,独特弹性、超轻、舒适性高,跑步鞋、休闲鞋,跑步杂志,https://www.on-running.cn/,,
Fjällräven,G-1000、Eco-Shell,高,耐用、环保、防水,野营外套、背包,环保组织推介,https://www.fjallraven.com.cn/,,
Athleta,Eco-Polyester、Recycled Nylon,高,环保、舒适、适合运动,瑜伽服、运动短裤,品牌宣传,https://athleta.gap.cn/,,
