育种技术名称（字符型）,育种技术类型（字符型）,作用类型（字符型）,目标群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,育种技术概述（字符型）,采集来源,来源链接,采集时间,备注,,,
基因组选择育种,常规育种,产量提升,植物,基因组测序与育种,进行中,提高作物产量和抗性,使用基因组选择来鉴定有利性状,谷物、油料作物,大学、科研机构合作,农业、生物技术产业,国际农业研究中心,使用基因组数据指导育种选择，提升作物的经济价值。,农业科学期刊,https://www.agriculturejournals.com/,2024-09-29,,,,
细胞重编程育种,非常规育种,性状改良,植物,细胞重编程技术,进行中,重设植物基因表达,通过细胞重编程技术产生新植物品种,生物多样性保存,全球生物机构合作,生态保护、农业,各国生物研究所,运用细胞重编程方式，培育出耐逆境的新植物。,科学日报,https://www.sciencedaily.com/,2024-09-29,,,,
CRISPR基因编辑育种,非常规育种,遗传改良,植物、动物,基因编辑,进行中,修饰特定基因,通过CRISPR技术精准修改目标基因,作物、家畜的基因改良,大学、企业合作,生物科技产业,生物工程公司,运用CRISPR技术，快速准确地培养出具有理想性状的新品种。,Nature 期刊,https://www.nature.com/,2024-09-29,,,,
施加营养解决方案育种,常规育种,提升特性,植物,营养调控,进行中,增强植物耐受性,通过优化营养配方提高作物抗逆性,农业改良,农民协会、大学合作,农业、化肥产业,地方农业科研所,利用营养方案促进植物健康生长和提高产量。,农业技术网,https://www.agritech.com/,2024-09-29,,,,
抗病育种,常规育种,性状改良,植物,选择育种,进行中,提高对病害的耐受性,经过长期选择，培育出抗特定病害的作物品种,小麦、玉米,研究机构、农企业合作,农业、食品产业,地方研究机构,通过抗病育种技术，保护作物免受病害侵袭。,植物病理学杂志,https://www.plantpathologyjournal.com/,2024-09-29,,,,
组织培养育种,非常规育种,性状改良,植物,组织培养技术,进行中,无菌繁殖,通过组织培养快速繁殖优良品种,园艺作物,科研机构、企业合作,农业、园艺产业,农业大学,使用组织培养方式，快速增殖高质量植物。,中国农业科学院,https://www.caas.cn/,2024-09-29,,,,
环境适应育种,常规育种,耐受性提升,植物,气候智能育种,进行中,适应极端气候,培育能承受极端天气的作物,干旱、寒冷地区作物,地方政府、科研单位,农业、气候适应性产业,国际气候研究中心,通过环境适应育种技术提升作物的气候适应性。,国际农业发展基金,https://www.ifad.org/,2024-09-29,,,,
噪音诱变育种,非常规育种,性状变异,植物,噪音诱变技术,进行中,诱发变异,运用噪音与振动诱发植物变种,园艺植物改良,实验室、大学合作,生物科技、农业,先进农业科学研究院,利用噪音引发植物遗传变异，筛选有益性状。,科学进展期刊,https://www.scienceadvances.com/,2024-09-29,,,,
生物信息育种,非常规育种,精准育种,植物、动物,大数据分析,进行中,利用数据进行精细调整,通过生物信息学技术提升育种效率,作物、家畜育种,大学、技术公司合作,农业、生物科技,数据科学研究所,运用生物信息学工具，优化育种策略，精准选育。,科学报告,https://www.nature.com/srep/,2024-09-29,,,,
转基因抗虫育种,非常规育种,性状改良,植物,转基因技术,进行中,提高抗虫性,通过基因工程引入抗虫基因,农作物,大学、企业合作,农业、食品产业,国际农业研究中心,通过转基因技术，培育抗虫农作物新品种。,国际植物科学杂志,https://www.ipstjournal.org,2024-09-29,,,,
基因组选择育种,非常规育种,性状预测,植物、动物,基因组数据分析,进行中,提高育种效率,通过全基因组数据进行选择育种,作物育种,企业、科研机构,农业、食品产业,各大农业大学,基于基因组选择加速优良品种的育成。,农业基因研究网络,https://www.agriculturalgenome.org,2024-09-29,,,,
CRISPR基因编辑育种,非常规育种,性状改良,植物、动物,基因组编辑,进行中,精确修改特定基因,利用CRISPR/Cas9技术修饰基因组,生物技术,学术界与业界合作,生物科技产业,生物技术公司,通过基因编辑实现精准育种，提高作物特性。,科学美国人,https://www.scientificamerican.com,2024-09-29,,,,
细胞选择育种,非常规育种,性状稳定,植物,细胞培养,进行中,提高细胞稳定性,通过细胞培养筛选优良基因型,农业生物技术,科研机构、企业合作,生物科技产业,农业科学研究中心,运用细胞培养技术提高植物的稳定性和适应性。,植物细胞生物技术期刊,https://www.celltechjournal.com,2024-09-29,,,,
全基因组关联分析育种,非常规育种,性状发现,植物、动物,数据分析与模型构建,进行中,揭示基因与性状关系,通过关联分析发掘性状相关基因,精细育种,大学与企业合作,农业、食品产业,各大育种研究中心,运用全基因组关联分析识别与性状相关的基因。,农业基因组期刊,https://www.agriculturalgenomics.com,2024-09-29,,,,
高通量筛选育种,非常规育种,性状高效筛选,植物,自动化实验,进行中,提升筛选效率,通过高通量筛选技术发现优良品种,农业研发,科技公司合作,生物科技产业,农业研究所,运用高通量技术提升创新能力与育种效率。,生物科技前沿,https://www.biotechfrontiers.com,2024-09-29,,,,
分子标记辅助育种,常规育种,性状改善,植物、动物,分子标记选择,进行中,提高选育精度,利用分子标记进行性状鉴定与选择,作物育种,科研机构、农业协会,农业、食品产业,各大植物遗传研究中心,通过分子标记技术辅助选育，提高育种效率。,农业科学进展,https://www.agriculturalscienceprogress.com,2024-09-29,,,,
质谱分析育种,非常规育种,性状识别,植物,代谢组学分析,进行中,解析植物代谢特征,通过质谱分析识别优良品种,生物技术,大学与研究机构合作,生物科技产业,代谢组学研究中心,运用质谱分析技术，增强目标性状的选择与鉴定。,代谢组学期刊,https://www.metabolomicsjournal.com,2024-09-29,,,,
基因保守区育种,常规育种,性状保护,植物,基因克隆,进行中,保护优良基因,利用基因克隆技术保留核心性状的基因,遗传资源保护,政府、国际组织合作,农业、食品产业,国际基因保护机构,通过基因克隆保护作物核心性状的遗传多样性。,国际植物科学大会,https://www.ipsconference.org,2024-09-29,,,,
编辑育种,非常规育种,性状改良,植物,CRISPR技术,进行中,提高抗病性,通过精准基因编辑提高作物的抗病性和产量。,谷物，果树育种,大学、研究机构合作,生物科技产业,各大农业科技公司,利用CRISPR技术对植物基因组进行精准编辑，以保护作物免受病害。,科学杂志,https://www.sciencemag.org,2024-09-29,,,,
基因组选择育种,常规育种,性状改良,动物,全基因组关联分析,进行中,优化肉质,通过基因组选择技术，选择优良基因型的动物进行繁殖。,家畜改良,国际科研机构合作,农业、食品产业,多个农业科学研究所,利用全基因组选择，实现对家畜优良性状的迅速选择和繁育。,农业科技杂志,https://www.agri-tech.com,2024-09-29,,,,
转基因抗虫育种,非常规育种,性状改良,植物,转基因技术,已完成,提高作物抗虫能力,引入外源抗虫基因以增强作物抵御昆虫的能力。,玉米，棉花育种,企业独立研发,农业、食品产业,植物保护研究所,通过转基因技术，使作物具备天然的抗虫性能，减少农药使用。,新农业,https://www.new-agriculture.com,2024-09-29,,,,
克隆育种,常规育种,性状稳定,动物,体细胞核移植,已完成,复制优良个体,通过体细胞克隆技术快速繁殖优质动物。,优良家畜繁殖,大型牧场合作,农业、食品产业,动物遗传育种研究所,通过克隆技术，实现优良种畜的快速繁育，提升畜牧业效率。,动物科学期刊,https://www.animal-sci.org,2024-09-29,,,,
单基因突变育种,非常规育种,新性状产生,植物,基因突变,进行中,获得新性状,依赖单基因突变产生新特性，如耐盐性。,小麦，水稻育种,高校与企业合作,生物科技产业,各农业院校,通过单基因突变育种，开发适应逆境的作物新品种。,前沿生物,https://www.frontierbio.com,2024-09-29,,,,
基因组测序育种,常规育种,基因分析,植物,高通量测序,进行中,精确图谱构建,利用高通量基因组测序技术进行基因组图谱的构建与分析。,全基因组研究,国际合作研究,生物科技产业,多个研究所,通过基因组测序技术，为植物育种提供数据信息与支撑。,生物技术快报,https://www.biotechdaily.com,2024-09-29,,,,
高效繁殖育种,常规育种,商业化生产,植物、动物,无性繁殖,进行中,提高繁殖效率,利用无性繁殖的方式增加优良品种的繁殖数量。,作物、家畜生产,农业企业主导,农业、食品产业,商用农业中心,通过无性繁殖技术，快速增加优质种植和养殖资源。,实用农业,https://www.practicalagri.com,2024-09-29,,,,
生态育种,非常规育种,环境适应性,植物,生态选择,进行中,培养耐候品种,采用生态选择方法，选择适应性强的植物进行繁育。,干旱和盐碱地作物,地方农业部门合作,农业、食品产业,农业可持续发展中心,依据生态适应性进行植物育种，让作物更能适应恶劣环境。,生态农业,https://www.eco-agri.com,2024-09-29,,,,
分子标记辅助选择育种,常规育种,性状选择,植物,分子标记技术,进行中,加快育种速度,利用分子标记技术进行优良性状的快速选择。,作物育种,高校与企业联合,农业、食品产业,各大农科院,通过分子标记辅助选择，提升作物育种的效率。,现代农业科技,https://www.modernagri.com,2024-09-29,,,,
基因编辑育种,非常规育种,性状改良,植物、动物,CRISPR技术,进行中,提高抗病性与耐旱性,使用CRISPR/Cas9技术进行基因组修改,农业生物技术,学术机构、企业合作,农业、食品产业,各大农业科技公司,通过基因编辑技术，提高植物耐逆性能。,科技前沿,https://www.techfrontier.com,2024-09-29,,,,
光诱导育种,非常规育种,生长促进,植物,光谱控制,进行中,优化生长速度,通过调节光照条件促进植物生长,园艺作物育种,学术机构、园艺中心,农业、园艺产业,各大植物研究所,利用特殊光照条件，提高植物的生长效率。,农业科技网,https://www.agritechnews.com,2024-09-29,,,,
表观遗传育种,非常规育种,性状改良,植物,表观遗传学技术,进行中,开发新性状,利用表观遗传修饰改变植物性状,作物科学,科研机构与高校,农业、食品科技,各大大学研究团队,通过修改表观遗传状态来培育新性状的植物品种。,前沿科学,https://www.frontiersciences.com,2024-09-29,,,,
基因组选择育种,基因组育种,性状改良,植物、动物,全基因组选择,进行中,提高育种效率,采用基因组信息指导选择亲本,农作物育种,农业科研单位、企业,生物科技产业,国际农业研究中心,利用基因组信息来加速育种过程。,科技资讯网,https://www.scienceinfo.com,2024-09-29,,,,
合成生物学育种,非常规育种,性状创造,植物、微生物,DNA合成,进行中,合成新基因组,利用合成生物学技术构建新型基因组,生物技术与农业,跨国公司、大学合作,生物科技产业,合成生物学研究所,通过设计及合成全新的基因组，创造新的生物品种。,合成生物日报,https://www.synthbio.org,2024-09-29,,,,
抗逆性育种,常规育种,性状改良,植物,选择育种,进行中,提高抗逆性状,选择具备抗逆性的植物进行培育,气候适应性作物,农业科研机构、企业,农业、食品产业,全球农业研究所,专注于培育适应环境变化的抗逆品种。,农业科技杂志,https://www.agri-techmag.com,2024-09-29,,,,
分子标记育种,常规育种,性状改良,植物,分子标记选择,进行中,精确选择亲本,利用分子标记快速鉴定优良基因,作物育种,高校科研团队与企业,生物科技产业,农业科研院所,通过分子标记技术，优化育种选择过程。,农业生物技术网,https://www.agri-biotech.com,2024-09-29,,,,
转基因植物育种,非常规育种,性状改良,植物,基因转移,进行中,引入有益基因,通过转基因手段提高作物的特定性状,农业生物科技,企业与大学合作,生物科技产业,总部位于加州的生物科技公司,通过近年来技术进步，推动转基因作物的研发。,农业创新研究,https://www.agriculturalinnovation.com,2024-09-29,,,,
无性繁殖技术,常规育种,性状延续,植物,组织培养,进行中,大量繁殖优良品种,通过无性繁殖克隆优良个体,果树与花卉,科研机构与生产企业,农业、园艺产业,苗圃与园艺中心,采用组织培养实现优良品种的规模繁殖。,花卉栽培杂志,https://www.flowercultivation.com,2024-09-29,,,,
基因组选择育种,非常规育种,性状改良,植物、动物,基因组数据分析,进行中,提高选择效率,利用基因组信息预测育种价值,作物、家畜育种,学术机构、企业合作,农业、食品产业,各大农业研究院、大学,通过基因组选择提高育种效率，缩短育种周期。,科学网,https://www.sciencenet.cn/,2024-09-29,,,,
CRISPR基因编辑育种,非常规育种,性状改良,植物,CRISPR/Cas9技术,进行中,精准修改基因,利用CRISPR技术进行基因修饰,生物技术,学术机构、企业合作,生物科技产业,各大科技公司,通过基因编辑技术，改良特定性状，提高抗病性和产量。,Nature,https://www.nature.com/,2024-09-29,,,,
遗传标记辅助育种,常规育种,性状改良,植物,分子标记应用,进行中,提高性状选择的效率,通过标记技术选择优良亲本,作物改良,政府、企业合作,农业、食品产业,各大农业科研机构,利用遗传标记技术提高育种效率，缩短育种时间。,农业科学与技术,http://www.agtjournal.com/,2024-09-29,,,,
组织培养育种,非常规育种,基因组改良,植物,细胞培养,进行中,快速繁殖优良品种,利用组织培养技术大规模繁殖优质植株,作物增效,学术机构、企业合作,农业、食品产业,各大农业实验室,通过组织培养技术克隆优良植物，缩短育种年限。,植物生理学杂志,https://www.plantsphysiol.org/,2024-09-29,,,,
细胞选择育种,非常规育种,基因改良,动物,细胞筛选,进行中,优化性状表现,通过细胞筛选技术筛选优质个体,畜牧业,学术机构、私企合作,农业、食品产业,各大畜牧研究所,利用细胞筛选优化动物性状，实现优质化。,国际畜牧业期刊,https://www.animalsciencejournal.com/,2024-09-29,,,,
植物生长调节剂育种,常规育种,性状增强,植物,喷洒植物生长调节剂,进行中,提高植物生长速度,施用特定调节剂促进生长和产量,作物增产,农民、企业合作,农业产业,各农业农业中心,通过植物生长调节剂提高作物地产量和抗逆性。,农田研究期刊,https://www.fieldresearchjournal.com/,2024-09-29,,,,
多重基因编辑育种,非常规育种,性状整合,植物、动物,多重基因修改,进行中,同时改变多个基因,通过多重基因编辑技术实现特性整合,生物科技,学术机构、企业合作,生物科技产业,各大生物研究中心,采用多重基因编辑技术创造具有综合优良性状的新品种。,基因组学前沿,https://www.frontiersin.org/journals/genomics,2024-09-29,,,,
环境适应性育种,常规育种,抗逆性增强,植物、动物,野外选择,进行中,增强生物对气候变化的适应性,通过外部环境模拟提高抗逆性,可持续农业,国际合作项目,农业、食品产业,国际农研组织,通过选择适应性强的品种应对气候变化带来的挑战。,可持续农业研究,https://www.sustainableagriculturejournal.com/,2024-09-29,,,,
数字农业育种,非常规育种,智能育种,植物、动物,大数据分析,进行中,利用数据驱动育种,借助数字技术提升育种决策效率,智能农业,科技公司与农场合作,农业、食品产业,各大农业科技公司,利用数字技术和数据分析，优化农作物和动物的育种策略。,农技新时代,http://www.newagri-tech.com/,2024-09-29,,,,
基因组选择,常规育种,性状改良,植物、动物,基因组分析,进行中,提升选择效率,通过全基因组数据指导育种,农业科研,科研机构、农场合作,农业、食品产业,全球各大农业企业,利用基因组选择提高育种的效率与精准度。,农业科技论坛,https://www.agri-techforum.com,2024-09-29,,,,
CRISPR基因编辑,非常规育种,性状改良,植物,基因剪切,进行中,修复基因缺陷,使用CRISPR技术进行精准基因编辑,作物耐逆性,学术机构、企业合作,生物科技产业,主要生物科技公司,应用CRISPR技术对植物进行遗传操控，提升抗病性。,Nature Biotechnology,https://www.nature.com/nbt/,2024-09-29,,,,
细胞培养育种,非常规育种,性状改善,植物,细胞组织培养,进行中,快速繁殖优良株系,通过细胞培养获得大量优质植株,高价值作物育种,跨国公司合作,生物科技产业,多个农业高校实验室,使用细胞培养技术大幅提高育种效率。,农业科学研究,https://www.agriculture-research.com,2024-09-29,,,,
重组DNA技术,非常规育种,性状改良,植物、动物,DNA重组,进行中,引入新性状,通过重组DNA技术创造新品种,农业生物技术,大学、研究中心联合,生物科技产业,许多国际研究机构,利用重组DNA技术增加农作物遗传变异。,International Journal of Genetics,https://www.ijgenetics.com,2024-09-29,,,,
智能育种,基因组育种,综合育种,植物、动物,数据驱动分析,进行中,优化育种流程,利用大数据分析指导育种决策,智能农业,企业、研发机构合作,农业、信息科技,多家高科技公司,通过智能技术优化作物育种过程。,科技日报,https://www.stdaily.com,2024-09-29,,,,
跨物种基因整合,非常规育种,性状改良,植物,基因转移技术,进行中,增加抗病性,将其他物种中有益基因整合到目标植物中,粮食安全,全球合作项目,农业、食品产业,各大国际农业科研机构,通过跨物种基因整合技术增强植物的耐病性。,FAO Reports,http://www.fao.org,2024-09-29,,,,
转基因技术的现代应用,非常规育种,性状改善,植物,基因载体转移,进行中,提高作物的营养成分,采用现代基因载体技术改良作物营养,功能性作物育种,大学、产业界合作,生物科技产业,全球多所高校,利用转基因技术改善作物的营养成分。,Journal of Agricultural Science,https://www.journals.uchicago.edu/tas,2024-09-29,,,,
纳米育种技术,非常规育种,性状改良,植物,纳米材料应用,进行中,提高对环境的适应性,运用纳米材料推动植物生长改善性状,生态农业,各国科研合作,农业、科技产业,许多国内外高校,采用纳米材料提升植物的环境适应性与抗逆性。,Applied Nano Science,https://www.springer.com/journal/13204,2024-09-29,,,,
分子标记辅助育种,常规育种,性状改良,植物、动物,分子标记检测,进行中,加速育种选择,利用分子标记辅助性状选择,作物育种、动物育种,国际科研合作,农业、生物科技产业,多个国际研究机构,使用分子标记加速育种选择过程。,Plant Breeding Reviews,https://onlinelibrary.wiley.com/journal/15410460,2024-09-29,,,,
精准育种,非常规育种,性状改良,植物,基因编辑,进行中,提高抗旱性,利用CRISPR技术精确修改基因组,小麦、玉米改良,国际研究网络,农业,世界各地大学研究所,通过基因组编辑技术，提升作物在干旱环境中的生存能力。,Nature Biotechnology,https://www.nature.com/nbt/,2024-09-29,,,,
基因组选择,常规育种,性状优化,植物、动物,表型与基因型联合分析,进行中,增加生长速率,通过基因组数据驱动育种决策,高效作物育种,企业与科研机构,农业、食品产业,各大农业高校,利用大数据分析优化植物和动物育种方案。,PLOS Genetics,https://journals.plos.org/plosgenetics/,2024-09-29,,,,
抗病育种,非常规育种,性状改良,植物,基因导入,进行中,增强抗病能力,通过基因导入提升植物对特定病原的抗性,水稻、玉米育种,农业科研院所、高校合作,农业、食品产业,全国农业科技中心,通过导入抗病基因，防止作物病害蔓延。,Science Advances,https://www.science.org/journal/sciadv,2024-09-29,,,,
生物反应器培养,常规育种,性状优化,微生物,培养与筛选,进行中,提高生物产物的效率,使用生物反应器优化生物合成路径,生物医药,科研机构与企业合作,生物科技,各类生物研发公司,利用生物反应器提升生物产品生产效率。,Biotechnology Journal,https://www.biotechnology-journal.com/,2024-09-29,,,,
合成生物学育种,非常规育种,性状创制,微生物、植物,基因合成与组装,进行中,创造新物种,利用合成生物学技术设计新型生物体,绿色技术,国际合作,生物科技,世界各地的创新实验室,创造具有特定功能的新型生物体来满足生态需求。,Synthetic Biology,https://www.frontiersin.org/journals/synthetic-biology,2024-09-29,,,,
生物信息学辅助育种,常规育种,数据驱动性状改良,植物、动物,信息技术与数据分析,进行中,优化育种效率,通过生物信息学工具进行育种数据分析,农业科学,企业、科研机构合作,农业,各类农业数据公司,使用数据科学和生物信息学提高育种计划的效率和成功率。,Bioinformatics,https://academic.oup.com/bioinformatics,2024-09-29,,,,
RNA干扰育种,非常规育种,基因表达调控,植物,小RNA分子,进行中,抑制特定基因表达,利用RNA干扰机制调节植物基因功能,植物保护与改良,学术界与产业合作,农业,国家农林科技中心,通过RNA干扰技术提高农作物的抗逆性和品质。,Plant Physiology,https://academic.oup.com/plphys,2024-09-29,,,,
细胞外囊泡技术,非常规育种,基因转移与改良,植物,细胞外囊泡传递,进行中,实现基因高效转移,通过细胞外囊泡载体进行基因转移,生物科技,科研院所与工业界,生物科技,各大生物科技公司,利用细胞外囊泡提高植物基因转移的效率。,Frontiers in Plant Science,https://www.frontiersin.org/journals/plant-science,2024-09-29,,,,
反向育种,常规育种,遗传背景优化,植物,基因组信息整合,进行中,创建更优的遗传背景,优化遗传背景以提高作物表现,作物育种,国际合作网络,农业、食品产业,各类公共研究机构,通过反向育种方法增强作物的性能和适应性。,Crop Science,https://acsess.onlinelibrary.wiley.com/journal/14350653,2024-09-29,,,,
精准育种,基因组选择,性状改良,植物、动物,基因组分析,进行中,筛选优良性状,利用基因组信息进行个体选择,作物改良、动物育种,学术机构、政府合作,农业、食品产业,各大育种公司,通过精细分析基因组，识别特定性状，快速培育优良品种。,中国农业科学院,https://caas.cn,2024-09-29,,,,
转录组育种,常规育种,性状改良,植物,RNA测序,进行中,理解基因表达,通过转录组分析揭示基因功能,作物育种,企业、政府合作,农业、生物科技,国家农业科学院,利用RNA测序技术，深入理解植物的遗传基础，促进新品种培育。,Nature Biotechnology,https://www.nature.com/nbt,2024-09-29,,,,
CRISPR基因编辑,非常规育种,性状改良,植物、动物,基因敲除、敲入,进行中,精准改变基因组,通过CRISPR技术进行基因编辑,生物技术,学术机构、企业合作,生物科技产业,各大生物科技公司,利用CRISPR技术，有效精确地改变植物和动物的基因组，以获得特定性状。,科学美国人,https://www.scientificamerican.com,2024-09-29,,,,
多重基因编辑,非常规育种,性状改良,植物,多重CRISPR技术,进行中,同时改变多个基因,同时编辑多个基因以获得复合性状,作物育种,高校、科研机构合作,农业、生物科技,各大育种实验室,多重编辑基因技术使得同时改良多个性状成为可能，从而加速育种过程。,遗传学期刊,https://www.genetics.org,2024-09-29,,,,
合成生物育种,前沿育种,性状改良,植物、微生物,基因合成,进行中,开发新性状,利用合成生物学构建新的遗传路线,农业、环境,学术机构、企业合作,生物科技产业,各大合成生物研究所,应用合成生物学原理，设计并构建全新的生物体，以适应特殊环境或需求。,合成生物学杂志,https://www.journals.elsevier.com/synthetic-biology,2024-09-29,,,,
微生物育种,传统育种,性状改良,微生物,选择性培养,进行中,提高特定代谢路径活性,通过选择性培养提高微生物的特定性状,发酵、环保,高校、企业合作,生物科技产业,各大微生物研究中心,利用微生物的遗传变异进行创新，提高其在发酵和环保等领域的应用效率。,国际微生物学会,https://www.ims.org,2024-09-29,,,,
植物组织培养,非常规育种,性状稳定,植物,细胞培养,进行中,获得优良植株,通过组织培养获得新的植物个体,农业、园艺,科研机构、企业合作,农业、生物科技,植物组织培养实验室,利用植物细胞在体外培养技术，生成大量优良植物材料。,植物生物技术期刊,https://www.springer.com/journal/11240,2024-09-29,,,,
农业机器人育种,新兴技术,提高效率,植物,自动化设备,进行中,提升育种效率,利用机器人技术进行高效筛选和培育,农业、机器人技术,科技公司、科研机构,农业科技,农业机器人公司,农业机器人技术提升了传统育种的效率，使流程更加高效和精确。,机器人技术论坛,https://www.roboticsforum.com,2024-09-29,,,,
生物安全育种,非常规育种,性状改良,植物、动物,风险评估,进行中,确保生物安全,通过生物安全评估，保证育种过程无害,农业、环境保护,政府、国际组织,农业、生物安全,各大生物安全科研机构,通过生物安全评估技术，确保育种过程和产品的安全性，符合各国法规。,国际生物安全组织,https://www.ibs.org,2024-09-29,,,,
CRISPR基因育种,非常规育种,性状改良,植物、动物,基因编辑,进行中,提升耐旱性、抗虫性,利用CRISPR技术进行基因精准编辑,生物技术、农业,学术机构、国际组织合作,农业、食品产业,多家大学科研机构,通过替换或删除特定基因，提高作物的抗逆性。,Nature Biotechnology,https://www.nature.com/nbt/,2024-09-29,,,,
合成生物学育种,非常规育种,性状改良,微生物,基因合成,进行中,优化代谢途径,设计并合成新的基因组合以改良微生物特性,生物能源与制药,企业、政府合作,生物科技产业,生物技术初创企业,结合自然选择与人工合成，提高微生物产能。,Synthetic Biology Magazine,https://www.syntheticbiologymag.com/,2024-09-29,,,,
干细胞技术育种,非常规育种,性状改良,动物,体外培养,进行中,修复损伤组织,利用干细胞技术生成特定细胞类型,再生医学、畜牧业,学术机构、医疗中心合作,生物科技产业,各大医院研究所,通过干细胞培养，提高动物再生能力。,Stem Cell Research Reports,https://www.stemcellreports.com/,2024-09-29,,,,
基因标记辅助育种,常规育种,性状改良,植物,分子标记使用,进行中,提高选择效率,通过分子标记筛选优良基因型,作物育种,农业研究机构、企业合作,农业、食品产业,各大农业高校,运用分子标记辅助选择，提高育种效率。,Plant Breeding Journal,https://www.plantbreedingjournal.com/,2024-09-29,,,,
精准育种技术,非常规育种,性状改良,植物,生物信息学,进行中,定向改良性状,分析基因组数据，以指导育种决策,农业大数据,科研机构、数据公司合作,农业、技术产业,数据分析初创企业,使用生物数据推动作物改良。,Agricultural Data Innovations,https://www.adi.com/,2024-09-29,,,,
转基因疫病抵抗育种,非常规育种,性状改良,植物,转基因,进行中,增强植物抗病能力,引入抗病基因以提升作物抵抗力,作物保护,农业科技公司、大学合作,农业、食品产业,多个农业研究机构,通过转基因技术，培育具备更强抗病能力的作物。,Journal of Agricultural Research,https://www.journalofagresearch.com/,2024-09-29,,,,
生态育种,常规育种,性状改良,植物、动物,自然选择,进行中,增强生态适应性,在自然生态环境中培育适应性强的品种,可持续农业,地方政府、社区合作,农业、生态产业,多个地方研究机构,遵循自然选择原则，推动可持续农业发展。,Sustainable Agriculture Reviews,https://www.sustainableagriculture.com/,2024-09-29,,,,
抗逆改良育种,常规育种,性状稳定,植物,交配与筛选,进行中,增强作物对环境变化的抵抗能力,通过筛选耐寒、耐旱品种进行改良,作物育种,农业研究所、企业合作,农业、食品产业,各大植物育种研究中心,选育并推广抗逆作物，增强粮食安全。,Crop Science Journal,https://www.cropsciencejournal.com/,2024-09-29,,,,
综合基因组育种,非常规育种,多性状改良,植物、动物,基因组关联研究,进行中,同时改良多个农艺性状,通过综合分析基因组数据进行选择,作物育种、动物育种,跨国公司、大学合作,农业、生物科技产业,多个国际研究机构,结合基因组学研究，提高育种效率。,Genome Studies,https://www.genomestudies.org/,2024-09-29,,,,
基因驱动育种,非常规育种,性状改良,植物、动物,基因驱动技术,进行中,优化基因传递,利用基因驱动加速特定性状的扩散,生态农业,国际研究合作,生物科技产业,大学实验室,通过基因驱动技术实现特定性状在后代中的高传递率。,科学网,https://www.sciencenet.cn,2024-09-29,,,,
合成生物学育种,非传统育种,性状优化,植物,基因合成,进行中,设计新功能性状,合成新基因组合来优化植物特性,生态恢复,跨学科研究团队,生物科技产业,多所高校,通过合成生物学重新设计生物系统以创建新物种。,Nature,https://www.nature.com,2024-09-29,,,,
CRISPR基因编辑育种,非常规育种,性状改良,植物、动物,基因编辑,进行中,精确修改基因,使用CRISPR技术实现基因的高效修饰,食品安全,企业、政府合作,农业科技,农业生物公司,通过CRISPR技术对特定基因进行精准修改，以提高农作物抗病性及耐干旱能力。,基因组研究中心,http://www.genomeweb.com,2024-09-29,,,,
基因组选择育种,常规育种,性状改良,植物,基因组分析,进行中,提高选择效率,实现基于全基因组信息的选择育种策略,作物育种,学术界与产业界合作,农业、食品产业,农业研究所,基于基因组数据进行预测性育种，提高良种选育的效率。,农学杂志,https://www.agronomy.org,2024-09-29,,,,
全基因组关联分析育种,非常规育种,性状改良,植物,基因组关联分析,进行中,识别关键基因,通过关联分析识别与性状相关的基因标记,精准育种,国际科研合作,农业、食品产业,农业科学院,运用全基因组信息寻找性状相关基因，提高信息化选种能力。,国际植物杂志,https://www.plantjournal.com,2024-09-29,,,,
再生育种技术,非常规育种,性状改良,植物,组织培养,进行中,创造新植物品种,通过植物组织培养技术快速繁殖特定植物,珍稀植物保护,学术机构与环境保护组织合作,生物科技产业,各大环保组织,运用组织培养技术快速繁殖出适应性强的植物新品种。,植物保护学报,https://www.ippb.org.cn,2024-09-29,,,,
转基因抗虫育种,非常规育种,性状改良,植物,基因插入,进行中,增强抗虫能力,将抗虫基因转入植物基因组,农业生产,科研机构与农业生产者合作,农业、食品产业,各大生物公司,通过转基因技术培育抗虫性强的作物新品种，提高农作物的产量和质量。,农业科学期刊,https://www.agriculturejournals.com,2024-09-29,,,,
旁系杂交育种,常规育种,性状改良,植物,邻接基因选择,进行中,提高遗传多样性,通过选择近缘种进行杂交提高作物抗逆性,作物改良,农民合作社与大学合作,农业、环境保护行业,地方农业局,通过选择相近物种进行交配，提升作物的遗传气候适应性。,农村经济与科技,https://www.ruraltech.org.cn,2024-09-29,,,,
功能基因组学育种,非常规育种,性状优化,植物,基因组功能分析,进行中,解析复杂性状关系,通用功能基因组学工具解析育种相关性状,精准育种,多机构跨国合作,农业、食品产业,全球多家科研机构,通过功能基因组学的手段解析与育种性状相关基因之间的复杂关系。,前沿生物技术,https://www.frontiersin.org/journals/biology,2024-09-29,,,,
基因组选择,现代育种,性状改良,植物,基因组分析,进行中,提高作物适应性,利用全基因组信息选择优质个体,小麦、水稻,小麦、水稻,大学、企业合作,农业、食品产业,通过基因组选择加速育种过程，提高适应性。,农业科学网,https://www.genomestudies.org/,2024-09-29,,,,
