品牌,面料,科技含量,特点,主要产品,采集来源,来源链接,采集时间,备注【疑问汇总】
彪马,CELL、ForkLift技术,高,高回弹、舒适适应性强,运动鞋、训练服,公司官网,https://www.puma.com.cn/,,
卡帕,EcoFiber、Swetex,高,再生材料、透气、舒适,运动服、健身裤,公司官网,https://www.kappa.com.cn/,,
李宁,自在弹、Sparse Fit,高,极轻、适应性强、减震,篮球鞋、跑步鞋,公司官网,https://www.lining.com.cn/,,
ASICS,Gel技术、FlyteFoam,高,舒适、支持性好、轻盈,跑步鞋、训练鞋,运动科学研究,https://www.asics.com.cn/,,
彪马,NITRO Foam、PUMA Woven,高,轻量、舒适、回弹性好,跑步鞋、休闲鞋,公司官网,https://www.puma.com.cn/,,
匡威,OrthoLite、Canvas,中,透气、舒适、耐用,运动鞋、休闲鞋,公司官网,https://www.converse.com.cn/,,
李宁,弹性网眼、Quick Dry,高,透气、快速干燥、舒适,篮球服、运动T恤,运动时尚杂志,https://www.sportsfashion.cn/,,
特步,Eco-friendly纤维、Quick Dry,高,环保、吸湿快干、舒适,跑步鞋、健身服,可持续时尚报告,https://www.sustainablefashionreport.cn/,,
Under Armour,UA Storm、Ripstop,高,防水、耐磨、透气,户外夹克、运动裤,体育装备杂志,https://www.sportsgear.cn/,,
Lululemon,Nulu、Nulux,高,软弹、吸汗、快速干燥,瑜伽裤、运动上衣,时尚与健身论坛,https://www.fashionfitnessforum.com/,,
亚瑟士,FlyteFoam、GEL,高,轻便、支撑性好、减震,跑步鞋、运动鞋,健身装备点评网,https://www.fitnessequipmentreview.cn/,,
耐克,Air Max、Flywire,高,舒适、透气、支撑力强,跑步鞋、篮球鞋,运动科技分析报告,https://www.sportsanalytics.cn/,,
安踏,轻量聚酯、舒适泡沫,高,轻便、透气、防滑,足球鞋、休闲鞋,鞋类行业协会,https://www.shoetradeassn.cn/,,
匹克,EVA、Air-Cushion,高,轻盈、回弹性强、缓震,跑步鞋、缓震鞋,公司官网,http://www.peaksport.com/,,
特步,CoolMax、抗菌纤维,高,干爽、抗菌、耐磨,运动内衣、运动衫,公司官网,http://www.xtep.com/,,
Asics,FlyteFoam、Gel,高,极轻、减震、支撑性强,跑步鞋、健身鞋,公司官网,https://www.asics.com.cn/,,
新百伦,NB Fresh Foam、Revlite,高,舒适、轻便、高反弹,跑步鞋、休闲鞋,公司官网,https://www.newbalance.com.cn/,,
李宁,3D立体针织、AT Dry,高,舒适贴合、透气、轻便,运动夹克、跑步T恤,公司官网,https://store.lining.com/,,
安踏,云科技、透气网眼,高,云端缓震、极致透气、舒适,篮球鞋、训练鞋,公司官网,http://anta.cn/,,
亚瑟士,GEL-Nimbus、FlyteFoam,高,长跑支撑、超轻、出色避震性能,长跑鞋、竞速鞋,公司官网,https://www.asics.com.cn/,,
Nike,Nike Air、Therma-FIT,高,温控、能量回馈、超轻,冬季运动服、跑步鞋,公司官网,https://www.nike.com.cn/,,
露露柠檬,Silverscent、Nulux,高,抗菌、超轻、快速干燥,瑜伽服、运动上衣,公司官网,https://www.lululemon.com/,,
Under Armour,UA HOVR、UA Storm,高,全地形功能、防水、减震,跑步鞋、户外鞋,公司官网,https://www.underarmour.cn/,,
Puma,NITEC、NxtGen Mesh,高,超轻透气、优异回弹、抗菌处理,跑步鞋、训练鞋,公司官网,https://www.puma.com.cn/,,
新百伦,Fresh Foam、Hypoknit,高,舒适性好、灵活性强、防臭功能,跑步鞋、休闲鞋,公司官网,https://www.newbalance.cn/,,
FILA,Aerosphere、Coolmax,高,速干透气、减震舒适、时尚设计,运动服、运动鞋,公司官网,https://www.fila.cn/,,
匡威,Canvas、Ortholite,中,经典设计、舒适透气、可循环使用,休闲鞋、帆布鞋,公司官网,https://www.converse.com.cn/,,
Champion,Double Dry、Powerblend,高,吸湿排汗、耐磨持久、多用途,运动服、休闲服,公司官网,https://www.champion.cn/,,
亚瑟士,GelLyte、FlyteFoam,高,轻量、高回弹、舒适运行,跑步鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
Balance,ThermoRegulation、Flexible Mesh,高,恒温调节、透气性极佳、舒适贴合,健身服、运动鞋,行业报告,https://www.balance.cn/,,
滑雪科技,Gore-Tex、Thermo-FIT,高,防水透气、保暖轻便、性能卓越,滑雪服、户外夹克,户外运动 magazine,https://www.outdoorsports.cn/,,
Nike,"Sustainable Cotton, Recycled Polyester",高,环保材料、舒适性好、减碳足迹,运动服、休闲服,最新产品目录,https://www.nike.com.cn/,,
Adidas,Parley for the Oceans、AirCool,高,回收塑料材料、透气舒适、时尚设计,运动鞋、休闲鞋,公司官网,https://www.adidas.cn/,,
新百伦,Fresh Foam、Hypoknit,高,舒适性强、轻量化、透气,跑步鞋、训练鞋,公司官网,https://www.newbalance.cn/,,
PUMA,NITRO、PWRFRAME,高,卓越抓地力、舒适回弹、耐久性,跑步鞋、健身鞋,公司官网,https://www.puma.com.cn/,,
H&M,再生聚酯纤维、Cotton Tencel,中,环保、透气、舒适,运动T恤、裤子,公司官网,https://www.hm.com/cn/,,
林荫道,EcoTech、Lightweight Stretch,高,环保、轻盈舒适、降低摩擦,运动外套、跑步裤,公司官网,https://www.pathoftrees.com.cn/,,
安踏,声学科技面料、透气泡棉,高,声音减震、舒适透气、轻便,篮球鞋、训练鞋,公司官网,http://anta.cn/,,
巨石户外,GORE-TEX、ThermoReg,高,防水、保温、抗风,登山服、户外夹克,公司官网,http://www.giantsport.cn/,,
REI,MoistureWicking、Recycled Fibers,高,快干、环保、舒适透气,徒步鞋、外套,公司官网,https://www.rei.com/,,
QNQ品牌,多元聚合物、DCF,高,超轻、耐磨、强防水,极限运动衣、跑步鞋,公司官网,https://www.qnq.com.cn/,,
北面,FlashDry、HyperAir,高,快干、透气、适应多气候,户外装备、登山鞋,公司官网,https://www.thenorthface.com.cn/,,
Lands' End,多功能防水面料、QuickDry,中,防水、快干、耐磨,休闲裤、风衣,公司官网,https://www.landsend.com.cn/,,
特步,快干科技面料、抗菌处理,高,快速干燥、抗菌防臭、轻便透气,运动短裤、健身服,行业研究报告,http://www.xtep.com/,,
新百伦,Fresh Foam、Ndurance,高,舒适性极佳、耐磨、良好减震,跑步鞋、训练鞋,运动鞋评测网,https://www.newbalance.cn/,,
莉莉索,EcoVero纤维、再生聚酯,高,环保材质、透气性好、轻盈,运动套装、环保瑜伽服,可持续品牌论坛,https://www.lululemon.com/,,
Brooks,DriLayer、BioMoGo DNA,高,出色导湿性、环保材料、舒适性强,跑步鞋、运动服装,跑步爱好者社区,https://www.brooksrunning.com/,,
荣耀,3D织物、CoolMax技术,高,高透气性、舒适度高、设计时尚,运动T恤、运动外套,服装设计杂志,https://www.honor.com/,,
匹克,EVA弹性材料、DRYAX技术,高,减震、耐水性、舒适透气,篮球鞋、训练鞋,市场分析报告,http://www.peaksport.com/,,
安踏,GeoShell、AeroMesh,高,定制透气设计、高回弹性、超级轻盈,专业跑步鞋、运动夹克,新材料科技展,http://www.anta.com/,,
H&M,再生聚酯、TecnoFabric,高,环保、适合多季节穿着、耐磨,运动T恤、便携式雨衣,可持续时尚指南,https://www2.hm.com/,,
李宁,CoolMax、Lightweight Poly,高,轻盈、快干、适合夏季运动,短袖运动衫、跑步短裤,运动装备评测,https://store.lining.com/,,
新百伦,Fresh Foam、Hypoknit,高,轻盈、优良支撑、透气性好,跑步鞋、训练鞋,公司官网,https://www.newbalance.cn/,,
Puma,Puma Cell、Ignite Foam,高,舒适回馈、轻便、高反应能力,跑步鞋、休闲鞋,公司官网,https://www.puma.cn/,,
安踏,雨林胶、超轻耐磨材料,高,防滑、超轻、耐磨,登山鞋、跑步鞋,公司官网,http://anta.cn/,,
李宁,逐水科技、快速干燥材料,高,防水、快速干燥、透气,户外夹克、运动裤,公司官网,https://store.lining.com/,,
亚瑟士,GEL科技、FlyteFoam,高,出色的减震、轻量设计、高反弹性,跑步鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
On昂跑,CloudTec、On Running Foam,高,轻盈、舒适、出色的能量回馈,跑步鞋、运动鞋,公司官网,https://www.on-running.cn/,,
Lululemon,Nulu、Luxtreme,高,超轻、柔软、透气性佳,瑜伽裤、运动文胸,公司官网,https://www.lululemon.com/,,
斐乐,Eco-Cotton、反拒水面料,高,环保舒适、功能性强、耐磨,运动衫、休闲裤,公司官网,https://www.fila.com.cn/,,
阿迪达斯,Futurecraft、Parley Tech,高,环保可持续、轻便、防水,跑步鞋、环保产品,公司官网,https://www.adidas.com.cn/,,
特步,战火科技、舒适透气,高,透气、轻巧、能够适应各种活动,运动鞋、常规运动服装,公司官网,http://www.xtep.com/,,
耐克,Therma-FIT、Nike Air,高,保暖、透气、轻量化,户外运动外套,公司官网,https://www.nike.com.cn/,,
阿迪达斯,AEROREADY、Rain.RDY,高,防雨、透气、快干,防水运动外套,公司官网,https://www.adidas.com.cn/,,
李宁,雪纺德绒、魔术氨纶,高,轻盈、舒适、活性排汗,休闲运动服,公司官网,https://store.lining.com/,,
安踏,远赤外线科技、透气交叉编织,高,保暖、吸湿排汗、灵活性高,冬季运动服,公司官网,http://anta.cn/,,
Under Armour,UA Charged Cotton、Anti-Odor,高,舒适、防臭、排汗,健身T恤,公司官网,https://www.underarmour.cn/,,
露露柠檬,Nulu、Silverescent,高,超柔软、抑菌、活动自如,瑜伽服,公司官网,https://www.lululemon.com/,,
特步,Ultra Light、Quickshield,高,轻便、耐用、风阻小,骑行服、跑步鞋,公司官网,http://www.xtep.com/,,
361度,CoolMax、Tencel,高,生态友好、良好透气性、吸湿快干,跑步长裤,公司官网,http://www.361sport.com/,,
亚瑟士,FlyteFoam、Gel,高,轻量、高弹性、减震性强,长跑鞋,公司官网,https://www.asics.com.cn/,,
On昂跑,CloudTec、Helion Foam,高,创新性材料、高效减震,跑步专业鞋,公司官网,https://www.on-running.cn/,,
新百伦,Fresh Foam、Hypoknit,高,舒适、缓震、适应性强,跑步鞋、健身鞋,公司官网,https://www.newbalance.com/,,
匡威,All Star Canvas、Nylon Mesh,中,经典、透气、耐磨性好,休闲鞋、球鞋,公司官网,https://www.converse.com/,,
安踏,WATERPROOF TOE Technology、Ultra Light Stretch,高,防水、轻便、高性能,户外鞋、徒步鞋,公司官网,http://anta.cn/,,
希尔顿,Weather Shield、ThermoLite,高,抗风、防水、保暖性好,户外夹克、滑雪服,公司官网,https://www.hilton.com/,,
Puma,CELL Technology、Sustainable Cotton,高,舒适、环保、动态支撑,运动鞋、休闲服,公司官网,https://www.puma.com/,,
苹果,Euphonic Fabric、Smart Fit,高,适合穿戴设备、舒适、智能感应,运动手表、智能服装,科技新闻报道,https://www.apple.com/,,
FILA,Thermofleece、Quick Dry,中,温暖、干爽、透气,滑雪服、健身服,公司官网,https://www.fila.com/,,
Lululemon,Nulux、Everlux,高,轻盈、透气、优越的运动表现,高强度锻炼服、瑜伽服,公司官网,https://www.lululemon.com/,,
再生运动,Recycled Polyester、Lyocell,高,环保、透气、舒适,运动健身服、休闲服,环境新闻网站,https://www.sustainablefashion.com/,,
运动奇迹,Compressive Knit、Mesh,高,支撑性强、透气性好、动态调节,抗压运动服、跑步短裤,公司官网,https://www.sportmiracle.com/,,
新百伦,Fresh Foam、FuelCell,高,轻盈舒适、出色的缓震性能、能量返还,跑步鞋、健身鞋,公司官网,https://www.newbalance.com.cn/,,
锐步,EmojiKnit、PlayDry,高,湿气控制、极佳的透气性、多样化设计,运动T恤、健身裤,公司官网,https://www.reebok.com.cn/,,
Puma,NITRO、DryCELL,高,轻盈、出色的排汗性能、舒适贴合,跑步鞋、运动服,公司官网,https://www.puma.com.cn/,,
Ecco,PHORENE、Ecco Comfort Fibre System,高,高透气性、舒适感极好、持久性强,休闲鞋、户外鞋,公司官网,https://www.ecco.com.cn/,,
安踏,反向凝胶科技、云端浮感,高,新一代减震材料、轻盈灵活、适应性强,跑步鞋、慢跑鞋,公司官网,http://anta.cn/,,
Lululemon,Luxtreme、Nulu,高,柔软、轻盈、极佳的包裹感和透气性,瑜伽服、运动裤,公司官网,https://www.lululemon.com/,,
H&M,REPREVE再生聚酯纤维,高,可再生材料、环保、舒适耐穿,运动外套、休闲服,公司官网,http://www.hm.com/,,
Unique,涤纶复合导湿材料,中,快速干燥、适合户外活动、耐磨损,户外活动服、运动背包,业内展会,http://www.unique.com/,,
North Face,GORE-TEX、FlashDry,高,防水透气、快速干燥、功能多元,登山服、户外背包,公司官网,http://www.thenorthface.com.cn/,,
Salomon,AdvancedSkin Dry、Sensifit,高,款式新颖、透气性强、能够快速排汗,越野鞋、跑步服,公司官网,https://www.salomon.com.cn/,,
Puma,NXT-WIND、GripTec,高,防风、抓地力强、高透气性,越野跑鞋、户外鞋,公司官网,https://www.puma.com.cn/,,
New Balance,Fresh Foam、Hypoknit,高,缓震、灵活舒适、优良适应性,跑步鞋、步行鞋,公司官网,https://www.newbalance.com.cn/,,
Fila,CoolMax、科技泡沫,高,速干、舒适、增强支撑,运动T恤、涤纶运动裤,公司官网,https://www.fila.com.cn/,,
ASICS,GEL、FlyteFoam,高,优良回弹性、减震、轻便,跑步鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
The North Face,GORE-TEX、ThermoBall,高,防水、保暖、轻量化,户外夹克、滑雪服,公司官网,https://www.thenorthface.com.cn/,,
Columbia,Omni-Tech、Omni-Heat,高,防水透气、温暖、适合极端天气,户外鞋、温暖夹克,公司官网,https://www.columbia.com.cn/,,
Lululemon,Swift Ultra、Nulux,高,快速排汗、轻盈、适用于高强度训练,跑步短裤、运动背心,公司官网,https://www.lululemon.com/,,
Mizuno,Wave Technologie、Polyester Blend,高,卓越舒适性、支撑性能、耐用,跑步鞋、训练鞋,公司官网,https://www.mizuno.com.cn/,,
Salomon,Sensifit、Contagrip,高,稳定、牵引力强、舒适,越野鞋、户外背包,公司官网,https://www.salomon.com.cn/,,
Hoka One One,Meta-Rocker、EVA,高,极致缓冲、轻质、舒适,跑步鞋、徒步鞋,公司官网,https://www.hokaoneone.cn/,,
新百伦,Fresh Foam、Hypoknit,高,舒适支撑、轻量透气，灵活自如,跑步鞋、训练鞋,公司官网,https://www.newbalance.cn/,,
北面,Futurelight、FlashDry,高,超透气防水、快速干燥，适合极限天气,登山外套、冲锋衣,公司官网,https://www.thenorthface.com.cn/,,
彪马,PUMACare、dryCELL,高,环保材料、快速干燥，减轻环境压力,运动T恤、休闲鞋,公司官网,https://www.puma.com.cn/,,
Lululemon,Warp Knit、Nulu,高,四向拉伸、柔软舒适，适合瑜伽,瑜伽裤、运动内衣,公司官网,https://www.lululemon.com/,,
FILA,Air 3D、S-Ride,高,透气舒适、减震保护，提升运动表现,跑步鞋、训练鞋,公司官网,https://www.fila.cn/,,
H&M,再生聚酯纤维、Lyocell,中,可持续发展、适合日常穿着，抗皱,休闲装、运动服,公司官网,https://www2.hm.com/,,
阿迪达斯,AEROREADY、Parley海洋塑料,高,水回收技术、减少海洋污染，贴合运动需求,跑步鞋、运动T恤,公司官网,https://www.adidas.com.cn/,,
耐克,Sustainable Cotton、Flyleather,高,环保材料、轻便舒适，助力运动,运动服、休闲鞋,公司官网,https://www.nike.com.cn/,,
亚瑟士,FlyteFoam、GEL,高,轻量回弹、减震保护，适合长距离跑步,跑步鞋,公司官网,https://www.asics.com.cn/,,
彪马,CELL科技、PowerCELL,高,支撑性优越、体温调节、透气性强,训练鞋、运动内衣,公司官网,https://www.puma.com.cn/,,
新百伦,Fresh Foam、Hypoknit,高,舒适回弹、轻量化、灵活适应,跑鞋、步行鞋、健身鞋,公司官网,https://www.newbalance.com.cn/,,
特步,Promesh、Dryfit,高,高度透气、吸湿排汗、舒适贴合,运动短裤、跑步衫,公司官网,http://www.xtep.com/,,
Nike,Nike A.I.R.,高,智能透气、动态舒适、减震,智能健身鞋、慢跑鞋,行业报告,https://www.nike.com.cn/,,
阿迪达斯,RAPLITE、PARLEY海洋塑料,高,环保材质、轻便、可持续性强,环保跑鞋、户外装备,环保时尚杂志,https://www.adidas.com.cn/,,
李宁,智能温控面料、速干科技,高,自适应调温、速干、抗紫外线,运动外套、长裤,消费者反馈,https://store.lining.com/,,
Under Armour,UA Storm、ColdGear,高,防水透气、保暖性好、适合湿冷天气,冬季运动服、户外夹克,产品评测网站,https://www.underarmour.cn/,,
亚瑟士,FlyteFoam、GEL科技,高,极致舒适、回弹性强、轻便耐磨,马拉松鞋、越野鞋,运动科学研究晨刊,https://www.asics.com.cn/,,
On昂跑,Zero-Gravity Foam、CloudTec,高,超轻设计、冲击吸收、回弹,专业跑鞋、健身鞋,运动装备展会,https://www.on-running.cn/,,
露露柠檬,Nulu、Nulux,高,超柔软、舒适、适合高强度活动,瑜伽服、运动夹克,产业分析报告,https://www.lululemon.com/,,
新百伦,Fresh Foam、Hypoknit,高,轻盈舒适、抗冲击、透气性强,跑步鞋、训练鞋,公司官网,https://www.newbalance.com.cn/,,
Puma,NITRO FOAM、Rider Foam,高,极致轻盈、出色能量回馈、减震效果显著,跑步鞋、休闲鞋,公司官网,https://www.puma.com.cn/,,
Lululemon,Nulux、Swift,高,柔软舒适、快干、适合高强度锻炼,女式运动裤、运动上衣,公司官网,https://www.lululemon.com/,,
H&M,Recycled polyester、Tencel,高,环保、透气、适合日常穿搭,运动休闲服、外套,公司官网,https://www2.hm.com/,,
Asics,GEL Technology、FlyteFoam,高,优质减震、轻量化、灵活性好,跑步鞋、运动鞋,公司官网,https://www.asics.com.cn/,,
北面,Futurelight、防水透气面料,高,防风防水、透气性能卓越、适合户外活动,外套、冲锋衣,公司官网,https://www.thenorthface.com.cn/,,
李宁,重力科技、薄膜复合材料,高,高科技面料、良好弹性、轻量化,跑步鞋、训练服,公司官网,https://store.lining.com/,,
安踏,车长科技、抗菌面料,高,适应高温、抗菌防臭、透气性好,运动服、休闲裤,公司官网,http://anta.cn/,,
UA,UA RUSH、UA STORM,高,再生能量、铠装防水，适合严酷天气,运动外套、跑步鞋,公司官网,https://www.underarmour.cn/,,
哥伦比亚,Omni-Tech、防水透气布,高,防水、透气、适合各种户外活动,登山服、雨衣,公司官网,https://www.columbia.com.cn/,,
新百伦,Fresh Foam、Hypoknit,高,舒适、轻量、高弹性,跑步鞋、健身鞋,公司官网,https://www.newbalance.com/,,
PUMA,PUMA CloudTec、LITE-TECH,高,极致舒适、耐磨、透气,跑步鞋、训练鞋,公司官网,https://www.puma.com/,,
Gymshark,Flex Knit、Nylon-Spandex Blend,高,舒适性好、贴合身体、透气,健身服、运动紧身裤,公司官网,https://www.gymshark.com/,,
鸿星尔克,水晶网、超轻防水布,高,轻便、防水、透气性好,运动鞋、休闲鞋,公司官网,http://www.hongxingerk.com/,,
FILA,CoolMax、QuickDry,高,吸湿快干、舒适伙伴,运动服、休闲鞋,公司官网,https://www.fila.com.cn/,,
特步,GP-TECH膜,高,防水透气、耐磨,户外运动鞋,户外运动刊物,http://www.xtep.com/,,
Lululemon,Nulu、Micro Modal,高,超轻、柔软、适合高强度运动,瑜伽服、运动短裤,国际运动品牌报告,https://www.lululemon.com/,,
H&M,有机棉、再生聚酯,中,环保、舒适、适合日常穿着,日常运动服、休闲装,可持续发展报告,https://www.hm.com/,,
安德玛,UA RUSH、Recharge,高,高能量回馈、促进血液循环,运动内衣、训练套装,运动科技杂志,https://www.underarmour.cn/,,
耐克,Therma-FIT、Nike AeroFlow,高,保暖、排汗、适合户外训练,训练夹克、冬季运动裤,公司官网,https://www.nike.com.cn/,,
阿迪达斯,RAIN.RDY、GORE-TEX,高,防水、透气、适合极端天气,户外鞋、风衣,公司官网,https://www.adidas.com.cn/,,
李宁,轻盈科技、弹性聚酯,高,轻便、弹性强、耐磨,徒步鞋、野外探险服,公司官网,https://store.lining.com/,,
Under Armour,UA Storm、UA Charged,高,水滴抑制、能量回馈、舒适,训练鞋、运动长裤,公司官网,https://www.underarmour.cn/,,
特步,太阳能纤维、高效能聚酯,高,防紫外线、快干、舒适,夏季运动服、泳衣,公司官网,http://www.xtep.com/,,
361度,360 Flex、Reflective Tech,高,灵活性佳、安全反光、舒适,城市跑步鞋、骑行服,公司官网,http://www.361sport.com/,,
露露柠檬,Picea中空纤维,高,透气性强、回弹性好、轻盈,高强度训练裤、运动背心,公司官网,https://www.lululemon.com/,,
亚瑟士,Durable Water Repellent、FlyteFoam,高,耐雨水、轻量、舒适,越野跑鞋、徒步靴,公司官网,https://www.asics.com.cn/,,
On昂跑,Ultracushion、CloudTec,高,极致缓冲、高稳定性、舒适,慢跑鞋、训练短裤,公司官网,https://www.on-running.cn/,,
New Balance,Fresh Foam、NB Ice,高,凉爽透气、舒适 cushioning、耐久,越野鞋、运动外套,公司官网,https://www.newbalance.com.cn/,,
李宁,GoFly Elastic、D-DRY,高,轻便、透气性强、出色的弹性,网球鞋、跑步鞋,公司官网,https://www.lining.com/,,
耐克,Nike Air、Shox,高,舒适、减震效果良好、灵活自如,训练鞋、休闲鞋,行业报告,https://www.prnewswire.com/,,
阿迪达斯,Futurecraft、4D打印材料,高,个性定制、支撑性强、适应性强,定制运动鞋,设计展览,https://www.adidas.com.cn/,,
Under Armour,UA RUSH、Evo Coldgear,高,促进血液循环、保暖效果极佳、适合冬季运动,冬季运动服装,运动科学研究,https://www.underarmour.cn/,,
特步,聚酯纤维、适应性网眼材料,高,透气、轻便、具有适应不同天气的特性,户外活动服装,户外活动指南,http://www.xtep.com/,,
361度,抗菌技术面料,高,抗菌、快干、保护肌肤,运动内衣、袜子,健康科技杂志,http://www.361sport.com/,,
亚瑟士,FlyteFoam、GEL技术,高,优秀的回弹力、减震效果好、耐磨性强,越野跑鞋、训练鞋,运动评测平台,https://www.asics.com.cn/,,
露露柠檬,Warpstreme、Nulu,高,柔软舒适、透气、适合休闲与高强度锻炼,健身服、瑜伽裤,时尚杂志,https://www.lululemon.com/,,
安踏,Boost、超轻聚合物,高,优异的能量回馈、减震性强、设计现代,综合训练鞋、休闲运动鞋,产品评价网站,http://anta.cn/,,
特步,BioAir,高,环保、透气、轻盈,运动鞋、跑步服,行业报道,http://www.xtep.com/,,
安踏,NanoShield,高,防水、超轻、耐磨,户外运动鞋、运动夹克,国际运动用品展,http://anta.cn/,,
李宁,DynamicFlex,高,弹性极佳、透气性好、适合高强度运动,篮球鞋、运动裤,市场调研报告,https://store.lining.com/,,
亚瑟士,GEL-Fluid,高,减震、轻便、透气,跑步鞋、徒步鞋,科技新品发布会,https://www.asics.com.cn/,,
Under Armour,UA RUSH,高,增强血液循环、保持温暖,运动服装、保暖内衣,运动科技杂志,https://www.underarmour.cn/,,
露露柠檬,Nulu,高,极致柔软、如无物感、透气,瑜伽裤、运动上衣,品牌活动,https://www.lululemon.com/,,
Nike,Flywire,高,支撑、轻量、灵活,专业跑鞋、训练鞋,公司官网,https://www.nike.com.cn/,,
阿迪达斯,FutureMesh,高,透气、快速干燥、舒适贴合,运动鞋、运动服,科技展会,https://www.adidas.com.cn/,,
361度,AirMesh,高,出色通风、轻盈、降温效果,运动鞋、跑步短裤,市场反馈,http://www.361sport.com/,,
新百伦,Kinetic Fit、Fresh Foam,高,结构灵活、回弹力强、缓震,跑鞋、健身鞋,公司官网,https://www.newbalance.com.cn/,,
彪马,Dry Cell、Bio-Based塑料,高,优良透气性、可持续性强、轻便,运动T恤、跑步袜,公司官网,https://www.puma.com.cn/,,
禾多,PureFiber、ThermaVent,高,抗菌、保温、透气,户外夹克、运动裤,行业报告,https://www.hidu.com/,,
H&M,Recycled Polyester、TENCEL™,高,环保、透气、柔软,休闲服、运动衫,公司官网,https://www2.hm.com/,,
北面,FlashDry、Futurelight,高,速干、透气、防水,登山服、雨衣,公司官网,https://www.thenorthface.com.cn/,,
Under Armour,UA RUSH、UA HOVR,高,增强能力、运动能量反馈,专业训练服、跑步鞋,公司官网,https://www.underarmour.cn/,,
? li-ning,DRY-Joy、Infinity Air,高,快干、舒适、回弹,篮球鞋、跑步鞋,公司官网,https://li-ning.com/,,
亚瑟士,GEL技术、FlyteFoam,高,减震、轻便、支撑,跑步鞋、高尔夫鞋,行业展会,https://www.asics.com.cn/,,
Columbia,Omni-Tech、Omni-Heat,高,防水、保暖、透气,户外装备、滑雪服,公司官网,https://www.columbia.com.cn/,,
SKECHERS,Air-Cooled、Hyper Burst,高,透气、超轻、舒适,跑鞋、休闲鞋,公司官网,https://www.skechers.cn/,,
彪马,NITRO FOAM、PUMA Cell,高,轻便舒适、充气设计、良好支撑,跑步鞋、训练鞋,公司官网,https://www.puma.com/,,
新百伦,Fresh Foam、Hypoknit,高,舒适缓震、透气性强、极佳包裹感,跑步鞋、休闲鞋,公司官网,https://www.newbalance.cn/,,
H&M,再生聚酯、Organic Cotton,中,环保材料、舒适透气、适合日常穿着,运动服、休闲服,公司官网,https://www.hm.com.cn/,,
李宁,ACM科技、氦气泡面料,高,超轻、具有弹性、舒适透气,跑步鞋、休闲鞋,公司官网,https://store.lining.com/,,
科勒,EcoStretch、Air Mesh,高,环保材料、加厚透气、适合极限运动,攀岩服、运动外套,公司官网,https://www.kohls.com/,,
North Face,GORE-TEX、DryVent,高,防水透气、耐磨损、适合多种环境,户外夹克、登山鞋,公司官网,https://www.thenorthface.cn/,,
安德玛,UA RUSH、Threadborne,高,驱湿排汗、高弹性、增强肌肉表现,运动T恤、紧身衣,公司官网,https://www.underarmour.cn/,,
Lands' End,Canvas、Water Resistant Nylon,中,坚固耐用、多功能、适合户外活动,户外夹克、运动背包,公司官网,https://www.landsend.com/,,
ASICS,GEL技术、FlyteFoam,高,轻便缓震、舒适包裹、高回弹性,跑步鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
ZARA,回收聚酯、天然纤维,中,时尚设计、环保材料、轻便舒适,休闲运动服、运动裙,公司官网,https://www.zara.com/cn/,,
新百伦,Fresh Foam、Hypoknit,高,舒适、超轻、透气,跑步鞋、休闲鞋,公司官网,https://www.newbalance.com.cn/,,
Puma,CloudTec、RunGuide,高,高舒适性、回弹效果突出、支持性强,跑步鞋、训练鞋,公司官网,https://www.puma.com.cn/,,
迪卡侬,Compassion SENSI-TECH、EasyDry,中,亲肤、快速干燥、适合初学者,运动服、健身器材,公司官网,https://www.decathlon.cn/,,
掌上宝,快干布料、透气网眼,中,快速排汗、舒适、轻便,运动短裤、外套,科技博览,https://www.technews.com/,,
耐克,Nike Shield、Racex,高,防水、快干、适合极端天气,户外跑鞋、运动外套,体育新闻,https://www.sportsnews.com/,,
H&M,Organic Cotton、Tencel,高,可持续性、柔软、舒适,运动衫、休闲裤,公司官网,https://www.hm.com/,,
Lululemon,Nulu、Lycraplus,高,极致舒适、良好回弹、形状保持,瑜伽裤、运动上衣,运动咨询,https://www.lululemon.com/,,
斯凯奇,Air Cooled、Ultra Light,高,透气、轻量、支撑效果好,运动鞋、休闲鞋,公司官网,https://www.skechers.cn/,,
Asics,GEL Technology、Spacer Mesh,高,减震、出色透气性、支撑良好,跑步鞋、训练鞋,健康杂志,https://www.asics.com.cn/,,
新百伦,Fresh Foam、Knit Mesh,高,舒适、透气、极佳的缓震,跑步鞋、健身鞋,公司官网,https://www.newbalance.cn/,,
Puma,PUMA Cat Technology、Hemp Blend,高,环境友好、耐用、轻便,运动鞋、休闲服,公司官网,https://www.puma.com.cn/,,
哥伦比亚,Omni-Tech、Omni-Shade,高,防水、抗紫外线、透气,户外服饰、登山鞋,公司官网,https://www.columbiasportswear.com.cn/,,
H&M,Organic Cotton、Recycled Polyester,中,环保、柔软、透气,时尚休闲服、内衣,公司官网,https://www2.hm.com/zh_cn/index.html,,
L.L.Bean,Bendable Nylon、Moisture-Wicking Wool,高,耐磨、排湿、舒适,户外夹克、登山装备,公司官网,https://www.llbean.com/,,
阿迪达斯,R.J. Technology、Primeblue,高,可回收材料、舒适、耐用,运动鞋、运动服,可持续发展报告,https://www.adidas.com.cn/,,
