实现方案种类（字符型）,量子比特处理器多少位（数字型）,量子比特间的纠缠或连接程度（字符型）,单量子比特储存时间（数值型）,单位,保真度（数值型）,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
超导量子比特,768,高（每个逻辑量子位对应1000多个物理量子位）,110,微秒,99.6,%,福布斯,https://www.forbes.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,100,中（每个量子比特连接2-3个）,220,微秒,99.3,%,MIT News,https://news.mit.edu/,2024-10-22,,,,,,,,,,,,
量子点量子比特,512,高（每个量子比特连接多个）,160,微秒,98.9,%,Robotics & Automation News,https://roboticsandautomationnews.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,85,微秒,99,%,Physics Today,https://www.physicstoday.org/,2024-10-22,,,,,,,,,,,,
光学量子比特,256,低（每个量子比特连接1个）,45,微秒,95.5,%,Nature Physics,https://www.nature.com/nphys/,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,高（每个量子比特连接多个）,210,微秒,99.6,%,清华大学量子计算研究中心,http://quantum.tsinghua.edu.cn/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,80,中（每个量子比特连接2-3个）,400,微秒,98.7,%,华为研究所,https://www.huawei.com/cn/technology-insights/innovation/quantum-computing,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,高（每个量子比特连接多个）,110,微秒,99.2,%,麻省理工学院,https://www.mit.edu/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3200,高（每个量子比特连接多个）,65,微秒,97.5,%,量子计算研究院,https://www.quantum-institute.org/,2024-10-22,,,,,,,,,,,,
超导量子比特,720,中（每个量子比特连接2-3个）,90,微秒,98.5,%,焦点科技,https://www.focustech.cn/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,中（每个量子比特连接2个）,350,微秒,99.1,%,新科技导报,http://www.xintech.com/,2024-10-22,,,,,,,,,,,,
光学量子比特,500,低（每个量子比特连接1个）,80,微秒,96.8,%,量子日报,http://www.quantumdaily.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,300,高（每个量子比特连接多个）,95,微秒,99.4,%,国际量子计算中心,https://www.iqcc.org/,2024-10-22,,,,,,,,,,,,
光学量子比特,128,中（每个量子比特连接2个）,60,微秒,92,%,量子技术观察,https://www.quantumtechreview.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,256,高（每个量子比特连接多个）,85,微秒,99.6,%,量子计算研究所,https://www.quantumresearchinstitute.org,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,中（每个量子比特连接2-3个）,120,微秒,98.5,%,现代物理期刊,https://www.modernphysicsjournal.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,250,微秒,98.9,%,Nature期刊,https://www.nature.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,850,高（每个受控量子比特连接多个）,92.5,微秒,99.4,%,清华大学量子研究中心,https://www.tsinghua.edu.cn/quantum,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3500,高（每个量子比特连接多个）,180,微秒,97.7,%,量子技术前沿,https://www.frontierofquantumtechnology.com,2024-10-22,,,,,,,,,,,,
超导量子比特,300,中（每个量子比特连接2-3个）,60,微秒,99.2,%,国际量子协会,https://www.internationalquantumassociation.org,2024-10-22,,,,,,,,,,,,
光量子比特,128,中（每个量子比特连接2-3个）,75,微秒,98.1,%,量子计算技术论坛,https://www.quantumtechforum.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,40,高（每个量子比特连接多个）,280,微秒,99.1,%,IEEE量子计算学会,https://www.ieee.org/,2024-10-22,,,,,,,,,,,,
超导量子比特,999,高（每个逻辑量子位对应1000多个物理量子位）,110,微秒,99.3,%,量子科学技术进展,https://www.quantumtechprogress.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,2048,高（每个量子比特连接多个）,150,微秒,98.3,%,量子计算前沿,https://www.quantumcomputingfrontier.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.9,%,华尔街日报,https://www.wsj.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,中（每个量子比特连接2-3个）,80,微秒,98.5,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
光量子比特,512,高（每个量子比特连接多个）,150,微秒,99.4,%,物理评论快报,https://journals.aps.org/prl,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,高（每个逻辑量子位对应500多个物理量子位）,65,微秒,99.6,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,320,微秒,99.2,%,MIT Technology Review,https://www.technologyreview.com,2024-10-22,,,,,,,,,,,,
超导量子比特,64,中（每个量子比特连接2-3个）,50,微秒,99.3,%,CNET,https://www.cnet.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,4096,高（每个量子比特连接多个）,200,微秒,98.8,%,Physics Today,https://www.physicstoday.org,2024-10-22,,,,,,,,,,,,
超导量子比特,900,高（每个平方可以连接多个）,110,微秒,99.1,%,Scientific American,https://www.scientificamerican.com,2024-10-22,,,,,,,,,,,,
量子点量子比特,32,低（每个量子比特连接1个）,45,微秒,97.5,%,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,
超导量子比特,300,中（每个量子比特连接2-3个）,75,微秒,99,%,TechRadar,https://www.techradar.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,53,中（每个量子比特连接2-3个）,150,微秒,98.5,%,清华大学量子研究所,https://www.tsinghua.edu.cn/quantum,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.9,%,麻省理工学院,https://www.mit.edu/research/quantum,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3500,高（每个量子比特连接多个）,220,微秒,97,%,新加坡国立大学,https://www.nus.edu.sg/quantum,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,中（每个量子比特连接2-3个）,180,微秒,98.6,%,加州大学伯克利分校,https://www.berkeley.edu/research/quantum,2024-10-22,,,,,,,,,,,,
量子点量子比特,256,低（每个量子比特连接1个）,90,微秒,95.5,%,康奈尔大学,https://www.cornell.edu/quantum,2024-10-22,,,,,,,,,,,,
光学量子比特,128,高（每个量子比特连接多个）,85,微秒,99.1,%,斯坦福大学,https://www.stanford.edu/quantum,2024-10-22,,,,,,,,,,,,
超导量子比特,750,高（每个量子比特连接多个）,110,微秒,99.2,%,华为技术有限公司,https://www.huawei.com/quantum,2024-10-22,,,,,,,,,,,,
离子阱量子比特,75,中（每个量子比特连接2-3个）,95,微秒,97.8,%,中国科学院量子通信技术研究中心,https://www.casl.ac.cn,2024-10-22,,,,,,,,,,,,
中性原子量子比特,1500,高（每个量子比特连接多个）,200,微秒,98.3,%,密歇根大学,https://www.umich.edu/quantum,2024-10-22,,,,,,,,,,,,
拓扑量子比特,1024,高（每个量子比特连接多个）,160,微秒,99.7,%,牛津大学,https://www.ox.ac.uk/quantum,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.9,%,中国科学报,https://www.sciencenet.cn,2024-10-22,,,,,,,,,,,,
离子阱量子比特,53,中（每个量子比特连接2-3个）,250,微秒,98.5,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,1024,高（每个量子比特连接多个）,180,微秒,98.7,%,物理学报,https://www.physicspub.com,2024-10-22,,,,,,,,,,,,
超导量子比特,789,低（每个量子比特连接1个）,60,微秒,99.2,%,IEEE Access,https://ieeexplore.ieee.org,2024-10-22,,,,,,,,,,,,
光量子比特,2048,中（每个量子比特连接2-3个）,300,微秒,99,%,MIT Technology Review,https://www.technologyreview.com,2024-10-22,,,,,,,,,,,,
超导量子比特,160,高（每个量子比特连接多个）,85,微秒,99.3,%,Physics Today,https://www.physicstoday.org,2024-10-22,,,,,,,,,,,,
离子阱量子比特,100,高（每个量子比特连接多个）,320,微秒,98,%,美国物理学报,https://aps.org,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,150,微秒,99.6,%,AIP Publishing,https://aip.scitation.org,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8000,高（每个量子比特连接多个）,220,微秒,97.5,%,Quantum Magazine,https://www.quantummagazine.com,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,40,微秒,99.1,%,Scientific American,https://www.scientificamerican.com,2024-10-22,,,,,,,,,,,,
量子点量子比特,256,中（每个量子比特连接2-3个）,45,微秒,98.5,%,清华大学量子计算中心,https://quantum.tsinghua.edu.cn/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,62,高（每个量子比特连接多个）,500,微秒,99.4,%,Nature Physics,https://www.nature.com/nphys/,2024-10-22,,,,,,,,,,,,
超导量子比特,729,高（每个逻辑量子位对应30多个物理量子位）,150,微秒,99.6,%,麻省理工学院,https://www.mit.edu/,2024-10-22,,,,,,,,,,,,
光量子比特,400,中（每个量子比特连接2-3个）,80,微秒,97.8,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
超导量子比特,1,低（无连接）,45,微秒,90,%,阿里巴巴量子实验室,https://www.alibabacloud.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,1500,高（每个量子比特连接多个）,220,微秒,98.3,%,量子计算与工程,http://quantum.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,2500,高（每个量子比特连接多个）,250,微秒,99.1,%,中国科学院量子信息重点实验室,http://www.iqiyi.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,10,低（每个量子比特连接1个）,120,微秒,99.2,%,物理评论快报,https://journals.aps.org/prl/,2024-10-22,,,,,,,,,,,,
光量子比特,300,高（每个量子比特连接多个）,90,微秒,97.6,%,科学合作网,https://www.sciencenet.cn/,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,高（每个逻辑量子位对应500多个物理量子位）,300,微秒,99.5,%,中国科技网,https://www.cstnet.cn/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,中（每个量子比特连接2-3个）,85,微秒,98.5,%,Quantum Tech Weekly,https://www.quantumtechweekly.com,2024-10-22,,,,,,,,,,,,
光子量子比特,256,高（每个量子比特连接多个）,45,微秒,99.2,%,Nature Reviews Physics,https://www.nature.com/natrevph/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.9,%,麻省理工学院研究所,https://www.mit.edu/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,中（每个量子比特连接2-3个）,200,微秒,99,%,中国科学院,https://www.cas.cn/,2024-10-22,,,,,,,,,,,,
超导量子比特,960,高（每个逻辑量子位对应1000多个物理量子位）,110,微秒,99.4,%,物理学评论快报,https://journals.aps.org/prl/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,4096,高（每个量子比特连接多个）,250,微秒,98.8,%,量子信息与量子技术,https://www.qqi-journal.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,128,中（每个量子比特连接2-3个）,60,微秒,98.2,%,量子计算研究,https://quantumcomputingresearch.com,2024-10-22,,,,,,,,,,,,
光子量子比特,720,高（每个量子比特连接多个）,95,微秒,99.1,%,科学美国人,https://www.scientificamerican.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,25,高（每个量子比特连接多个）,350,微秒,99.6,%,IEEE量子电路,https://quantumcircuits.ieee.org/,2024-10-22,,,,,,,,,,,,
超导量子比特,500,中（每个量子比特连接2-3个）,72,微秒,99.3,%,清华大学量子研究所,https://www.tsinghua.edu.cn/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99.9,%,清华大学,https://www.tsinghua.edu.cn/news,2024-10-22,,,,,,,,,,,,
光量子比特,256,中（每个量子比特连接2-3个）,80,微秒,98.5,%,北京大学,https://www.pku.edu.cn/news,2024-10-22,,,,,,,,,,,,
离子阱量子比特,72,高（每个量子比特连接多个）,250,微秒,99.1,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,5000,高（每个量子比特连接多个）,180,微秒,97.8,%,美国物理学会,https://aps.org,2024-10-22,,,,,,,,,,,,
拓扑量子比特,128,中（每个量子比特连接2-3个）,120,微秒,99.6,%,MIT,https://www.mit.edu,2024-10-22,,,,,,,,,,,,
光量子比特,512,高（每个量子比特连接多个）,75,微秒,98.9,%,科学界,https://www.sciencemag.org,2024-10-22,,,,,,,,,,,,
离子阱量子比特,45,低（每个量子比特连接1个）,210,微秒,98.3,%,Physics Today,https://www.physicstoday.org,2024-10-22,,,,,,,,,,,,
超导量子比特,350,中（每个量子比特连接2-3个）,90,微秒,99.4,%,科技日报,https://www.stdaily.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3000,高（每个量子比特连接多个）,190,微秒,99.2,%,物理快报,https://www.physicstoday.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,32,高（每个量子比特连接多个）,110,微秒,99.7,%,阿里云量子实验室,https://quantum.aliyun.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,450,高（每个量子比特连接多个）,75,微秒,98.5,%,Nature Reviews Physics,https://www.nature.com/natrevphys/,2024-10-22,,,,,,,,,,,,
光量子比特,500,中（每个量子比特连接2-3个）,150,微秒,99,%,IEEE Transactions on Quantum Engineering,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-22,,,,,,,,,,,,
超导量子比特,800,高（每个量子比特连接多个）,90,微秒,99.6,%,Harvard Science Magazine,https://www.harvard.edu/science,2024-10-22,,,,,,,,,,,,
离子阱量子比特,60,高（每个量子比特连接多个）,250,微秒,98,%,Nature Physics,https://www.nature.com/nphys/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3200,中（每个量子比特连接2-3个）,180,微秒,97.5,%,Science Advances,https://www.science.org/journal/sciadv,2024-10-22,,,,,,,,,,,,
拓扑量子比特,120,低（每个量子比特连接一个）,30,微秒,95,%,The Quantum World,https://www.thequantumworld.com/,2024-10-22,,,,,,,,,,,,
光量子比特,700,高（每个量子比特连接多个）,120,微秒,99.4,%,Physics Today,https://www.physicstoday.org/,2024-10-22,,,,,,,,,,,,
超导量子比特,1160,高（每个量子比特连接多个）,95,微秒,99.9,%,Quantum Magazine,https://www.quantummagazine.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,35,高（每个量子比特连接多个）,280,微秒,99.1,%,The Journal of Quantum Information Science,https://www.jqis.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,2900,高（每个量子比特连接多个）,160,微秒,98.3,%,Quantum Research Journal,https://www.quantumresearchjournal.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,高（每个量子比特连接多个）,150,微秒,98.5,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
量子点量子比特,256,中（每个量子比特连接2-3个）,80,微秒,97.1,%,IEEE,https://www.ieee.org,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个逻辑量子位对应2000多个物理量子位）,120,微秒,99.2,%,清华大学量子研究中心,http://quantum.tsinghua.edu.cn/,2024-10-22,,,,,,,,,,,,
光量子比特,100,中（每个量子比特连接2-3个）,60,微秒,96,%,物理评论快报,https://journals.aps.org/prl/,2024-10-22,,,,,,,,,,,,
超导量子比特,750,高（每个量子比特连接多个）,110,微秒,98.7,%,麻省理工学院,https://www.mit.edu,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8000,高（每个量子比特连接多个）,250,微秒,99.4,%,加州大学伯克利分校,https://news.berkeley.edu/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,高（每个量子比特连接多个）,290,微秒,99.1,%,Nature Quantum Information,https://www.nature.com/natquantuminfo,2024-10-22,,,,,,,,,,,,
光量子比特,150,中（每个量子比特连接2-3个）,45,微秒,95.5,%,清华科技期刊,http://www.tsinghua.edu.cn,2024-10-22,,,,,,,,,,,,
超导量子比特,2500,高（每个逻辑量子位对应1000多个物理量子位）,130,微秒,99.6,%,加州理工学院,https://www.caltech.edu,2024-10-22,,,,,,,,,,,,
中性原子量子比特,6900,高（每个量子比特连接多个）,220,微秒,98.9,%,国际量子技术研究所,http://www.iqt.org,2024-10-22,,,,,,,,,,,,
光量子比特,2500,高（每个量子比特连接多个）,150,微秒,98.5,%,量子科技网,https://www.quantumtechnology.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,512,中（每个量子比特连接2-3个）,60,微秒,99.1,%,量子工程实验室,https://www.quantumengineeringlab.com/,2024-10-22,,,,,,,,,,,,
量子点量子比特,800,低（每个量子比特连接1个）,30,微秒,97,%,Nature量子科技,https://www.nature.com/subjects/quantum-technology,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,高（每个量子比特连接多个）,500,微秒,99.4,%,量子计算前沿,https://www.quantumfrontier.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,80,微秒,99.3,%,IEEE量子电路,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7200,高（每个量子比特连接多个）,220,微秒,98.7,%,量子研究院,https://www.quantumresearchinstitute.com/,2024-10-22,,,,,,,,,,,,
量子点量子比特,1700,中（每个量子比特连接2-3个）,40,微秒,96.5,%,量子时报,https://www.quantumjournal.com/,2024-10-22,,,,,,,,,,,,
光量子比特,3600,高（每个量子比特连接多个）,90,微秒,99.2,%,量子创新,https://www.quantuminnovation.org/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,高（每个量子比特连接多个）,350,微秒,99.6,%,量子前沿,https://www.quantumfrontier.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,高（每个量子比特连接多个）,120,微秒,99.1,%,量子计算日报,https://quantumdaily.com,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,中（每个量子比特连接2-3个）,90,微秒,98.7,%,科学美国人,https://www.scientificamerican.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,600,微秒,99.5,%,Nature Physics,https://www.nature.com/nphys/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3200,高（每个量子比特连接多个）,150,微秒,98.2,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
光学量子比特,800,中（每个量子比特连接2-3个）,80,微秒,99.3,%,光子学杂志,https://www.journalofphotonics.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,105,微秒,99.9,%,Physics Today,https://physicstoday.scitation.org,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,75,微秒,98.5,%,量子计算研究所,https://quantumcomputinginstitute.org,2024-10-22,,,,,,,,,,,,
量子点量子比特,400,中（每个量子比特连接2-3个）,60,微秒,98,%,量子技术前沿,https://quantumtechfrontiers.com,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,高（每个量子比特连接多个）,110,微秒,99.6,%,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,45,微秒,99,%,清华大学量子计算实验室,https://quantum.tsinghua.edu.cn/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,高（每个量子比特连接多个）,80,微秒,99.5,%,加州大学伯克利分校,https://news.berkeley.edu/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,40,高（每个量子比特连接多个）,250,微秒,98.9,%,麻省理工学院,https://news.mit.edu/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,2200,高（每个量子比特连接多个）,150,微秒,99.1,%,斯坦福大学量子研究中心,https://quantum.stanford.edu/,2024-10-22,,,,,,,,,,,,
光子量子比特,600,中（每个量子比特连接2-3个）,100,微秒,99.7,%,国家量子实验室,https://www.quantumlab.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个逻辑量子位对应500多个物理量子位）,65,微秒,99.8,%,IEEE Access,https://ieeexplore.ieee.org/,2024-10-22,,,,,,,,,,,,
超导量子比特,900,中（每个量子比特连接2-3个）,50,微秒,99.4,%,华为云计算,https://support.huaweicloud.com/,2024-10-22,,,,,,,,,,,,
量子点量子比特,150,低（每个量子比特连接1个）,45,微秒,97.8,%,英国国家量子技术研究所,https://www.npl.co.uk/quantum-technology,2024-10-22,,,,,,,,,,,,
光量子比特,305,中（每个量子比特连接2-3个）,110,微秒,99.6,%,中国科学院量子信息技术,https://www.cas.cn/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,31,高（每个量子比特连接多个）,280,微秒,98.7,%,苏黎世联邦理工学院,https://www.ethz.ch/en.html,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.6,%,Quantum Computing Report,https://quantumcomputingreport.com,2024-10-22,,,,,,,,,,,,
光量子比特,256,中（每个量子比特连接2-3个）,45,微秒,98.7,%,Nature Reviews Physics,https://www.nature.com/natrevphys,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,350,微秒,99.9,%,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7300,中（每个量子比特连接2-3个）,180,微秒,97.5,%,MIT Technology Review,https://www.technologyreview.com,2024-10-22,,,,,,,,,,,,
超导量子比特,1600,高（每个量子比特连接多个）,110,微秒,99.3,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
纠缠光子量子比特,128,中（每个量子比特连接2-3个）,60,微秒,98.6,%,Scientific American,https://www.scientificamerican.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,高（每个量子比特连接多个）,400,微秒,99.2,%,Quanta Magazine,https://www.quantamagazine.org,2024-10-22,,,,,,,,,,,,
超导量子比特,3000,高（每个量子比特连接多个）,130,微秒,99.8,%,Physics Today,https://www.physicstoday.org,2024-10-22,,,,,,,,,,,,
光量子比特,512,中（每个量子比特连接2-3个）,55,微秒,98.5,%,The Atlantic,https://www.theatlantic.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,4000,高（每个量子比特连接多个）,250,微秒,98.1,%,Ars Technica,https://arstechnica.com,2024-10-22,,,,,,,,,,,,
超导量子比特,256,高（每个量子比特连接多个）,80,微秒,99.6,%,Nature,https://www.nature.com/quantum-computing,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,中（每个量子比特连接2-3个）,150,微秒,98.9,%,Quanta Magazine,https://www.quantamagazine.org/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,900,高（每个量子比特连接多个）,220,微秒,97.5,%,Science Advances,https://www.science.org/journal/sciadv,2024-10-22,,,,,,,,,,,,
离子阱量子比特,34,高（每个量子比特连接多个）,360,微秒,99.4,%,Nature Physics,https://www.nature.com/nphys/,2024-10-22,,,,,,,,,,,,
超导量子比特,700,中（每个量子比特连接2-3个）,65,微秒,99,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
光学量子比特,850,高（每个量子比特连接多个）,120,微秒,98.5,%,Photonics,https://www.photonics.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,4,低（每个量子比特连接1个）,40,微秒,99.2,%,Journal of Quantum Science,https://www.mdpi.com/journal/quantum,2024-10-22,,,,,,,,,,,,
量子点量子比特,1500,高（每个量子比特连接多个）,180,微秒,98.1,%,Nature Reviews Physics,https://www.nature.com/natrevphys/,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个量子比特连接多个）,95,微秒,99.8,%,Physical Review Letters,https://journals.aps.org/prl/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,16,中（每个量子比特连接2-3个）,350,微秒,99.3,%,Applied Physics Reviews,https://aip.scitation.org/journal/apr,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99.9,%,哈佛大学量子研究所,https://quantum.harvard.edu/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3500,中（每个量子比特连接2-3个）,120,微秒,97.5,%,物理评论快报,https://journals.aps.org/prl/,2024-10-22,,,,,,,,,,,,
光量子比特,512,低（每个量子比特连接1-2个）,80,微秒,95,%,自然杂志,https://www.nature.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,100,高（每个量子比特连接多个）,200,微秒,98.8,%,耶鲁大学量子中心,https://quantum.yale.edu/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,110,微秒,99.6,%,工程师周刊,https://www.engineeringweekly.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,中（每个量子比特连接2-3个）,95,微秒,96.5,%,量子计算论坛,https://quantumforum.org/,2024-10-22,,,,,,,,,,,,
光量子比特,750,中（每个量子比特连接2-3个）,60,微秒,94.4,%,物理学报,https://www.applphysrev.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,高（每个量子比特连接多个）,140,微秒,99.7,%,科技前沿,https://www.sciencefrontiers.com/,2024-10-22,,,,,,,,,,,,
量子点量子比特,64,低（每个量子比特连接1-2个）,80,微秒,93,%,中国科学院,https://www.cas.cn/,2024-10-22,,,,,,,,,,,,
固态量子比特,128,高（每个量子比特连接多个）,95,微秒,98.2,%,电子学报,https://www.electronicsjournal.com/,2024-10-22,,,,,,,,,,,,
量子点量子比特,256,中（每个量子比特连接2-3个）,120,微秒,98.5,%,清华大学,https://www.tsinghua.edu.cn,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,80,微秒,99.2,%,Nature Communications,https://www.nature.com/ncomms/,2024-10-22,,,,,,,,,,,,
光量子比特,512,高（每个量子比特连接多个）,300,微秒,97,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
拓扑量子比特,128,中（每个量子比特连接2-3个）,150,微秒,99.1,%,中科院物理研究所,https://www.iop.cas.cn,2024-10-22,,,,,,,,,,,,
离子阱量子比特,25,高（每个量子比特连接多个）,500,微秒,99.4,%,Phys. Rev. Lett.,https://journals.aps.org/prl/,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,高（每个量子比特连接多个）,90,微秒,99.6,%,科技日报,https://www.stdaily.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,10,中（每个量子比特连接2-3个）,400,微秒,98.8,%,Quantum Magazine,https://www.quantummagazine.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7200,高（每个量子比特连接多个）,180,微秒,96.5,%,arXiv,https://arxiv.org,2024-10-22,,,,,,,,,,,,
量子点量子比特,1024,高（每个量子比特连接多个）,110,微秒,98.2,%,科学前沿,https://www.sciencefrontiers.cn,2024-10-22,,,,,,,,,,,,
拓扑量子比特,600,中（每个量子比特连接2-3个）,130,微秒,99.3,%,华盛顿邮报,https://www.washingtonpost.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99.9,%,Nature,https://www.nature.com/articles/nature-quantum,2024-10-22,,,,,,,,,,,,
离子阱量子比特,256,中（每个量子比特连接2-3个）,180,微秒,98.7,%,Scientific American,https://www.scientificamerican.com/quantum-computing/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,高（每个量子比特连接多个）,220,微秒,99,%,MIT Technology Review,https://www.technologyreview.com/quantum-computing/,2024-10-22,,,,,,,,,,,,
光量子比特,128,低（每个量子比特连接1个）,90,微秒,97.6,%,IEEE Spectrum,https://spectrum.ieee.org/quantum,2024-10-22,,,,,,,,,,,,
冷原子量子比特,3500,高（每个量子比特连接多个）,320,微秒,99.5,%,Phys.org,https://phys.org/quantum-computing/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,130,微秒,98.8,%,Quantum Magazine,https://quantummagazine.com/,2024-10-22,,,,,,,,,,,,
