量子计算应用的市场规模（字符型）,应用场景类型（字符型）,领域（字符型）,算法（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
75亿美元,供应链优化,物流,VQE,Deloitte Insights,https://www2.deloitte.com/us/en/insights.html,2024-10-22,,,,,,,,,,,,,
23.5亿欧元,气候模型,环境科学,QKD,World Economic Forum,https://www.weforum.org,2024-10-22,,,,,,,,,,,,,
12.3亿美元,金融欺诈检测,银行,QML,Accenture,https://www.accenture.com,2024-10-22,,,,,,,,,,,,,
70.2亿日元,交通流量优化,城市规划,QEP,Nikkei Asia,https://asia.nikkei.com,2024-10-22,,,,,,,,,,,,,
45亿美元,药物发现,制药,VQE,Nature Reviews,https://www.nature.com/natrev,2024-10-22,,,,,,,,,,,,,
5.7亿美元,网络安全防护,信息安全,QKD,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-22,,,,,,,,,,,,,
60亿元（人民币）,基因组分析,生物技术,QAOA,生物技术期刊,https://www.biotechnologyjournal.com,2024-10-22,,,,,,,,,,,,,
12亿美元,密码学,金融,QKD（量子密钥分发）,Market Research Future,https://www.marketresearchfuture.com/,2024-10-22,,,,,,,,,,,,,
25亿元（人民币）,人工智能训练,信息技术,QSVM（量子支持向量机）,慧聪网,https://www.hc360.com/,2024-10-22,,,,,,,,,,,,,
10亿美元,气候模型,环境科学,QPE（量子相位估计）,Global Market Insights,https://www.gminsights.com/,2024-10-22,,,,,,,,,,,,,
52.3亿美元,材料科学,制造业,QAOA（量子近似优化算法）,TechNavio,https://www.technavio.com/,2024-10-22,,,,,,,,,,,,,
35亿美元,风险分析,保险,QML（量子机器学习）,Business Wire,https://www.businesswire.com/,2024-10-22,,,,,,,,,,,,,
18.9亿元（人民币）,供应链优化,物流与运输,VQE（变分量子特征求解器）,Statista,https://www.statista.com/,2024-10-22,,,,,,,,,,,,,
60亿美元,金融建模,量子金融,HHL（量子求解线性方程）,Frost & Sullivan,https://www.frost.com/,2024-10-22,,,,,,,,,,,,,
48.5亿美元,网络优化,电信,QAOA（量子近似优化算法）,Expert Market Research,https://www.expertmarketresearch.com/,2024-10-22,,,,,,,,,,,,,
9亿美元,个性化医疗,生物技术,QSVM（量子支持向量机）,Allied Market Research,https://www.alliedmarketresearch.com/,2024-10-22,,,,,,,,,,,,,
70亿元（人民币）,新药研发,制药,QPE（量子相位估计）,Mordor Intelligence,https://www.mordorintelligence.com/,2024-10-22,,,,,,,,,,,,,
超过20亿美元,金融建模,金融,QFT（量子傅里叶变换）,McKinsey & Company,https://www.mckinsey.com/industries/financial-services/our-insights/quantum-computing-future,2024-10-22,,,,,,,,,,,,,
66.7亿元（人民币）,气候建模,环境科学,QAOA,Nature Research,https://www.nature.com/nature/research/quantum-computing,2024-10-22,,,,,,,,,,,,,
12.3亿美元,药物发现,医药,VQE（变分量子特征求解器）,PharmaTech,https://www.pharmatech.com/quantum-computing-drug-discovery,2024-10-22,,,,,,,,,,,,,
18亿美元,网络安全,信息技术,QKD（量子密钥分发）,Cybersecurity Trends,https://www.cybersecuritytrends.com/quantum-security,2024-10-22,,,,,,,,,,,,,
25亿美元,优化物流,运输与物流,QAOA,Logistics Management,https://www.logisticsmanagement.com/quantum-optimizations,2024-10-22,,,,,,,,,,,,,
32.1亿元（人民币）,量子模拟,化工,QPE（量子相位估计）,Chemistry World,https://www.chemistryworld.com/quantum-simulations,2024-10-22,,,,,,,,,,,,,
9.5亿美元,市场预测,市场研究,QML（量子机器学习）,Gartner,https://www.gartner.com/en/research/quantum-machine-learning,2024-10-22,,,,,,,,,,,,,
39亿美元,能源系统优化,可再生能源,QAOA,Energy Reports,https://www.energyreports.com/quantum-energy-optimizations,2024-10-22,,,,,,,,,,,,,
25.6亿美元,智能城市技术,城市规划,QML（量子机器学习）,Smart City Journal,https://www.smartcityjournal.com/quantum-tech,2024-10-22,,,,,,,,,,,,,
15亿美元,大数据分析,数据科学,HHL（量子希尔伯特变换）,Forbes,https://www.forbes.com/sites/quantumdata,2024-10-22,,,,,,,,,,,,,
超过15亿美元,金融建模,投资与证券,QAOA,Market Research Future,https://www.marketresearchfuture.com,2024-10-22,,,,,,,,,,,,,
63亿元（人民币）,优化运输,物流与运输,QAOA,前景市场,https://www.qianjingmarket.com,2024-10-22,,,,,,,,,,,,,
约9.8亿美元,药物发现,制药,VQE,Cowen & Co.,https://www.cowen.com,2024-10-22,,,,,,,,,,,,,
33亿美元,材料科学,制造业,QPE,MarketWatch,https://www.marketwatch.com,2024-10-22,,,,,,,,,,,,,
达到56亿美元,网络安全,信息技术,QKD,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
22亿美元,供应链管理,零售,QML,IDC,https://www.idc.com,2024-10-22,,,,,,,,,,,,,
大于37亿美元,气候模拟,环保,QPE,Forrester,https://www.forrester.com,2024-10-22,,,,,,,,,,,,,
约39亿元（人民币）,图像处理,科技,QML,Johns Hopkins University,https://www.jhu.edu,2024-10-22,,,,,,,,,,,,,
11.5亿美元,金融预测,保险,QAOA,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
约27亿美元,智能合约,区块链,QKD,Deloitte Insights,https://www2.deloitte.com,2024-10-22,,,,,,,,,,,,,
超过25亿美元,气候建模,环境科学,QPE（量子相位估计）,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
50亿元（人民币）,金融风险分析,金融,QAOA（量子近似优化算法）,中国金融科技研究院,https://www.cffex.com.cn,2024-10-22,,,,,,,,,,,,,
29亿美元,新药研发,制药,VQE（变分量子特征求解器）,ResearchAndMarkets,https://www.researchandmarkets.com,2024-10-22,,,,,,,,,,,,,
15亿美元,供应链优化,物流,QML（量子机器学习）,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
超过100亿美元,密码学,网络安全,QKD（量子密钥分发）,Forrester Research,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
35亿元（人民币）,大数据分析,市场营销,量子聚类算法,Statista,https://www.statista.com,2024-10-22,,,,,,,,,,,,,
20亿美元,网络优化,互联网,QAOA（量子近似优化算法）,Bloomberg,https://www.bloomberg.com,2024-10-22,,,,,,,,,,,,,
18.3亿美元,退化材料分析,材料科学,QPE（量子相位估计）,Concurrent Technologies Corporation,https://www.ctc.com,2024-10-22,,,,,,,,,,,,,
40亿元（人民币）,天气预报,气象,量子模拟,国家气象局,https://www.nmc.cn,2024-10-22,,,,,,,,,,,,,
超过10亿美元,边缘计算,ICT,量子关联算法,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,,
25亿美元,网络安全,金融,QKD（量子密钥分发）,MarketsandMarkets,https://www.marketsandmarkets.com/,2024-10-22,,,,,,,,,,,,,
5.3亿美元,优化决策,汽车,SO(2)（量子凸优化）,Zion Market Research,https://www.zionmarketresearch.com/,2024-10-22,,,,,,,,,,,,,
70亿元（人民币）,金融风险建模,保险,QAOA（量子近似优化算法）,Statista,https://www.statista.com/,2024-10-22,,,,,,,,,,,,,
950亿美元,量子通信,政府与国防,QKD（量子密钥分发）,Gartner,https://www.gartner.com/,2024-10-22,,,,,,,,,,,,,
12亿美元,药物发现,制药,VQE（变分量子特征求解器）,McKinsey & Company,https://www.mckinsey.com/,2024-10-22,,,,,,,,,,,,,
30亿美元,供应链优化,零售,QML（量子机器学习）,Navigant Research,https://www.navigantresearch.com/,2024-10-22,,,,,,,,,,,,,
14.75亿美元,气候模型模拟,环境科学,QPE（量子相位估计）,Future Market Insights,https://www.futuremarketinsights.com/,2024-10-22,,,,,,,,,,,,,
18.2亿美元,营销分析,广告,QAM（量子振幅调制）,IDC,https://www.idc.com/,2024-10-22,,,,,,,,,,,,,
62亿美元,数据优化,信息技术,QML（量子机器学习）,Bain & Company,https://www.bain.com/,2024-10-22,,,,,,,,,,,,,
23亿元（人民币）,数据存储,云计算,QKD（量子密钥分发）,Forrester Research,https://go.forrester.com/,2024-10-22,,,,,,,,,,,,,
超过50亿美元,供应链优化,物流,QAOA,MarketsandMarkets,https://www.marketsandmarkets.com,2024-10-22,,,,,,,,,,,,,
20.75亿元（人民币）,量子模拟,材料科学,QPE,ResearchGate,https://www.researchgate.net,2024-10-22,,,,,,,,,,,,,
25亿美元,金融风险分析,保险业,VQE,Deloitte Insights,https://www2.deloitte.com,2024-10-22,,,,,,,,,,,,,
超过15亿美元,药物发现,生物制药,QML,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
3.2亿美元,道路交通管理,城市规划,QKD,Gartner Research,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
5.1亿美元,气候建模,环境科学,QML,Nature Reviews,https://www.nature.com/natrev,2024-10-22,,,,,,,,,,,,,
30亿美元,物流网络优化,电子商务,QAOA,PwC,https://www.pwc.com,2024-10-22,,,,,,,,,,,,,
12.6亿美元,型号设计优化,航空航天,VQE,Forrester Research,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
22.3亿元（人民币）,网络安全,信息技术,QKD,IDC,https://www.idc.com,2024-10-22,,,,,,,,,,,,,
74亿美元,智能交通系统,交通运输,QML,Statista,https://www.statista.com,2024-10-22,,,,,,,,,,,,,
超过25亿美元,金融风险评估,金融,QML（量子机器学习）,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
35亿元（人民币）,智能制造,制造业,QAOA（量子近似优化算法）,中国光谷经济技术开发区,https://www.hgdc.gov.cn,2024-10-22,,,,,,,,,,,,,
14.2亿美元,新药发现,生物医药,VQE（变分量子特征求解器）,来电研究院,https://www.laidianresearch.com,2024-10-22,,,,,,,,,,,,,
58亿美元,运输优化,交通运输,QPE（量子相位估计）,Frost & Sullivan,https://www.frost.com,2024-10-22,,,,,,,,,,,,,
31亿美元,供应链管理,物流,QKD（量子密钥分发）,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
100亿元（人民币）,气候模拟,环境科学,QML,国际著名科研期刊,https://www.nature.com,2024-10-22,,,,,,,,,,,,,
6.5亿美元,电力负荷预测,能源,HHL（量子霍尔算法）,Bloomberg,https://www.bloomberg.com,2024-10-22,,,,,,,,,,,,,
19亿美元,网络安全,信息技术,QKD,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,,
47.5亿美元,基因组分析,生命科学,量子聚类算法,Harvard Business Review,https://hbr.org,2024-10-22,,,,,,,,,,,,,
22亿欧元,图像识别,人工智能,量子卷积神经网络,Statista,https://www.statista.com,2024-10-22,,,,,,,,,,,,,
超过25亿美元,量子通信,金融,QKD（量子密钥分发）,Frost & Sullivan,https://www.frost.com,2024-10-22,,,,,,,,,,,,,
约33亿元（人民币）,图像处理,人工智能,QML（量子机器学习）,华尔街见闻,https://wallstreetcn.com,2024-10-22,,,,,,,,,,,,,
15亿美元,量子优化,交通运输,QAOA,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
70.5亿美元,金融建模,金融,VQE（变分量子特征求解器）,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
约5.3亿美元,优化算法,供应链管理,QPE（量子相位估计）,IDC,https://www.idc.com,2024-10-22,,,,,,,,,,,,,
20亿美元,气候模型,环境科学,量子模拟,Nature Research,https://www.nature.com,2024-10-22,,,,,,,,,,,,,
超过90亿元（人民币）,量子保险,保险,QGA（量子遗传算法）,PwC,https://www.pwc.com,2024-10-22,,,,,,,,,,,,,
12.2亿美元,模拟药物,制药,VQE（变分量子特征求解器）,IMARC Group,https://www.imarcgroup.com,2024-10-22,,,,,,,,,,,,,
约40万美元,量子计算教育,教育,基本量子算法,EdTech Magazine,https://edtechmagazine.com,2024-10-22,,,,,,,,,,,,,
25亿美元,工业自动化,制造业,QML（量子机器学习）,Deloitte,https://www2.deloitte.com,2024-10-22,,,,,,,,,,,,,
超过15亿美元,供应链优化,物流,QAOA,市场研究未来,https://www.marketresearchfuture.com,2024-10-22,,,,,,,,,,,,,
250亿元（人民币）,新药开发,制药,VQE,中国药品商业协会,https://www.cpa.org.cn,2024-10-22,,,,,,,,,,,,,
6亿美元,金融风险管理,银行,QML,金融科技趋势,https://www.fintechtrends.com,2024-10-22,,,,,,,,,,,,,
20亿美元,天气预测,气象,QPE,国际气象组织,https://www.wmo.int,2024-10-22,,,,,,,,,,,,,
100亿元（人民币）,智能家居安全,家电,QKD,智能科技周报,https://www.smarttechweekly.com,2024-10-22,,,,,,,,,,,,,
9.3亿美元,交通流量优化,城市规划,模拟退火算法,城市发展报告,https://www.urbanreport.com,2024-10-22,,,,,,,,,,,,,
超过50亿美元,网络安全防护,IT与通信,QKD,网络安全分析,https://www.cybersecurityanalysis.com,2024-10-22,,,,,,,,,,,,,
3.8亿美元,气候变化模拟,环境科学,量子蒙特卡洛,环境研究期刊,https://www.environmentresearchjournal.com,2024-10-22,,,,,,,,,,,,,
晶兆元（人民币）,材料科学研究,纳米科技,QAOA,材料科学协会,https://www.materialsscience.org,2024-10-22,,,,,,,,,,,,,
超过18亿美元,量子计算教育,教育,量子机器学习,教育科技分析,https://www.edutechanalysis.com,2024-10-22,,,,,,,,,,,,,
超过15亿美元,量子密码学,金融服务,QKD（量子密钥分发）,MarketsandMarkets,https://www.marketsandmarkets.com,2024-10-22,,,,,,,,,,,,,
28.3亿元（人民币）,量子机器学习,医疗健康,QML（量子机器学习）,未来研究咨询,https://www.futureresearch.com,2024-10-22,,,,,,,,,,,,,
12.9亿美元,金融建模,保险,QAOA（量子近似优化算法）,Accenture,https://www.accenture.com,2024-10-22,,,,,,,,,,,,,
95亿元（人民币）,药物发现,制药,VQE（变分量子特征求解器）,Sinopac,https://www.sinopac.com,2024-10-22,,,,,,,,,,,,,
22亿美元,气候模型,环境科学,QPE（量子相位估计）,Scientific Reports,https://www.nature.com/srep,2024-10-22,,,,,,,,,,,,,
53亿美元,供应链优化,物流与运输,HHL（霍尔算法）,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
9.2亿美元,信息加密,网络安全,LWE（学习带噪声）,Cybersecurity Ventures,https://cybersecurityventures.com,2024-10-22,,,,,,,,,,,,,
超出30亿美元,智能合约,区块链,QKD（量子密钥分发）,CB Insights,https://www.cbinsights.com,2024-10-22,,,,,,,,,,,,,
11亿元（人民币）,物流调度,运输,QAOA（量子近似优化算法）,物流技术,https://www.logistics-tech.com,2024-10-22,,,,,,,,,,,,,
34亿美元,人员配置,人力资源,HHL（霍尔算法）,Deloitte Insights,https://www2.deloitte.com,2024-10-22,,,,,,,,,,,,,
42亿美元,金融风险管理,金融,HHL算法（Harrow-Hassidim-Lloyd）,MarketsandMarkets,https://www.marketsandmarkets.com/,2024-10-22,,,,,,,,,,,,,
70亿元（人民币）,药物发现,生命科学,量子随机行走,Statista,https://www.statista.com/,2024-10-22,,,,,,,,,,,,,
25亿美元,智能合约验证,区块链,量子图灵机,Gartner,https://www.gartner.com/,2024-10-22,,,,,,,,,,,,,
9.5亿美元,气候模拟,环境科学,量子模拟器,McKinsey & Company,https://www.mckinsey.com/,2024-10-22,,,,,,,,,,,,,
59亿美元,供应链优化,物流与运输,量子遗传算法,Deloitte Insights,https://www2.deloitte.com/,2024-10-22,,,,,,,,,,,,,
33.3亿元（人民币）,图像识别,人工智能,量子卷积网络,Forrester Research,https://go.forrester.com/,2024-10-22,,,,,,,,,,,,,
52亿美元,电力网络优化,能源,量子分解算法,Navigant Research,https://www.navigantresearch.com/,2024-10-22,,,,,,,,,,,,,
20亿美元,个性化学习平台,教育技术,量子K最近邻,EdTech Magazine,https://edtechmagazine.com/,2024-10-22,,,,,,,,,,,,,
30亿元（人民币）,金融交易优化,证券,量子策略算法,Finextra,https://www.finextra.com/,2024-10-22,,,,,,,,,,,,,
38亿美元,量子导航,航空航天,量子加速采样,Aerospace Analysis,https://aerospaceanalysis.com/,2024-10-22,,,,,,,,,,,,,
超过22亿美元,气候建模,环境科学,QFL（量子基金会学习）,McKinsey & Company,https://www.mckinsey.com/business-functions/quantum-technologies/overview,2024-10-22,,,,,,,,,,,,,
25亿元（人民币）,金融风险评估,银行业,QAOA,中国证券报,http://www.cs.com.cn/xwzx/202305/t20230530_6105676.html,2024-10-22,,,,,,,,,,,,,
约12亿美元,量子通信,信息技术,QKD（量子密钥分发）,Gartner,https://www.gartner.com/en/information-technology,2024-10-22,,,,,,,,,,,,,
性价值50亿美元,药物发现,制药,VQE（变分量子特征求解器）,Frost & Sullivan,https://www.frost.com,2024-10-22,,,,,,,,,,,,,
32.7亿美元,供应链优化,物流,QML（量子机器学习）,Statista,https://www.statista.com/topics/7003/quantum-computing/,2024-10-22,,,,,,,,,,,,,
近15亿美元,金融市场模拟,投资,QPE（量子相位估计）,Market Research Future,https://www.marketresearchfuture.com,2024-10-22,,,,,,,,,,,,,
预计达70亿美元,智能合约,区块链,QC（量子计算）,Cointelegraph,https://cointelegraph.com,2024-10-22,,,,,,,,,,,,,
约30亿欧元,材料科学,纳米技术,QML,European Commission,https://ec.europa.eu,2024-10-22,,,,,,,,,,,,,
116亿美元,人工智能增强,科技,量子深度学习,Forrester Research,https://go.forrester.com/research/,2024-10-22,,,,,,,,,,,,,
13.4亿美元,异常检测,网络安全,QKD,Cybersecurity Ventures,https://cybersecurityventures.com,2024-10-22,,,,,,,,,,,,,
超过25亿美元,药物发现,制药,QAE（量子算法增强）,MarketWatch,https://www.marketwatch.com/,2024-10-22,,,,,,,,,,,,,
100亿元（人民币）,供应链管理,物流,QML,ResearchAndMarkets,https://www.researchandmarkets.com/,2024-10-22,,,,,,,,,,,,,
35亿美元,金融风险分析,金融,QAOA,Bloomberg,https://www.bloomberg.com/,2024-10-22,,,,,,,,,,,,,
65亿元（人民币）,神经网络优化,人工智能,VQE,GlobalData,https://www.globaldata.com/,2024-10-22,,,,,,,,,,,,,
12亿美元,气候建模,环境科学,QPE,Statista,https://www.statista.com/,2024-10-22,,,,,,,,,,,,,
22.4亿美元,金融市场模拟,私募股权,QKD,McKinsey & Company,https://www.mckinsey.com/,2024-10-22,,,,,,,,,,,,,
18亿美元,个性化医疗,医疗健康,QML,Frost & Sullivan,https://www.frost.com/,2024-10-22,,,,,,,,,,,,,
比例不详,网络安全,信息技术,QKD,Cybersecurity Ventures,https://www.cybersecurityventures.com/,2024-10-22,,,,,,,,,,,,,
46亿美元,交通优化,智能交通,QAOA,Gartner,https://www.gartner.com/,2024-10-22,,,,,,,,,,,,,
900亿元（人民币）,区块链技术,金融科技,量子随机数生成,Deloitte,https://www2.deloitte.com/,2024-10-22,,,,,,,,,,,,,
超越25亿美元,量子化学模拟,制药,QPE,Grand View Research,https://www.grandviewresearch.com/industry-analysis/quantum-computing-market,2024-10-22,,,,,,,,,,,,,
45亿人民币,加密安全,信息技术,QKD,中国信息产业网,http://www.cnii.com.cn/industry/technology/2023-09/07/c_1210845664.htm,2024-10-22,,,,,,,,,,,,,
超越30亿美元,优化算法,交通运输,QAOA,McKinsey & Company,https://www.mckinsey.com/business-functions/mckinsey-digital/our-insights/quantum-computing-and-the-future-of-the-industry,2024-10-22,,,,,,,,,,,,,
12.3亿美元,图像识别,零售,QML,Gartner,https://www.gartner.com/en/information-technology,2024-10-22,,,,,,,,,,,,,
63亿美元,气候模拟,环保,VQE,Forrester Research,https://go.forrester.com/research/,2024-10-22,,,,,,,,,,,,,
97亿人民币,材料科学,制造业,QAOA,PwC,https://www.pwc.com/gx/en/industries/technology.html,2024-10-22,,,,,,,,,,,,,
超出20亿美元,金融建模,金融,QML,Deloitte Insights,https://www2.deloitte.com/global/en/insights/technology/quantum-computing.html,2024-10-22,,,,,,,,,,,,,
25亿美元,机器学习,网络安全,VQE,Research and Markets,https://www.researchandmarkets.com/,2024-10-22,,,,,,,,,,,,,
38亿美元,生态模型,农业,QPE,Frost & Sullivan,https://www.frost.com/,2024-10-22,,,,,,,,,,,,,
超越18亿美元,金融风险评估,保险,QKD,TechNavio,https://www.technavio.com/,2024-10-22,,,,,,,,,,,,,
超出35亿美元,网络安全,金融,QKD（量子密钥分发）,Statista,https://www.statista.com,2024-10-22,,,,,,,,,,,,,
约25.4亿元（人民币）,密码破解,IT与信息技术,Shor's Algorithm,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
15亿美元,优化,交通运输,QAOA（量子近似优化算法）,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
30亿美元,药物研发,制药,VQE（变分量子特征求解器）,Nature Reviews,https://www.nature.com/natrev,2024-10-22,,,,,,,,,,,,,
超出60亿美元,金融建模,银行,HHL（量子霍尔算法）,Bloomberg,https://www.bloomberg.com,2024-10-22,,,,,,,,,,,,,
22亿美元,机器学习,自动驾驶,QML（量子机器学习）,Forrester,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
超出18亿元（人民币）,数据分析,能源,QPE（量子相位估计）,Deloitte,https://www2.deloitte.com,2024-10-22,,,,,,,,,,,,,
9亿美元,材料科学,研究与开发,QAOA,Reuters,https://www.reuters.com,2024-10-22,,,,,,,,,,,,,
5亿美元,神经网络,电子通信,Quantum Neural Network (QNN),IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,,
超出43亿美元,最优资源分配,供应链管理,D-Wave Quantum Annealing,Frost & Sullivan,https://www.frost.com,2024-10-22,,,,,,,,,,,,,
超过25亿美元,区块链安全,金融科技,QKD（量子密钥分发）,Gartner,https://www.gartner.com/en/information-technology,2024-10-22,,,,,,,,,,,,,
29亿元（人民币）,车辆调度优化,交通运输,QAOA（量子近似优化算法）,麦肯锡 & 公司,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
1.2亿美元,材料科学,半导体,VQE（变分量子特征求解器）,Nature Reviews,https://www.nature.com/natrev,2024-10-22,,,,,,,,,,,,,
63亿美元,药物发现,生物制药,QPE（量子相位估计）,Bloomberg,https://www.bloomberg.com,2024-10-22,,,,,,,,,,,,,
35.6亿美元,气候建模,可再生能源,QML（量子机器学习）,World Economic Forum,https://www.weforum.org,2024-10-22,,,,,,,,,,,,,
15亿美元,人口普查分析,政府统计,QAOA,Pew Research Center,https://www.pewresearch.org,2024-10-22,,,,,,,,,,,,,
90亿元（人民币）,风险管理,保险业,QKD（量子密钥分发）,Forrester Research,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
5.5亿美元,极端天气模拟,气象学,VQE（变分量子特征求解器）,MIT Technology Review,https://www.technologyreview.com,2024-10-22,,,,,,,,,,,,,
12亿美元,物流优化,电子商务,QML（量子机器学习）,Frost & Sullivan,https://www.frost.com,2024-10-22,,,,,,,,,,,,,
超过20亿美元,金融市场预测,投资,QPE（量子相位估计）,Deloitte,https://www2.deloitte.com,2024-10-22,,,,,,,,,,,,,
超过15亿美元,供应链优化,物流,QAOA,Market Research Future,https://www.marketresearchfuture.com/,2024-10-22,,,,,,,,,,,,,
63.5亿元（人民币）,金融建模,保险,QML,Zion Market Research,https://www.zionmarketresearch.com/,2024-10-22,,,,,,,,,,,,,
26亿美元,优化问题求解,制造业,QPE,ResearchAndMarkets,https://www.researchandmarkets.com/,2024-10-22,,,,,,,,,,,,,
12.7亿美元,图像识别,传媒与广告,VQE,Fortune Business Insights,https://www.fortunebusinessinsights.com/,2024-10-22,,,,,,,,,,,,,
项目待定,药物发现,制药,量子模拟,GlobalData,https://www.globaldata.com/store/,2024-10-22,,,,,,,,,,,,,
超过150亿美元,气候建模,环境科学,QKD,IDC,https://www.idc.com/,2024-10-22,,,,,,,,,,,,,
20亿美元,网络安全,IT与通讯,QKD,Gartner,https://www.gartner.com/en,2024-10-22,,,,,,,,,,,,,
75.3亿元（人民币）,供应链管理,零售,QAOA,Emergen Research,https://www.emergenresearch.com/,2024-10-22,,,,,,,,,,,,,
达18亿美元,风险分析,银行,QML,Precedence Research,https://www.precedenceresearch.com/,2024-10-22,,,,,,,,,,,,,
超过120亿美元, blockchain集成,金融科技,量子加密,McKinsey & Company,https://www.mckinsey.com/,2024-10-22,,,,,,,,,,,,,
22亿美元,金融风险分析,金融,QAA（量子约束算法）,MarketsandMarkets,https://www.marketsandmarkets.com,2024-10-22,,,,,,,,,,,,,
30亿元（人民币）,交通优化,智能交通,QML（量子机器学习）,艾瑞咨询,https://www.iresearch.com.cn,2024-10-22,,,,,,,,,,,,,
5.3亿美元,材料科学,航天,VQE（变分量子特征求解器）,ResearchAndMarkets,https://www.researchandmarkets.com,2024-10-22,,,,,,,,,,,,,
15亿美元,供应链管理,制造业,QPE（量子相位估计）,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
10.2亿美元,医疗影像处理,医疗健康,QKD（量子密钥分发）,Biotechnology Innovation Organization,https://www.bio.org,2024-10-22,,,,,,,,,,,,,
63亿美元,气候模拟,环境科学,HHL（量子求解算法）,International Energy Agency,https://www.iea.org,2024-10-22,,,,,,,,,,,,,
44亿美元,数据安全,信息技术,QKD（量子密钥分发）,Cybersecurity Ventures,https://cybersecurityventures.com,2024-10-22,,,,,,,,,,,,,
1.5亿美元,量子通信,电信,BB84（量子密钥分发协议）,Telecoms.com,https://www.telecoms.com,2024-10-22,,,,,,,,,,,,,
17亿美元,信息检索,互联网,QRAM（量子随机存取存储器）,Forrester Research,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
9.7亿美元,图像识别,人工智能,QNN（量子神经网络）,MIT Technology Review,https://www.technologyreview.com,2024-10-22,,,,,,,,,,,,,
超过25亿美元,智能合约,区块链,QKD（量子密钥分发）,在路上,https://www.zailu.com/quantum-key-distribution,2024-10-22,,,,,,,,,,,,,
26亿元（人民币）,量子模拟,材料科学,VQE（变分量子特征求解器）,中国材料研究学会,https://www.materials.org.cn/quantum-simulation-report,2024-10-22,,,,,,,,,,,,,
近15亿美元,药物发现,制药,QAOA（量子近似优化算法）,PharmaTimes,https://www.pharmatimes.com/reports/quantum-pharma,2024-10-22,,,,,,,,,,,,,
82亿美元,金融风险分析,金融,SDP（半正定规划）,Financial Technology Review,https://www.fintechreview.com/quantum-financial-risk,2024-10-22,,,,,,,,,,,,,
45.5亿元（人民币）,智能交通,交通管理,量子遗传算法,中国交通运输协会,https://www.cac.org.cn/quantum-transportation,2024-10-22,,,,,,,,,,,,,
21亿美元,图像识别,安全与监控,QML（量子机器学习）,Security Today,https://www.securitytoday.com/quantum-image-recognition,2024-10-22,,,,,,,,,,,,,
超过98亿美元,优化供应链,零售,QAOA,Supply Chain Weekly,https://www.supplychainweekly.com/quantum-supply-chain,2024-10-22,,,,,,,,,,,,,
73亿美元,气候模型分析,环境科学,QPE（量子相位估计）,Environmental Research Letters,https://www.erletters.com/quantum-climate-modeling,2024-10-22,,,,,,,,,,,,,
37亿元（人民币）,大数据分析,信息技术,量子傅里叶变换,IT Weekly,https://www.itweekly.com/quantum-big-data,2024-10-22,,,,,,,,,,,,,
12.5亿美元,模型预测,自动驾驶,QML（量子机器学习）,Autonomous Vehicle Research,https://www.autonomousresearch.com/quantum-model-prediction,2024-10-22,,,,,,,,,,,,,
25亿美元,量子加密,金融服务,QKD（量子密钥分发）,Statista,https://www.statista.com/,2024-10-22,,,,,,,,,,,,,
12.5亿元（人民币）,量子机器学习,网络安全,QML（量子机器学习）,中投顾问,https://www.china-investment.com/,2024-10-22,,,,,,,,,,,,,
22亿美元,药物发现,制药,VQE（变分量子特征求解器）,Frost & Sullivan,https://www.frost.com/,2024-10-22,,,,,,,,,,,,,
超过60亿美元,气候模型,环境科学,QPE（量子相位估计）,BCG,https://www.bcg.com/,2024-10-22,,,,,,,,,,,,,
90亿人民币,供应链优化,物流,QAOA（量子近似优化算法）,清华大学,https://www.tsinghua.edu.cn/,2024-10-22,,,,,,,,,,,,,
35亿美元,材料科学,新能源,VQE,麦肯锡,https://www.mckinsey.com/,2024-10-22,,,,,,,,,,,,,
