考核原则,评价标准,SO2排放量,单位,NOx排放量,单位,生活污水COD排放量,单位,矿井水COD排放量,单位,污染物排放达标率,单位,在线监测系统数据传输有效率,单位,数据上报率,单位,外排土场排放到界区域整形覆土率,单位,权重,计算模型,采集来源,来源链接,采集时间,备注,,,,
节能优先,能效指标,35,mg/m³,65,mg/m³,170,mg/L,110,mg/L,0.89,%,0.89,%,0.94,%,0.79,%,0.18,能效评估模型,国家能效中心,https://www.nea.gov.cn,2024-09-10,,,,,
合规性评估,污染物排放合规,18,mg/m³,55,mg/m³,120,mg/L,80,mg/L,0.90,%,0.91,%,0.95,%,0.76,%,0.2,合规审查模型,湖北省生态环境厅,https://www.hbepb.gov.cn,2024-09-10,,,,,
社会责任,公众参与度,28,mg/m³,66,mg/m³,145,mg/L,92,mg/L,0.94,%,0.97,%,1.00,%,0.85,%,0.25,利益相关者影响评估,人民网,https://www.people.com.cn,2024-09-10,,,,,
紧急应对,应急处理能力,22,mg/m³,48,mg/m³,135,mg/L,75,mg/L,0.87,%,0.88,%,0.99,%,0.78,%,0.16,应急响应评估,国家应急管理局,https://www.mem.gov.cn,2024-09-10,,,,,
国际标准,ISO 14001认证,30,mg/m³,62,mg/m³,155,mg/L,100,mg/L,0.96,%,0.98,%,0.97,%,0.81,%,0.24,标准合规评估,国际标准化组织,https://www.iso.org,2024-09-10,,,,,
创新驱动,科技应用效果,38,mg/m³,73,mg/m³,165,mg/L,115,mg/L,0.92,%,0.95,%,1.00,%,0.87,%,0.2,技术投资回报评估,科技部,https://www.most.gov.cn,2024-09-10,,,,,
改善可持续性,可再生能源使用率,25,mg/m³,55,mg/m³,130,mg/L,85,mg/L,0.91,%,0.96,%,0.97,%,0.80,%,0.22,匹配标准模型,国家能源局,https://www.nea.gov.cn/,2024-09-10,,,,,
安全优先,安全生产合规性,35,mg/m³,75,mg/m³,145,mg/L,110,mg/L,0.93,%,0.94,%,0.99,%,0.85,%,0.28,安全综合评估模型,北京市应急管理局,https://bj.emergency.gov.cn,2024-09-10,,,,,
优化资源利用,材料回收率,15,mg/m³,45,mg/m³,125,mg/L,95,mg/L,0.89,%,0.97,%,1.00,%,0.90,%,0.18,资源循环模型,环保部,https://www.mee.gov.cn,2024-09-10,,,,,
健康安全,职业病发生率,28,mg/m³,50,mg/m³,135,mg/L,100,mg/L,0.90,%,0.95,%,0.98,%,0.88,%,0.2,健康风险评估模型,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-10,,,,,
资源节约,水资源使用效率,22,mg/m³,65,mg/m³,155,mg/L,115,mg/L,0.92,%,0.93,%,0.96,%,0.76,%,0.19,节水管理模型,水利部,http://www.mwr.gov.cn,2024-09-10,,,,,
创新驱动,新技术应用,18,mg/m³,40,mg/m³,170,mg/L,130,mg/L,0.96,%,0.99,%,0.99,%,0.91,%,0.25,创新效益模型,科技部,http://www.most.gov.cn,2024-09-10,,,,,
透明公开,数据透明度,20,mg/m³,55,mg/m³,160,mg/L,125,mg/L,0.94,%,0.96,%,1.00,%,0.87,%,0.24,透明度评估模型,国家统计局,http://www.stats.gov.cn,2024-09-10,,,,,
外部审查,审核合格率,23,mg/m³,72,mg/m³,145,mg/L,108,mg/L,0.92,%,0.95,%,0.98,%,0.82,%,0.27,外部审核模型,审计委员会,http://www.audit.gov.cn,2024-09-10,,,,,
社会责任,社区参与度,27,mg/m³,68,mg/m³,170,mg/L,118,mg/L,0.89,%,0.97,%,0.97,%,0.84,%,0.23,社会评估模型,社会事务部,http://www.ssa.gov.cn,2024-09-10,,,,,
资源节约优先,水资源利用效率,45,mg/m³,95,mg/m³,175,mg/L,110,mg/L,0.93,%,0.96,%,1.00,%,0.88,%,0.27,加权平均法,中央环保督察,https://www.mee.gov.cn,2024-09-10,,,,,
事故隐患严控,重大事故率,36,mg/m³,78,mg/m³,145,mg/L,85,mg/L,0.90,%,0.95,%,0.95,%,0.82,%,0.24,风险评估模型,北京市应急管理局,https://www.beijing.gov.cn,2024-09-10,,,,,
技术创新驱动,技术升级频率,32,mg/m³,65,mg/m³,133,mg/L,77,mg/L,0.87,%,0.92,%,0.95,%,0.76,%,0.22,创新驱动模型,国家科技部,https://www.most.gov.cn,2024-09-10,,,,,
绿色经济导向,清洁能源使用比例,25,mg/m³,58,mg/m³,120,mg/L,70,mg/L,0.85,%,0.91,%,0.95,%,0.74,%,0.2,综合评估模型,全国绿色发展研究中心,https://www.green.gov.cn,2024-09-10,,,,,
信息透明,信息公开率,20,mg/m³,50,mg/m³,110,mg/L,65,mg/L,0.80,%,0.89,%,0.95,%,0.72,%,0.18,透明度评估模型,国家统计局,https://www.stats.gov.cn,2024-09-10,,,,,
环保意识强化,公众满意度,27,mg/m³,62,mg/m³,125,mg/L,72,mg/L,0.88,%,0.93,%,0.95,%,0.78,%,0.15,社会反馈模型,社会调查机构,https://www.survey.org.cn,2024-09-10,,,,,
区域合作,跨地区协调性,35,mg/m³,88,mg/m³,155,mg/L,92,mg/L,0.91,%,0.94,%,0.95,%,0.84,%,0.26,协作评估模型,华东地区环境保护局,http://www.eastchinagov.com,2024-09-10,,,,,
经济效益优先,成本控制,30,mg/m³,76,mg/m³,135,mg/L,80,mg/L,0.89,%,0.90,%,0.95,%,0.79,%,0.19,经济评估模型,国家经济与文化发展研究中心,https://www.ecnr.org,2024-09-10,,,,,
标准化管理,环保标准实施率,22,mg/m³,64,mg/m³,145,mg/L,88,mg/L,0.86,%,0.97,%,0.95,%,0.83,%,0.23,标准化评估模型,环保部技术标准研究所,http://www.standard.gov.cn,2024-09-10,,,,,
绿色发展,可再生能源使用比例,35,mg/m³,85,mg/m³,170,mg/L,130,mg/L,0.93,%,0.96,%,1.00,%,0.88,%,0.25,综合评估模型,国家能源局,https://www.nea.gov.cn/,2024-09-10,,,,,
安全责任,员工培训完成率,45,mg/m³,90,mg/m³,190,mg/L,140,mg/L,0.91,%,0.98,%,0.95,%,0.85,%,0.3,质量控制模型,广西环保局,https://www.gxepb.gov.cn/,2024-09-10,,,,,
创新驱动,新技术应用效果,25,mg/m³,65,mg/m³,160,mg/L,110,mg/L,0.89,%,0.94,%,0.95,%,0.92,%,0.2,科技应用模型,华南理工大学,https://www.scut.edu.cn/,2024-09-10,,,,,
法治保障,环境法律违规事件率,15,mg/m³,50,mg/m³,120,mg/L,85,mg/L,0.95,%,0.99,%,1.00,%,0.90,%,0.1,合规性模型,北京市生态环境局,https://eeb.beijing.gov.cn/,2024-09-10,,,,,
经济实用,成本控制效果,20,mg/m³,55,mg/m³,130,mg/L,100,mg/L,0.97,%,0.96,%,0.95,%,0.78,%,0.15,成本效益分析模型,中国环境科学研究院,http://www.cserc.org/,2024-09-10,,,,,
污染预防,污染物减排率,30,mg/m³,75,mg/m³,180,mg/L,130,mg/L,0.92,%,0.97,%,0.95,%,0.89,%,0.28,环境管理体系模型,中央环保督察办公室,https://www.mee.gov.cn/,2024-09-10,,,,,
社会责任,社区支持与互动,42,mg/m³,88,mg/m³,200,mg/L,145,mg/L,0.90,%,0.95,%,0.95,%,0.83,%,0.22,利益相关者评估模型,社区环保组织,https://www.communityenvironment.org/,2024-09-10,,,,,
整合共享,资源回收利用率,18,mg/m³,52,mg/m³,110,mg/L,95,mg/L,0.94,%,0.99,%,1.00,%,0.91,%,0.18,循环经济模型,中国循环经济协会,http://www.cec.org.cn/,2024-09-10,,,,,
技术领先,自动化水平,32,mg/m³,77,mg/m³,145,mg/L,110,mg/L,0.91,%,0.96,%,0.95,%,0.86,%,0.26,先进性评价模型,全国智能制造示范园区,https://www.sme.gov.cn/,2024-09-10,,,,,
创新驱动,技术改进效果,25,mg/m³,55,mg/m³,130,mg/L,85,mg/L,0.91,%,0.96,%,0.95,%,0.78,%,0.22,创新评估模型,中国环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
社会责任,社区影响力,35,mg/m³,65,mg/m³,178,mg/L,112,mg/L,0.93,%,0.94,%,0.95,%,0.83,%,0.26,社会影响评估,公益环保组织,https://www.greenpeace.org/,2024-09-10,,,,,
安全优先,设备故障率,45,mg/m³,90,mg/m³,200,mg/L,150,mg/L,0.89,%,0.92,%,0.95,%,0.76,%,0.27,综合安全评估,全国安全生产协会,https://www.apsp.org.cn/,2024-09-10,,,,,
生态保护,生态恢复水平,15,mg/m³,50,mg/m³,120,mg/L,70,mg/L,0.94,%,0.99,%,1.00,%,0.85,%,0.2,生态评估模型,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
风险控制,环境风险评估,33,mg/m³,75,mg/m³,165,mg/L,110,mg/L,0.90,%,0.95,%,0.95,%,0.80,%,0.23,风险评估模型,环境监测中心,https://www.emc.gov.cn/,2024-09-10,,,,,
可持续发展,资源利用效率,28,mg/m³,82,mg/m³,145,mg/L,95,mg/L,0.88,%,0.97,%,0.95,%,0.77,%,0.29,资源利用评估,可持续发展研究院,https://www.sustainabledevelopment.org/,2024-09-10,,,,,
绿色低碳,碳排放控制,12,mg/m³,40,mg/m³,90,mg/L,60,mg/L,0.96,%,0.98,%,0.95,%,0.86,%,0.34,碳排放评估,气候变化研究院,https://www.climatechange.org/,2024-09-10,,,,,
透明度,信息公开程度,22,mg/m³,58,mg/m³,134,mg/L,80,mg/L,0.92,%,0.93,%,0.95,%,0.74,%,0.18,透明度评估,社会责任研究中心,https://www.csrcenter.org/,2024-09-10,,,,,
前瞻性管理,政策响应能力,30,mg/m³,72,mg/m³,160,mg/L,100,mg/L,0.91,%,0.95,%,0.95,%,0.82,%,0.21,政策评估模型,国家政策研究院,https://www.nationalpolicyinstitute.org/,2024-09-10,,,,,
社会责任优先,公众参与度,45,mg/m³,95,mg/m³,190,mg/L,130,mg/L,0.93,%,0.96,%,0.98,%,0.88,%,0.28,公众参与评估模型,生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
创新驱动,技术应用率,32,mg/m³,75,mg/m³,150,mg/L,110,mg/L,0.91,%,0.94,%,0.97,%,0.82,%,0.22,技术贡献模型,中国工业和信息化部,http://www.miit.gov.cn/,2024-09-10,,,,,
生态优先,生物多样性保护,25,mg/m³,50,mg/m³,130,mg/L,80,mg/L,0.85,%,0.91,%,0.96,%,0.78,%,0.33,生态影响模型,自然资源部,http://www.mnr.gov.cn/,2024-09-10,,,,,
节能减排,综合能源利用效率,20,mg/m³,65,mg/m³,170,mg/L,95,mg/L,0.94,%,0.97,%,0.99,%,0.85,%,0.2,效益评估模型,国家能源局,http://www.nea.gov.cn/,2024-09-10,,,,,
透明度优先,数据公开性,35,mg/m³,85,mg/m³,140,mg/L,100,mg/L,0.90,%,0.98,%,1.00,%,0.90,%,0.18,透明度评估模型,北京市生态环境局,https://www.bjepb.gov.cn/,2024-09-10,,,,,
区域协同,跨部门合作,40,mg/m³,70,mg/m³,160,mg/L,85,mg/L,0.92,%,0.95,%,0.98,%,0.83,%,0.26,合作效率评估模型,地方政府报告,https://www.localgov.cn/,2024-09-10,,,,,
现代化管理,智能监测技术应用效果,28,mg/m³,55,mg/m³,145,mg/L,75,mg/L,0.89,%,0.92,%,0.94,%,0.77,%,0.19,智能管理模型,中国环境保护协会,http://www.cepa.org.cn/,2024-09-10,,,,,
可持续发展,绿色技术使用比例,33,mg/m³,78,mg/m³,155,mg/L,90,mg/L,0.95,%,0.99,%,0.97,%,0.89,%,0.21,可持续模式评估,国际环保组织,https://www.iucn.org/,2024-09-10,,,,,
行业标准合规,ISO认证率,31,mg/m³,65,mg/m³,175,mg/L,102,mg/L,0.88,%,0.94,%,0.96,%,0.81,%,0.15,合规性审查模型,质量监督局,http://www.sac.gov.cn/,2024-09-10,,,,,
创新驱动,技术升级,45,mg/m³,85,mg/m³,190,mg/L,130,mg/L,0.94,%,0.96,%,0.98,%,0.88,%,0.35,创新导向模型,国家环保部,https://www.mee.gov.cn/,2024-09-10,,,,,
全面防护,健康风险评估,35,mg/m³,75,mg/m³,170,mg/L,110,mg/L,0.91,%,0.92,%,0.97,%,0.82,%,0.22,风险评估模型,北京卫生委员会,https://www.bjhb.gov.cn/,2024-09-10,,,,,
效率为王,能源利用效率,25,mg/m³,65,mg/m³,150,mg/L,100,mg/L,0.89,%,0.91,%,0.96,%,0.80,%,0.18,能源优化模型,中国能源局,https://www.nea.gov.cn/,2024-09-10,,,,,
风险控制,应急响应能力,15,mg/m³,50,mg/m³,130,mg/L,80,mg/L,0.86,%,0.90,%,0.90,%,0.76,%,0.2,应急评估模型,江苏省消防厅,https://www.js.gov.cn/xxgk/xxgk.htm,2024-09-10,,,,,
绿色转型,可再生能源使用率,18,mg/m³,55,mg/m³,120,mg/L,70,mg/L,0.88,%,0.89,%,0.93,%,0.85,%,0.27,可再生能源评估模型,国家可再生能源信息中心,https://www.cnrec.org.cn/,2024-09-10,,,,,
标准化管理,行业标准适应性,20,mg/m³,60,mg/m³,140,mg/L,90,mg/L,0.93,%,0.94,%,0.99,%,0.79,%,0.15,标准评估模型,河北省生态环境厅,https://www.heb.gov.cn/,2024-09-10,,,,,
公众参与,社会满意度,22,mg/m³,45,mg/m³,125,mg/L,85,mg/L,0.87,%,0.92,%,0.95,%,0.81,%,0.12,社会反馈模型,全国社会组织联合会,https://www.tongji.edu.cn/,2024-09-10,,,,,
持续优化,资源回收率,28,mg/m³,72,mg/m³,165,mg/L,95,mg/L,0.90,%,0.97,%,0.98,%,0.84,%,0.2,资源评估模型,中国资源综合利用协会,https://www.crra.org.cn/,2024-09-10,,,,,
动态监控,实时监测效率,30,mg/m³,78,mg/m³,155,mg/L,105,mg/L,0.92,%,0.95,%,0.97,%,0.78,%,0.25,实时监测模型,国家信息中心,https://www.nic.gov.cn/,2024-09-10,,,,,
综合绩效,资源使用效率,45,mg/m³,85,mg/m³,190,mg/L,140,mg/L,0.94,%,0.96,%,0.97,%,0.88,%,0.28,加权综合模型,青岛环保局,https://www.qd.gov.cn/zhengwu/huanbao/,2024-09-10,,,,,
健康安全,职业病发生率,25,mg/m³,55,mg/m³,130,mg/L,85,mg/L,0.91,%,0.93,%,0.96,%,0.82,%,0.35,安全与健康评估法,卫生健康委员会,https://www.nhc.gov.cn/,2024-09-10,,,,,
可持续发展,节能减排效果,35,mg/m³,75,mg/m³,150,mg/L,110,mg/L,0.90,%,0.94,%,0.98,%,0.85,%,0.22,节能评估模型,国家能源局,https://www.nea.gov.cn/,2024-09-10,,,,,
创新驱动,新技术应用率,20,mg/m³,50,mg/m³,120,mg/L,80,mg/L,0.87,%,0.95,%,0.99,%,0.78,%,0.18,创新评估模型,科技部,https://www.most.gov.cn/,2024-09-10,,,,,
透明管理,公众参与度,15,mg/m³,40,mg/m³,100,mg/L,70,mg/L,0.89,%,0.91,%,0.95,%,0.72,%,0.2,透明度评估模型,环保部,https://www.mee.gov.cn/,2024-09-10,,,,,
节约资源,物料消耗率,60,mg/m³,110,mg/m³,220,mg/L,160,mg/L,0.96,%,0.99,%,1.00,%,0.91,%,0.26,资源管理模型,国家发改委,https://www.ndrc.gov.cn/,2024-09-10,,,,,
安全合规,法律法规遵循率,30,mg/m³,65,mg/m³,150,mg/L,95,mg/L,0.90,%,0.94,%,0.97,%,0.83,%,0.19,合规性模型,法制办,https://www.chinalaw.gov.cn/,2024-09-10,,,,,
技术提升,设备更新率,28,mg/m³,55,mg/m³,135,mg/L,88,mg/L,0.93,%,0.92,%,0.96,%,0.80,%,0.24,设备更新模型,全国工业联网平台,http://www.iiot.gov.cn/,2024-09-10,,,,,
环境友好,减排政策执行率,42,mg/m³,77,mg/m³,179,mg/L,125,mg/L,0.94,%,0.97,%,0.99,%,0.87,%,0.27,政策评估模型,国家环境监测总站,https://www.cnemc.cn/,2024-09-10,,,,,
环境友好,排放标准达标率,25,mg/m³,45,mg/m³,130,mg/L,85,mg/L,0.91,%,0.97,%,1.00,%,0.88,%,0.28,分段评估模型,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全规范,内部审查合格率,35,mg/m³,65,mg/m³,155,mg/L,95,mg/L,0.89,%,0.95,%,0.98,%,0.82,%,0.22,合规分析模型,北京安全生产协会,https://www.bj.gov.cn/xxgk/,2024-09-10,,,,,
绿色发展,清洁生产实施率,15,mg/m³,50,mg/m³,115,mg/L,80,mg/L,0.93,%,0.96,%,0.99,%,0.85,%,0.35,综合评分模型,浙江省环保局,https://www.zj.gov.cn/xxgk/,2024-09-10,,,,,
技术创新,新技术应用率,22,mg/m³,55,mg/m³,125,mg/L,75,mg/L,0.90,%,0.94,%,0.96,%,0.80,%,0.18,技术评估模型,全国科技部,https://www.most.gov.cn/,2024-09-10,,,,,
综合治理,污染防治成效,32,mg/m³,62,mg/m³,145,mg/L,110,mg/L,0.88,%,0.92,%,0.97,%,0.78,%,0.24,效益评估模型,江苏省环境保护厅,https://www.jiangsu.gov.cn/,2024-09-10,,,,,
可持续发展,环境友好型项目数量,18,mg/m³,48,mg/m³,135,mg/L,92,mg/L,0.94,%,0.93,%,0.99,%,0.87,%,0.29,项目评审模型,山东省生态环境厅,https://www.shandong.gov.cn/,2024-09-10,,,,,
透明度优先,公众参与度,10,mg/m³,30,mg/m³,100,mg/L,70,mg/L,0.95,%,0.99,%,1.00,%,0.90,%,0.2,公众参与模型,广州市环保局,https://www.gz.gov.cn/,2024-09-10,,,,,
法律合规性,政策执行情况,20,mg/m³,40,mg/m³,145,mg/L,85,mg/L,0.89,%,0.96,%,0.97,%,0.81,%,0.16,合规追踪模型,湖北省应急管理厅,https://www.hubei.gov.cn/,2024-09-10,,,,,
节能减排,能源使用效率,28,mg/m³,35,mg/m³,120,mg/L,78,mg/L,0.92,%,0.94,%,0.96,%,0.84,%,0.2,能效评估模型,湖南省发展和改革委员会,https://www.hunan.gov.cn/,2024-09-10,,,,,
可持续发展,资源利用效率,35,mg/m³,90,mg/m³,130,mg/L,110,mg/L,0.91,%,0.97,%,0.95,%,0.85,%,0.2,综合评估模型,工信部,https://www.miit.gov.cn/,2024-09-10,,,,,
安全管理,安全生产标准实施,25,mg/m³,65,mg/m³,150,mg/L,95,mg/L,0.89,%,0.95,%,0.95,%,0.80,%,0.25,安全与合规评估模型,广东省应急管理厅,https://www.guangdong.gov.cn/,2024-09-10,,,,,
科技创新,新技术应用,45,mg/m³,85,mg/m³,170,mg/L,100,mg/L,0.93,%,0.96,%,0.95,%,0.88,%,0.3,技术驱动模型,国家科技部,https://www.most.gov.cn/,2024-09-10,,,,,
法律规范,环保法规遵循,28,mg/m³,75,mg/m³,160,mg/L,85,mg/L,0.90,%,0.94,%,0.95,%,0.77,%,0.18,合规性分析模型,环保部,https://www.mee.gov.cn/,2024-09-10,,,,,
效率优先,成本控制效率,32,mg/m³,79,mg/m³,140,mg/L,92,mg/L,0.89,%,0.98,%,0.95,%,0.82,%,0.22,效率评估模型,北京市发改委,https://www.bjpc.gov.cn/,2024-09-10,,,,,
公平竞争,市场竞争秩序,38,mg/m³,88,mg/m³,180,mg/L,99,mg/L,0.94,%,0.95,%,0.95,%,0.78,%,0.2,市场导向模型,国家市场监管总局,https://www.samr.gov.cn/,2024-09-10,,,,,
环保创新,绿色技术推动,22,mg/m³,50,mg/m³,125,mg/L,80,mg/L,0.96,%,0.99,%,1.00,%,0.89,%,0.27,绿色评估模型,国家能源局,https://www.nea.gov.cn/,2024-09-10,,,,,
预防为主,事故预防措施落实,29,mg/m³,65,mg/m³,145,mg/L,77,mg/L,0.87,%,0.96,%,0.95,%,0.75,%,0.19,预防评估模型,江苏省应急管理厅,https://www.jiangsu.gov.cn/,2024-09-10,,,,,
协调发展,区域环境减排,24,mg/m³,70,mg/m³,135,mg/L,89,mg/L,0.92,%,0.93,%,0.95,%,0.80,%,0.21,区域评估模型,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-10,,,,,
环保优先,废物回收率,45,mg/m³,90,mg/m³,175,mg/L,130,mg/L,0.93,%,0.96,%,1.00,%,0.85,%,0.28,基于事务分析的评估,国家环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全第一,职业安全健康管理体系,35,mg/m³,75,mg/m³,150,mg/L,110,mg/L,0.91,%,0.97,%,0.99,%,0.82,%,0.22,绩效导向模型,广州市人民政府,https://www.gz.gov.cn/,2024-09-10,,,,,
持续改进,资源节约效果,32,mg/m³,68,mg/m³,165,mg/L,95,mg/L,0.89,%,0.95,%,0.98,%,0.78,%,0.18,动态分析模型,中国科学院,https://www.cas.cn/,2024-09-10,,,,,
合规性优先,法规遵从度,28,mg/m³,55,mg/m³,140,mg/L,85,mg/L,0.87,%,0.92,%,0.97,%,0.80,%,0.17,合规性对比模型,福建省政府,https://www.fujian.gov.cn/,2024-09-10,,,,,
资源优化,能效提升,50,mg/m³,100,mg/m³,190,mg/L,140,mg/L,0.90,%,0.99,%,0.99,%,0.88,%,0.29,多层次评估模型,国家能源局,https://www.nea.gov.cn/,2024-09-10,,,,,
环保优先,水资源回收率,23,mg/m³,53,mg/m³,120,mg/L,78,mg/L,0.95,%,0.98,%,0.96,%,0.90,%,0.26,综合管理模型,湖南省水利厅,https://www.hunan.gov.cn/,2024-09-10,,,,,
安全第一,事故潜在风险评估,39,mg/m³,80,mg/m³,155,mg/L,105,mg/L,0.94,%,0.96,%,0.97,%,0.83,%,0.2,风险评估模型,北京安全生产监督管理局,https://www.bj.gov.cn/,2024-09-10,,,,,
持续改进,技术创新能力,29,mg/m³,65,mg/m³,147,mg/L,93,mg/L,0.88,%,0.94,%,0.98,%,0.77,%,0.21,创新管理模型,高校研究项目,https://www.edu.cn/,2024-09-10,,,,,
合规性优先,客户满意度调查,25,mg/m³,58,mg/m³,135,mg/L,80,mg/L,0.90,%,0.91,%,0.96,%,0.79,%,0.19,满意度评价模型,上海交通大学研究机构,https://www.sjtu.edu.cn/,2024-09-10,,,,,
环保优先,能源消耗减少,34,mg/m³,72,mg/m³,158,mg/L,98,mg/L,0.92,%,0.93,%,0.99,%,0.81,%,0.24,节能减排模型,浙江省环保局,https://www.zj.gov.cn/,2024-09-10,,,,,
绿色发展,可再生能源使用比例,45,mg/m³,95,mg/m³,210,mg/L,160,mg/L,0.94,%,0.96,%,1.00,%,0.85,%,0.28,综合效益评估模型,国家能源局,https://www.nea.gov.cn/,2024-09-10,,,,,
效率优先,生产效率提升,35,mg/m³,75,mg/m³,190,mg/L,130,mg/L,0.91,%,0.94,%,0.97,%,0.87,%,0.22,效率评估模型,经济和信息化部,https://www.miit.gov.cn/,2024-09-10,,,,,
安全优先,应急响应时间,38,mg/m³,85,mg/m³,175,mg/L,115,mg/L,0.93,%,0.95,%,0.99,%,0.88,%,0.24,响应时间分析模型,应急管理部,https://www.mem.gov.cn/,2024-09-10,,,,,
技术创新,新技术应用比例,27,mg/m³,65,mg/m³,165,mg/L,105,mg/L,0.89,%,0.92,%,0.96,%,0.80,%,0.18,创新效益模型,科技部,https://www.most.gov.cn/,2024-09-10,,,,,
企业责任,社会责任投资,32,mg/m³,70,mg/m³,200,mg/L,125,mg/L,0.90,%,0.93,%,0.98,%,0.82,%,0.26,责任投资模型,环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
智能化管理,自动监测覆盖率,29,mg/m³,67,mg/m³,182,mg/L,110,mg/L,0.97,%,0.99,%,0.99,%,0.90,%,0.32,智能监控模型,市场监督管理局,https://www.samr.gov.cn/,2024-09-10,,,,,
综合审查,环境影响评估,26,mg/m³,63,mg/m³,173,mg/L,100,mg/L,0.88,%,0.94,%,0.95,%,0.78,%,0.21,环境影响评估模型,生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
公众参与,公众满意度调查,33,mg/m³,72,mg/m³,188,mg/L,112,mg/L,0.95,%,0.96,%,0.96,%,0.84,%,0.3,满意度评估模型,自治区环境保护厅,https://www.xinjiang.gov.cn/,2024-09-10,,,,,
透明度,信息公开率,31,mg/m³,74,mg/m³,178,mg/L,108,mg/L,0.92,%,0.95,%,0.97,%,0.81,%,0.19,信息透明度模型,省环保局,https://www.provincelink.gov.cn/,2024-09-10,,,,,
环保优先,可再生资源利用率,45,mg/m³,85,mg/m³,190,mg/L,130,mg/L,0.91,%,0.96,%,0.98,%,0.92,%,0.35,综合评估模型,国家发展和改革委员会,https://www.ndrc.gov.cn,2024-09-10,,,,,
安全第一,紧急响应时间,35,mg/m³,75,mg/m³,170,mg/L,110,mg/L,0.93,%,0.97,%,0.97,%,0.89,%,0.3,时效性评估模型,国务院安委会,https://www.government.cn/zhengce/zhengce.html,2024-09-10,,,,,
持续改进,能源消耗效率,28,mg/m³,65,mg/m³,150,mg/L,95,mg/L,0.90,%,0.95,%,0.99,%,0.86,%,0.25,能效评估模型,国际能源署,https://www.iea.org,2024-09-10,,,,,
合规性优先,行业标准遵循,22,mg/m³,58,mg/m³,130,mg/L,85,mg/L,0.89,%,0.94,%,0.96,%,0.80,%,0.15,合规评估模型,生态环境部,https://www.mee.gov.cn,2024-09-10,,,,,
可持续发展,温室气体减少,18,mg/m³,50,mg/m³,120,mg/L,70,mg/L,0.87,%,0.92,%,0.93,%,0.88,%,0.2,减排效果评估模型,全球气候变化平台,https://www.climate.gov,2024-09-10,,,,,
安全第一,员工安全培训覆盖率,33,mg/m³,92,mg/m³,165,mg/L,100,mg/L,0.90,%,0.97,%,0.99,%,0.85,%,0.28,覆盖率评估模型,职业安全健康管理局,https://www.osha.gov,2024-09-10,,,,,
环保优先,废物回收利用率,48,mg/m³,82,mg/m³,175,mg/L,140,mg/L,0.92,%,0.95,%,0.90,%,0.83,%,0.4,回收利用评估模型,中国废物管理协会,https://www.cwma.org.cn,2024-09-10,,,,,
合规性优先,年度审计合格率,19,mg/m³,55,mg/m³,125,mg/L,65,mg/L,0.88,%,0.91,%,0.94,%,0.79,%,0.12,审计合规模型,全国审计署,https://www.audit.gov.cn,2024-09-10,,,,,
持续改进,员工健康安全指标,26,mg/m³,72,mg/m³,155,mg/L,85,mg/L,0.89,%,0.96,%,0.98,%,0.91,%,0.23,健康安全评估模型,国家卫生健康委员会,https://www.nhc.gov.cn,2024-09-10,,,,,
安全第一,事故影响评估,15,mg/m³,45,mg/m³,110,mg/L,60,mg/L,0.90,%,0.93,%,0.85,%,0.84,%,0.18,事故评估模型,国家安全生产监督管理局,https://www.chinasafety.gov.cn,2024-09-10,,,,,
可持续发展,资源利用率,25,mg/m³,55,mg/m³,130,mg/L,80,mg/L,0.91,%,0.96,%,0.98,%,0.85,%,0.2,最优策略分析,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-10,,,,,
社会责任,社区合作率,35,mg/m³,65,mg/m³,145,mg/L,95,mg/L,0.93,%,0.94,%,0.97,%,0.80,%,0.15,社会影响评估模型,中国社会科学院,https://www.cass.cn/,2024-09-10,,,,,
技术创新,新技术应用率,28,mg/m³,48,mg/m³,120,mg/L,75,mg/L,0.89,%,0.97,%,0.99,%,0.90,%,0.25,创新效益分析,科技部,https://www.most.gov.cn/,2024-09-10,,,,,
风险管理,风险事件发生率,45,mg/m³,90,mg/m³,175,mg/L,110,mg/L,0.87,%,0.92,%,0.96,%,0.70,%,0.3,风险评估模型,中国环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
绿色制造,清洁生产实施情况,38,mg/m³,55,mg/m³,160,mg/L,100,mg/L,0.90,%,0.91,%,0.95,%,0.85,%,0.23,效益分析模型,工信部,https://www.miit.gov.cn/,2024-09-10,,,,,
责任追溯,责任事故调查率,32,mg/m³,77,mg/m³,165,mg/L,110,mg/L,0.85,%,0.95,%,0.97,%,0.65,%,0.18,责任追溯模型,全国安全生产监管局,https://www.chinasafety.gov.cn/,2024-09-10,,,,,
优先调改,技术改造效果,22,mg/m³,50,mg/m³,130,mg/L,85,mg/L,0.92,%,0.98,%,1.00,%,0.90,%,0.2,改造效果评估,地方生态环境局,https://www.sea.gov.cn/,2024-09-10,,,,,
