试验题目,登记号,生物合成技术名称,适用领域,申办者类型,申办者,合作者类型,合作者,研究类型,试验状态,试验分期,注册地区,试验国家/地区,登记日期,开始日期,完成日期,最新变更日期,系统构成,采集来源,来源链接,采集时间,备注
合成基因检测技术试验,2023-012,基因检测合成技术,基因组学、医疗,学术机构,北京大学,企业,华大基因,基础研究,待开始,1,北京市,中国,2023-07-20,2023-09-01,2025-09-01,2024-10-20,基因检测合成平台,中国基因组科学中心,https://www.genomics.org.cn,2024-09-25,
合成药物研发试验,2023-004,合成药物技术,制药、医疗,企业,广州合成医药公司,学术机构,中山大学,应用研究,正在进行,1,广州市,中国,2023-02-14,2023-02-20,2024-02-19,2024-10-12,合成药物代谢系统,广州市科技局,https://www.gz.gov.cn,2024-09-25,
合成基因组研究试验,2023-005,基因组合成技术,农业、环保,学术机构,南京农业大学,企业,江苏稳丰生物科技有限公司,基础研究,正在进行,2,南京市,中国,2023-02-28,2023-03-10,2024-03-09,2024-10-12,合成基因组系统,江苏省科技厅,https://www.jiangsu.gov.cn,2024-09-25,
生物燃料合成试验,2023-006,生物燃料技术,能源、环保,企业,西安生物能源科技公司,学术机构,西安交通大学,应用研究,正在进行,1,西安市,中国,2023-03-05,2023-03-15,2025-03-14,2024-10-12,生物燃料合成系统,陕西省能源局,http://www.shaanxi.gov.cn,2024-09-25,
合成微生物蛋白生产试验,2023-007,合成微生物蛋白技术,食品、营养,企业,杭州食品科技公司,学术机构,浙江大学,应用研究,正在进行,2,杭州市,中国,2023-04-01,2023-04-10,2025-04-09,2024-10-12,微生物蛋白合成系统,浙江省科技厅,https://www.zj.gov.cn,2024-09-25,
合成生物塑料开发试验,2023-008,生物塑料技术,材料、环保,企业,武汉绿色材料公司,学术机构,武汉大学,基础研究,正在进行,3,武汉市,中国,2023-05-10,2023-05-15,2025-05-14,2024-10-12,生物塑料合成系统,湖北省科技局,http://www.hubei.gov.cn,2024-09-25,
人造血液研发试验,2023-009,人造血液技术,医疗、科研,学术机构,中国医学科学院,企业,上海生物医药公司,基础研究,计划中,1,北京市,中国,2023-06-06,2023-07-01,2025-06-30,2024-10-12,人造血液系统,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-25,
合成酶技术应用试验,2023-010,合成酶技术,食品、制药,企业,成都生物技术公司,学术机构,四川大学,应用研究,正在进行,2,成都市,中国,2023-07-15,2023-08-01,2024-07-31,2024-10-12,合成酶系统,四川省科技厅,http://www.sichuan.gov.cn,2024-09-25,
合成疫苗研究试验,2023-011,合成疫苗技术,医疗、公共卫生,学术机构,复旦大学,企业,上海疫苗科技公司,基础研究,计划中,1,上海市,中国,2023-08-20,2023-09-01,2025-08-31,2024-10-12,合成疫苗系统,上海市卫生委员会,http://www.sh.gov.cn,2024-09-25,
合成微生物药物筛选试验,2023-012,微生物药物筛选,制药、科研,企业,天津生物科技公司,学术机构,南开大学,应用研究,正在进行,2,天津市,中国,2023-09-05,2023-09-15,2025-09-14,2024-10-12,微生物药物筛选系统,天津市科技局,http://www.tianjin.gov.cn,2024-09-25,
基因驱动技术试验,2023-004,基因驱动技术,生物多样性保护,企业,广州生物科技有限公司,学术机构,中山大学,基础研究,正在进行,1,广州市,中国,2023-02-12,2023-03-01,2024-03-01,2024-10-12,基因驱动系统,广东省科技厅,https://www.gdstc.gov.cn,2024-09-25,
植物合成生物技术试验,2023-005,植物合成生物技术,农业,学术机构,南京农业大学,企业,南京生物技术公司,应用研究,即将开始,2,南京市,中国,2023-03-15,2023-05-01,2026-04-30,2024-10-12,植物基因编辑系统,江苏省农业科学院,http://www.jsagri.ac.cn,2024-09-25,
生物燃料合成试验,2023-006,生物燃料合成,能源,企业,武汉新能源公司,学术机构,华中科技大学,应用研究,正在进行,3,武汉市,中国,2023-05-05,2023-06-15,2025-06-14,2024-10-12,生物催化系统,湖北省科技厅,http://www.hbkj.gov.cn,2024-09-25,
合成细胞药物开发试验,2023-007,合成细胞药物,药品研发,学术机构,复旦大学,企业,上海制药公司,基础研究,正在进行,2,上海市,中国,2023-04-20,2023-05-15,2025-05-14,2024-10-12,合成生物药物系统,上海市科学技术委员会,https://stcsm.sh.gov.cn,2024-09-25,
合成微生物抗药性研究试验,2023-008,合成微生物,公共健康,企业,西安生物技术公司,学术机构,西北农林科技大学,应用研究,即将开始,1,西安市,中国,2023-06-25,2023-08-01,2025-07-31,2024-10-12,抗药性微生物系统,陕西省健康委员会,http://www.shaanxi.gov.cn,2024-09-25,
合成生物系统的深度学习研究试验,2023-009,合成生物与深度学习,信息技术,学术机构,清华大学,企业,阿里巴巴集团,基础研究,正在进行,2,北京市,中国,2023-07-10,2023-08-01,2024-09-30,2024-10-12,深度学习模型系统,科技日报,http://www.stdaily.com,2024-09-25,
合成生物技术在水污染治理中的应用试验,2023-010,水生合成生物技术,环境保护,企业,杭州环境技术公司,学术机构,浙江大学,应用研究,即将开始,1,杭州市,中国,2023-09-12,2023-10-01,2024-09-30,2024-10-12,水污染合成生物系统,浙江省生态环境厅,http://www.zjepb.gov.cn,2024-09-25,
新型合成疫苗开发试验,2023-011,合成疫苗,公共健康,学术机构,北京大学,企业,国药集团,基础研究,正在进行,1,北京市,中国,2023-10-16,2023-11-01,2025-10-31,2024-10-12,合成疫苗系统,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-25,
合成植物抗病育种试验,2023-004,合成植物基因组编辑,农业,企业,广州新农科技有限公司,学术机构,华南农业大学,应用研究,正在进行,1,广州市,中国,2023-02-10,2023-03-01,2025-02-28,2024-10-12,基因组编辑系统,国家农作物改良中心,http://www.ncrc.gov.cn,2024-09-25,
微生物生物合成药物试验,2023-005,微生物代谢工程,制药,学术机构,清华大学医学院,企业,北京药业集团,基础研究,正在进行,2,北京市,中国,2023-03-15,2023-04-15,2025-03-14,2024-10-12,生物转化系统,中国生物医药协会,http://www.cnbma.org,2024-09-25,
智能合成生物模块开发试验,2023-006,合成生物学模块化设计,食品,企业,杭州新食品科技有限公司,学术机构,浙江大学,应用研究,正在进行,1,杭州市,中国,2023-04-05,2023-05-01,2024-12-31,2024-10-12,模块化合成系统,中科院微生物研究所,http://www.im.cas.cn,2024-09-25,
太空微生物合成实验,2023-007,微生物太空育种技术,太空探索,学术机构,中国宇航研究院,企业,航天科技集团,基础研究,计划中,1,北京市,中国,2023-02-20,2024-01-05,2025-12-20,2024-10-12,太空微生物培养系统,国家航天局,http://www.cnsa.gov.cn,2024-09-25,
合成生物光合作用增强试验,2023-008,合成光合成系统,能源,企业,中石化生态科技公司,学术机构,复旦大学,应用研究,正在进行,2,上海市,中国,2023-05-15,2023-06-20,2025-05-19,2024-10-12,光合成优化系统,上海市环境保护局,http://www.epb.sh.gov.cn,2024-09-25,
合成酵母发酵优化试验,2023-009,合成酵母发酵技术,食品、化工,企业,成都生物工程有限责任公司,学术机构,西南科技大学,应用研究,计划中,1,成都市,中国,2023-03-25,2024-02-15,2025-02-14,2024-10-12,发酵工程系统,四川省食品科学技术协会,http://www.sfsta.org,2024-09-25,
合成生物疫苗研发试验,2023-010,重组蛋白疫苗技术,医疗,学术机构,中南大学,企业,湖南人福制药公司,基础研究,正在进行,3,长沙市,中国,2023-05-01,2023-06-15,2026-05-14,2024-10-12,重组蛋白表达系统,湖南省卫计委,http://www.hunan.gov.cn,2024-09-25,
合成微生物用于塑料降解试验,2023-011,合成微生物塑料降解技术,环境保护,企业,南京绿色科技有限公司,学术机构,南京大学,应用研究,计划中,1,南京市,中国,2023-04-30,2024-03-01,2025-02-28,2024-10-12,微生物降解系统,江苏省生态环境厅,http://www.jseep.gov.cn,2024-09-25,
合成生物光电材料研发试验,2023-012,合成光电材料技术,材料科学,企业,合肥合成光电科技公司,学术机构,安徽大学,基础研究,正在进行,2,合肥市,中国,2023-06-01,2023-07-01,2025-06-30,2024-10-12,光电材料合成系统,安徽省科技厅,http://www.ahst.gov.cn,2024-09-25,
合成植物抗逆境能力试验,2023-004,植物基因编辑技术,农业、生态保护,企业,广州农业科技有限公司,学术机构,华南农业大学,基础研究,正在进行,1,广州市,中国,2023-07-01,2023-07-15,2025-07-14,2024-10-12,CRISPR/Cas13系统,广州科技局,https://www.gz.gov.cn/technology/,2024-09-25,
合成生物药物开发试验,2023-005,重组蛋白技术,医药、治疗,企业,成都生物医药科技有限公司,学术机构,四川大学,应用研究,正在进行,2,成都市,中国,2023-08-15,2023-09-01,2025-08-31,2024-10-12,重组细胞系统,四川省科学技术厅,https://www.sc.gov.cn/科技/,2024-09-25,
合成细菌用于环境修复试验,2023-006,合成微生物生态技术,环境保护、废物处理,企业,南京环境科技公司,学术机构,南京大学,基础研究,正在进行,1,南京市,中国,2023-09-10,2023-09-25,2025-09-24,2024-10-12,合成细菌生态系统,南京市环保局,https://www.nj.gov.cn/环保/,2024-09-25,
合成生物网络药物研发试验,2023-007,合成生物网络技术,医药、信息技术,学术机构,清华大学生物工程研究所,企业,阿里健康科技,应用研究,正在进行,2,北京市,中国,2023-10-01,2023-10-15,2025-10-14,2024-10-12,合成生物网络系统,科技部,https://www.most.gov.cn/,2024-09-25,
合成生物技术展望与挑战,2023-008,合成生物学综合技术,教育、政策研究,政府机构,国家科技部,学术机构,复旦大学,政策研究,正在进行,1,上海市,中国,2023-10-05,2023-10-20,2024-10-19,2024-10-12,合成生物学政策框架,中国科学技术协会,https://www.cast.org.cn/,2024-09-25,
新一代合成生物材料研究,2023-009,生物基聚合物开发,材料科学、工程,企业,杭州生物高分子材料公司,学术机构,浙江大学,应用研究,正在进行,3,杭州市,中国,2023-07-20,2023-08-01,2025-07-31,2024-10-12,生物材料合成系统,浙江省科技局,https://www.zj.gov.cn/,2024-09-25,
仿生合成细胞的开发,2023-010,仿生细胞技术,学术研究、生物医学,学术机构,武汉大学合成生物学研究所,企业,武汉生物技术公司,基础研究,正在进行,2,武汉市,中国,2023-01-25,2023-02-10,2025-02-09,2024-10-12,仿生合成细胞系统,武汉市科学技术局,https://www.wh.gov.cn/,2024-09-25,
基于合成生命技术的食品安全研究,2023-011,合成生物食品技术,食品科技,企业,天津食品科技企业,学术机构,南开大学,应用研究,正在进行,1,天津市,中国,2023-10-10,2023-11-01,2025-10-31,2024-10-12,合成生物食品检测系统,天津市食品药品监督管理局,https://www.tianjin.gov.cn/,2024-09-25,
细菌合成酵素产业化研究,2023-012,合成酵素技术,工业生物技术,企业,青岛生物技术公司,学术机构,青岛科技大学,应用研究,正在进行,2,青岛市,中国,2023-09-30,2023-10-15,2025-10-14,2024-10-12,酵素合成系统,青岛市科技局,https://www.qd.gov.cn/,2024-09-25,
合成生物燃料项目,2023-004,合成生物燃料,能源、环保,企业,天津能源科技公司,学术机构,南开大学,应用研究,正在进行,1,天津市,中国,2023-07-01,2023-07-15,2025-07-14,2024-10-12,植物光合作用系统,国家能源局,https://www.nea.gov.cn,2024-09-25,
合成抗体治疗研究,2023-005,合成抗体,医疗、制药,学术机构,复旦大学,企业,上海生物制药有限公司,基础研究,正在进行,2,上海市,中国,2023-08-10,2023-09-01,2024-08-31,2024-10-12,单克隆抗体合成系统,中国药品监督管理局,http://www.nmpa.gov.cn,2024-09-25,
基因编辑对水稻抗病性研究,2023-006,基因编辑技术,农业,企业,江苏农业科技有限公司,学术机构,中国农业大学,基础研究,正在进行,1,南京市,中国,2023-09-05,2023-09-20,2024-09-19,2024-10-12,CRISPR/Cas9基因组编辑系统,江苏省农业厅,http://www.jiangsu.gov.cn,2024-09-25,
合成生物材料开发,2023-007,合成生物材料,材料科学、环保,研究机构,华南理工大学,企业,广州新材料科技公司,应用研究,已完成,3,广州市,中国,2023-05-30,2023-06-01,2024-05-31,2024-10-12,生物基材料合成系统,广东省科技厅,http://www.gdstc.gov.cn,2024-09-25,
合成病毒疫苗研究,2023-008,合成病毒学,医疗、公共卫生,学术机构,中国科学院微生物研究所,企业,北京生物制药有限公司,基础研究,正在进行,1,北京市,中国,2023-08-25,2023-09-15,2024-09-14,2024-10-12,重组病毒疫苗系统,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-25,
合成大分子药物研究,2023-009,大分子药物合成,医疗、制药,企业,浙江医药科技公司,学术机构,浙江大学,应用研究,已完成,2,杭州市,中国,2023-10-05,2023-10-20,2024-10-19,2024-10-12,大分子合成系统,浙江省科技厅,http://www.zj.gov.cn,2024-09-25,
生物合成智能农业系统,2023-010,智能合成农业,农业、科技,企业,成都智能农业科技公司,学术机构,四川农业大学,应用研究,正在进行,1,成都市,中国,2023-11-01,2023-11-15,2025-11-14,2024-10-12,物联网农业合成系统,四川省科技局,http://www.scst.gov.cn,2024-09-25,
合成生物商业化应用研究,2023-011,合成生物商业化,产业应用,企业,哈尔滨生物科技集团,学术机构,黑龙江大学,基础研究,规划中,1,哈尔滨市,中国,2023-12-01,2024-01-01,2025-12-31,2024-10-12,合成生物产品商业化系统,黑龙江省科技厅,http://www.hlj.gov.cn,2024-09-25,
合成生物糖类生产研究,2023-012,糖类合成技术,食品、制药,企业,青岛食品科技公司,学术机构,青岛科技大学,应用研究,正在进行,1,青岛市,中国,2023-11-15,2023-12-01,2025-11-30,2024-10-12,天然糖类合成系统,山东省农业厅,http://www.shandong.gov.cn,2024-09-25,
可降解塑料合成试验,2023-004,生物基聚合物合成,环保、材料科学,企业,广州环保科技公司,学术机构,中山大学,应用研究,正在进行,1,广州市,中国,2023-06-15,2023-07-01,2024-06-30,2024-10-12,生物基聚合物系统,广州市科技局,https://www.gzst.gov.cn,2024-09-25,
基因驱动系统为蚊虫控制试验,2023-005,基因驱动技术,公共卫生、生态,学术机构,昆明生物研究所,企业,云南生物科技公司,基础研究,正在进行,2,昆明市,中国,2023-05-10,2023-05-20,2025-05-19,2024-10-12,基因驱动设计系统,云南省科技厅,http://www.ynst.gov.cn,2024-09-25,
合成抗菌素新型药物试验,2023-006,合成生物学药物开发,医药、抗生素,企业,杭州制药公司,学术机构,浙江大学,应用研究,正在进行,1,杭州市,中国,2023-04-20,2023-05-01,2024-04-30,2024-10-12,抗菌素合成系统,杭州市科技局,http://www.hangzoutz.gov.cn,2024-09-25,
农业基因组编辑试验,2023-007,基因组编辑技术,农业、食品安全,企业,天津农业科技公司,学术机构,南开大学,应用研究,已完成,3,天津市,中国,2023-02-01,2023-02-15,2024-02-14,2024-10-12,CRISPR系统,天津市农业局,http://www.tianjinagri.gov.cn,2024-09-25,
合成生物管道装置开发试验,2023-008,合成生物物流装置,生物制药、物流,企业,武汉生物科技公司,学术机构,华中科技大学,基础研究,正在进行,2,武汉市,中国,2023-03-15,2023-04-01,2025-03-31,2024-10-12,生物流通系统,武汉市科技局,http://www.wuhan.gov.cn,2024-09-25,
合成生物颜料试验,2023-009,合成天然色素,食品、化妆品,企业,上海合成材料科技公司,学术机构,复旦大学,应用研究,正在进行,1,上海市,中国,2023-07-01,2023-07-15,2024-07-14,2024-10-12,天然色素合成系统,上海市化学合成研究所,http://www.shchem.org,2024-09-25,
微生物合成食品试验,2023-010,微生物发酵技术,食品科技、健康,企业,南京健康食品公司,学术机构,南京农业大学,基础研究,正在进行,2,南京市,中国,2023-08-10,2023-08-20,2025-08-19,2024-10-12,食品微生物合成系统,南京市科技局,http://www.nanjing.gov.cn,2024-09-25,
多糖合成生物技术试验,2023-011,多糖合成途径,医药、食品,学术机构,华东理工大学,企业,长春生物制品研究所,应用研究,已完成,1,上海市,中国,2023-01-25,2023-02-01,2024-01-31,2024-10-12,多糖合成系统,上海市生物工程中心,http://www.eastchem.edu.cn,2024-09-25,
合成生物聚合物替代品试验,2023-012,聚合物合成替代技术,材料科学、环境,企业,青岛海洋生物科技公司,学术机构,青岛科技大学,应用研究,正在进行,1,青岛市,中国,2023-09-05,2023-09-15,2024-09-14,2024-10-12,聚合物合成系统,青岛市科技局,http://www.qd.gov.cn,2024-09-25,
智能合成生物系统试验,2023-004,智能合成生物系统,医疗、农业,企业,广州生物科技有限公司,学术机构,中山大学,基础研究,正在进行,2,广州市,中国,2023-07-05,2023-08-01,2024-12-31,2024-10-01,智能合成平台,广州市科技局,https://www.gz.gov.cn/science/,2024-09-25,
合成蛋白质技术试验,2023-005,合成蛋白质技术,食品、药物,企业,成都生物研究设计中心,学术机构,四川大学,应用研究,已完成,3,成都市,中国,2023-06-15,2023-07-01,2024-06-30,2024-10-01,合成蛋白质合成系统,成都市生物技术协会,https://www.cd.gov.cn/bio/,2024-09-25,
基因驱动技术开发试验,2023-006,基因驱动技术,生态保护,学术机构,南京农业大学,企业,南京生物科技有限公司,基础研究,正在进行,1,南京市,中国,2023-08-10,2023-09-01,2024-08-31,2024-10-01,基因驱动载体系统,南京市科技局,https://www.nanjing.gov.cn/sci/,2024-09-25,
合成生物化妆品试验,2023-007,合成生物化妆品技术,化妆品,企业,上海潮流生物科技公司,学术机构,华东理工大学,应用研究,已完成,1,上海市,中国,2023-09-12,2023-10-01,2024-04-30,2024-10-05,合成生物化妆品系统,上海市化妆品协会,https://www.shanghai.gov.cn/cosmetics/,2024-09-25,
基于微藻的生物燃料试验,2023-008,微藻生物燃料生产,能源,企业,天津清洁能源有限公司,学术机构,天津大学,基础研究,正在进行,2,天津市,中国,2023-07-20,2023-08-15,2025-07-30,2024-10-05,微藻培养与转化系统,天津市科技局,https://www.tianjin.gov.cn/cleanenergy,2024-09-25,
植物基因修饰研究试验,2023-009,植物基因组编辑技术,农业,学术机构,浙江大学,企业,杭州生物科技公司,应用研究,正在进行,2,杭州市,中国,2023-05-01,2023-05-15,2024-11-01,2024-10-01,植物基因编辑系统,浙江省农业科学院,https://www.zj.gov.cn/agriculture/,2024-09-25,
合成生物硬件开发试验,2023-010,合成生物硬件,教育、研究,学术机构,复旦大学,企业,浦东生物技术公司,基础研究,计划中,1,上海市,中国,2023-10-01,2024-01-01,2025-12-31,2024-10-01,合成生物自动化系统,复旦大学科技创新中心,https://www.fudan.edu.cn/innovation/,2024-09-25,
合成细胞面料试验,2023-011,合成生物面料,纺织,企业,深圳环保材料公司,学术机构,南方科技大学,应用研究,正在进行,1,深圳市,中国,2023-11-15,2023-12-01,2024-12-01,2024-10-01,合成生物材料系统,深圳市可持续发展研究中心,https://www.sz.gov.cn/sustainable/,2024-09-25,
合成生物对抗新冠病毒试验,2023-004,合成抗体技术,医疗,企业,华大基因科技公司,学术机构,复旦大学,基础研究,正在进行,1,上海市,中国,2023-02-20,2023-03-01,2024-02-28,2024-10-12,合成抗体系统,国家卫生健康委员会,http://www.nhc.gov.cn,2024-09-25,
植物基因组合成项目,2023-005,基因组重组技术,农业,学术机构,中科院植物研究所,企业,杭州农业科技有限公司,应用研究,准备中,1,浙江省,中国,2023-03-15,2023-05-01,2025-04-30,2024-10-12,植物基因组编辑系统,农业部,http://www.moa.gov.cn,2024-09-25,
合成细菌用于废水处理试验,2023-006,工程细菌技术,环保,企业,南京环境科技公司,学术机构,南京大学,应用研究,即将开始,2,江苏省,中国,2023-04-10,2023-07-01,2024-12-31,2024-10-12,改造细菌处理系统,环境保护部,http://www.mee.gov.cn,2024-09-25,
合成生物辅助的癌症治疗,2023-007,合成生物细胞治疗,医疗,企业,广州生物医药公司,学术机构,中山大学,基础研究,正在进行,1,广东省,中国,2023-05-05,2023-06-01,2024-12-01,2024-10-12,合成细胞治疗系统,广州卫生健康委员会,http://www.gz.gov.cn,2024-09-25,
合成生物用于气候变化研究,2023-008,气候适应性微生物,环境,学术机构,北京大学,企业,清华生物科技有限公司,基础研究,正在进行,2,北京市,中国,2023-06-10,2023-07-01,2025-06-30,2024-10-12,气候适应性微生物系统,生态环境部,http://www.mee.gov.cn,2024-09-25,
合成酵母用于高能量生物燃料,2023-009,合成酵母工程,能源,企业,新疆生物能源科技公司,学术机构,新疆大学,应用研究,即将开始,2,新疆维吾尔自治区,中国,2023-07-15,2023-09-01,2025-08-31,2024-10-12,高能量酵母发酵系统,新疆维吾尔自治区科技厅,http://www.xinjiang.gov.cn,2024-09-25,
合成生物帮助手术机器人技术,2023-010,合成生物传感器,医疗,企业,杭州智能科技公司,学术机构,浙江大学,应用研究,正在进行,1,浙江省,中国,2023-03-01,2023-04-01,2024-03-31,2024-10-12,合成生物传感器系统,省级科技厅,http://www.zj.gov.cn,2024-09-25,
人工智能结合合成生物技术项目,2023-011,合成生物智能系统,科研,学术机构,科技部生物技术中心,企业,阿里巴巴集团,基础研究,准备中,1,北京市,中国,2023-08-01,2023-09-15,2025-08-15,2024-10-12,人工智能与合成系统,科技部,http://www.most.gov.cn,2024-09-25,
微生物合成食品技术试验,2023-012,微生物发酵技术,食品,企业,北京食品科技有限公司,学术机构,中国农业大学,应用研究,进行中,1,北京市,中国,2023-09-07,2023-10-01,2024-09-30,2024-10-12,微生物发酵食品系统,国家食品安全局,http://www.nfsa.gov.cn,2024-09-25,
合成生物肥料研究,2023-004,生物肥料合成技术,农业,企业,四川农业科技公司,学术机构,西南大学,应用研究,正在进行,1,成都市,中国,2023-02-05,2023-03-01,2024-02-28,2024-10-11,微生物合成生物肥料系统,四川省农业农村厅,http://www.scagri.gov.cn/,2024-09-25,
合成药物快速开发,2023-005,高通量药物合成技术,制药,企业,江苏医药公司,学术机构,南京大学,应用研究,正在进行,2,南京市,中国,2023-04-15,2023-05-01,2025-04-30,2024-10-12,高通量药物筛选平台,江苏省科技厅,http://www.jiangsu.gov.cn/jst/yy/,2024-09-25,
生物材料合成技术试验,2023-006,生物基聚合物合成,材料科学,企业,浙江新材料公司,学术机构,浙江大学,应用研究,正在进行,1,杭州市,中国,2023-06-12,2023-07-01,2024-06-30,2024-10-12,生物基聚合物合成系统,浙江省科技厅,http://www.zj.gov.cn/zhengce/,2024-09-25,
定制化细胞治疗研究,2023-007,个性化细胞治疗技术,医疗,学术机构,复旦大学附属医院,企业,肿瘤生物技术公司,基础研究,已完成,3,上海市,中国,2022-11-25,2023-01-01,2023-12-31,2024-10-10,细胞工程平台,广州医学研究院,https://www.cme.com.cn/,2024-09-25,
合成燃料生产实验,2023-008,生物合成燃料技术,能源,企业,广西能源科技公司,学术机构,中南大学,应用研究,正在进行,1,南宁市,中国,2023-03-15,2023-04-01,2024-03-31,2024-10-09,合成生物燃料制造系统,广西省科技厅,http://www.gxst.gov.cn/,2024-09-25,
基因驱动技术实验,2023-009,基因驱动生物技术,环境科学,学术机构,北京林业大学,企业,生态科技公司,基础研究,已完成,1,北京市,中国,2022-12-20,2023-01-05,2023-12-05,2024-10-11,基因驱动工程系统,中国生态环境部,http://www.mee.gov.cn/,2024-09-25,
合成基因组学研究,2023-010,合成基因组技术,分子生物学,企业,广东分子科技公司,学术机构,华南理工大学,基础研究,正在进行,2,广州市,中国,2023-07-21,2023-08-01,2025-07-31,2024-10-12,合成基因组平台,广东省科技厅,http://www.gdst.gov.cn/,2024-09-25,
智能合成生物工厂试验,2023-011,智能合成生物工厂技术,生产技术,企业,河南智能科技公司,学术机构,郑州大学,应用研究,正在进行,1,郑州市,中国,2023-08-15,2023-09-01,2024-08-31,2024-10-11,智能合成生物工厂平台,河南省科技厅,http://www.hnsti.gov.cn/,2024-09-25,
合成生物传感器测试,2023-012,合成生物传感器技术,环境监测,学术机构,哈尔滨工业大学,企业,环境科技公司,基础研究,已完成,2,哈尔滨市,中国,2022-10-10,2022-11-01,2023-11-01,2024-10-12,生物传感器开发系统,黑龙江省环保局,http://www.hljepb.gov.cn/,2024-09-25,
基因驱动技术应用研究,2023-004,基因驱动技术,生态、农业,企业,武汉基因科技公司,学术机构,华中科技大学,应用研究,正在进行,1,武汉市,中国,2023-07-05,2023-08-01,2024-07-31,2024-09-01,基因驱动系统,国家农业科学中心,https://www.nas.org.cn/,2024-09-25,
合成酵母菌开发项目,2023-005,合成酵母菌,食品、制药,企业,苏州生物科技有限公司,学术机构,东南大学,基础研究,已完成,2,江苏省,中国,2023-05-10,2023-06-01,2024-05-30,2024-08-01,合成代谢系统,中国食品药品监督管理局,https://www.nmpa.gov.cn/,2024-09-25,
生物合成塑料研究,2023-006,生物基塑料合成,环境、工程,学术机构,上海环境科学研究院,企业,绿色科技公司,应用研究,正在进行,1,上海市,中国,2023-06-15,2023-07-01,2024-12-31,2024-06-16,生物合成塑料系统,中国环境保护部,https://www.mee.gov.cn/,2024-09-25,
环境清理微生物应用试验,2023-007,环境清理微生物,环保、农业,企业,广州环保科技公司,学术机构,中山大学,应用研究,已完成,2,广州市,中国,2023-08-05,2023-09-01,2024-08-31,2024-07-15,微生物降解系统,广州市生态环境局,http://sthjj.gz.gov.cn/,2024-09-25,
合成生物燃料开发项目,2023-008,合成生物燃料,能源、交通,企业,杭州新能源技术公司,学术机构,浙江大学,基础研究,正在进行,1,杭州市,中国,2023-09-10,2023-10-01,2025-09-30,2024-09-10,生物燃料合成系统,中国能源局,http://www.nea.gov.cn/,2024-09-25,
合成生物武器防护技术研究,2023-009,生物武器防护,国防、安全,政府机构,中国军事科学院,学术机构,国防科技大学,基础研究,正在进行,2,北京市,中国,2023-09-20,2023-10-15,2024-10-14,2024-09-06,生物防护系统,中国国家安全局,http://www.nsa.gov.cn/,2024-09-25,
合成植物疫苗开发实验,2023-010,植物疫苗合成,农业、食品安全,企业,南京农科院,学术机构,南京大学,应用研究,正在进行,3,南京市,中国,2023-10-01,2023-10-15,2025-09-30,2024-09-15,植物免疫系统,农业农村部,http://www.moa.gov.cn/,2024-09-25,
合成肠道微生物的功能研究,2023-011,合成肠道微生物,医疗、健康,学术机构,华东师范大学,企业,生物健控科技公司,基础研究,已完成,2,上海市,中国,2023-08-20,2023-09-01,2024-08-31,2024-05-01,合成微生物群落系统,中华医学会,http://www.cma.org.cn/,2024-09-25,
生态系统修复微生物研究,2023-012,生态修复微生物,环境、生态,企业,青岛环境科技有限公司,学术机构,山东大学,应用研究,正在进行,1,青岛市,中国,2023-09-30,2023-10-10,2025-10-10,2024-09-22,生态修复微生物系统,生态环境部,http://www.mee.gov.cn/,2024-09-25,
基因驱动研究试验,2023-004,基因驱动技术,农业、环境,学术机构,华中农业大学,企业,中山生物技术公司,基础研究,正在进行,1,武汉市,中国,2023-06-10,2023-07-01,2024-06-30,2024-10-12,基因驱动合成体系,中国农业科学院,http://www.caas.cn,2024-09-25,
合成生物油研究,2023-005,微生物合成生物油,能源,企业,广州生物能源公司,学术机构,华南理工大学,应用研究,正在进行,2,广州市,中国,2023-07-15,2023-08-01,2025-07-31,2024-10-12,微生物代谢网络,中科院能源研究所,http://www.energycas.cn,2024-09-25,
合成人工器官试验,2023-006,合成人工器官,医疗,企业,上海新生医疗科技公司,学术机构,复旦大学,应用研究,正在进行,3,上海市,中国,2023-08-20,2023-09-01,2025-08-31,2024-10-12,3D生物打印技术,上海市卫健委,http://www.shtjj.gov.cn,2024-09-25,
合成疫苗开发试验,2023-007,合成疫苗技术,医疗,研究机构,中国疾病预防控制中心,企业,信达生物制药,临床研究,正在进行,1,北京市,中国,2023-05-10,2023-06-01,2024-05-31,2024-10-12,合成疫苗生产系统,国家药品监督管理局,http://www.nmpa.gov.cn,2024-09-25,
环境修复生物技术试验,2023-008,生物修复技术,环境,企业,天津绿色科技公司,学术机构,东南大学,应用研究,正在进行,2,天津市,中国,2023-09-05,2023-09-20,2024-09-19,2024-10-12,生物修复菌种,天津市环保局,http://www.tjepb.gov.cn,2024-09-25,
合成肉类开发项目,2023-009,细胞农业,食品,企业,北京未来食品科技公司,学术机构,北京农业大学,应用研究,正在进行,2,北京市,中国,2023-08-25,2023-09-10,2025-09-09,2024-10-12,细胞培养系统,中国食品科学技术学会,http://www.cifst.org.cn,2024-09-25,
生物催化剂开发研究,2023-010,生物催化技术,制药、化工,学术机构,浙江大学,企业,杭州生物科技公司,基础研究,正在进行,1,杭州市,中国,2023-07-08,2023-07-20,2024-07-19,2024-10-12,生物催化剂体系,浙江省科技厅,http://www.zjsti.gov.cn,2024-09-25,
