登记号,地方标准,合成生物技术名称,合成生物技术类型,试验状态,试验分期,试验分类,申办者单位,试验机构,登记日期,试验开始时间,试验终止时间,最新状态日期,规范企业名称,注册受理号,股票代码,申报类型,规范企业名称.1,采集来源,来源链接,采集时间,备注
2022SR0316804,DB/T2345-2023,合成生物药物生产,药物合成,正在进行,第一阶段,实验室研究,广州药物研究所,中山大学,2023-04-15,2023-05-01,2024-04-30,2024-10-12,广州药物研究所,GHZYLZC2100008,BK1175,新技术申请,广州药物研究所,医学研究杂志,https://www.medicaljournal.cn,2024-09-23,
2022SR0157482,DB/T3456-2023,合成抗体生产技术,生物制药,已完成,第三阶段,临床研究,南京生物医药公司,南京大学,2023-02-20,2023-03-01,2024-02-28,2024-10-11,南京生物医药公司,GHZYLZC2100009,BK1176,新技术申请,南京生物医药公司,新药研发网,https://www.newmedicines.cn,2024-09-23,
2023SR0239564,DB/T4567-2023,合成动物模型,生物制造,正在进行,第一阶段,实验室研究,天津生物科技研究所,天津大学,2023-06-10,2023-06-20,2025-06-19,2024-10-12,天津生物科技研究所,GHZYLZC2100010,BK1177,新技术申请,天津生物科技研究所,动物研究期刊,https://www.animalresearch.cn,2024-09-23,
2023SR0210987,DB/T5671-2023,新型生物燃料合成技术,能源合成,正在进行,第二阶段,工业化生产,浙江清洁能源公司,浙江大学,2023-04-25,2023-05-05,2025-05-04,2024-10-12,浙江清洁能源公司,GHZYLZC2100011,BK1178,新技术申请,浙江清洁能源公司,可再生能源网,https://www.reenergy.cn,2024-09-23,
2023SR0196543,DB/T6789-2023,合成水果培育技术,农业生物技术,正在进行,第一阶段,实验室研究,四川农业大学,四川农业科学院,2023-07-18,2023-08-01,2024-07-31,2024-10-12,四川农业大学,GHZYLZC2100002,BK1179,新技术申请,四川农业大学,农业科学期刊,https://www.agriculturaljournal.cn,2024-09-23,
2022SR0204321,DB/T7890-2023,基因驱动技术,基因工程,正在进行,第二阶段,实验室研究,武汉基因技术公司,华中科技大学,2023-08-05,2023-08-20,2025-08-19,2024-10-12,武汉基因技术公司,GHZYLZC2100003,BK1180,新技术申请,武汉基因技术公司,基因技术杂志,https://www.genetekjournal.cn,2024-09-23,
2023SR0189876,DB/T8901-2023,生物污水处理,环境生物技术,已完成,第三阶段,工程示范,福建环保科技公司,福州大学,2023-04-11,2023-05-10,2024-05-09,2024-10-12,福建环保科技公司,GHZYLZC2100004,BK1181,新技术申请,福建环保科技公司,环境科学期刊,https://www.enviroscijournal.cn,2024-09-23,
2022SR0198765,DB/T9012-2023,合成疫苗平台,疫苗研究,正在进行,第一阶段,临床前研究,浙江生物制药公司,宁波大学,2023-03-25,2023-04-20,2024-04-19,2024-10-12,浙江生物制药公司,GHZYLZC2100005,BK1182,新技术申请,浙江生物制药公司,疫苗科技网,https://www.vaccine-tech.cn,2024-09-23,
2023SR0223456,DB/T2233-2023,合成疫苗技术,疫苗研发,待批准,第一阶段,临床试验,广州生物医药公司,中山大学,2023-06-15,2023-07-01,2025-06-30,2024-10-12,广州生物医药公司,GHZYLZC2100006,BK1183,新技术申请,广州生物医药公司,医学论坛网,https://www.medlive.cn/,2024-09-23,
2021SR0176543,DB/T3344-2023,合成植物代谢路径,植物基因工程,正在进行,第二阶段,基础研究,成都农科院,四川大学,2023-07-20,2023-08-01,2025-07-31,2024-10-12,成都农科院,GHZYLZC2100007,BK1184,新技术申请,成都农科院,农业科技网,http://www.agri-tech.com.cn/,2024-09-23,
2023SR0201234,DB/T4455-2023,细胞工厂设计,生物制造,正在进行,第三阶段,工业化生产,武汉生物技术研究所,华中科技大学,2023-08-10,2023-09-01,2025-08-31,2024-10-12,武汉生物技术研究所,GHZYLZC2100008,BK1174,新技术申请,武汉生物技术研究所,生物技术与工程学报,http://www.bioticjournal.com/,2024-09-23,
2022SR0212345,DB/T5566-2023,环境监测合成生物技术,生态修复,等待中,第一阶段,应用研究,杭州生态科技公司,浙江大学,2023-09-05,2023-10-01,2025-09-30,2024-10-12,杭州生态科技公司,GHZYLZC2100009,JK8291,新技术申请,杭州生态科技公司,环保时报,http://www.epb.gov.cn/,2024-09-23,
2023SR0198761,DB/T6677-2023,合成生物塑料,材料科学,研究中,第二阶段,实验室研究,南京工业公司,东南大学,2023-09-20,2023-10-05,2025-09-30,2024-10-12,南京工业公司,GHZYLZC2100010,PL3648,新技术申请,南京工业公司,材料科学期刊,http://www.materialsjour.com/,2024-09-23,
2023SR0180365,DB/T7788-2023,基因合成与组装,基因工程,正准备,第一阶段,基础研究,青岛生物技术公司,青岛科技大学,2023-10-01,2023-10-15,2025-09-30,2024-10-12,青岛生物技术公司,GHZYLZC2100011,QR5179,新技术申请,青岛生物技术公司,生物技术进展,http://www.biotechprogress.com/,2024-09-23,
2023SR0180472,DB/T8899-2023,智能生物传感器,纳米技术,正在进行,第三阶段,产品开发,北京纳米技术公司,清华大学,2023-10-12,2023-11-01,2025-10-31,2024-10-12,北京纳米技术公司,GHZYLZC2100002,MN2306,新技术申请,北京纳米技术公司,科技创新网,http://www.innovationtech.cn/,2024-09-23,
2023SR0180543,DB/T9900-2023,合成酵母工程,酵母工程,尚未开始,第一阶段,基础研究,西安生物技术研究所,西安交通大学,2023-10-20,2023-11-15,2025-10-31,2024-10-12,西安生物技术研究所,GHZYLZC2100003,XG7523,新技术申请,西安生物技术研究所,中国生物技术杂志,http://www.cnbiojournal.com/,2024-09-23,
2023SR0180650,DB/T1099-2023,生物照明技术,生物物理,正在进行,第二阶段,应用技术,洛阳高科技公司,河南大学,2023-11-05,2023-11-15,2025-11-14,2024-10-12,洛阳高科技公司,GHZYLZC2100004,ZL4128,新技术申请,洛阳高科技公司,科学网,http://www.science.com/,2024-09-23,
2023SR0180781,DB/T2345-2023,合成鱼类,水产工程,正在进行,第一阶段,实验室研究,广州海洋生物科技公司,中山大学,2023-06-10,2023-07-01,2024-06-30,2024-10-12,广州海洋生物科技公司,GHZYLZC2100005,TC8902,新技术申请,广州海洋生物科技公司,中国科学报,https://www.sciencenews.cn,2024-09-23,
2023SR0180894,DB/T3456-2023,合成植物病毒抗性,植物基因工程,正在进行,第二阶段,田野试验,南京农业科技研究院,南京农业大学,2023-08-01,2023-09-01,2025-08-31,2024-10-12,南京农业科技研究院,GHZYLZC2100006,DF6905,新技术申请,南京农业科技研究院,农业科学论坛,https://www.agr-forum.com,2024-09-23,
2023SR0180956,DB/T4567-2023,合成抗生素生产,药物合成,正在进行,第三阶段,工业化生产,成都制药有限公司,西南科技大学,2023-04-15,2023-05-01,2024-04-30,2024-10-12,成都制药有限公司,GHZYLZC2100007,UY2567,新技术申请,成都制药有限公司,制药科学杂志,https://www.pharmascience.cn,2024-09-23,
2023SR0181012,DB/T5678-2023,合成疫苗开发,疾病防控,正在进行,第一阶段,临床试验,武汉生物医药公司,华中科技大学,2023-09-15,2023-10-01,2024-09-30,2024-10-12,武汉生物医药公司,GHZYLZC2100008,BK1175,新技术申请,武汉生物医药公司,疾病控制中心,https://www.cdc.cn,2024-09-23,
2023SR0181147,DB/T6789-2023,堆肥合成微生物,环境生物技术,已完成,第二阶段,环境修复,郑州环境科技公司,郑州大学,2023-06-05,2023-06-15,2024-06-14,2024-10-12,郑州环境科技公司,GHZYLZC2100009,BK1176,新技术申请,郑州环境科技公司,环境保护部,https://www.mee.gov.cn,2024-09-23,
2023SR0181239,DB/T7890-2023,植物合成氨基酸,农业生物技术,正在进行,第一阶段,实验室研究,杭州生物科技有限公司,浙江大学,2023-07-21,2023-08-01,2024-07-31,2024-10-12,杭州生物科技有限公司,GHZYLZC2100010,BK1177,新技术申请,杭州生物科技有限公司,农业生物技术期刊,https://www.agri-biojournal.com,2024-09-23,
2023SR0193847,DB/T8901-2023,合成可食用微生物,食品生物技术,正在进行,第二阶段,工业化生产,青岛食品科技研究所,青岛科技大学,2023-03-25,2023-04-15,2025-04-14,2024-10-12,青岛食品科技研究所,GHZYLZC2100011,BK1178,新技术申请,青岛食品科技研究所,食品科技网,https://www.foodtech.cn,2024-09-23,
2023SR0172569,DB/T9012-2023,合成基因驱动程序,基因工程,已完成,第三阶段,环境研究,北京合成生物研究中心,清华大学,2023-10-01,2023-10-10,2025-09-30,2024-10-12,北京合成生物研究中心,GHZYLZC2100002,BK1179,新技术申请,北京合成生物研究中心,科学进展,https://www.scienceprogress.cn,2024-09-23,
2023SR0189214,DB/T1112-2023,酵母基因组改造技术,基因工程,研究完成,第四阶段,基础研究,广州生物研究所,中山大学,2023-06-15,2023-07-01,2024-06-30,2024-10-12,广州生物研究所,GHZYLZC2100003,BK1180,新技术申请,广州生物研究所,南方科技创新网,https://www.southchinainnovation.com,2024-09-23,
2023SR0201478,DB/T1314-2023,合成疫苗平台,疫苗研究,正在进行,第一阶段,临床试验,武汉生物科技股份有限公司,华中科技大学,2023-04-02,2023-05-10,2024-11-30,2024-10-12,武汉生物科技股份有限公司,GHZYLZC2100004,BK1181,新技术申请,武汉生物科技股份有限公司,人民日报,https://www.people.com.cn,2024-09-23,
2023SR0198765,DB/T1516-2023,合成途径优化技术,代谢工程,正在进行,第三阶段,工业化生产,成都生物科技研究院,电子科技大学,2023-08-10,2023-09-01,2025-08-31,2024-10-12,成都生物科技研究院,GHZYLZC2100005,BK1182,新技术申请,成都生物科技研究院,科技部公告,https://www.most.gov.cn,2024-09-23,
2023SR0184632,DB/T1718-2023,生物燃料合成技术,环境生物技术,正在进行,第二阶段,可再生能源,宁波绿色科技公司,宁波大学,2023-06-25,2023-07-15,2024-12-15,2024-10-12,宁波绿色科技公司,GHZYLZC2100006,BK1183,新技术申请,宁波绿色科技公司,环境保护部,https://www.mee.gov.cn,2024-09-23,
2023SR0175923,DB/T1910-2023,草履虫基因组编辑,基因编辑,研究完成,第一阶段,基础研究,天津合成生物中心,南开大学,2023-07-05,2023-08-01,2024-07-31,2024-10-12,天津合成生物中心,GHZYLZC2100007,BK1184,新技术申请,天津合成生物中心,科学时报,https://www.sciencetimes.com.cn,2024-09-23,
2023SR0190158,DB/T2122-2023,超弦合成工艺,合成生物学,正在进行,第二阶段,应用研究,西安生物工程技术研究所,西北工业大学,2023-09-15,2023-10-01,2025-09-30,2024-10-12,西安生物工程技术研究所,GHZYLZC2100008,BK1174,新技术申请,西安生物工程技术研究所,生物科技前沿,https://www.biotechfrontiers.com.cn,2024-09-23,
2023SR0203546,DB/T2324-2023,精准药物合成技术,生物制药,正在进行,第一阶段,临床研究,杭州新生物科技有限公司,浙江大学,2023-10-01,2023-10-15,2025-10-15,2024-10-12,杭州新生物科技有限公司,GHZYLZC2100009,BK2398,新技术申请,杭州新生物科技有限公司,阿里健康,https://health.alibaba.com,2024-09-23,
2023SR0188754,DB/T2526-2023,植物合成生物反应器,农业生物技术,准备中,第一阶段,产业转化,大连农业科技公司,大连民族大学,2023-11-01,2023-12-01,2025-11-30,2024-10-12,大连农业科技公司,GHZYLZC2100010,BK4561,新技术申请,大连农业科技公司,农民日报,https://www.farmerdaily.com.cn,2024-09-23,
2023SR0291843,DB/T2345-2023,植物基因组编辑技术,基因编辑,正在进行,第一阶段,实验室研究,南京农业科研院,南京农业大学,2023-06-15,2023-07-01,2024-06-30,2024-10-12,南京农业科研院,GHZYLZC2100011,BK8790,新技术申请,南京农业科研院,植物科学网,https://www.plantsci.cn/,2024-09-23,
2024SR0302671,DB/T3456-2023,合成生物材料,生物工程,已完成,第三阶段,工业化生产,广州合成生物技术公司,华南理工大学,2023-08-01,2023-09-01,2024-08-31,2024-10-12,广州合成生物技术公司,GHZYLZC2100002,BK3214,新技术申请,广州合成生物技术公司,合成生物材料期刊,https://www.biomaterials.gov.cn/,2024-09-23,
2025SR0413982,DB/T4567-2023,细胞工厂技术,微生物工程,正在进行,第二阶段,研究开发,武汉生物研究所,武汉大学,2023-09-05,2023-09-15,2025-06-30,2024-10-12,武汉生物研究所,GHZYLZC2100003,BK6547,新技术申请,武汉生物研究所,科学网,https://www.sciencenet.cn/,2024-09-23,
2023SR0345621,DB/T5679-2023,合成疫苗平台,疫苗研发,正在进行,第一阶段,临床前研究,北京疫苗研究中心,清华大学,2023-10-01,2023-10-15,2024-10-14,2024-10-12,北京疫苗研究中心,GHZYLZC2100004,BK9082,新技术申请,北京疫苗研究中心,医学杂志,https://www.medicaljournal.cn/,2024-09-23,
2022SR0273918,DB/T6789-2023,生物氢气生产技术,可再生能源,正在进行,第二阶段,实验室研究,青岛能源研究院,青岛科技大学,2023-11-01,2023-11-15,2025-05-14,2024-10-12,青岛能源研究院,GHZYLZC2100005,BK1235,新技术申请,青岛能源研究院,可再生能源网,https://www.renewableenergy.gov.cn/,2024-09-23,
2024SR0384760,DB/T7890-2023,微生物阐释技术,微生物工程,已完成,第三阶段,基础研究,杭州生物技术公司,浙江大学,2023-12-01,2024-01-01,2025-01-01,2024-10-12,杭州生物技术公司,GHZYLZC2100006,BK4873,新技术申请,杭州生物技术公司,生物技术杂志,https://www.biotechjournal.cn/,2024-09-23,
2025SR0456893,DB/T8901-2023,转基因动物技术,人造生命,正在进行,第一阶段,实验室实验,成都动物研究所,四川大学,2023-12-15,2024-01-01,2025-12-31,2024-10-12,成都动物研究所,GHZYLZC2100007,BK3729,新技术申请,成都动物研究所,动物科学论坛,https://www.animalsci.cn/,2024-09-23,
2023SR0223457,DB/T9012-2023,基因治疗技术,基因治疗,正在进行,第二阶段,临床研究,哈尔滨基因科技公司,哈尔滨工业大学,2023-09-20,2023-10-01,2025-10-01,2024-10-12,哈尔滨基因科技公司,GHZYLZC2100008,BK1175,新技术申请,哈尔滨基因科技公司,基因疗法周刊,https://www.genetherapyweekly.com/,2024-09-23,
2022SR0267425,DB/T2345-2023,双功能酶合成,酶学工程,准备中,第一阶段,基础研究,广州生物科技公司,中山大学,2023-04-15,2023-05-01,2024-04-30,2024-10-12,广州生物科技公司,GHZYLZC2100009,BK1176,新技术申请,广州生物科技公司,生命科学网,https://www.lifescience.com,2024-09-23,
2024SR0398256,DB/T3456-2023,合成食物生产,食品科技,正在进行,第二阶段,产业化应用,成都合成农林公司,四川大学,2023-07-10,2023-08-01,2025-07-31,2024-10-12,成都合成农林公司,GHZYLZC2100010,BK1177,新技术申请,成都合成农林公司,中国食品科技网,https://www.cnsn.com,2024-09-23,
2023SR0180451,DB/T4567-2023,合成病毒疫苗,疫苗科学,白小鼠测试中,第三阶段,临床试验,郑州疫苗科技有限公司,河南大学,2023-06-11,2023-07-01,2025-06-30,2024-10-12,郑州疫苗科技有限公司,GHZYLZC2100011,BK1178,新技术申请,郑州疫苗科技有限公司,疫苗杂志,https://www.vaccinejournal.com,2024-09-23,
2023SR0180623,DB/T5670-2023,合成生物塑料,环境科技,结果分析中,项目准备,环保材料,南京绿色科技公司,南京工业大学,2023-08-22,2023-09-05,2024-09-04,2024-10-12,南京绿色科技公司,GHZYLZC2100002,BK1179,新技术申请,南京绿色科技公司,可持续发展论坛,https://www.sdgforum.cn,2024-09-23,
2023SR0180745,DB/T6789-2023,个性化基因疗法,基因治疗,待批准,审批阶段,临床试验,武汉基因研究所,华中科技大学,2023-09-05,2023-10-01,2026-09-30,2024-10-12,武汉基因研究所,GHZYLZC2100003,BK1180,新技术申请,武汉基因研究所,基因杂志,https://www.genemagazine.com,2024-09-23,
2023SR0180889,DB/T7890-2023,细胞重编程技术,干细胞技术,正在进行,第三阶段,医学研究,杭州细胞研究协会,浙江大学,2023-10-01,2023-11-01,2025-10-31,2024-10-12,杭州细胞研究协会,GHZYLZC2100004,BK1181,新技术申请,杭州细胞研究协会,干细胞研究平台,https://www.stemcellsresearch.com,2024-09-23,
2023SR0180934,DB/T8901-2023,环境DNA监测技术,生态科技,正在进行,第一阶段,生态监测,青岛海洋生物研究中心,中国海洋大学,2023-09-20,2023-10-15,2025-10-14,2024-10-12,青岛海洋生物研究中心,GHZYLZC2100005,BK1182,新技术申请,青岛海洋生物研究中心,环境科学杂志,https://www.environjournals.com,2024-09-23,
2023SR0181098,DB/T9012-2023,合成微生物药物,生物制药,正在进行,第二阶段,临床研究,福州生物药物科技有限公司,福建医科大学,2023-11-05,2023-12-01,2026-05-31,2024-10-12,福州生物药物科技有限公司,GHZYLZC2100006,BK1183,新技术申请,福州生物药物科技有限公司,生物医药网,https://www.biomedicine.com,2024-09-23,
2023SR0181202,DB/T1357-2023,合成酵母菌,微生物工程,正在进行,第一阶段,实验室研究,广州生物研究院,中山大学,2023-06-15,2023-07-01,2024-06-30,2024-10-12,广州生物研究院,GHZYLZC2100007,BK1184,新技术申请,广州生物研究院,生物技术观察,https://www.biotechnews.com/,2024-09-23,
2023SR0181367,DB/T2468-2023,合成植物基因组,基因组编辑,完成,第三阶段,农业科研,南京农业大学,南京农业科学院,2023-04-12,2023-05-01,2024-05-01,2024-10-12,南京农业大学,GHZYLZC2100008,BK1175,新技术申请,南京农业大学,农业科技前沿,https://www.agri-tech.com/,2024-09-23,
2023SR0181453,DB/T7890-2023,代谢工程技术,代谢工程,正在进行,第二阶段,工业化生产,成都合成生物研究所,电子科技大学,2023-08-02,2023-08-20,2025-07-31,2024-10-12,成都合成生物研究所,GHZYLZC2100009,BK1176,新技术申请,成都合成生物研究所,生物工程期刊,https://www.bioprocessjournal.com/,2024-09-23,
2023SR0181580,DB/T3210-2023,合成疫苗技术,疫苗开发,正在进行,第一阶段,临床试验,杭州生物科技公司,浙江大学,2023-07-15,2023-08-01,2025-01-31,2024-10-12,杭州生物科技公司,GHZYLZC2100010,BK1177,新技术申请,杭州生物科技公司,医学杂志,https://www.medicaljournal.com/,2024-09-23,
2023SR0193847,DB/T4567-2023,生物燃料合成技术,能源工程,正在进行,第四阶段,生态研究,武汉生物能源研究中心,华中科技大学,2023-09-05,2023-09-15,2025-09-15,2024-10-12,武汉生物能源研究中心,GHZYLZC2100011,BK1178,新技术申请,武汉生物能源研究中心,清洁能源网,https://www.cleanenergy.com/,2024-09-23,
2023SR0194852,DB/T1359-2023,植物合成代谢网络,代谢工程,等待审批,初步阶段,科研项目,北京科技大学,北京农业大学,2023-08-25,2023-09-10,2024-09-10,2024-10-12,北京科技大学,GHZYLZC2100002,BK1179,新技术申请,北京科技大学,中国科学院出版社,https://www.sciencemag.org/,2024-09-23,
2023SR0196723,DB/T2469-2023,水生植物合成,生态保护,已完成,第三阶段,环境保护,沈阳环保科技公司,东北大学,2023-10-01,2023-10-15,2025-10-15,2024-10-12,沈阳环保科技公司,GHZYLZC2100003,BK1180,新技术申请,沈阳环保科技公司,环保日报,https://www.environmentdaily.com/,2024-09-23,
2023SR0200135,DB/T3456-2023,人造光合细胞技术,人造生命,正在进行,第一阶段,实验室研究,厦门合成生物科技有限公司,厦门大学,2023-05-30,2023-06-15,2025-06-15,2024-10-12,厦门合成生物科技有限公司,GHZYLZC2100004,BK1181,新技术申请,厦门合成生物科技有限公司,生物科学前沿,https://www.frontiersinbiology.com/,2024-09-23,
2023SR0201869,DB/T7891-2023,合成抗体研发,免疫学,已完成,第二阶段,临床实验,西安生命科学研究院,西安交通大学,2023-09-20,2023-10-01,2025-09-30,2024-10-12,西安生命科学研究院,GHZYLZC2100005,BK1182,新技术申请,西安生命科学研究院,临床研究杂志,https://www.clinicalresearchjournal.com/,2024-09-23,
2023SR0202754,DB/T1357-2023,合成疫苗技术,疫苗研发,已完成,临床试验,临床医学,广州生物医药公司,中山大学,2023-06-15,2023-07-01,2024-06-30,2024-10-12,广州生物医药公司,GHZYLZC2100006,BK1183,新技术申请,广州生物医药公司,广州日报,https://www.gzdaily.com/,2024-09-23,
2023SR0203758,DB/T2468-2023,合成代谢途径改造,代谢工程,正在进行,第一阶段,基础研究,武汉生物科技研究院,华中科技大学,2023-08-20,2023-09-01,2024-08-31,2024-10-12,武汉生物科技研究院,GHZYLZC2100007,BK1184,新技术申请,武汉生物科技研究院,生物技术前沿,https://www.biotechfrontier.com/,2024-09-23,
2023SR0204682,DB/T3579-2023,生物合成新材料,生物材料,即将开始,预备阶段,材料科学,南京合成生物工程研究所,南京理工大学,2023-09-25,2024-01-01,2025-01-01,2024-10-12,南京合成生物工程研究所,GHZYLZC2100008,BK1174,新技术申请,南京合成生物工程研究所,材料科学杂志,https://www.materialssciencejournal.com/,2024-09-23,
2023SR0205871,DB/T4680-2023,植物编程育种,农业生物技术,正在进行,第二阶段,农业研究,杭州智慧农业公司,浙江大学,2023-10-10,2023-11-01,2025-10-01,2024-10-12,杭州智慧农业公司,GHZYLZC2100009,TK2456,新技术申请,杭州智慧农业公司,中国农业科技网,https://www.coa.gov.cn/,2024-09-23,
2023SR0206984,DB/T5791-2023,合成抗体技术,生物制药,在审核中,临床前研究,临床医学,成都生物制药有限公司,四川大学,2023-07-25,2023-08-01,2024-07-31,2024-10-12,成都生物制药有限公司,GHZYLZC2100010,ZY9832,新技术申请,成都生物制药有限公司,中国医药报,http://www.chinapharmacy.com/,2024-09-23,
2023SR0192345,DB/T6902-2023,基因驱动技术,生态修复,正在进行,第二阶段,环境科学,沈阳生态科技研究所,东北大学,2023-09-12,2023-10-01,2024-09-30,2024-10-12,沈阳生态科技研究所,GHZYLZC2100002,YR4301,新技术申请,沈阳生态科技研究所,生态环境保护网,https://www.epaa.org.cn/,2024-09-23,
2023SR0198765,DB/T8013-2023,生物合成丰产作物,农业生物技术,即将开始,第一阶段,农业研究,陕西现代农业公司,西北农林科技大学,2023-10-05,2024-01-02,2025-01-02,2024-10-12,陕西现代农业公司,GHZYLZC2100003,"XJ6723,QV1850",新技术申请,陕西现代农业公司,中国现代农业,http://www.chinamodernagriculture.com/,2024-09-23,
2023SR0187654,DB/T9124-2023,多功能合成生物材料,材料科学,审核中,基础研究,材料科学,北京创新合成生物技术公司,清华大学,2023-08-30,2023-09-15,2024-09-15,2024-10-12,北京创新合成生物技术公司,GHZYLZC2100004,MJ7634,新技术申请,北京创新合成生物技术公司,当代生物期刊,https://www.currentbiojournal.com/,2024-09-23,
2023SR0201234,DB/T1111-2023,合成植物抗病基因,基因编辑,即将开始,准备阶段,应用研究,南京农业大学,南京农业大学,2023-06-15,2023-07-01,2026-06-30,2024-10-12,南京农业大学,GHZYLZC2100005,PL9042,新技术申请,南京农业大学,农药与化肥网,https://www.pesticide.net.cn,2024-09-23,
2023SR0195432,DB/T2222-2023,合成多功能微生物,微生物工程,正在进行,第二阶段,实验室研究,广州生物技术公司,中山大学,2023-02-20,2023-03-01,2025-02-28,2024-10-12,广州生物技术公司,GHZYLZC2100006,HD2579,新技术申请,广州生物技术公司,生物技术前沿,https://www.biotechfrontiers.com,2024-09-23,
2023SR0184321,DB/T3333-2023,大规模细胞培养技术,细胞工程,正在进行,第三阶段,产业化应用,杭州生物制药公司,浙江大学,2023-08-05,2023-09-01,2025-08-31,2024-10-12,杭州生物制药公司,GHZYLZC2100007,CY4738,新技术申请,杭州生物制药公司,生物医药网,https://www.biopharma.com,2024-09-23,
2023SR0209876,DB/T4444-2023,生物合成燃料,合成生物学,已完成,项目结束,工业试验,武汉新能源研究院,华中科技大学,2023-04-10,2023-05-01,2024-04-30,2024-10-12,武汉新能源研究院,GHZYLZC2100008,BK1175,新技术申请,武汉新能源研究院,中国能源网,https://www.chinaenergy.org.cn,2024-09-23,
2023SR0196543,DB/T5555-2023,食用合成肉,食品科技,正在进行,第一阶段,市场研究,北京农业科技公司,北京农学院,2023-09-12,2023-10-01,2025-09-30,2024-10-12,北京农业科技公司,GHZYLZC2100009,BK1176,新技术申请,北京农业科技公司,食品科技网,https://www.foodtech.com,2024-09-23,
2023SR0181234,DB/T6666-2023,合成病毒疫苗,疫苗开发,正在进行,第二阶段,临床试验,成都生物疫苗公司,四川大学,2023-07-07,2023-07-15,2025-07-14,2024-10-12,成都生物疫苗公司,GHZYLZC2100010,BK1177,新技术申请,成都生物疫苗公司,生物医药研究,https://www.biomedresearch.com,2024-09-23,
2023SR0203456,DB/T7777-2023,植物基营养发酵,生物发酵,正在进行,第三阶段,应用技术,厦门生物工程研究中心,厦门大学,2023-11-01,2023-11-10,2025-10-31,2024-10-12,厦门生物工程研究中心,GHZYLZC2100011,BK1178,新技术申请,厦门生物工程研究中心,生物技术研究所,https://www.biotechinstitute.org,2024-09-23,
2023SR0291457,DB/T8888-2023,合成生物传感器,传感技术,即将开始,准备阶段,基础研究,天津生物科技公司,南开大学,2023-09-25,2023-10-15,2025-10-14,2024-10-12,天津生物科技公司,GHZYLZC2100002,BK1179,新技术申请,天津生物科技公司,生物电子学期刊,https://www.biosensoryjournal.com,2024-09-23,
2023SR0345671,DB/T1357-2023,合成疫苗平台,疫苗开发,计划中,初始阶段,临床前研究,广州生物技术研究所,中山大学,2023-07-08,2023-09-01,2024-08-31,2024-10-12,广州生物技术研究所,GHZYLZC2100003,BK1180,新技术申请,广州生物技术研究所,生物医学中心,https://www.biomed.com,2024-09-23,
2023SR0189023,DB/T2468-2023,植物基因改造技术,农业生物技术,正在进行,第二阶段,田间试验,云南农业科技公司,云南大学,2023-05-15,2023-06-20,2025-06-19,2024-10-12,云南农业科技公司,GHZYLZC2100004,BK1181,新技术申请,云南农业科技公司,农业科技博客,https://www.agriculturaltechblog.com,2024-09-23,
2023SR0234789,DB/T3579-2023,合成合成药物,药物合成,正在进行,第一阶段,实验室开发,南京医药公司,南京医科大学,2023-02-28,2023-04-15,2024-04-14,2024-10-12,南京医药公司,GHZYLZC2100005,BK1182,新技术申请,南京医药公司,健康时报,https://www.healthnews.com,2024-09-23,
2023SR0112456,DB/T4780-2023,生物基塑料,材料科技,计划中,初始阶段,技术开发,杭州合成材料公司,浙江大学,2023-08-01,2023-10-15,2024-10-14,2024-10-12,杭州合成材料公司,GHZYLZC2100006,BK1183,新技术申请,杭州合成材料公司,材料科学期刊,https://materialsci.org,2024-09-23,
2023SR0278345,DB/T5891-2023,合成生物燃料,生物能源,正在进行,第三阶段,工业化验证,成都新能源公司,四川大学,2023-06-18,2023-08-01,2025-07-31,2024-10-12,成都新能源公司,GHZYLZC2100007,BK1184,新技术申请,成都新能源公司,中国能源网,https://www.energychina.com,2024-09-23,
2023SR0197632,DB/T6902-2023,合成生物基肥,农业生物技术,计划中,初始阶段,实验室研究,福建农科院,福建农林大学,2023-04-25,2023-09-01,2025-08-31,2024-10-12,福建农科院,GHZYLZC2100008,BK1175,新技术申请,福建农科院,农业科技网,https://www.agriculturetech.org,2024-09-23,
2023SR0254783,DB/T8012-2023,合成食品替代品,食品科技,正在进行,第二阶段,市场研究,华北食品科技公司,燕山大学,2023-03-15,2023-05-01,2024-04-30,2024-10-12,华北食品科技公司,GHZYLZC2100009,BK1176,新技术申请,华北食品科技公司,现代食品科技,https://www.modernfoodtech.com,2024-09-23,
2023SR0159874,DB/T9123-2023,生物监测技术,环境监测,正在进行,第三阶段,现场试验,天津环境科技公司,南开大学,2023-09-20,2023-10-10,2025-10-09,2024-10-12,天津环境科技公司,GHZYLZC2100010,BK1177,新技术申请,天津环境科技公司,环境科学杂志,https://www.environmentalsciencejournals.com,2024-09-23,
2023SR0302468,DB/T1239-2023,CRISPR-Cas12技术,基因编辑,正在进行,第一阶段,基础研究,西安生物科学研究所,西安交通大学,2023-10-05,2023-11-01,2024-10-31,2024-10-12,西安生物科学研究所,GHZYLZC2100011,BK1178,新技术申请,西安生物科学研究所,生物技术前沿,https://www.biotechfrontiers.com,2024-09-23,
2023SR0180285,DB/T2345-2023,合成酵母菌,微生物工程,已完成,第三阶段,基础研究,天津生物科技中心,南开大学,2023-09-11,2023-10-01,2024-09-30,2024-10-12,天津生物科技中心,GHZYLZC2100002,BK1179,新技术申请,天津生物科技中心,生物技术前沿,https://www.biotechfrontiers.com,2024-09-23,
