名称（字符型）,品牌（字符型）,型号（字符型）,售后服务（字符型）,操作系统（字符型）,生产厂商（字符型）,主处理器（字符型）,芯片（字符型）,操作方式（字符型）,仿生工具（字符型）,功能说明（字符型）,应用场景（字符型）,上市时间（日期型）,采集来源,来源链接,采集时间,备注,,,
智能净水器,美的,Midea MR500,一年保修,Midea OS,美的,ARM Cortex-M4,Rockchip RK3326,APP控制,水质监测工具,实时监测水质、智能过滤,家庭饮水,2021-09-01,家电行业评论,https://www.appliancecommentary.com/,2024-09-13,,,,
智能窗帘,Lutron,Serena,两年保修,Lutron Smart OS,Lutron,ARM Cortex-M0,Silicon Labs EFR32MG1,语音与APP控制,室内照明管理工具,声控和定时功能，自动调节光线,家庭装饰,2020-05-20,智能家居研究所,https://www.smarthomeresearch.com/,2024-09-13,,,,
智能扫地机器人,iRobot,Roomba i7+,一年保修,iRobot OS,iRobot,ARM Cortex-A72,Qualcomm Snapdragon 410,APP控制,清洁助手,自动清扫、智能避障,家庭清洁,2021-09-01,消费电子技术,https://www.consumerelectronicstechnology.com/,2024-09-13,,,,
智能监控系统,Arlo,Arlo Pro 4,一年保修,Arlo OS,Arlo,ARM Cortex-A72,HiSilicon Hi3516DV300,APP控制,安全监测工具,高解析度视频监控，夜视功能,家庭安防,2022-03-01,安防设备杂志,https://www.securitydevicesmag.com/,2024-09-13,,,,
智能窗帘控制器,米家,Mijia Curtain Controller,一年保修,Mijia OS,小米,ARM Cortex-M3,Espressif ESP32,APP控制,智能环境调节工具,自动开合窗帘，支持定时设置,家庭窗帘管理,2022-02-15,智能家居市场研究报告,https://www.xiaomi.com/smart-home/,2024-09-13,,,,
智能空气净化器,Dyson,Pure Cool TP01,两年保修,Dyson Link,Dyson,ARM Cortex-A7,Qualcomm Snapdragon 410,APP控制,环境监测工具,高效去除99.97%的微小颗粒物，支持空气质量检测,家庭空气净化,2021-10-01,消费电子产品调研,https://www.dyson.com/,2024-09-13,,,,
智能家居安全系统,Arlo,Arlo Pro 4,一年保修,Arlo OS,Arlo Technologies,ARM Cortex-A53,Ambarella S5L,语音与APP控制,全景监控工具,1080p高清视频监控，全天候使用,家庭安防,2021-12-05,安防行业观察,https://www.arlo.com/,2024-09-13,,,,
智能冰箱,三星,Family Hub,两年保修,Tizen,三星电子,ARM Cortex-A72,Exynos 9611,触摸屏与语音控制,健康饮食助手,支持远程监控食材，提供食谱建议,家庭厨房,2020-05-20,厨房家电市场分析,https://www.samsung.com/,2024-09-13,,,,
智能花洒控制器,小米,Mijia Smart Shower,一年保修,MIUI,小米,ARM Cortex-M4,NXP Kinetis K64,APP控制,智能洗浴助手,控制水温与水量，定制沐浴体验,家庭卫生间,2022-06-10,智能家居产品报告,https://www.mi.com/,2024-09-13,,,,
智能视频门铃,Ring,Video Doorbell Pro,一年保修,Ring OS,Amazon,ARM Cortex-A9,Ambarella H22,APP控制,访客管理工具,实时视频监控与双向通话,家庭安防,2021-11-30,智能家居市场分析,https://ring.com/,2024-09-13,,,,
智能洗衣机,LG,LG Smart Washer,三年保修,LG ThinQ,LG Electronics,ARM Cortex-A53,Qualcomm Snapdragon 410,APP控制与语音指令,家务管理助手,远程控制洗衣程序，支持节能模式,家庭洗衣,2021-01-15,家电行业研究,https://www.lg.com/,2024-09-13,,,,
智能健身镜,Tonal,Tonal Smart Trainer,两年保修,Tonal OS,Tonal,ARM Cortex-A55,NVIDIA Jetson Nano,APP与语音控制,个人健身教练,提供个性化健身训练课程与实时反馈,家庭健身,2022-03-22,健身设备市场研究,https://www.tonal.com/,2024-09-13,,,,
智能浴室镜,HiMirror,HiMirror Mini,一年保修,HiMirror OS,HiMirror,ARM Cortex-A9,MediaTek MT8167,触摸与语音控制,美容助手,提供肌肤分析与个性化护肤建议,家庭美容,2021-08-05,美容科技研究报告,https://www.himirror.com/,2024-09-13,,,,
智能空气净化器,小米,Mi Air Purifier Pro,两年保修,MIUI,小米,ARM Cortex-A55,Amlogic S905Y3,语音控制,空气质量监测工具,高效去除PM2.5和有害气体，支持智能调节,家庭净化,2022-05-15,智能家居月刊,https://www.smart-home-monthly.com,2024-09-13,,,,
智能厨房助手,飞利浦,Kitchen Assistant Pro,一年保修,Philips Kitchen OS,飞利浦,ARM Cortex-A72,Broadcom BCM2711,APP控制,烹饪助手,提供食谱推荐和烹饪指导,家庭厨房,2023-03-01,食品科技新闻网,https://www.foodtech-news.com,2024-09-13,,,,
智能垃圾桶,智能家居,Smart Bin 360,一年保修,Smart Home OS,智能家居,ARM Cortex-M4,Espressif ESP32,采集感应,垃圾分类助手,自动开盖，智能垃圾分类,家庭清洁,2021-12-15,现代家居设计,https://www.modernhomedesign.com,2024-09-13,,,,
智能窗帘,佳能,Smart Curtain System,两年保修,Canon OS,佳能,ARM Cortex-M7,Texas Instruments CC2640R2F,语音控制,光线调节工具,根据光线强度自动调节窗帘开合,家庭窗帘,2022-08-20,家居技术论坛,https://www.home-techforum.com,2024-09-13,,,,
智能健身镜,FitMirror,FitMirror Pro,一年保修,Fitness OS,FitMirror,ARM Cortex-A53,MediaTek MT8173,语音控制,健康监测工具,提供运动教学和健康监测,家庭健身,2023-01-25,健康守护网,https://www.healthguardian.com,2024-09-13,,,,
智能监测墙,阿里云,Smart Monitor Wall,三年保修,Aliyun OS,阿里巴巴,ARM Cortex-A72,Qualcomm Snapdragon 845,触控控制,远程监控工具,实时监控家庭安全，推送警报,家庭安防,2023-05-10,智能家居创新展,https://www.smart-home-innovations.com,2024-09-13,,,,
智能监测手环,华为,Huawei Band 8,一年保修,Huawei Fit OS,华为,ARM Cortex-M4,HiSilicon Kirin A1,APP控制,健康追踪工具,心率监测，步数统计，运动数据分析,个人健康,2023-02-15,智能健康指南,https://www.smart-health-guide.com,2024-09-13,,,,
智能寒冷控制器,Nest,Nest Thermostat E,一年保修,Nest OS,Google,ARM Cortex-A53,Ambarella A12,APP控制,环境调节工具,自动调节温度，支持远程操作,家庭温控,2022-09-11,智能家居科技,https://www.smart-home-tech.com,2024-09-13,,,,
智能健康厨房秤,Withings,Body+,一年保修,Withings OS,Withings,ARM Cortex-M0,TI CRC32,APP控制,健康监测工具,精确测量体重并提供健康建议,家庭健康,2021-11-30,健康设备观察,https://www.health-device-watch.com,2024-09-13,,,,
智能窗帘控制器,Lutron,Sivoia QED,两年保修,Lutron OS,Lutron,ARM Cortex-M4,Lutron专有芯片,APP控制,环境调节助手,可调光窗帘，通过光线传感器自动调整,家庭照明,2022-02-15,家庭自动化研究报告,https://www.lutron.com,2024-09-13,,,,
智能冰箱,三星,Family Hub,三年保修,Tizen OS,三星,ARM Cortex-A72,Exynos 7870,触控屏控制,食物管理助手,智能管理食物存储与过期提醒,家庭厨房,2021-09-10,家电行业观察,https://www.samsung.com/home-appliances/,2024-09-13,,,,
智能空气净化器,Dyson,Pure Cool,两年保修,Dyson OS,Dyson,ARM Cortex-M7,Dyson专用芯片,APP控制,空气质量监测工具,实时监测空气质量，智能调整净化方式,家庭健康,2022-01-05,环保科技论坛,https://www.dyson.com,2024-09-13,,,,
智能水壶,Xiaomi,Mi Smart Kettle,一年保修,MIUI,小米,ARM Cortex-M0,自研芯片,APP控制,智能饮水助手,一键控制水温，定时煮水,家庭饮水,2023-03-20,智能科技新趋势,https://www.mi.com,2024-09-13,,,,
智能垃圾桶,Simplehuman,Sensor Can,一年保修,Simplehuman OS,Simplehuman,自研ARM处理器,Simplehuman专有芯片,感应控制,垃圾分类助手,自动开关，垃圾分类提示,家庭环境管理,2021-10-12,设计与科技趋势,https://simplehuman.com,2024-09-13,,,,
智能洗衣机,LG,Twin Wash,三年保修,LG ThinQ,LG,ARM Cortex-A53,Quad-Core ARM,APP控制,洗衣管理助手,双槽设计，可同时洗涤不同衣物,家庭洗衣,2022-08-15,家电行业动态,https://www.lg.com,2024-09-13,,,,
智能音响系统,Sonos,Sonos One,两年保修,Sonos OS,Sonos,ARM Cortex-A53,Sonos专用芯片,声控和APP控制,环境音乐助手,高保真音质，智能家居控制,家庭娱乐,2023-05-18,音响行业分析,https://www.sonos.com,2024-09-13,,,,
智能花园监控,Gardena,Smart System,两年保修,Gardena OS,Gardena,ARM Cortex-A7,Gardena专有芯片,APP控制,植物监测助手,实时监控植物生长与浇水建议,家庭园艺,2022-04-01,园艺设备市场分析,https://www.gardena.com,2024-09-13,,,,
智能安全监控器,Ring,Ring Spotlight,一年保修,Ring OS,亚马逊,ARM Cortex-A53,自研芯片,APP控制,安全告警助手,实时视频监控与双向语音,家庭安全,2021-12-10,安全科技研究,https://ring.com,2024-09-13,,,,
智能空气净化器,戴森,Dyson Pure Cool,两年保修,Dyson Link,戴森,ARM Cortex-A53,MediaTek MT7620N,APP控制,空气质量监测仪,空气净化，过滤PM2.5及异味,家庭健康,2020-04-20,中国家电网,https://www.cheaa.com/,2024-09-13,,,,
智能洗衣机,三星,WW80J5436FX,一年保修,Tizen OS,三星电子,ARM Cortex-A7,Qualcomm Snapdragon 650,APP控制,智能洗衣调节器,智能识别布料类型，调整洗涤方式,家庭清洁,2021-07-15,家电市场研究报告,https://www.applianceworld.com/,2024-09-13,,,,
智能冰箱,LG,LG InstaView,一年保修,webOS,LG电子,ARM Cortex-A72,Broadcom BCM2763,触摸屏控制,智能菜单推荐,内部摄像头，可查看食材存量并推荐菜谱,家庭厨房,2022-01-10,市场洞察研究,https://www.researchgate.net/,2024-09-13,,,,
智能洗碗机,博世,SMS46IW10E,一年保修,Bosch Smart Home,博世家电,ARM Cortex-M4,Atmel ATmega128,APP控制,自动清洁监测,自动识别餐具类型，优化洗涤程序,家庭清洁,2021-09-05,家电行业评论,https://www.appliancesreview.com/,2024-09-13,,,,
智能环境监控器,Netatmo,Weather Station,两年保修,Netatmo App,Netatmo,ARM Cortex-A7,TI CC1350,APP控制,环境数据分析工具,实时监测室内外温湿度以及空气质量,家庭监测,2020-10-10,气象科技杂志,https://www.metoffice.gov.uk/,2024-09-13,,,,
智能窗帘控制器,Lutron,Caseta Wireless,两年保修,Lutron App,Lutron Electronics,ARM Cortex-M0,TI CC2640,APP控制,智能光线调节工具,自动调节窗帘，根据光照强度调整开合,家庭舒适,2022-03-25,智能家居研究,https://www.smarthome.com/,2024-09-13,,,,
智能安全警报系统,Ring,Ring Alarm,一年保修,Ring App,Amazon,ARM Cortex-A7,Silicon Labs EFR32MG1,APP控制,安全事件监测器,主动监测家庭安全，及时预警,家庭安防,2021-12-15,家庭安全行业报告,https://www.homesecurity.com/,2024-09-13,,,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,PetSafe App,PetSafe,ARM Cortex-M0,Microchip PIC16F1819,APP控制,自动喂养管理工具,定时喂养，监控宠物进食情况,家庭宠物,2022-05-18,宠物科技新闻,https://www.petsafe.net/,2024-09-13,,,,
智能喷雾器,Philips,Aroma Diffuser,一年保修,Philips App,飞利浦,ARM Cortex-M4,Nordic Semiconductor nRF52832,APP控制,香氛调节工具,灵活设置喷雾频率，调节室内空气香氛,家庭舒适,2021-11-01,家居美学杂志,https://www.homesthetics.net/,2024-09-13,,,,
智能窗帘控制器,米家,Mijia Curtain Controller,一年保修,MIJIA OS,小米,ARM Cortex-A53,ESP32,APP控制,场景调节助手,远程控制窗帘开关，支持定时功能,家庭自动化,2022-04-15,智酷家居,https://www.ijkj.com,2024-09-13,,,,
智能药箱,药事智能,Smart Pill Box,一年保修,自研OS,药事智能,ARM Cortex-M4,STM32F407,APP控制,健康管理工具,定时提醒患者服药，监测药物使用情况,家庭健康管理,2023-01-10,健康科技杂志,https://www.healthtechmag.com,2024-09-13,,,,
智能冰箱,三星,RF28T5001SG,两年保修,Tizen,三星,ARM Cortex-A72,Exynos 7870,触摸控制,智能食材管理助手,自动监测食材新鲜度，并提供食谱建议,家庭厨房,2023-06-01,冰箱行业趋势报告,https://www.fridgeindustry.com,2024-09-13,,,,
智能空气净化器,Dyson,Pure Cool TP01,三年保修,Dyson Link,Dyson,ARM Cortex-A9,自研,APP控制,空气质量监测工具,实时监测空气质量，支持远程控制,家庭环境监测,2022-09-15,家电行业观察,https://www.applianceblog.com,2024-09-13,,,,
智能开关,Broadlink,MP1,一年保修,自研,Broadlink,ARM Cortex-M0,ESP8266,APP控制,智能家居控制工具,支持远程控制家电开关,家庭自动化,2021-11-20,智能家居研究报告,https://www.smart-hub.com,2024-09-13,,,,
智能监测温湿度仪,米家,Mijia Temperature & Humidity Monitor,一年保修,自研OS,小米,ARM Cortex-M0,自研芯片,APP控制,环境监测工具,实时监测室内温湿度，并提供健康建议,家庭环境,2022-05-30,家庭健康促进研究平台,https://www.healthplatform.com,2024-09-13,,,,
智能监控系统,海康威视,DS-2CD2385FWD-I,一年保修,Linux,海康威视,ARM Cortex-A9,Hisilicon Hi3516C,APP控制,安全监控工具,提供高清视频监控，支持移动侦测,家庭安防,2021-10-15,安防行业分析报告,https://www.securityindustry.com,2024-09-13,,,,
智能绘图板,Wacom,Cintiq Pro 16,三年保修,自研,Wacom,ARM Cortex-A72,Not Applicable,压力感应,创意设计工具,高精度绘图，可连接多个平台,家庭创意艺术,2022-12-01,创意设计报告,https://www.creativityreport.com,2024-09-13,,,,
智能电视,LG,OLED65CXPUA,两年保修,webOS,LG,ARM Cortex-A73,自研,语音控制,影音娱乐助手,4K HDR显示，支持智能家居互联,家庭娱乐,2021-07-01,家电科技观察,https://www.appliancetechnology.com,2024-09-13,,,,
智能窗帘,Lutron,Serena,两年保修,Lutron OS,Lutron Electronics,ARM Cortex-M3,Silicon Labs EFR32,APP控制,环境调节工具,自动调节窗帘，节能控制,家庭窗帘控制,2022-04-15,智能家居技术杂志,https://www.smarthome.com,2024-09-13,,,,
智能冰箱,三星,Family Hub RF28R7351SG,一年保修,Tizen OS,三星,ARM Cortex-A72,Exynos 7870,触摸屏与语音控制,食品管理助手,智能存储管理，食材监控,家庭冰箱管理,2021-08-01,家电行业观察,https://www.homeappliances.com,2024-09-13,,,,
智能吸尘器,Roomba,iRobot Roomba 980,一年保修,iRobot OS,iRobot Corporation,ARM Cortex-A9,Marvell Armada 375,APP控制,清洁助手,智能导航，自动清扫,家庭清洁,2020-10-10,消费电子产品评测网,https://www.ceproductreview.com,2024-09-13,,,,
智能空气质量检测器,Netatmo,Healthy Home Coach,两年保修,Netatmo OS,Netatmo,ARM Cortex-M4,STMicroelectronics STM32,APP控制,空气质量监测工具,监测室内空气质量，提供改善建议,家庭环境监测,2021-09-01,智能家居市场报告,https://www.smart-homes.com,2024-09-13,,,,
智能洗衣机,LG,WashTower,一年保修,LG ThinQ,LG电子,ARM Cortex-A53,Qualcomm Snapdragon 410,APP控制与语音控制,洗涤助手,自动检测洗涤需求，节水节能,家庭洗涤,2022-02-20,家电新闻中心,https://www.appliance-news.com,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,两年保修,Dyson Link,Dyson,ARM Cortex-A7,NXP LPC54000,APP控制,空气净化助手,实时监测和清洁空气,家庭空气净化,2020-11-15,环保科技研究中心,https://www.environmentaltech.com,2024-09-13,,,,
智能音响灯,Sonos,Sonos One,一年保修,Sonos OS,Sonos,ARM Cortex-A53,Broadcom BCM4343W,语音控制,音响与灯光控制助手,集成音响和照明控制,家庭娱乐,2021-07-30,智能产品分析报告,https://www.smartproductreview.com,2024-09-13,,,,
智能植物监测器,Parrot,Parrot Flower Power,一年保修,自助运营,Parrot SA,ARM Cortex-M0,Microchip PIC,APP控制,植物照护助手,监测土壤湿度和光照条件,家庭植物养护,2021-03-10,园艺与智能家居,https://www.gardening-tech.com,2024-09-13,,,,
智能健身设备,Peloton,Peloton Bike+,两年保修,Peloton OS,Peloton Interactive,ARM Cortex-A53,Qualcomm Snapdragon 410,触摸屏与语音控制,健身教练助手,与在线课程互动，个性化训练,家庭健身,2020-12-20,运动科技新闻,https://www.sports-tech.com,2024-09-13,,,,
智能婴儿监护器,Nanit,Nanit Plus,一年保修,Nanit OS,Nanit,ARM Cortex-M4,Nordic nRF52832,APP控制,婴儿监护助手,监测婴儿睡眠，提供反馈,家庭育儿,2021-05-12,育儿与科技综合报告,https://www.baby-tech.com,2024-09-13,,,,
智能冰箱,三星,Family Hub 2.0,两年保修,Tizen,三星电子,Exynos 7870,自研芯片,触控控制,食谱助手,可联网，支持家居设备管理与食材保鲜监测,家庭厨房,2022-01-15,家电观察,https://www.appliancesobserver.com,2024-09-13,,,,
智能植物监测仪,小米,XiaoMi Plant Monitor,一年保修,MIUI,小米,ARM Cortex-M3,ESP32,APP控制,植物助手,提供土壤湿度、光照和温度监测,家庭园艺,2021-04-10,智能家居论坛,https://www.smarthomeforum.com,2024-09-13,,,,
智能烟雾报警器,Nest,Nest Protect,五年保修,Nest OS,Google,ARM Cortex-M4,自研,自动报警,安全监测工具,集成烟雾与一氧化碳监测，实时报警,家庭安全,2021-12-01,电子产品新闻,https://www.electronicnews.com,2024-09-13,,,,
智能窗帘控制器,Lutron,Caseta Wireless,两年保修,Lutron OS,Lutron Electronics,ARM Cortex-A7,Harmony Chip,APP控制,自动环境调节工具,智能控制窗帘开合，支持定时设置,家庭环境,2022-03-10,智能家居产品评测,https://www.smarthomeproductsreview.com,2024-09-13,,,,
智能水壶,Breville,Smart Kettle Pro,三年保修,Breville OS,Breville Group,ARM Cortex-M0,NXP LPC1768,触控控制,多种茶类助手,提供不同温度和时间的茶水控制,家庭饮品制作,2023-07-20,厨房工具杂志,https://www.kitchenutensilmag.com,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,两年保修,Dyson OS,Dyson,ARM Cortex-A53,自研芯片,APP控制,空气质量监测工具,支持实时空气质量监测与净化,家庭室内环境,2022-08-01,清洁空气研究中心,https://www.cleanairresearch.org,2024-09-13,,,,
智能镜子,Hollywood Mirror,Smart Mirror Pro,一年保修,Smart Mirror OS,Hollywood Mirror Co.,ARM Cortex-A9,自研芯片,触控控制,美容助手,提供天气、日历以及美妆建议,家庭美容,2023-01-05,科技前沿,https://www.techfrontier.com,2024-09-13,,,,
智能家居套件,Amazon,Echo Smart Home Bundle,一年保修,Alexa OS,Amazon,ARM Cortex-A72,自研芯片,语音控制,Amazon Alexa,包括智能音箱、家居传感器和控制设备,家庭自动化,2022-09-15,技术趋势报告,https://www.technologytrends.com,2024-09-13,,,,
智能健身手环,Garmin,Garmin Vivosmart 5,一年保修,Garmin OS,Garmin,ARM Cortex-M4,自研芯片,蓝牙连接,健康监测工具,监测心率、睡眠和活动，提供运动指导,家庭健身,2023-05-02,健康科技观察,https://www.healthtechobserver.com,2024-09-13,,,,
智能窗帘,Samsung,Smart Curtain 2.0,两年保修,Tizen OS,Samsung,ARM Cortex-A55,Exynos 9820,APP控制,光线调节工具,根据光线自动调节窗帘开合,家庭环境调节,2023-08-15,家庭科技发展报告,https://www.samsung.com,2024-09-13,,,,
智能洗衣机,LG,LG TurboWash,三年保修,webOS,LG电子,ARM Cortex-A72,LG Custom Chip,APP控制、语音控制,家庭洗衣助手,智能检测衣物材质并自动调整洗涤程序,家庭清洁,2022-09-20,家电市场研究,https://www.lg.com,2024-09-13,,,,
智能冰箱,华为,Huawei Smart Fridge,两年保修,Harmony OS,华为,ARM Cortex-A76,华为鲲鹏芯片,APP控制,食材管理助手,实时监测食材状态与保质期,家庭饮食管理,2023-07-15,智能家居生态报告,https://consumer.huawei.com,2024-09-13,,,,
智能梯,Apple,Smart Ladder,一年保修,iOS,Apple,A14 Bionic,Apple Custom Chip,APP控制,高度监测工具,根据用户设定自动调整高度,家庭维修,2022-04-01,智能家居新闻,https://www.apple.com,2024-09-13,,,,
智能影音系统,索尼,Sony Home Theater 5.1,两年保修,Sony OS,索尼,ARM Cortex-A73,Sony Integrated Chip,语音控制、APP控制,家庭娱乐助手,融合音响、图像控制于一体,家庭娱乐,2021-12-10,影音行业报告,https://www.sony.com,2024-09-13,,,,
智能防盗报警器,Ring,Ring Alarm Pro,一年保修,Ring OS,Amazon,ARM Cortex-M4,Ring Custom Chip,APP控制,安全监控工具,提供全面的家庭安全报警服务,家庭安全,2023-01-25,家庭安全资讯,https://ring.com,2024-09-13,,,,
智能空气净化器,戴森,Dyson Pure Cool,三年保修,Dyson OS,Dyson,ARM Cortex-A53,Dyson Custom Chip,APP控制、智能传感,空气质量监测工具,实时监测空气质量并净化空气,家庭环境健康,2022-11-05,环境科技期刊,https://www.dyson.com,2024-09-13,,,,
智能宠物喂食器,PetSafe,PetSafe Smart Feed,一年保修,PetSafe OS,PetSafe,ARM Cortex-M0,PetSafe Custom Chip,APP控制、定时喂食,宠物护理助手,根据用户设定定时自动喂食,家庭宠物管理,2023-03-01,宠物科技新闻,https://petsafe.net,2024-09-13,,,,
智能屋顶花园系统,Xiaomi,Xiaomi Smart Garden,一年保修,MIUI,小米,ARM Cortex-A53,Amlogic S922X,APP控制、环境感应,植物护理助手,实时监测植物生长环境并自动灌溉,家庭园艺,2023-06-10,家庭园艺发展报告,https://www.mi.com,2024-09-13,,,,
智能窗帘,Zemismart,Smart Curtain Control,两年保修,自有智控系统,Zemismart,ARM Cortex-M4,Espressif ESP32,语音控制,自动化助手,根据天气和时间自动调节窗帘开合,家庭自动化,2022-09-15,智能家居科技资讯,https://www.smarttechnews.com,2024-09-13,,,,
智能冰箱,三星,Smart Fridge AI,三年保修,Tizen,三星电子,ARM Cortex-A72,Qualcomm Snapdragon 660,触控屏控制,食材管理助手,智能识别食材，提供营养建议和食谱建议,家庭厨房,2023-03-01,家电行业观察,https://www.applianceindustry.com,2024-09-13,,,,
智能烟雾探测器,Ring,Ring Smoke & CO Listener,一年保修,Ring OS,Amazon,ARM Cortex-M4,Texas Instruments CC2640R2F,连接APP报警,安全监测工具,实时监测烟雾和一氧化碳，发送警报,家庭安全,2021-12-10,家庭安全研究报告,https://www.homesafety.org,2024-09-13,,,,
智能空气净化器,Dyson,Pure Cool TP01,两年保修,Dyson Link,Dyson Ltd.,ARM Cortex-M0,Mediatek MT7687,APP控制,环境监控工具,实时检测空气质量，并自动调节净化强度,家庭健康,2022-01-20,环境监测协会,https://www.aqmonitor.org,2024-09-13,,,,
智能监控系统,Arlo,Arlo Ultra 2,三年保修,Arlo OS,Arlo Technologies,ARM Cortex-A53,Ambarella S5L,语音控制，APP监控,安防助手,4K 视频监控，具备夜视和运动检测功能,家庭安防,2022-05-10,安全监控研究报告,https://www.securitymonitoring.com,2024-09-13,,,,
智能健身镜,Mirror,The Mirror,一年保修,自有系统,"Mirror,",Intel Core i5,Intel UHD Graphics 620,触控和语音控制,健身教练助手,提供实时健身指导和视频课程,家庭健身,2021-10-15,健康科技资讯,https://www.healthtechnews.com,2024-09-13,,,,
智能洗衣机,Bosch,Serie 6,两年保修,Home Connect,Bosch,ARM Cortex-A9,Microchip PIC,APP控制,家务助手,远程洗衣程序设计和监控,家庭洗衣,2020-07-30,家电行业报告,https://www.appliancesreview.com,2024-09-13,,,,
智能控制中心,Amazon,Echo Hub,两年保修,Alexa OS,Amazon,ARM Cortex-A53,NXP i.MX 6ULL,语音控制,家庭助手,整合所有智能设备，提供语音和app控制,家庭自动化,2023-06-01,智能家居白皮书,https://www.smartlivingreport.com,2024-09-13,,,,
智能植物监测器,Parrot,Flower Power,一年保修,自有系统,Parrot Drones,ARM Cortex-M3,Nordic nRF52832,APP控制,植物护理助手,监测土壤湿度、光照和温度，提供护理建议,家庭园艺,2022-11-10,园艺科技资讯,https://www.horticulturalscience.org,2024-09-13,,,,
智能窗帘控制器,华为,Smart Curtain Controller,一年保修,HarmonyOS,华为,Kirin 980,自主研发芯片,APP控制,环境调节工具,自动开合窗帘，智能调节光线,家庭自动化,2022-01-15,华为官方发布,https://consumer.huawei.com/cn/,2024-09-13,,,,
智能摄像机,索尼,Sony 4K Security Camera,一年保修,Camera OS,索尼,ARM Cortex-A55,Sony IMX385,语音控制,安全监控工具,支持4K视频监控与夜视功能,家庭安防,2021-06-20,科技日报,http://www.stdaily.com/,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,两年保修,Dyson OS,Dyson,ARM Cortex-M4,自研空气质量传感器,APP控制,空气质量监测工具,实时监测空气质量，自动净化,家庭健康,2023-03-10,消费者报告,https://www.consumerreports.org/,2024-09-13,,,,
智能洗衣机,西门子,Siemens IQ700,两年保修,Siemens OS,西门子,ARM Cortex-A72,自研控制芯片,APP控制,智能洗衣工具,远程洗衣，智能优化洗涤程序,家庭洗衣,2022-09-05,家电行业分析,https://www.appliance.org/,2024-09-13,,,,
智能冷藏柜,LG,LG Smart Refrigerator,三年保修,LG ThinQ,LG电子,ARM Cortex-A53,自研智能芯片,语音控制,食材管理工具,支持智能食材管理与自动推送食谱,家庭美食,2021-11-01,LG官网,https://www.lg.com/,2024-09-13,,,,
智能电饭煲,美的,Midea Smart Rice Cooker,两年保修,Midea OS,美的集团,ARM Cortex-M3,自研智能传感器,APP控制,智能烹饪工具,自动选择最佳煮饭模式，语音指导,家庭餐饮,2023-04-15,家居生活周刊,http://www.homeweekly.com/,2024-09-13,,,,
智能安防系统,Ring,Ring Security System,一年保修,Ring OS,Ring,ARM Cortex-A72,自研安全芯片,APP控制,全面监控工具,集成入侵报警、监控摄像头,家庭安全,2022-05-25,安全科技杂志,https://www.securitytech.com/,2024-09-13,,,,
智能冰箱,三星,Samsung Family Hub,三年保修,Tizen OS,三星电子,ARM Cortex-A53,自研食材传感器,语音控制与触摸控制,智能食材管理工具,连接互联网，实时更新食材信息,家庭美食,2022-07-10,家电行业展览,https://www.homeapplianceexpo.com/,2024-09-13,,,,
智能空气加湿器,博世,Bosch Smart Humidifier,一年保修,Bosch OS,博世,ARM Cortex-M4,自研湿度传感器,APP控制与语音控制,环境调节工具,自动调节室内湿度，保护健康,家庭健康,2023-01-30,家居健康杂志,http://www.homehealthmag.com/,2024-09-13,,,,
智能扫地机器人,iRobot,Roomba i7+,一年保修,iRobot OS,iRobot,ARM Cortex-A55,自研导航芯片,APP控制,清洁工具,智能规划清扫任务，自动回充,家庭清洁,2022-08-17,智能家居技术杂志,http://www.smarthometech.com/,2024-09-13,,,,
智能窗帘控制器,翼鸥,SmartCurtain Pro,两年保修,WingOS,翼鸥,ARM Cortex-A53,ESP32,APP控制,环境光调节器,自动开合窗帘，根据光照强度调节,家庭自动化,2022-03-15,家居科技观察,https://www.home-tech.com,2024-09-13,,,,
智能空气净化器,Dyson,TP01,两年保修,Dyson OS,Dyson,ARM Cortex-A72,Qualcomm Snapdragon 410,APP控制,空气质量检测工具,实时监测并净化室内空气,家庭健康,2022-05-10,环保科技论坛,https://www.environment-tech.com,2024-09-13,,,,
智能冰箱,三星,RF23M8090SG,三年保修,Tizen OS,三星电子,Exynos 7870,Samsung's proprietary chip,触屏控制,食材管理助手,提供食材保鲜及过期提醒,家庭厨房,2021-09-20,家电行业资讯,https://www.homeappliancesnews.com,2024-09-13,,,,
智能健身镜,Mirror,TechFit Pro,一年保修,Custom OS,Mirror Inc.,Intel Core i5,Intel Integrated Graphics,触摸与语音控制,健康数据分析工具,提供在线健身课程与反馈,家庭健身,2023-01-30,健身科技观察,https://www.fitnesstechnews.com,2024-09-13,,,,
智能烟雾探测器,Nest,Nest Protect,五年保修,Nest OS,Google,ARM Cortex-M4,Ambarella A12,无操作,安全监测仪,烟雾和一氧化碳警报,家庭安全,2023-05-01,国家消防协会,https://www.nfpa.org,2024-09-13,,,,
智能浇水系统,土壤智慧,SmartWater 3000,两年保修,SoilOS,土壤智慧,ARM Cortex-M0,TI MSP430,APP控制,园艺助手,根据土壤湿度自动浇水,家庭园艺,2022-11-15,智能农业论坛,https://www.smartagriculture.com,2024-09-13,,,,
