年份（字符型）,地区（字符型）,区块链数量（数值型）,单位,区块链应用行业（字符型）,区块链应用场景（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2023年,南非,360,个,金融、物流,跨境支付、物流跟踪,南非国家银行,https://www.resbank.co.za/,2024-09-29,,,,,,,,,,,,
2024年,新西兰,250,个,旅游、金融,旅游合同管理、旅游奖励计划,新西兰旅游局,https://www.tourism.govt.nz/,2024-09-29,,,,,,,,,,,,
2024年,俄罗斯,1100,个,金融、政府,公证服务、税务透明化,俄罗斯联邦通信与大众传媒监督局,http://www.rossvyaz.ru/,2024-09-29,,,,,,,,,,,,
2023年,印度,2000,个,农业、金融,农产品溯源、贷款审批,印度技术发展局,https://www.tdb.gov.in/,2024-09-29,,,,,,,,,,,,
2023年,巴西,950,个,物流、政务,供应链透明度、选民登记,巴西国家信息技术委员会,http://www.cti.gov.br/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,650,个,医疗、保险,患者数据管理、索赔自动化,加拿大广播公司,https://www.cbc.ca/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,750,个,金融、教育,学位验证、智能合同,澳大利亚政府,https://www.australia.gov.au/,2024-09-29,,,,,,,,,,,,
2024年,阿根廷,500,个,能源、房地产,电力交易、产权登记,阿根廷国家科技部,https://www.argentina.gob.ar/ciencia,2024-09-29,,,,,,,,,,,,
2023年,南非,400,个,政府、法律,土地登记、合同验证,南非政府信息办公室,https://www.gov.za/,2024-09-29,,,,,,,,,,,,
2024年,德国,1100,个,汽车、金融,车辆追踪、支付系统,德国联邦交通部,https://www.bmvi.de/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,300,个,农业、金融,乳制品追溯、供应链管理,新西兰贸易与企业部,https://www.mbie.govt.nz/,2024-09-29,,,,,,,,,,,,
2024年,瑞士,1200,个,金融、保险,资产管理、风险评估,瑞士金融市场监管局,https://www.finma.ch/,2024-09-29,,,,,,,,,,,,
2024年,新加坡,400,个,科技、医疗,数据安全共享、医疗记录,新加坡通讯及信息部,https://www.mci.gov.sg/,2024-09-29,,,,,,,,,,,,
2023年,印度,1500,个,农业、金融,农产品溯源、智能合约,印度农业部,http://www.agricoop.gov.in,2024-09-29,,,,,,,,,,,,
2023年,加拿大,600,个,能源、金融,碳信用交易、储能管理,加拿大区块链产业协会,https://www.canada.ca/en/services/business/blockchain.html,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,700,个,教育、政务,学位认证、电子投票,澳大利亚教育部,https://www.education.gov.au/blockchain,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,250,个,农业、物流,供应链透明度、合同管理,阿根廷农业协会,http://www.argentina.gob.ar/agricultura,2024-09-29,,,,,,,,,,,,
2023年,新西兰,400,个,旅游、金融,旅游认证、支付解决方案,新西兰旅游局,https://www.newzealand.com/int/travel/blockchain/,2024-09-29,,,,,,,,,,,,
2023年,巴西,850,个,健康、支付,医疗记录分享、P2P支付,巴西健康部,http://www.saude.gov.br/blockchain,2024-09-29,,,,,,,,,,,,
2023年,南非,320,个,金融、物流,跨境手续费降低、商品追踪,南非金融监管局,https://www.fsb.co.za,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,940,个,能源、政府,数据信息透明化、合同管理,俄罗斯联邦能源部,http://www.energo.gov.ru,2024-09-29,,,,,,,,,,,,
2023年,瑞士,500,个,金融、教育,数字身份、去中心化金融,瑞士金融市场监督管理局,https://www.finma.ch/en,2024-09-29,,,,,,,,,,,,
2023年,印度,950,个,金融、农业,农业供应链透明度、金融交易,印度信息技术部,https://www.miti.gov.in/,2024-09-29,,,,,,,,,,,,
2023年,巴西,650,个,能源、环保,碳交易、可再生能源管理,巴西国家电力公司,https://www.eletrobras.com/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,800,个,医疗、金融,医疗数据管理、保险理赔,加拿大医疗协会,https://www.cma.ca/,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,500,个,政府、金融,选举透明、税务审计,俄罗斯联邦政府,http://government.ru/en/,2024-09-29,,,,,,,,,,,,
2023年,英国,1100,个,法律、金融,智能合约、数字证据管理,英国金融行为监管局,https://www.fca.org.uk/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,700,个,房地产、金融,房地产交易、资产代币化,澳大利亚证券投资委员会,https://www.asic.gov.au/,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,1200,个,政府、金融,智能城市建设、支付系统,阿联酋政府数字服务部,https://u.ae/en,2024-09-29,,,,,,,,,,,,
2023年,南非,400,个,金融、农业,小额贷款、农田监测,南非农业部,https://www.dalrrd.gov.za/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,300,个,环保、物流,环境监测、商品追踪,新西兰环境保护局,https://www.epa.govt.nz/,2024-09-29,,,,,,,,,,,,
2023年,新加坡,350,个,教育、科技,学历证书验证、数据加密,新加坡教育部,https://www.moe.gov.sg/,2024-09-29,,,,,,,,,,,,
2023年,印度,980,个,金融、农业,数字支付、可追溯农产品,印度国家信息技术部,http://www.ministryofit.gov.in/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,650,个,医疗、政府,患者记录管理、身份验证,加拿大统计局,https://www.statcan.gc.ca/,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,420,个,政府、交通,智能城市、运输管理,阿联酋数字经济部,https://www.digitalwellbeing.gov.ae/,2024-09-29,,,,,,,,,,,,
2023年,巴西,500,个,农业、金融,供应链透明度、贷款审批,巴西大宗商品协会,http://www.commoditiesbrazil.org/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,780,个,教育、零售,学历验证、数字货币支付,澳大利亚贸易与投资委员会,https://www.austrade.gov.au/,2024-09-29,,,,,,,,,,,,
2024年,英国,1100,个,保险、能源,理赔自动化、绿色能源交易,英国金融行为监管局,https://www.fca.org.uk/,2024-09-29,,,,,,,,,,,,
2024年,新西兰,300,个,物流、卫生,药品追溯、跨境物流,新西兰统计局,https://www.stats.govt.nz/,2024-09-29,,,,,,,,,,,,
2024年,瑞士,900,个,金融、健康,资产管理、健康信息共享,瑞士金融市场监管局,https://www.finma.ch/,2024-09-29,,,,,,,,,,,,
2024年,南非,450,个,能源、政务,可再生能源证书、电子政务服务,南非国家统计局,http://www.statssa.gov.za/,2024-09-29,,,,,,,,,,,,
2024年,俄罗斯,550,个,制造、运输,生产流程追踪、物流优化,俄罗斯联邦统计局,https://rosstat.gov.ru/,2024-09-29,,,,,,,,,,,,
2023年,印度,900,个,金融、农业,农产品溯源、供应链金融,印度信息技术部,https://www.meity.gov.in/,2024-09-29,,,,,,,,,,,,
2024年,以色列,600,个,高科技、医疗,数据安全、数字身份验证,以色列创新局,https://innovationisrael.org.il/en,2024-09-29,,,,,,,,,,,,
2023年,英国,450,个,法律、金融,合约管理、反欺诈,英国内阁办公室,https://www.gov.uk/government/organisations/cabinet-office,2024-09-29,,,,,,,,,,,,
2023年,巴西,350,个,政府、物流,公共记录管理、物流追踪,巴西银行,https://www.bcb.gov.br/,2024-09-29,,,,,,,,,,,,
2023年,南非,200,个,教育、金融,学位认证、贷款管理,南非教育部,https://www.dhet.gov.za/,2024-09-29,,,,,,,,,,,,
2024年,阿根廷,300,个,金融、房地产,资产管理、土地登记,阿根廷中央银行,https://www.bcra.gov.ar/,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,550,个,能源、信息技术,智能电网、数据共享,俄罗斯联邦能源部,http://minenergo.gov.ru/,2024-09-29,,,,,,,,,,,,
2024年,新西兰,250,个,农业、环境保护,环保追踪、可持续发展,新西兰农业部,https://www.mpi.govt.nz/,2024-09-29,,,,,,,,,,,,
2023年,菲律宾,150,个,金融、教育,汇款服务、教育证书验证,菲律宾中央银行,https://www.bsp.gov.ph/,2024-09-29,,,,,,,,,,,,
2023年,印度,850,个,农业、金融,农业补贴跟踪、透明支付系统,印度信息技术部,https://www.mit.gov.in,2024-09-29,,,,,,,,,,,,
2023年,德国,900,个,汽车、保险,供应链追踪、索赔管理,德国汽车工业协会,https://www.vda.de/en,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,600,个,房地产、政府,土地登记、物业交易,澳大利亚政府,https://www.australia.gov.au/,2024-09-29,,,,,,,,,,,,
2024年,阿根廷,350,个,金融、供应链,跨境支付、商品认证,阿根廷中央银行,https://www.bcra.gov.ar/,2024-09-29,,,,,,,,,,,,
2024年,巴西,700,个,能源、环境,碳信用交易、可再生能源认证,巴西能源部,https://www.gov.br/mme/pt-br,2024-09-29,,,,,,,,,,,,
2023年,加拿大,480,个,医疗、金融,病历管理、个人财务透明化,加拿大健康信息研究所,https://www.cihi.ca/en,2024-09-29,,,,,,,,,,,,
2023年,英国,1100,个,物流、零售,溯源管理、库存监测,英国商业、能源与工业战略部,https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,2024-09-29,,,,,,,,,,,,
2023年,南非,300,个,农业、金融,种植贷款、食品安全,南非农业部,https://www.nda.gov.za/,2024-09-29,,,,,,,,,,,,
2024年,新西兰,250,个,教育、政府,学历认证、电子公文,新西兰教育部,https://www.education.govt.nz/,2024-09-29,,,,,,,,,,,,
2023年,印度,950,个,农业、教育,农产品溯源、学历验证,NASSCOM,https://nasscom.in,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,700,个,政务、金融,护照管理、金融交易审核,UAE Blockchain Council,https://www.smartdubai.gov.ae,2024-09-29,,,,,,,,,,,,
2023年,加拿大,600,个,医疗、金融,电子健康记录管理、去中心化金融,Canadian Blockchain Consortium,https://www.blockchainconsortium.ca,2024-09-29,,,,,,,,,,,,
2023年,巴西,400,个,农业、物流,供应链透明度、产品追溯,Brazilian Institute of Blockchain,https://www.brazilblockchain.org,2024-09-29,,,,,,,,,,,,
2023年,英国,1100,个,金融、保险,智能合约、风险管理,UK Finance,https://www.ukfinance.org.uk,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,350,个,医疗、教育,医药供应链管理、在线教育证书,Australian Blockchain Association,https://www.blockchain.org.au,2024-09-29,,,,,,,,,,,,
2023年,南非,200,个,金融、政府,金融包容性、身份证明,Blockchain South Africa,https://blockchainsouthafrica.co.za,2024-09-29,,,,,,,,,,,,
2024年,俄罗斯,900,个,能源、物流,能源交易、物流监管,Russian Business Network,https://www.rusbn.ru,2024-09-29,,,,,,,,,,,,
2024年,新西兰,250,个,农业、金融,食品安全追溯、微型贷款,New Zealand Digital Council,https://www.digital.govt.nz,2024-09-29,,,,,,,,,,,,
2023年,印度,950,个,农业、金融,农产品溯源、数字支付,印度信息技术部,https://www.meity.gov.in/,2024-09-29,,,,,,,,,,,,
2023年,巴西,700,个,医疗、政府,公共记录管理、病历共享,巴西国家卫生局,https://www.gov.br/saude/,2024-09-29,,,,,,,,,,,,
2023年,中国香港,250,个,金融、艺术,数字艺术交易、房地产交易,香港金融管理局,http://www.hkma.gov.hk/,2024-09-29,,,,,,,,,,,,
2023年,德国,600,个,制造、物流,供应链透明度、智能合约执行,德国联邦经济与能源部,https://www.bmwi.de/,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,400,个,能源、航空,能源分配、航班安全记录,俄罗斯能源部,http://www.minenergo.gov.ru/,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,350,个,金融、政府,反洗钱合规、公共透明度,阿根廷中央银行,https://www.bcra.gov.ar/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,800,个,教育、医疗,学位验证、患者数据管理,澳大利亚教育部,https://www.education.gov.au/,2024-09-29,,,,,,,,,,,,
2023年,南非,300,个,金融、物流,跨境支付、物流追踪,南非储备银行,https://www.resbank.co.za/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,200,个,农业、旅游,旅行记录、农产品认证,新西兰农业部,https://www.mpi.govt.nz/,2024-09-29,,,,,,,,,,,,
2023年,新德里,500,个,公共服务、健康,居民登记、健康记录管理,新德里政府,http://delhi.gov.in/,2024-09-29,,,,,,,,,,,,
2023年,印度,1500,个,金融、供应链,贸易融资、数字支付,NASSCOM,https://nasscom.in/knowledge-library/blockchain-industry-india,2024-09-29,,,,,,,,,,,,
2023年,加拿大,950,个,健康、金融,电子健康记录、保险欺诈预防,加拿大创新局,https://www.canada.ca/en/innovation-science-economic-development/news/2023/blockchain-in-canada.html,2024-09-29,,,,,,,,,,,,
2023年,英国,680,个,政府、健康,公民身份验证、疫苗接种记录,UK Government Digital Service,https://www.gov.uk/government/news/blockchain-in-the-public-sector,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,600,个,政务、运输,数字护照、物流追踪,Dubai Smart Government,https://www.smartdubai.ae/initiatives/blockchain,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,430,个,农业、环保,农产品溯源、资源管理,Australian Blockchain Roadmap,https://www.industry.gov.au/data-and-publications/blockchain-roadmap,2024-09-29,,,,,,,,,,,,
2023年,巴西,800,个,金融、能源,交易透明度、智能电网,Brazilian Blockchain Association,https://www.abbc.com.br/publicacoes/blockchain-no-brasil.html,2024-09-29,,,,,,,,,,,,
2023年,南非,350,个,银行、零售,移动支付、客户身份验证,South African Reserve Bank,https://www.resbank.co.za/Research/BrowseResearchPaper/BlockChain,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,550,个,物流、政务,跨境贸易、选举管理,Russian Ministry of Digital Development,https://digital.gov.ru/en/blocks/blockchain/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,290,个,环境、农业,碳交易、食品安全,New Zealand Blockchain Roadmap,https://www.mbie.govt.nz/business-and-employment/ecommerce/blockchain/,2024-09-29,,,,,,,,,,,,
2023年,新兴市场,1200,个,金融、教育,微型贷款、学历认证,World Bank,https://www.worldbank.org/en/topic/financialinclusion/brief/blockchain-for-financial-inclusion,2024-09-29,,,,,,,,,,,,
2023年,印度,1500,个,金融、农业,农产品追溯、智能支付,NASSCOM,https://nasscom.in/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,950,个,能源、健康,可再生能源交易、医疗数据管理,Canadian Blockchain Consortium,https://www.canadianblockchainconsortium.ca/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,750,个,政府、教育,在线投票、学位认证,Australian Government,https://www.gov.au/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,400,个,金融、通信,电子支付、数字身份认证,New Zealand Blockchain Roadmap,https://www.dia.govt.nz/,2024-09-29,,,,,,,,,,,,
2024年,阿根廷,300,个,贸易、金融,跨境支付、合同管理,Argentinian Chamber of Commerce,https://www.cac.com.ar/,2024-09-29,,,,,,,,,,,,
2024年,巴西,600,个,物流、零售,供应链透明化、点对点交易,Brazilian Blockchain Association,https://www.abcb.com.br/,2024-09-29,,,,,,,,,,,,
2024年,俄罗斯,800,个,金融、公共服务,税务透明、社会福利管理,Russian Ministry of Digital Development,https://digital.gov.ru/,2024-09-29,,,,,,,,,,,,
2024年,南非,500,个,农业、教育,土地所有权管理、学历认证,South Africa Blockchain Alliance,https://www.sablc.org/,2024-09-29,,,,,,,,,,,,
2024年,瑞士,900,个,金融、科技,加密货币交易所、区块链创新中心,Swiss Blockchain Federation,https://www.blockchain-swiss.com/,2024-09-29,,,,,,,,,,,,
2024年,英国,1200,个,金融、连锁,智能合约、商品追踪,UK Blockchain Association,https://www.ukba.org/,2024-09-29,,,,,,,,,,,,
2023年,印度,950,个,金融、农业,农产品溯源、贷款审核,NASSCOM,https://nasscom.in/,2024-09-29,,,,,,,,,,,,
2023年,巴西,680,个,能源、环保,绿色能源交易、碳信用管理,巴西互联网协会,https://www.cgi.br/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,550,个,健康、教育,电子健康记录、学历验证,澳大利亚区块链协会,https://www.blockchain.org.au/,2024-09-29,,,,,,,,,,,,
2023年,南非,330,个,金融、治理,微支付平台、选票验证,南非金融服务委员会,https://www.fsc.gov.za/,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,700,个,供应链、制造,物流追踪、工艺管理,俄国互联网研究中心,https://www.ru-ix.ru/,2024-09-29,,,,,,,,,,,,
2023年,沙特阿拉伯,400,个,能源、金融,石油交易优化、合同管理,阿拉伯数字经济委员会,https://www.digital.gov.sa/,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,320,个,农业、食品,食品安全追踪、农场运营管理,阿根廷农业部,https://www.argentina.gob.ar/agricultura,2024-09-29,,,,,,,,,,,,
2023年,新西兰,250,个,旅游、教育,旅游产品认证、在线课程认证,新西兰区块链研究所,https://www.blockchainresearch.co.nz/,2024-09-29,,,,,,,,,,,,
2023年,智利,210,个,金融、科技,个人身份验证、智能合约分享,智利科技部,https://www.ministeriodeciencia.gob.cl/,2024-09-29,,,,,,,,,,,,
2023年,瑞典,400,个,社交、媒体,数字内容付费、用户身份保护,瑞典区块链协会,https://www.blockchainsweden.org/,2024-09-29,,,,,,,,,,,,
2023年,印度,650,个,农业、金融,农产品溯源、微贷管理,印度信息技术部,https://www.mit.gov.in/,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,900,个,政务、金融,数字支付、职业认证,阿联酋区块链委员会,https://www.u.ae/en,2024-09-29,,,,,,,,,,,,
2023年,巴西,450,个,金融、物流,跨境支付、供应链透明化,巴西中央银行,https://www.bcb.gov.br/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,750,个,医疗、数据保护,患者数据安全存储、医疗记录管理,澳大利亚卫生部,https://www.health.gov.au/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,500,个,能源、金融,可再生能源交易、资产数字化,加拿大自然资源部,https://www.nrcan.gc.ca/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,300,个,农业、环保,食品安全追溯、碳信用交易,新西兰农业部,https://www.mpi.govt.nz/,2024-09-29,,,,,,,,,,,,
2023年,南非,400,个,金融、政务,数字货币、土地登记管理,南非储备银行,https://www.resbank.co.za/,2024-09-29,,,,,,,,,,,,
2023年,新加坡,640,个,金融、科技,区块链金融服务、智能合约,新加坡金融管理局,https://www.mas.gov.sg/,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,350,个,制造、能源,智能合约、能源数据透明化,俄罗斯电力公司,https://www.rosseti.ru/,2024-09-29,,,,,,,,,,,,
2023年,印度尼西亚,280,个,金融、农业,微型贷款、农产品交易,印度尼西亚金融服务管理局,https://www.ojk.go.id/,2024-09-29,,,,,,,,,,,,
2023年,印度,950,个,农业、金融,土地登记、信贷管理,印度区块链协会,https://www.india-blockchain-association.org,2024-09-29,,,,,,,,,,,,
2023年,加拿大,650,个,医疗、金融,病例管理、保险索赔,加拿大健康信息机构,https://www.canada.ca/en/health.html,2024-09-29,,,,,,,,,,,,
2024年,巴西,400,个,物流、政府,供应链透明度、税务管理,巴西数字经济委员会,https://www.gov.br/economia/pt-br,2024-09-29,,,,,,,,,,,,
2024年,阿联酋,800,个,金融、城市管理,智能城市、数字身份验证,阿联酋信息通讯管理局,https://u.ae/en,2024-09-29,,,,,,,,,,,,
2023年,德国,550,个,能源、工程,能源交易市场、产品认证,德国技术合作公司,https://www.giz.de/en/index.html,2024-09-29,,,,,,,,,,,,
2023年,新西兰,300,个,农业、教育,食品安全、学位认证,新西兰区块链网络,https://www.blockchain.govt.nz/,2024-09-29,,,,,,,,,,,,
2024年,英国,900,个,金融、政府,数字货币、选举透明性,英国金融监管局,https://www.fca.org.uk/,2024-09-29,,,,,,,,,,,,
2023年,南非,450,个,金融、公共服务,汇款服务、公共记录管理,南非国家银行,https://www.resbank.co.za/,2024-09-29,,,,,,,,,,,,
2024年,以色列,500,个,安防、科技,数据加密、身份验证,以色列创新局,https://innovationisrael.org.il/en,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,700,个,金融、能源,资产管理、能源供应链,俄罗斯中央银行,https://cbr.ru/eng/,2024-09-29,,,,,,,,,,,,
2023年,英国,950,个,金融、医疗,保险欺诈检测、医疗记录管理,英国金融行为监管局,https://www.fca.org.uk,2024-09-29,,,,,,,,,,,,
2023年,加拿大,700,个,农业、金融,食品溯源、交易清算,加拿大农业与食品部,https://www.agr.gc.ca,2024-09-29,,,,,,,,,,,,
2023年,印度,450,个,教育、金融,学历认证、数字支付,印度联合区块链联盟,https://www.niti.gov.in,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,600,个,旅游、政务,旅行身份验证、土地登记,阿联酋政府数字化部,https://www.government.ae,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,550,个,能源、环境,可再生能源交易、垃圾管理跟踪,澳大利亚能源市场局,https://www.aemc.gov.au,2024-09-29,,,,,,,,,,,,
2023年,巴西,400,个,金融、物流,汇款、供应链透明度,巴西中央银行,https://www.bcb.gov.br,2024-09-29,,,,,,,,,,,,
2023年,新西兰,250,个,教育、艺术,知识产权保护、数字艺术销售,新西兰创意产业委员会,https://www.creative.govt.nz,2024-09-29,,,,,,,,,,,,
2023年,南非,300,个,金融、政府,数字货币监管、税务透明度,南非金融机构,https://www.treasury.gov.za,2024-09-29,,,,,,,,,,,,
2023年,瑞士,700,个,金融、健康,资产管理、电子健康记录,瑞士金融市场监督局,https://www.finma.ch,2024-09-29,,,,,,,,,,,,
2023年,新加坡,320,个,物流、智能城市,智慧交通管理、资产追踪,新加坡通讯与信息部,https://www.imda.gov.sg,2024-09-29,,,,,,,,,,,,
2023年,印度,600,个,农业、金融,农产品溯源、微型贷款,印度国家信息中心,https://www.nic.in/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,950,个,医疗、政府服务,医疗记录管理、选票验证,加拿大政府,https://www.canada.ca/en.html,2024-09-29,,,,,,,,,,,,
2023年,巴西,750,个,金融、制造,透明交易、智能合约,巴西银行,https://www.bcb.gov.br/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,500,个,教育、健康,学历认证、健康数据管理,澳大利亚教育部,https://www.education.gov.au/,2024-09-29,,,,,,,,,,,,
2023年,英国,1100,个,保险、房地产,索赔处理、产权验证,英国金融行为监管局,https://www.fca.org.uk/,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,400,个,交通、政务,数字许可证、智能交通系统,阿联酋数字政府,https://government.ae/,2024-09-29,,,,,,,,,,,,
2023年,南非,350,个,农业、金融,电子支付、农业补贴分配,南非储备银行,https://www.resbank.co.za/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,250,个,旅游、物流,旅游体验共享、供给链透明,新西兰旅游局,https://www.tourismnewzealand.com/,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,900,个,能源、政府,智慧电网、公共记录管理,俄罗斯联邦能源署,http://www.gosenergo.ru/,2024-09-29,,,,,,,,,,,,
2023年,法国,700,个,时尚、礼品,品牌保护、溯源管理,法国时尚产业协会,https://www.fashionfrance.com/,2024-09-29,,,,,,,,,,,,
2023年,印度,700,个,金融、农业,供应链金融、农产品溯源,NASSCOM,https://www.nasscom.in/,2024-09-29,,,,,,,,,,,,
2023年,英国,900,个,媒体、广告,广告投放透明性,UK Government,https://www.gov.uk/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,650,个,医疗、政府,健康记录管理,Australian Digital Health Agency,https://www.digitalhealth.gov.au/,2024-09-29,,,,,,,,,,,,
2023年,巴西,550,个,金融、物流,支付系统、货物追踪,Brazilian Blockchain Institute,https://www.blockchainbrasil.org/,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,400,个,能源、航空,能耗管理、航空票务,Russian Ministry of Digital Development,https://digital.gov.ru/,2024-09-29,,,,,,,,,,,,
2023年,南非,200,个,金融、环保,碳信用交易,South African Reserve Bank,https://www.resbank.co.za/,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,300,个,农业、金融,农产品融资、供应链加密,Argentinian Ministry of Agriculture,https://www.argentina.gob.ar/agricultura,2024-09-29,,,,,,,,,,,,
2023年,以色列,400,个,医疗、科技,患者数据保护,Israeli Health Ministry,https://www.health.gov.il/English/Pages/default.aspx,2024-09-29,,,,,,,,,,,,
2023年,新西兰,250,个,金融、教育,学历认证,New Zealand Ministry of Education,https://www.education.govt.nz/,2024-09-29,,,,,,,,,,,,
2023年,沙特阿拉伯,300,个,能源、政府,能源交易和许可证管理,Saudi Arabian Ministry of Energy,https://www.meim.gov.sa/,2024-09-29,,,,,,,,,,,,
2023年,印度,700,个,金融、农业,农产品供应链追踪、数字货币,印度信息科技部,https://www.mit.gov.in/,2024-09-29,,,,,,,,,,,,
2024年,英国,950,个,教育、政府,学历认证、公共记录透明,英国政府报告,https://www.gov.uk/government/publications/blockchain-in-education,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,1200,个,能源、交通,能源交易、物流监控,俄罗斯能源部,http://minenergo.gov.ru/,2024-09-29,,,,,,,,,,,,
2023年,巴西,580,个,金融、零售,电子支付系统、消费品追踪,巴西银行,https://www.bcb.gov.br/,2024-09-29,,,,,,,,,,,,
2023年,法国,450,个,艺术、文化,艺术品认证、版权保护,法国文化部,https://www.culture.gouv.fr/,2024-09-29,,,,,,,,,,,,
2024年,新西兰,300,个,政务、环境保护,环境数据透明化、国土管理,新西兰政府,https://www.govt.nz/,2024-09-29,,,,,,,,,,,,
2024年,阿根廷,400,个,金融、农业,区块链农业融资、数字资产交易,阿根廷中央银行,https://www.bcra.gob.ar/,2024-09-29,,,,,,,,,,,,
2024年,南非,650,个,金融、医疗,数字身份验证、药品追踪,南非金融服务委员会,https://www.fsca.co.za/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,850,个,金融、房地产,智能合约、物业交易登记,加拿大房地产协会,https://crea.ca/,2024-09-29,,,,,,,,,,,,
2024年,意大利,520,个,食品、制造,食品溯源、质量控制,意大利农业部,https://www.politicheagricole.it/,2024-09-29,,,,,,,,,,,,
2023年,印度,600,个,农业、金融,农产品溯源、微贷管理,印度信息技术部,https://www.msit.gov.in/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,900,个,物流、政府,供应链透明性、电子投票,澳大利亚商业部,https://www.industry.gov.au/,2024-09-29,,,,,,,,,,,,
2024年,巴西,750,个,医疗、教育,患者数据管理、学历认证,巴西卫生部,http://www.gov.br/saude/,2024-09-29,,,,,,,,,,,,
2023年,德国,1100,个,金融、制造,智能合同、资产管理,德国联邦金融监管局,https://www.bafin.de/,2024-09-29,,,,,,,,,,,,
2023年,南非,300,个,能源、政务,能源交易、身份验证,南非能源部,http://www.energy.gov.za/,2024-09-29,,,,,,,,,,,,
2024年,英国,950,个,保险、金融,理赔流程自动化、清算和结算,英国金融行为监管局,https://www.fca.org.uk/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,700,个,物流、医疗,运输追踪、患者档案管理,加拿大公共工程与政府服务部,https://www.tpsgc-pwgsc.gc.ca/,2024-09-29,,,,,,,,,,,,
2023年,瑞士,400,个,金融、科技,数字资产交易、数据加密,瑞士金融市场监管局,https://www.finma.ch/,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,250,个,农业、金融,食品安全、融资透明度,阿根廷农业部,https://www.argentina.gob.ar/agriculture,2024-09-29,,,,,,,,,,,,
2023年,新西兰,480,个,旅游、银行,忠诚度计划、分布式账本技术应用,新西兰旅游局,https://www.tourism.govt.nz/,2024-09-29,,,,,,,,,,,,
2023年,印度,650,个,金融、教育,学位证书验证、数字支付,印度国家支付公司,https://www.npci.org.in/,2024-09-29,,,,,,,,,,,,
2023年,以色列,450,个,医疗、农业,临床试验数据管理、农产品追溯,以色列创新局,https://innovationisrael.org.il/,2024-09-29,,,,,,,,,,,,
2023年,法国,920,个,艺术、媒体,数字艺术确权、版权保护,法国文化部,https://www.culture.gouv.fr/,2024-09-29,,,,,,,,,,,,
2023年,英国,720,个,政府、金融,土地登记、智能合约,英国政府数字服务,https://www.gov.uk/government/organisations/government-digital-service,2024-09-29,,,,,,,,,,,,
2023年,巴西,310,个,金融、农业,小额信贷、农产品贸易记录,巴西农业部,https://www.gov.br/agricultura/,2024-09-29,,,,,,,,,,,,
