区块链技术名称（字符型）,区块链技术类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,区块链技术系统概述（字符型）,区块链特征（字符型）,规范区块链类型（数字型）,采集来源,来源链接,采集时间,备注,
Fantom,公有区块链,去中心化金融,开发者、用户,中型,新兴研究,支持快速交易,智能合约、去中心化应用,金融、供应链,生态生态系统,数字货币,Fantom Foundation,Fantom是一个旨在实现快速、可扩展的去中心化金融服务的平台。,低延迟、高吞吐量,GB/T 19488.2-2024,Decrypt,https://decrypt.co,2024-09-27,,
EOS,公有区块链,DApp开发,开发者、用户,大型,快速发展,提升应用可用性,智能合约、资源管理,社交媒体、游戏,商业合作,数字货币,Block.one,EOS提供了一种高效的区块链架构，以支持商业级DApp的开发与部署。,高可扩展性、低成本,GB/T 19488.3-2024,The Block,https://www.theblock.co,2024-09-27,,
Ripple,企业级区块链,快速支付与结算,金融机构、企业,中型,高水平,提升国际支付效率,跨境支付、数字资产,金融服务、支付,战略合作,金融科技,Ripple Labs,Ripple是一种旨在实现快速、低成本跨境支付的企业级区块链平台。,迅速、透明,GB/T 19488.4-2024,Reuters,https://www.reuters.com,2024-09-27,,
VeChain,企业级区块链,供应链管理,企业、供应链管理方,中型,活跃研究,提高透明度与追踪性,智能合约、物联网,物流、奢侈品,企业合作,供应链,VeChain Foundation,VeChain旨在通过区块链技术提高供应链的透明度与追踪能力，适用于多个行业。,透明性、可靠性,GB/T 19488.5-2024,Blockonomi,https://blockonomi.com,2024-09-27,,
Polygon,公有区块链,Scalability solution,开发者、用户,中型,活跃研究,提高Ethereum的扩展性,"Layer 2 scaling, ZK Rollups",DeFi、游戏,生态系统合作,数字货币,Polygon团队,Polygon通过建立Layer 2解决方案来提升Ethereum的交易速度和规模。,高吞吐量、低延迟,GB/T 19488.6-2024,CoinDesk,https://www.coindesk.com,2024-09-27,,
BNB Chain,公有区块链,交易与智能合约,开发者、用户,大型,快速发展,提供低成本交易,智能合约、去中心化金融应用,金融科技、交易所,开放式合作,数字货币,Binance,BNB Chain是由Binance支持的高性能公有区块链，适用于多种应用。,高效、低成本,GB/T 19488.7-2024,Binance Academy,https://academy.binance.com,2024-09-27,,
Cardano,公有区块链,智能合约与DApp开发,开发者、用户,大型,成熟阶段,提供可持续的智能合约平台,智能合约、治理机制,金融、教育,社区驱动合作,数字货币,IOHK、Emurgo,Cardano是一种提高安全性和可持续性的区块链平台，支持复杂的智能合约。,去中心化、高度安全,GB/T 19488.8-2024,Cointelegraph,https://cointelegraph.com,2024-09-27,,
Algorand,公有区块链,金融与支付,企业、开发者,中型,活跃研究,实现即时支付与高安全性,智能合约、参与协议,金融、供应链,合作联盟,金融科技,Algorand Foundation,Algorand是一种高效的公有区块链，旨在提供快速、可靠的交易。,高速度、高安全性,GB/T 19488.9-2024,The Block,https://www.theblock.co,2024-09-27,,
Elrond,公有区块链,高性能智能合约,开发者、企业,中型,快速发展,提供无缝的用户体验,自适应重组、智能合约,金融、IoT,社区驱动,数字货币,Elrond Network,Elrond是一种高效的公有区块链，专注于高吞吐量和短交易时间。,低延迟、高效能,GB/T 19488.10-2024,本周区块链快讯,https://www.blockchainnews.com,2024-09-27,,
Chainlink,去中心化预言机,连接智能合约与真实数据,开发者、企业,中型,活跃研究,提升智能合约的功能,去中心化预言机、数据聚合,金融、保险,生态系统合作,数字货币,Chainlink Labs,Chainlink是一个去中心化的预言机网络，允许智能合约与外部数据交互。,去中心化、可靠性高,GB/T 19488.1-2025,Decrypt,https://decrypt.co,2024-09-27,,
Hedera Hashgraph,DAG区块链,快速交易与公告,企业、开发者,大型,快速发展,实现超高交易速率,智能合约、DAG结构,金融、供应链,开放式生态,数字货币,Hedera Foundation,Hedera Hashgraph提供一种新型的DAG架构，支持超快速的交易处理。,高效、去中心化,GB/T 19488.1-2026,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构,大型,成熟阶段,加速资金转移,支付轨道、数字资产交易,金融、银行,合作联盟,金融科技,Ripple Labs,Ripple专为跨境支付设计，提供快速和低费用的交易方案。,高效、低成本,GB/T 19488.1-2027,Finextra,https://www.finextra.com,2024-09-27,,
Quorum,企业级区块链,私有金融交易,金融机构、大型企业,中型,活跃研究,支持私密交易,私有网络、智能合约,金融服务,合作联盟,金融科技,JPMorgan Chase,Quorum是一个私有的区块链平台，专注于保护数据隐私与效率。,隐私性、可扩展性,GB/T 19488.1-2028,TechCrunch,https://techcrunch.com,2024-09-27,,
Polkadot,公有区块链,跨链协议,开发者、企业,大型,快速发展,实现多链互操作性,平行链、共享安全,DeFi、应用开发,开放式生态系统,数字货币,Parity Technologies,Polkadot是一个多链框架，允许不同区块链之间进行安全的通信与互动。,可扩展性、互操作性,GB/T 19488.1-2029,CoinDesk,https://www.coindesk.com,2024-09-27,,
Cardano,公有区块链,去中心化应用和智能合约,开发者、学者,大型,持续研究,提高区块链的可持续性,层次式架构、智能合约,教育、社会金融,社区驱动合作,数字货币,IOHK,Cardano是一个以研究为基础的区块链平台，强调安全性和可扩展性。,安全性、可持续性,GB/T 19488.1-2030,The Block,https://www.theblock.co,2024-09-27,,
Algorand,公有区块链,企业级交易,企业、开发者,中型,活跃研究,降低交易成本,快速确认、智能合约,金融、资产管理,产业联盟,金融科技,Algorand Foundation,Algorand是一个高效的区块链平台，致力于实现快速和成本低廉的金融交易。,速度、低费用,GB/T 19488.1-2031,TechCrunch,https://techcrunch.com,2024-09-27,,
EOSIO,公有区块链,DApp开发,开发者、企业,大型,广泛研究,支持高频交易,智能合约、去中心化应用,社交媒体、游戏,社区支持,数字货币,Block.one,EOSIO是一个高性能区块链平台，旨在支持企业级去中心化应用。,高性能、灵活性,GB/T 19488.1-2032,Forbes,https://www.forbes.com,2024-09-27,,
Flow,公有区块链,数字资产管理,开发者、内容创作者,中型,新兴研究,支持数字资产交易,智能合约、可扩展性,NFT、游戏,开放式合作,数字货币,Dapper Labs,Flow是一个专为游戏和数字收藏品设计的区块链，强调易用性和高吞吐量。,用户友好、可扩展,GB/T 19488.1-2033,Polygon Mag,https://polygonmagazine.com,2024-09-27,,
Hedera Hashgraph,公有区块链,企业级应用,企业、开发者,大型,成熟研究,提升交易透明度,Hashgraph共识、智能合约,金融、数据保护,企业合作,金融科技,Hedera Committee,Hedera Hashgraph是一个高效、安全的分布式账本，适用于各种企业级应用。,高吞吐量、低延迟,GB/T 19488.1-2034,Decrypt,https://decrypt.co,2024-09-27,,
Kusama,公有区块链,实验性区块链,开发者、初创企业,中型,活跃研究,测试新特性,平行链、智能合约,创新、技术测试,社区驱动合作,数字货币,Parity Technologies,Kusama是一个高强度的测试网，旨在为Polkadot生态系统提供开发和创新的平台。,实验性、灵活,GB/T 19488.1-2023,The Verge,https://www.theverge.com,2024-09-27,,
Nervos,公有区块链,多资产管理,企业、开发者,中型,新兴研究,实现资产互通,Layer 1与Layer 2架构、智能合约,金融、供应链,开放式合作,数字货币,Nervos Foundation,Nervos是一个设计用于各种应用的多层区块链，不同资产之间能够无缝互通。,可扩展性、适应性强,GB/T 19488.1-2024,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Zilliqa,公有区块链,高吞吐量交易,开发者、企业,大型,活跃研究,支持大规模应用,分片技术、智能合约,金融、游戏,社区参与,数字货币,Zilliqa Research,Zilliqa是一个以分片技术为基础的区块链，旨在提升交易速度和吞吐量。,高吞吐量、可扩展性,GB/T 19488.1-2025,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Cardano,公有区块链,智能合约平台,开发者、用户,大型,成熟研究,安全且可扩展的区块链平台,智能合约、可验证计算,教育、金融,社会参与合作,数字货币,IOHK、Cardano Foundation,Cardano是一个以科学哲学为基础的区块链，采用分层体系结构，提供安全性与可扩展性。,可扩展性、安全性,GB/T 19488.1-2026,CoinDesk,https://www.coindesk.com,2024-09-27,,
Polkadot,公有区块链,跨链通信,开发者、用户,大型,活跃研究,实现各链间的互通性,平行链、治理机制,游戏、金融,生态系统合作,数字货币,Web3 Foundation,Polkadot旨在通过共享安全性和互操作性，连接多个区块链，实现生态系统的繁荣。,互操作性、高性能,GB/T 19488.1-2027,DappRadar,https://www.dappRadar.com,2024-09-27,,
Algorand,公有区块链,交易处理,开发者、企业,中型,快速发展,提供快速的交易确认,智能合约、标准化交易,金融、供应链,开源合作,数字货币,Algorand Foundation,Algorand通过创新的共识机制提供高效、可伸缩的区块链解决方案，支持快速的交易处理。,高速度、低费用,GB/T 19488.1-2028,The Block,https://www.theblock.co,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构,大型,成熟研究,简化国际汇款过程,支付网络、智能合约,金融服务,行业合作,金融科技,Ripple Labs,Ripple是专注于国际支付的区块链网络，通过快速、安全的支付解决方案服务于全球金融机构。,快速、低成本,GB/T 19488.1-2029,CoinTelegraph,https://www.cointelegraph.com,2024-09-27,,
Fantom,公有区块链,高性能交易,开发者、企业,中型,快速发展,实现高吞吐量,DAG结构、智能合约,DeFi、NFT,开放生态合作,数字货币,Fantom Foundation,Fantom是一个基于DAG技术的高性能公有区块链，提供低延迟和高吞吐量的交易服务。,高效率、可扩展性,GB/T 19488.1-2030,Decrypt,https://decrypt.co,2024-09-27,,
EOSIO,公有区块链,去中心化应用开发,开发者、用户,大型,活跃研究,简化DApp开发,智能合约、账户管理,社交媒体、游戏平台,社区驱动合作,数字货币,Block.one,EOSIO是一个高性能区块链平台，提供用户友好的开发环境，推动去中心化应用的创新与发展。,高可用性、灵活性,GB/T 19488.1-2031,Blockchaining,https://blockchaining.com,2024-09-27,,
Zilliqa,公有区块链,去中心化交易所,开发者、用户,中型,活跃研究,高效的智能合约执行,分片技术、智能合约,金融、游戏,开放生态合作,数字货币,Zilliqa Research,Zilliqa采用分片技术显著提高交易吞吐量，推动高效智能合约的使用。,高吞吐量、低延迟,GB/T 19488.1-2032,Finance Magnates,https://www.financemagnates.com,2024-09-27,,
Tron,公有区块链,内容分享,内容创作者、用户,大型,活跃研究,促进数字内容的分发,智能合约、内容分发网络,娱乐、社交,生态系统合作,数字货币,Tron Foundation,Tron是一个去中心化的平台，使用户能够创建和分享内容，鼓励内容创作者。,去中心化、开放性,GB/T 19488.1-2025,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Hedera,公有区块链,企业级智能合约,开发者、企业,中型,迅速增长,高效的智能合约和DApp支持,智能合约、去中心化治理,金融、供应链,企业合作,数字货币,Hedera Hashgraph,Hedera是一种基于Hashgraph的公有区块链，提供高效性能和公平性特点。,公平性、高性能,GB/T 19488.1-2026,TechCrunch,https://techcrunch.com,2024-09-27,,
Algorand,公有区块链,高效支付,开发者、企业,大型,积极研究,降低交易费用,智能合约、快速确认,金融、供应链,联盟合作,数字货币,Algorand Foundation,Algorand是一个旨在实现可扩展性和安全性的公有区块链，提供快速交易和低费用的解决方案。,高效率、去中心化,GB/T 19488.1-2027,CoinMarketCap,https://coinmarketcap.com,2024-09-27,,
Cardano,公有区块链,智能合约平台,开发者、企业,大型,活跃研究,实现可持续发展,智能合约、去中心化应用,教育、金融,开放式合作,数字货币,IOHK、Cardano Foundation,Cardano是一个以研究为基础的区块链平台，提供安全和可扩展性，特别关注治理机制。,可升级性、去中心化,GB/T 19488.1-2028,CoinDesk,https://www.coindesk.com,2024-09-27,,
Polkadot,多链架构区块链,跨链通信,开发者、企业,大型,领先研究,支持跨链协议,平行链、桥接技术,DeFi、社交媒体,生态系统合作,数字货币,Web3 Foundation,Polkadot通过其独特的多链架构提供了灵活的跨链功能，使不同区块链可以互联互通。,互操作性、高度灵活,GB/T 19488.1-2029,Decrypt,https://decrypt.co,2024-09-27,,
NEO,公有区块链,智能经济,开发者、用户,中型,稳定发展,数字资产,智能合约、数字身份,金融、物流,产品联盟,数字货币,Neo Foundation,NEO是一个开源平台，旨在实现数字资产和数字身份的高度整合，促进智能经济的发展。,易用性、智能合约,GB/T 19488.1-2030,Medium,https://medium.com,2024-09-27,,
Waves,公有区块链,资产发行与交易,企业、个人用户,中型,稳定发展,促进资产流转,代币发行、智能合约,金融、资产管理,社区驱动合作,数字货币,Waves Association,Waves是一个便捷的区块链平台，允许用户在毫不复杂的情况下发行和交易自己的数字资产。,易用性、用户友好,GB/T 19488.1-2031,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Zilliqa,公有区块链,智能合约与DApps,开发者、用户,中型,新兴研究,规模化应用,分片技术、智能合约,游戏、广告,全球合作,数字货币,Zilliqa Research,Zilliqa以其独特的分片技术而闻名，致力于提供高吞吐量的智能合约运行环境。,高吞吐量、安全性,GB/T 19488.1-2032,Blockonomi,https://blockonomi.com,2024-09-27,,
Hedera Hashgraph,公有区块链,企业级应用,企业、开发者,大型,成熟研究,提供低延迟服务,智能合约、去中心化应用,金融、医疗,商业合作,数字货币,Hedera Hashgraph LLC,Hedera Hashgraph以其高效的数据处理能力，致力于提供企业解决方案。,低延迟、高安全性,GB/T 19488.1-2033,Forbes,https://www.forbes.com,2024-09-27,,
IOTA,无区块链基础的网络,物联网应用,开发者、企业,中型,活跃研究,实现物联网互联,Tangle技术、数据分享,物联网、供应链,全球合作,数字货币,IOTA Foundation,IOTA采用一种不同于传统区块链的Tangle结构，旨在支持物联网设备之间的无缝连接。,无费用、可扩展性,GB/T 19488.1-2034,TechCrunch,https://techcrunch.com,2024-09-27,,
Fantom,公有区块链,DeFi和DApps,开发者、投资者,中型,快速发展,实现高效DeFi服务,智能合约、高速转账,DeFi、保险,联盟社区,数字货币,Fantom Foundation,Fantom是一个高性能的区块链，专注于快速确认和低成本，为Decentralized Finance提供支持。,低延迟、可扩展性,GB/T 19488.2-2024,The Block,https://www.theblock.co,2024-09-27,,
Polygon,公有区块链,扩展以太坊功能,开发者、用户,中型,活跃研究,提高交易速度和降低费用,"Layer 2 scaling solutions, 智能合约",DeFi、DApps,社区驱动合作,数字货币,Polygon Technology,Polygon提供以太坊网络的多链扩展，增强了交易处理能力和成本效益。,高吞吐量、低交易费,GB/T 19488.3-2025,CoinDesk,https://www.coindesk.com,2024-09-27,,
Cardano,公有区块链,智能合约平台,开发者、用户,大型,新兴研究,提供高效的智能合约功能,Plutus智能合约、去中心化应用,金融、教育,开放式合作,数字货币,IOHK、Cardano Foundation,Cardano是一个采用Ouroboros协议的第三代区块链，具有高安全性和可扩展性。,可扩展、安全性高,GB/T 19488.4-2023,BlockGeeks,https://blockgeeks.com,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构、银行,中型,成熟研究,简化国际支付流程,即时结算、商用支付协议,金融服务,合作联盟,金融科技,Ripple Labs,Ripple是专注于推动金融机构之间高效的跨境支付的区块链平台。,快速、安全,GB/T 19488.5-2022,金融时报,https://www.ft.com,2024-09-27,,
Kusama,公有区块链,实验性网络,开发者、项目初创公司,中型,高水平,测试和优化新功能,治理机制、分布式应用,区块链开发、创新,开放式生态系统,数字货币,Parity Technologies,Kusama是Polkadot的实验网，允许开发者快速构建和测试新功能。,灵活性、快速迭代,GB/T 19488.6-2026,Decrypt,https://decrypt.co,2024-09-27,,
Algorand,公有区块链,快速交易和安全,企业、开发者,中型,活跃研究,支持高频交易,Pure Proof of Stake、智能合约,金融服务、数字资产,开放式合作,数字货币,Algorand Foundation,Algorand是一个高效、安全的区块链网络，专注于快速和低成本的交易。,迅速、安全,GB/T 19488.7-2023,Fintech Times,https://thefintechtimes.com,2024-09-27,,
EOSIO,公有区块链,去中心化应用开发,开发者、企业,大型,新兴研究,易于开发和扩展,智能合约、DApps,企业服务、游戏,社区驱动合作,数字货币,Block.one,EOSIO是一种基于区块链的操作系统，支持高效的去中心化应用开发。,高效、易用,GB/T 19488.8-2024,TechCrunch,https://techcrunch.com,2024-09-27,,
Zilliqa,公有区块链,高吞吐量交易,开发者、用户,中型,活跃研究,处理高交易量,分片技术、智能合约,金融、社交媒体,开放式生态系统,数字货币,Zilliqa Research,Zilliqa采用分片技术以实现更高的交易速度和更好的扩展性。,分片、多样性,GB/T 19488.9-2025,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Terra,公有区块链,稳定币支付,企业、用户,大型,迅速发展,提供稳定的加密支付,算法稳定币、去中心化金融,金融服务,合作联盟,数字货币,Terraform Labs,Terra专注于创建稳定币，以促进高频交易及日常支付。,稳定性、可扩展,GB/T 19488.10-2022,CryptoSlate,https://cryptoslate.com,2024-09-27,,
IOTA,分布式账本技术,物联网交易,开发者、企业,中型,新兴研究,支持IoT设备间交易,Tangle技术、数据共享,物联网、供应链,合作联盟,信息技术,IOTA Foundation,IOTA采用原生Tangle技术，允许无费用的物联网设备之间的无缝交易。,无交易费、高效率,GB/T 19488.11-2026,TechRadar,https://www.techradar.com,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、企业,大型,高水平,增强可持续性,智能合约、去中心化治理,金融、教育,开放式合作,数字货币,IOHK,Cardano是一个以研究驱动的第三代公有区块链，旨在提供更安全的智能合约环境。,分层架构、可持续性,GB/T 19488.1-2023,CoinDesk,https://www.coindesk.com,2024-09-27,,
Polkadot,公有区块链,跨链互操作性,开发者、项目团队,大型,活跃研究,实现链间通信,平行链、共享安全,DeFi、供应链,共同体驱动,数字货币,Parity Technologies,Polkadot通过将多个区块链连接起来，增强了可互操作性和扩展性。,互操作性、可扩展性,GB/T 19488.1-2022,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Algorand,公有区块链,快速交易与结算,金融机构、开发者,大型,快速发展,实现低延迟交易,智能合约、流动性池,金融科技、跨境支付,生态系统合作,金融科技,Algorand Foundation,Algorand是一个高性能的区块链，支持即时交易和低手续费。,高吞吐量、低费用,GB/T 19488.1-2021,Forbes,https://www.forbes.com,2024-09-27,,
EOS,公有区块链,去中心化应用,开发者、用户,大型,活跃研究,提升DApp性能,智能合约、资源分配,社交媒体、游戏,社区驱动合作,数字货币,Block.one,EOS平台提供了高效的智能合约和去中心化应用开发环境。,高可扩展性、灵活性,GB/T 19488.1-2025,Investopedia,https://www.investopedia.com,2024-09-27,,
Zilliqa,公有区块链,高吞吐量应用,开发者、企业,中型,快速发展,实现高交易速度,分片技术、智能合约,广告、金融,合作联盟,数字货币,Zilliqa Research,Zilliqa利用分片技术提升其网络的处理能力和速度。,分片技术、高速,GB/T 19488.1-2020,The Block,https://www.theblock.co,2024-09-27,,
Fantom,公有区块链,区块链基础设施,开发者、企业,中型,快速发展,增强DeFi应用,可扩展性、智能合约,DeFi、游戏,开放式合作,数字货币,Fantom Foundation,Fantom是一个高速、高效的智能合约平台，特别适合DeFi项目。,快速、可扩展性,GB/T 19488.1-2024,Decrypt,https://decrypt.co,2024-09-27,,
Hedera Hashgraph,公有区块链,企业级应用,企业、开发者,中型,新兴研究,提升企业效率,加密服务、高效合约,金融、医疗,合作网络,金融科技,Hedera Foundation,Hedera引入Hashgraph技术，实现高效且安全的区块链解决方案。,高效率、安全,GB/T 19488.1-2026,The Verge,https://www.theverge.com,2024-09-27,,
NEM,公有区块链,企业解决方案,企业、开发者,中型,活跃研究,提供快速和安全的交易,智能资产、共识机制,供应链、物流,开放式合作,数字货币,NEM Foundation,NEM为企业提供高效的区块链解决方案，强调速度和安全性。,快速、安全,GB/T 19488.1-2028,Cointelegraph,https://cointelegraph.com,2024-09-27,,
VeChain,公有区块链,供应链管理,企业、机构,大型,高水平,提升供应链透明度,身份验证、智能合约,物流、食品安全,多方合作,信息技术,VeChain Foundation,VeChain专注于利用区块链技术提升供应链管理的透明度和效率。,透明、高效,GB/T 19488.1-2027,MarketWatch,https://www.marketwatch.com,2024-09-27,,
Polygon,公有区块链,扩展链开发,开发者、用户,大型,活跃研究,提升以太坊扩展性,Layer 2解决方案,DeFi、NFT,社区驱动合作,数字货币,Polygon团队,Polygon是一个为以太坊提供扩展性解决方案的框架，帮助提高交易速度和降低成本。,高效、互操作,GB/T 19488.1-2029,CoinDesk,https://www.coindesk.com/,2024-09-27,,
Cardano,公有区块链,智能合约平台,开发者、企业,大型,高水平,引入功能性与可伸缩性,智能合约、治理机制,教育、金融服务,合作联盟,数字货币,"IOHK, Cardano Foundation",Cardano是一个强大的智能合约平台，专注于提供安全性、可扩展性和可持续性。,可验证、智能合约,GB/T 19488.2-2023,CryptoSlate,https://cryptoslate.com/,2024-09-27,,
Algorand,公有区块链,高速交易,开发者、企业,中型,活跃研究,实现无缝金融交易,智能合约、传统金融整合,金融科技、数字资产,开放式合作,金融科技,Algorand Foundation,Algorand旨在通过可扩展性和安全性提供高速的交易体验。,快速、去中心化,GB/T 19488.3-2025,The Block,https://www.theblock.co/,2024-09-27,,
EOSIO,公有区块链,去中心化应用开发,开发者、企业,大型,活跃研究,支持高交易吞吐量,智能合约、DApp开发,社交、游戏,联盟驱动,数字货币,Block.one,EOSIO是一个强大的智能合约平台，允许开发者在高吞吐量环境下创建应用。,高扩展性、低延迟,GB/T 19488.4-2021,Bitcoin Magazine,https://bitcoinmagazine.com/,2024-09-27,,
Hyperledger Sawtooth,企业级区块链,区域性数据管理,政府、企业,中型,高水平,增强跨部门监管,共享账本、智能合约,政府、供应链,开放式合作,信息技术,Linux基金会,Hyperledger Sawtooth是一个设计用于构建和运行区块链应用的平台，兼容各种架构。,模块化、高度灵活,GB/T 19488.5-2024,Gartner,https://www.gartner.com/,2024-09-27,,
NEO,公有区块链,智能经济,开发者、企业,中型,活跃研究,构建智能经济生态,数字身份、智能合约,金融、物联网,社区驱动合作,数字货币,NEO Foundation,NEO是一种可以实现数字身份和智能合约的平台，旨在发展智能经济。,智能合约、数字资产,GB/T 19488.6-2022,CoinTelegraph,https://cointelegraph.com/,2024-09-27,,
Fantom,公有区块链,高速交易处理,开发者、用户,中型,快速发展,提供快速和安全的交易,DAG技术、智能合约,金融、供应链,开放式生态系统,数字货币,Fantom Foundation,Fantom是一个基于DAG的公有区块链平台，提供快速、低成本的交易解决方案。,低延迟、高性能,GB/T 19488.7-2020,Decrypt,https://decrypt.co/,2024-09-27,,
Quorum,企业级区块链,区域金融交易,金融机构、企业,中型,高水平,提供高安全性与隐私性,私有账本、智能合约,金融服务,合作联盟,金融科技,J.P. Morgan,Quorum是J.P. Morgan开发的基于以太坊的企业级区块链，致力于安全和隐私。,隐私保护、高可扩展性,GB/T 19488.8-2026,Finextra,https://www.finextra.com/,2024-09-27,,
Zilliqa,公有区块链,高吞吐交易,开发者、企业,中型,快速发展,实现高吞吐量,分片技术、智能合约,DeFi、游戏,开放式生态系统,数字货币,Zilliqa Research,Zilliqa采用分片技术实现高吞吐量，主要针对多种应用场景。,高吞吐量、低延迟,GB/T 19488.9-2023,CryptoBriefing,https://cryptobriefing.com/,2024-09-27,,
Polkadot,公有区块链,跨链互操作性,开发者、企业,大型,活跃研究,增强链间协作,多链架构、共享安全,区块链基础设施,社区驱动合作,数字货币,Web3 Foundation,Polkadot是一个多链协议，旨在连接不同区块链，共享信息和协作。,可扩展性、灵活性,GB/T 19488.10-2021,CoinDesk,https://www.coindesk.com/,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、用户,大型,成熟应用,智能合约标准化,多资产账本、智能合约,金融、身份验证,开源合作,数字货币,IOHK,Cardano是一种以研究为基础的区块链，提供高安全性和灵活的开发环境。,分层架构、能源高效,GB/T 19488.1-2025,CryptoSlate,https://cryptoslate.com/,2024-09-27,,
Algorand,公有区块链,高速交易,开发者、企业,中型,高水平,提高交易速度,智能合约、资产管理,金融服务、供应链,开放式生态系统,数字货币,Algorand Foundation,Algorand提供高吞吐量和低延迟交易，旨在支持金融应用。,即时确认、可扩展性,GB/T 19488.1-2026,Forbes,https://www.forbes.com/,2024-09-27,,
Hedera Hashgraph,分布式账本技术,企业级应用,企业、开发者,中型,不断发展,提供企业级解决方案,身份验证、数据共享,企业应用、安全,企业联盟,信息技术,Hedera Hashgraph LLC,Hedera Hashgraph是一种高效、快速的分布式分类账技术，适合企业的多种应用。,高吞吐量、低延迟,GB/T 19488.1-2027,TechCrunch,https://techcrunch.com/,2024-09-27,,
Flow,公有区块链,数字资产交易,开发者、艺术家,大型,新兴研究,支持数字资产创造和交易,NFT、智能合约,数字艺术、游戏,社区驱动合作,数字货币,Dapper Labs,Flow是专为数字资产、尤其是NFT设计的区块链平台，确保快速和无缝的用户体验。,高性能、用户友好,GB/T 19488.1-2028,NFT Now,https://www.nftnow.com/,2024-09-27,,
Zilliqa,公有区块链,高吞吐量交易,开发者、企业,中型,活跃研究,实现高吞吐量和安全性,分片技术、智能合约,金融、游戏,开源合作,数字货币,Zilliqa Research,Zilliqa是一种支持分片的高性能区块链，能够实现海量交易处理。,分片、可扩展性,GB/T 19488.1-2029,Decrypt,https://decrypt.co/,2024-09-27,,
AVEcoin,公有区块链,去中心化金融,用户、交易员,大型,快速发展,支持去中心化金融应用,流动性挖矿、借贷,DeFi,社区驱动合作,数字货币,AVEcoin Foundation,AVEcoin是一个致力于去中心化金融的区块链平台，支持多样化的金融产品。,用户友好、透明性,GB/T 19488.1-2030,The Block,https://www.theblock.co/,2024-09-27,,
Zcash,公有区块链,隐私保护,用户、开发者,中型,活跃维护,提供隐私保护的交易,zk-SNARKs、匿名交易,金融、隐私,开源社区,数字货币,Zcash Foundation,Zcash是一种专注于隐私保护的区块链，使用户的交易保持匿名。,隐私性、加密技术,GB/T 19488.1-2031,CoinTelegraph,https://cointelegraph.com/,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构、企业,大型,广泛应用,加快跨境交易速度,智能合约、支付解决方案,金融服务,金融网络联盟,金融科技,Ripple Labs,Ripple是一个专注于跨境支付的区块链，使用其数字资产XRP进行瞬时结算。,即时支付、流动性提取,GB/T 19488.1-2032,Yahoo Finance,https://finance.yahoo.com/,2024-09-27,,
Polkadot,公有区块链,跨链功能,开发者、企业,大型,高水平,实现多链互操作性,共享安全、跨链通信,DeFi、物联网,开放式合作,数字货币,Web3 Foundation,Polkadot是一个区块链平台，注重各个链之间的互联互通与共享安全。,可协作、高扩展性,GB/T 19488.1-2033,CoinDesk,https://www.coindesk.com,2024-09-27,,
Cardano,公有区块链,智能合约平台,开发者、用户,中型,活动开发,建立一个安全且可扩展的生态系统,智能合约、高度可扩展性,金融、教育,社区参与,数字货币,IOHK、Cardano基金会,Cardano是一个灵活的智能合约平台，允许开发者创建分布式应用程序。,可升级、安全,GB/T 19488.1-2034,CoinTelegraph,https://www.cointelegraph.com,2024-09-27,,
Algorand,公有区块链,快速交易,开发者、金融机构,大型,成熟应用,实现快速与低成本的交易,智能合约、快速确认,金融、供应链,合作联盟,金融科技,Algorand Foundation,Algorand是一个设计用于高效率和可扩展性的区块链，专注于快速交易确认。,高性能、低延迟,GB/T 19488.1-2025,The Block,https://www.theblock.co,2024-09-27,,
Fantom,公有区块链,高效合约处理,开发者、企业,中型,快速发展,提升交易速度和减少费用,智能合约、去中心化金融,金融、物流,开放式合作,数字货币,Fantom Foundation,Fantom是一个高速的去中心化平台，致力于支持高效的智能合约执行。,快速、灵活,GB/T 19488.1-2026,Decrypt,https://decrypt.co,2024-09-27,,
NEO,公有区块链,智能经济,开发者、企业,中型,活跃研究,构建智能经济体,智能合约、数字资产,金融、物联网,社区驱动,数字货币,NEO Foundation,NEO是一个开源的区块链平台致力于建立一个智能经济的基础架构。,数字资产、智能合约,GB/T 19488.1-2027,CryptoSlate,https://cryptoslate.com,2024-09-27,,
IOTA,去中心化网络,物联网传输,开发者、企业,小型,成熟技术,实现在物联网设备上免费的微交易,无区块、数据传输,物联网、智能城市,合作社区,数字货币,IOTA Foundation,IOTA是一个专为物联网设计的去中心化平台，侧重于设备间的数据交换。,零费用、可扩展,GB/T 19488.1-2028,IoT News,https://www.iotnews.com,2024-09-27,,
